ID,bacteria,spike,group,sample01,sample02,sample03,sample04,mean
1,Act-101,E05,2:02:02,0.166432954,0.153471376,0.116006511,NA,0.145303614
2,Act-135,E05,2:02:02,0.052147239,0.049939099,0.037764514,NA,0.046616951
3,Act-140,E05,2:02:02,0.127607362,0.130328867,0.097124254,NA,0.118353494
4,Bac-186,E05,2:02:02,0.342944785,0.30816078,0.219750407,NA,0.290285324
5,Fir-11,E05,2:02:02,0.144347064,0.161896062,0.240260445,NA,0.182167857
6,Pro-1203,E05,2:02:02,0.057055215,0.066991474,0.094845361,NA,0.072964016
7,Pro-1204,E05,2:02:02,0.056792287,0.071051563,0.102984265,NA,0.076942705
8,Pro-670,E05,2:02:02,0.033216477,0.033901746,0.056104178,NA,0.041074134
9,Pro-672,E05,2:02:02,0.019368975,0.024056029,0.034943028,NA,0.026122677
10,Act-101,E55,2:02:02,0.1720861,NA,0.114209505,NA,0.143147803
11,Act-135,E55,2:02:02,0.056388825,NA,0.040130941,NA,0.048259883
12,Act-140,E55,2:02:02,0.140485459,NA,0.094750242,NA,0.117617851
13,Bac-186,E55,2:02:02,0.308106251,NA,0.221205141,NA,0.264655696
14,Fir-11,E55,2:02:02,0.143977559,NA,0.242846751,NA,0.193412155
15,Pro-1203,E55,2:02:02,0.057705519,NA,0.096387003,NA,0.077046261
16,Pro-1204,E55,2:02:02,0.065204946,NA,0.097417556,NA,0.081311251
17,Pro-670,E55,2:02:02,0.034920998,NA,0.057286615,NA,0.046103807
18,Pro-672,E55,2:02:02,0.021067094,NA,0.035584384,NA,0.028325739
19,Act-101,E04,2:02:02,0.163739409,0.147609762,0.110464781,NA,0.140604651
20,Act-135,E04,2:02:02,0.056955277,0.050995686,0.039854864,NA,0.049268609
21,Act-140,E04,2:02:02,0.129454015,0.119718726,0.092668318,NA,0.11394702
22,Bac-186,E04,2:02:02,0.350429269,0.32511966,0.229568623,NA,0.30170585
23,Fir-11,E04,2:02:02,0.134672577,0.156650712,0.236595058,NA,0.175972783
24,Pro-1203,E04,2:02:02,0.057123618,0.067304851,0.099637159,NA,0.074688543
25,Pro-1204,E04,2:02:02,0.058638685,0.072504875,0.102747221,NA,0.077963594
26,Pro-670,E04,2:02:02,0.029571853,0.03811381,0.05413811,NA,0.040607924
27,Pro-672,E04,2:02:02,0.019359183,0.021863736,0.034153084,NA,0.025125334
28,Act-101,E0520,2:02:02,0.151766927,0.138184246,0.107197466,NA,0.13238288
29,Act-135,E0520,2:02:02,0.057458862,0.053960837,0.041011359,NA,0.050810352
30,Act-140,E0520,2:02:02,0.119881306,0.111593235,0.085845347,NA,0.105773296
31,Bac-186,E0520,2:02:02,0.336390612,0.310747664,0.227555701,NA,0.291564659
32,Fir-11,E0520,2:02:02,0.15047208,0.165442813,0.239023591,NA,0.184979495
33,Pro-1203,E0520,2:02:02,0.062908012,0.074599466,0.096166448,NA,0.077891309
34,Pro-1204,E0520,2:02:02,0.066145131,0.080329328,0.105996068,NA,0.084156842
35,Pro-670,E0520,2:02:02,0.035014837,0.039663996,0.059141547,NA,0.044606793
36,Pro-672,E0520,2:02:02,0.019908282,0.025422786,0.038007864,NA,0.027779644
37,Act-101,E05,1:01:01,0.110715228,0.154514895,0.130298273,0.119558736,0.128771783
38,Act-135,E05,1:01:01,0.037212985,0.049263939,0.043956044,0.045617174,0.044012535
39,Act-140,E05,1:01:01,0.09408815,0.135968471,0.122291994,0.098240906,0.11264738
40,Bac-186,E05,1:01:01,0.201108472,0.284919439,0.2566719,0.230322004,0.243255453
41,Fir-11,E05,1:01:01,0.262206387,0.171322592,0.208634223,0.24090638,0.220767396
42,Pro-1203,E05,1:01:01,0.10398522,0.072562884,0.089010989,0.085867621,0.087856679
43,Pro-1204,E05,1:01:01,0.104776986,0.070128666,0.083045526,0.099284436,0.089308904
44,Pro-670,E05,1:01:01,0.05476379,0.039411151,0.042857143,0.049344067,0.046594038
45,Pro-672,E05,1:01:01,0.031010821,0.021560218,0.022605965,0.0307096,0.026471651
46,Act-101,E55,1:01:01,0.109570511,0.150214868,0.125139933,0.120789597,0.126428727
47,Act-135,E55,1:01:01,0.038214406,0.052722725,0.04493843,0.03900987,0.043721358
48,Act-140,E55,1:01:01,0.096043287,0.128856392,0.12697905,0.108569638,0.115112092
49,Bac-186,E55,1:01:01,0.20784579,0.282470656,0.256516872,0.223562588,0.242598976
50,Fir-11,E55,1:01:01,0.257828881,0.173882368,0.208539901,0.224580918,0.216208017
51,Pro-1203,E55,1:01:01,0.09895164,0.072541851,0.081560851,0.097524675,0.087644754
52,Pro-1204,E55,1:01:01,0.102062902,0.077929575,0.087398049,0.101519662,0.092227547
53,Pro-670,E55,1:01:01,0.053432533,0.039445834,0.042939389,0.054128153,0.047486477
54,Pro-672,E55,1:01:01,0.035847142,0.021871593,0.025827603,0.0300799,0.028406559
55,Act-101,E04,1:01:01,0.115418558,0.152220123,0.134953538,0.119915899,0.13062703
56,Act-135,E04,1:01:01,0.037443268,0.049126122,0.042959257,0.040962807,0.042622863
57,Act-140,E04,1:01:01,0.091401916,0.129723666,0.116440315,0.094903212,0.108117277
58,Bac-186,E04,1:01:01,0.21318709,0.312883798,0.281200858,0.252229392,0.264875284
59,Fir-11,E04,1:01:01,0.250693394,0.158006613,0.183631165,0.227144204,0.204868844
60,Pro-1203,E04,1:01:01,0.10186586,0.068375059,0.081129378,0.090190676,0.085390243
61,Pro-1204,E04,1:01:01,0.10426122,0.072567312,0.088348821,0.094540709,0.089929516
62,Pro-670,E04,1:01:01,0.053139183,0.035486538,0.043030736,0.048865366,0.045130456
63,Pro-672,E04,1:01:01,0.032463439,0.021492678,0.028091494,0.031175234,0.028305711
64,Act-101,E0520,1:01:01,0.108714712,0.147530967,0.123583412,0.113018868,0.12321199
65,Act-135,E0520,1:01:01,0.040329651,0.05476865,0.041595442,0.038679245,0.043843247
66,Act-140,E0520,1:01:01,0.089017476,0.129589513,0.12345679,0.098176101,0.11005997
67,Bac-186,E0520,1:01:01,0.221170144,0.299394545,0.276859766,0.24918239,0.261651711
68,Fir-11,E0520,1:01:01,0.244257408,0.164972505,0.194175372,0.222578616,0.206495975
69,Pro-1203,E0520,1:01:01,0.101057923,0.069710604,0.080215258,0.090754717,0.085434625
70,Pro-1204,E0520,1:01:01,0.103980361,0.07232128,0.089965179,0.104150943,0.092604441
71,Pro-670,E0520,1:01:01,0.055701677,0.038438038,0.044001266,0.05081761,0.047239648
