ID,bacteria,spike,group,sample01,sample02,sample03,sample04,mean
1,Act-101,E05,2:02:02,0.241541592,0.160509554,0.106294123,NA,0.169448423
2,Act-135,E05,2:02:02,0.075680488,0.052229299,0.034602764,NA,0.054170851
3,Act-140,E05,2:02:02,0.185194607,0.136305732,0.088992741,NA,0.136831027
4,Bac-186,E05,2:02:02,0.497710506,0.322292994,0.201352292,NA,0.340451931
5,Fir-11,E05,2:02:02,0.20948868,0.169320594,0.220145173,NA,0.199651482
6,Pro-1203,E05,2:02:02,0.082803358,0.070063694,0.086904644,NA,0.079923899
7,Pro-1204,E05,2:02:02,0.082421776,0.074309979,0.094362136,NA,0.083697963
8,Pro-670,E05,2:02:02,0.048206563,0.035456476,0.05140698,NA,0.04502334
9,Pro-672,E05,2:02:02,0.028109896,0.025159236,0.0320175,NA,0.028428877
10,Act-101,E55,2:02:02,1.666297118,NA,0.678674352,NA,1.172485735
11,Act-135,E55,2:02:02,0.546008869,NA,0.238472622,NA,0.392240746
12,Act-140,E55,2:02:02,1.360310421,NA,0.563040346,NA,0.961675384
13,Bac-186,E55,2:02:02,2.983370288,NA,1.314481268,NA,2.148925778
14,Fir-11,E55,2:02:02,1.394124169,NA,1.443083573,NA,1.418603871
15,Pro-1203,E55,2:02:02,0.558758315,NA,0.572766571,NA,0.565762443
16,Pro-1204,E55,2:02:02,0.631374723,NA,0.57889049,NA,0.605132606
17,Pro-670,E55,2:02:02,0.338137472,NA,0.340417867,NA,0.33927767
18,Pro-672,E55,2:02:02,0.203991131,NA,0.211455331,NA,0.207723231
19,Act-101,E04,2:02:02,2.011026878,1.063431247,1.00471451,NA,1.359724212
20,Act-135,E04,2:02:02,0.699517574,0.367390379,0.362493452,NA,0.476467135
21,Act-140,E04,2:02:02,1.589937974,0.862494679,0.84284966,NA,1.098427437
22,Bac-186,E04,2:02:02,4.303928325,2.342273308,2.088004191,NA,2.911401941
23,Fir-11,E04,2:02:02,1.654031702,1.128565347,2.151911996,NA,1.644836348
24,Pro-1203,E04,2:02:02,0.701585114,0.484887186,0.90623363,NA,0.697568643
25,Pro-1204,E04,2:02:02,0.72019297,0.522349936,0.934520691,NA,0.725687866
