fungi,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Asco-AF1,E05,2:02:02,0.640983987,0.65012932,0.718684308,0.658745476,NA,0.667135773
Asco-AF105,E05,2:02:02,1.08006498,1.109804844,1.174601212,1.158624849,NA,1.130773971
Basi-AF78,E05,2:02:02,0.716755628,0.723136609,0.770248547,0.756453559,NA,0.741648586
Asco-AF1,E055,2:02:02,1.775388601,1.823623304,1.950770895,1.771068522,NA,1.830212831
Asco-AF105,E055,2:02:02,2.823834197,2.97047087,2.963483906,2.960882121,NA,2.929667773
Basi-AF78,E055,2:02:02,2.076165803,2.087523277,2.099540168,2.046206353,NA,2.0773589
Asco-AF1,E04,2:02:02,2.870876911,2.714395689,2.992842942,2.549205148,NA,2.781830172
Asco-AF105,E04,2:02:02,4.702735318,4.487682833,4.507355865,4.469341408,NA,4.541778856
Basi-AF78,E04,2:02:02,3.343925986,3.20169361,3.279920477,3.195306586,NA,3.255211665
Asco-AF1,E0520,2:02:02,4.417759237,4.410532615,4.366173121,4.31880597,NA,4.378317736
Asco-AF105,E0520,2:02:02,6.766388558,6.907839617,6.411731207,7.153432836,NA,6.809848054
Basi-AF78,E0520,2:02:02,5.471990465,5.411729503,5.093963554,5.215522388,NA,5.298301477
Asco-AF1,E05,1:01:01,0.50807794,0.467007964,0.55783563,NA,NA,0.510973845
Asco-AF105,E05,1:01:01,0.863115637,0.830868411,0.922613578,NA,NA,0.872199209
Basi-AF78,E05,1:01:01,0.529717027,0.510902541,0.544257274,NA,NA,0.528292281
Asco-AF1,E055,1:01:01,1.280635551,1.214352985,1.328171531,NA,NA,1.274386689
Asco-AF105,E055,1:01:01,2.137835154,1.967413826,2.157434981,NA,NA,2.08756132
Basi-AF78,E055,1:01:01,1.465739821,1.398756828,1.39626762,NA,NA,1.420254756
Asco-AF1,E04,1:01:01,1.819967707,1.742467907,1.86763519,NA,NA,1.810023601
Asco-AF105,E04,1:01:01,3.022874058,2.99371234,3.121065375,NA,NA,3.045883924
Basi-AF78,E04,1:01:01,2.129978471,2.025674614,1.981974711,NA,NA,2.045875932
Asco-AF1,E0520,1:01:01,2.886610374,2.664634146,3.142796067,NA,NA,2.898013529
Asco-AF105,E0520,1:01:01,4.565741858,4.387957317,5.056006841,NA,NA,4.669902005
Basi-AF78,E0520,1:01:01,3.460394049,3.238185976,3.467721248,NA,NA,3.388767091
