fungi,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Asco-AF1,E05,2:02:01,0.512630998,0.58631616,0.4917311,0.485435865,0.495149771,0.514252779
Asco-AF105,E05,2:02:01,0.904026475,0.994953644,0.861791237,0.832433005,0.860995629,0.890839998
Basi-AF78,E05,2:02:01,0.851627137,0.895669522,0.828071306,0.820252092,0.80204669,0.83953335
Asco-AF1,E055,2:02:01,1.308580484,1.413176471,1.193155574,1.215344939,1.3143699,1.288925474
Asco-AF105,E055,2:02:01,2.218021281,2.308470588,2.005458744,2.052009456,2.235720762,2.163936166
Basi-AF78,E055,2:02:01,2.180892008,2.249411765,2.021625026,2.099935525,2.165004533,2.143373772
Asco-AF1,E04,2:02:01,1.938815151,2.104081633,1.806222222,1.806763285,1.833841463,1.897944751
Asco-AF105,E04,2:02:01,3.389446423,3.607142857,2.984,3.053140097,3.10304878,3.227355631
Basi-AF78,E04,2:02:01,3.262868242,3.365986395,2.988148148,3.08544686,3.095731707,3.15963627
Asco-AF1,E0520,2:02:01,3.190162272,3.404123711,2.603326403,2.815031503,2.800613497,2.962651477
Asco-AF105,E0520,2:02:01,5.420385396,5.41185567,4.241995842,4.644464446,4.517090272,4.847158325
Basi-AF78,E0520,2:02:01,5.413286004,5.455670103,4.473596674,4.873987399,4.66520596,4.976349228
Asco-AF1,E05,1:01:01,0.50807794,0.467007964,0.55783563,NA,NA,0.510973845
Asco-AF105,E05,1:01:01,0.863115637,0.830868411,0.922613578,NA,NA,0.872199209
Basi-AF78,E05,1:01:01,0.529717027,0.510902541,0.544257274,NA,NA,0.528292281
Asco-AF1,E055,1:01:01,1.280635551,1.214352985,1.328171531,NA,NA,1.274386689
Asco-AF105,E055,1:01:01,2.137835154,1.967413826,2.157434981,NA,NA,2.08756132
Basi-AF78,E055,1:01:01,1.465739821,1.398756828,1.39626762,NA,NA,1.420254756
Asco-AF1,E04,1:01:01,1.819967707,1.742467907,1.86763519,NA,NA,1.810023601
Asco-AF105,E04,1:01:01,3.022874058,2.99371234,3.121065375,NA,NA,3.045883924
Basi-AF78,E04,1:01:01,2.129978471,2.025674614,1.981974711,NA,NA,2.045875932
Asco-AF1,E0520,1:01:01,2.886610374,2.664634146,3.142796067,NA,NA,2.898013529
Asco-AF105,E0520,1:01:01,4.565741858,4.387957317,5.056006841,NA,NA,4.669902005
Basi-AF78,E0520,1:01:01,3.460394049,3.238185976,3.467721248,NA,NA,3.388767091
