ID,Group.1,Spikeinamount,Group.3,error_AA,error_RA
1,1:01:01,E05,Asco-AF1,0.637427202,1.027390796
2,1:01:01,E05/10,Asco-AF1,0.400209795,0.998510104
3,1:01:01,E05/20,Asco-AF1,0.39527241,0.998209723
4,1:01:01,E05/5,Asco-AF1,0.492344317,1.010971561
5,1:01:01,E05,Asco-AF105,0.654989435,1.044818786
6,1:01:01,E05/10,Asco-AF105,0.44790546,1.045779572
7,1:01:01,E05/20,Asco-AF105,0.434267019,1.039407644
8,1:01:01,E05/5,Asco-AF105,0.497234836,1.015283436
9,1:01:01,E05,Basi-AF78,0.510830874,0.903091733
10,1:01:01,E05/10,Basi-AF78,0.337165597,0.935156056
11,1:01:01,E05/20,Basi-AF78,0.341843903,0.94892942
12,1:01:01,E05/5,Basi-AF78,0.449521324,0.968356926
13,2:02:01,E05,Basi-AF78,0.319382893,0.552128565
14,2:02:01,E05/10,Basi-AF78,0.370651218,0.629175225
15,2:02:01,E05/20,Basi-AF78,0.425508938,0.664755609
16,2:02:01,E05/5,Basi-AF78,0.393511329,0.640194239
17,2:02:01,E05,Asco-AF1,0.008757829,0.223995757
18,2:02:01,E05/10,Asco-AF1,0.077407753,0.182264246
19,2:02:01,E05/20,Asco-AF1,0.052378753,0.186080658
20,2:02:01,E05/5,Asco-AF1,0.028436167,0.218943963
21,2:02:01,E05,Asco-AF105,0.026242556,0.207255859
22,2:02:01,E05/10,Asco-AF105,0.068059933,0.192210389
23,2:02:01,E05/20,Asco-AF105,0.063348896,0.176696224
24,2:02:01,E05/5,Asco-AF105,0.083761274,0.163934729
