OTUID,E05_bac,E04_bac,E03_bac,E00_bac
OTU_3,1118.891428,1133.785894,1069.643436,1126.860786
OTU_7,648.6127984,658.6989949,626.8085645,640.2812171
OTU_4,608.3503357,568.3200228,625.173021,597.8709475
OTU_5,564.1679914,553.6872084,584.28744,538.3827171
OTU_6,565.2846502,579.8343235,573.0990027,565.2805055
OTU_8,367.5438432,336.5340612,352.1552522,335.8665642
OTU_9,334.1791494,322.2798092,347.7882925,318.3616543
OTU_172,298.4757438,303.880285,300.6029715,301.4260097
OTU_11,266.8825441,275.1390531,257.2431572,274.2435886
OTU_10,253.4923476,247.0328215,261.8970057,256.5963624
OTU_13,257.7513462,272.0348304,238.2642697,256.8809951
OTU_17,257.9539613,262.0201214,252.9382671,245.6380042
OTU_14,221.9931195,219.5584704,198.5241002,212.1936641
OTU_20,212.6222027,199.476633,223.1452792,207.3549085
OTU_12,224.0146879,250.8959277,228.3142678,241.3685139
OTU_22,176.0674547,163.4266629,169.0448705,160.8174651
OTU_19,151.9704607,138.1489987,137.912141,145.7319329
OTU_15,186.4782464,155.9225468,203.5540294,202.2315202
OTU_18,145.1487426,152.2654795,140.5632269,144.8780349
OTU_26,130.7316028,129.1008485,127.1093707,134.2043093
OTU_16,155.366857,149.1431534,158.0291723,158.1134546
OTU_24,113.8074089,106.0241411,105.6517258,108.587368
OTU_31,108.8099077,97.17398087,93.46703573,93.07488686
OTU_21,102.8290328,108.607796,98.75101654,93.35951954
OTU_25,93.65373588,100.2482033,102.1414866,102.1831327
OTU_23,99.49659162,100.1919815,99.94516343,92.5056215
OTU_161,87.64463605,90.66470554,93.04240281,90.22856004
OTU_29,72.97358348,87.65129363,88.04639866,83.68200837
OTU_27,78.12444867,79.40110619,78.79652937,85.38980446
OTU_36,72.68682304,76.04142323,72.31037928,71.5851194
OTU_37,76.67734841,80.86054022,83.03682972,77.42008937
OTU_32,70.19343346,72.62115011,69.83180502,68.16952723
OTU_34,71.22295283,73.05976795,80.71553211,73.15059915
OTU_28,56.26771586,48.9347029,65.42251669,62.33455725
OTU_65,56.75451531,57.81197839,56.19648393,58.91896508
OTU_59,56.64251147,57.24657793,53.27652852,65.46551675
OTU_41,52.1109464,56.56377599,52.0871437,58.06506703
OTU_42,44.7366821,54.19894837,61.0252914,52.51472974
OTU_43,37.77279997,41.48812634,39.74338573,42.41026955
OTU_35,38.90286822,31.06055339,35.94293534,32.44812569
OTU_39,27.29320759,28.57862633,28.91184838,30.45569692
OTU_40,29.03353412,19.62127021,25.09806387,23.48219623
OTU_49,21.50590588,16.4010622,17.60226472,17.64722625
OTU_33,42.28518198,51.06467274,48.2614172,52.94167876
