Sample,AA,OTUS,Treatment
BacDMH6301,0.652,OTU_11,Dry
BacDMH6302,7.096,OTU_11,Dry
BacDMH6303,6.884,OTU_11,Dry
BacDMH6304,3.178,OTU_11,Dry
BacDMH6305,20.94,OTU_11,Dry
BacDMH6306,3.096,OTU_11,Dry
BacDMH6307,3.318,OTU_11,Dry
BacDMH6308,4.711,OTU_11,Dry
BacDMH6309,0.887,OTU_11,Dry
BacDMH6310,5.22,OTU_11,Dry
BacDMH6311,2.592,OTU_11,Dry
BacDMH6312,3.301,OTU_11,Dry
BacDMH6313,14.777,OTU_11,Dry
BacDMH6314,31.038,OTU_11,Dry
BacDMH6315,4.959,OTU_11,Dry
BacWMH6302,5.346,OTU_11,Wet
BacWMH6303,6.044,OTU_11,Wet
BacWMH6304,5.434,OTU_11,Wet
BacWMH6305,5.268,OTU_11,Wet
BacWMH6306,6.483,OTU_11,Wet
BacWMH6308,3.894,OTU_11,Wet
BacWMH6309,5.684,OTU_11,Wet
BacWMH6310,3.988,OTU_11,Wet
BacWMH6311,5.653,OTU_11,Wet
BacWMH6312,5.043,OTU_11,Wet
BacWMH6313,1.939,OTU_11,Wet
BacWMH6314,4.661,OTU_11,Wet
BacWMH6315,2.843,OTU_11,Wet
BacDMH6301,0.22,OTU_16,Dry
BacDMH6302,1.577,OTU_16,Dry
BacDMH6303,0.843,OTU_16,Dry
BacDMH6304,0.087,OTU_16,Dry
BacDMH6305,0.445,OTU_16,Dry
BacDMH6306,0.292,OTU_16,Dry
BacDMH6307,0.943,OTU_16,Dry
BacDMH6308,0.479,OTU_16,Dry
BacDMH6309,0.276,OTU_16,Dry
BacDMH6310,0.256,OTU_16,Dry
BacDMH6311,0.565,OTU_16,Dry
BacDMH6312,0.098,OTU_16,Dry
BacDMH6313,0.709,OTU_16,Dry
BacDMH6314,0.256,OTU_16,Dry
BacDMH6315,0.695,OTU_16,Dry
BacWMH6302,0.137,OTU_16,Wet
BacWMH6303,0.196,OTU_16,Wet
BacWMH6304,0.201,OTU_16,Wet
BacWMH6305,0.107,OTU_16,Wet
BacWMH6306,0.097,OTU_16,Wet
BacWMH6308,0.193,OTU_16,Wet
BacWMH6309,0.063,OTU_16,Wet
BacWMH6310,0.145,OTU_16,Wet
BacWMH6311,0.224,OTU_16,Wet
BacWMH6312,0.183,OTU_16,Wet
