id	SampleID	Totalload	Treatment	Micro
1	TAD1	809.2485447	Disease	Bacteria
2	TAD2	3930.427649	Disease	Bacteria
3	TAD3	1714.783496	Disease	Bacteria
4	TAD4	1074.871324	Disease	Bacteria
5	TAD5	2000.681242	Disease	Bacteria
6	TAD6	2331.255825	Disease	Bacteria
7	TAD7	1921.382319	Disease	Bacteria
8	TAD8	7553.79697	Disease	Bacteria
9	TAD9	682.308204	Disease	Bacteria
10	TAD10	1178.035681	Disease	Bacteria
11	TAH1	574.977746	Healthy	Bacteria
12	TAH2	1780.899353	Healthy	Bacteria
13	TAH3	714.648093	Healthy	Bacteria
14	TAH4	377.6097702	Healthy	Bacteria
15	TAH5	176.1645851	Healthy	Bacteria
16	TAH6	282.3954038	Healthy	Bacteria
17	TAH7	1972.040067	Healthy	Bacteria
18	TAH8	775.0999787	Healthy	Bacteria
19	TAH9	68.91409984	Healthy	Bacteria
20	TAH10	1066.731872	Healthy	Bacteria
21	TAD1	38.04684011	Disease	Fungi
22	TAD2	954.2883088	Disease	Fungi
23	TAD3	550.4582115	Disease	Fungi
24	TAD4	499.3733464	Disease	Fungi
25	TAD5	141.0174417	Disease	Fungi
26	TAD6	374.1128171	Disease	Fungi
27	TAD7	438.9396926	Disease	Fungi
28	TAD8	633.5761906	Disease	Fungi
29	TAD9	345.2952219	Disease	Fungi
30	TAD10	719.4023274	Disease	Fungi
31	TAH1	48.66108337	Healthy	Fungi
32	TAH2	201.6246863	Healthy	Fungi
33	TAH3	111.8467052	Healthy	Fungi
34	TAH4	82.20002456	Healthy	Fungi
35	TAH5	76.63949597	Healthy	Fungi
36	TAH6	47.62093938	Healthy	Fungi
37	TAH7	431.5784675	Healthy	Fungi
38	TAH8	148.5804567	Healthy	Fungi
39	TAH9	55.33915897	Healthy	Fungi
40	TAH10	66.32431432	Healthy	Fungi
