d	a	b	c	e	V2	V3	V4	V5
D6303	S15	G2	E15	fastq	D6303_NDME09371_1.clean.fq.gz	b2dce6540a8316a78c8ed3485fc7d09a	D6303_NDME09371_2.clean.fq.gz	23b1eb108e94d153992ac75f24b85fdc
D6307	S16	G2	E16	fastq	D6307_NDME09372_1.clean.fq.gz	910c7976373309b5068a8f3e48372807	D6307_NDME09372_2.clean.fq.gz	b05622105885e60cd268ac557848cc16
D6314	S17	G2	E17	fastq	D6314_NDME09373_1.clean.fq.gz	148914061cb79eaffd2e2aca48fab7a6	D6314_NDME09373_2.clean.fq.gz	f28e94be3f0a76b85bf2c03a3dd6caa1
D6315	S18	G2	E18	fastq	D6315_NDME09374_1.clean.fq.gz	e4b2206278b1773426983ca42fc23b33	D6315_NDME09374_2.clean.fq.gz	54be016cf23ec51d724a36e6ecca1e3d
DWYJ03	S22	G2	E22	fastq	DWYJ03_NDSFP02224_1.clean.fq.gz	424b6f975a02bc594c093baa32ae9e82	DWYJ03_NDSFP02224_2.clean.fq.gz	eb44382ad800ee5e9bdb130989c87028
DWYJ11	S23	G2	E23	fastq	DWYJ11_NDME09378_1.clean.fq.gz	9bd42bfd77fc9924b704a591ea57c6a4	DWYJ11_NDME09378_2.clean.fq.gz	038a12b8022c50e259f88f1b7e113f5d
DWYJ12	S24	G2	E24	fastq	DWYJ12_NDME09379_1.clean.fq.gz	ab229e8118bf1b07688d789b0fef59e2	DWYJ12_NDME09379_2.clean.fq.gz	2fab7b2ebcb8b0e767633ce0cf5a384f
DWYJ15	S25	G2	E25	fastq	DWYJ15_NDME09380_1.clean.fq.gz	56aa582557a65d603a7e2bb59d26762b	DWYJ15_NDME09380_2.clean.fq.gz	a08d3d7fe9d23e1533af46f270747100
TAD10	S6	G2	E6	fastq	TAD10_1.fq.gz	ca8be18dbfc05aec9d281fab03f9abb6	TAD10_2.fq.gz	fdbd02236c0b69e71fc9872b33555916
TAD2	S1	G2	E1	fastq	TAD2_1.fq.gz	2b6085fed922233eb9e9373378fb1d1e	TAD2_2.fq.gz	e0a47e5172d6594623563ba23946c72c
TAD4	S2	G2	E2	fastq	TAD4_1.fq.gz	29c654566606c53e36caa4107e341b76	TAD4_2.fq.gz	411d53320bd6bb7e825ce464ad6f3722
TAD6	S3	G2	E3	fastq	TAD6_1.fq.gz	21b130d35ea336511673f0dccfd4be5a	TAD6_2.fq.gz	79b0ca79ab772caa808b28465264315f
TAD7	S4	G2	E4	fastq	TAD7_1.fq.gz	5abfa21cccff0d1ba63efd348ace060f	TAD7_2.fq.gz	dc989fde2c94ab20b5fecbfe21e24338
TAD9	S5	G2	E5	fastq	TAD9_1.fq.gz	753310c008ddc11ccd5b8f9249727f70	TAD9_2.fq.gz	6dca7b49c86f127d2651b4876f4afa02
TAH1	S7	G2	E7	fastq	TAH1_1.fq.gz	b1c2d44fe41128e1b70659252e2d47c7	TAH1_2.fq.gz	48b3bb53d1b3329f2eee18aa8326a7ac
TAH10	S14	G2	E14	fastq	TAH10_1.fq.gz	8f6d82d50190257b99f4f29c3fb79bbf	TAH10_2.fq.gz	3f8ccb08f90b55f32bd9a564d4c8fce0
TAH2	S8	G2	E8	fastq	TAH2_1.fq.gz	954ab1226030e2321824d7f3225ff85e	TAH2_2.fq.gz	135883f44d88719ab443256a76c02b60
TAH4	S9	G2	E9	fastq	TAH4_1.fq.gz	810bf81b1bb7b5ab83b530b14b781526	TAH4_2.fq.gz	92a3794ce28049a774a597b516fb9dfb
TAH5	S10	G2	E10	fastq	TAH5_1.fq.gz	6e6797b0157ffda278b0a01951e4f5e5	TAH5_2.fq.gz	b434f5325baecd59963b3945ce789d3e
TAH6	S11	G2	E11	fastq	TAH6_1.fq.gz	a56eb303ece13d0c42a986e9cf993dda	TAH6_2.fq.gz	e1980ea39f46cfec6dd7d9008dfc2d3e
TAH7	S12	G2	E12	fastq	TAH7_1.fq.gz	765bdd7e58d6c9d3da0ed198ec0e08cb	TAH7_2.fq.gz	b4af6413e68b224101b9eb56cdc8f932
TAH8	S13	G2	E13	fastq	TAH8_1.fq.gz	37506954e74ccdf08acb4d88434ed671	TAH8_2.fq.gz	9811ac122abaf667e3abc1fa83641590
W6306	S19	G2	E19	fastq	W6306_NDME09375_1.clean.fq.gz	5efa0858ecc5ee1efd6857aafc46c191	W6306_NDME09375_2.clean.fq.gz	781061c494e49054d4f6a1e09e26ebaf
W6308	S20	G2	E20	fastq	W6308_NDME09376_1.clean.fq.gz	ad3b1931a5fbd755a8ff39ac1ebf8ffe	W6308_NDME09376_2.clean.fq.gz	95fd2cb8ed25cf8f1deb6b51734de8c6
W6312	S21	G2	E21	fastq	W6312_NDME09377_1.clean.fq.gz	3332f63bb745d96a2f556c1bfcafc708	W6312_NDME09377_2.clean.fq.gz	66e74b7bea248f3e67d9a81a8961051c
WWYJ08	S26	G2	E26	fastq	WWYJ08_NDME09381_1.clean.fq.gz	50d11932904432a02cb38551ce94f0e7	WWYJ08_NDME09381_2.clean.fq.gz	bb0942f11c8b4dc4a493a0aefbe1dfc6
WWYJ12	S27	G2	E27	fastq	WWYJ12_NDME09382_1.clean.fq.gz	cf1da5e57c58245c361f1c424e603165	WWYJ12_NDME09382_2.clean.fq.gz	7a97240b3ab0ccd9c3804319e0820bc4
WWYJ13	S28	G2	E28	fastq	WWYJ13_NDME09383_1.clean.fq.gz	f722f27384fcb2b5793ce97c20eedfd1	WWYJ13_NDME09383_2.clean.fq.gz	c3c2c614a234bca5f86e642ab1f2cd98
