"TAD1"	"TAD2"	"TAD3"	"TAD4"	"TAD5"	"TAD6"	"TAD7"	"TAD8"	"TAD9"	"TAD10"	"TAH1"	"TAH2"	"TAH3"	"TAH4"	"TAH5"	"TAH6"	"TAH7"	"TAH8"	"TAH9"	"TAH10"	"TABS1"	"TABS2"	"TABS3"	"TABS4"	"TABS5"	"TAE0BS1"	"TAE0BS2"	"TAE0BS3"	"TAE0BS4"	"TAE0BS5"	"TAE0D1"	"TAE0D4"	"TAE0D5"	"TAE0D7"	"TAE0D9"	"TAE0H6"	"TAE0H7"	"TAE0H8"	"TAE0H9"	"TAE0H10"
"bacOTU_1"	8.03583535108959	0.000846740050804403	0.0195901823913533	0.00112739571589628	11.9222478829869	0.000816993464052288	0.0807407407407407	6.57928118393235	0.000247463499133878	0.000204457166223676	0	0	0.000196734212079481	0.000649913344887348	0	0.000208681135225376	0	0	0.000100200400801603	0.0033112582781457	0.00573065902578797	0.0095389507154213	0.00558139534883721	0.0152173913043478	0.00720164609053498	5	6	4.5	9	2.5	9167	23	17076	111	3	3	13	5	6	4
"bacOTU_8"	0.100726392251816	0.29043183742591	0.030173384372889	0.0188838782412627	0.0708237105465743	0.0449346405228758	0.111111111111111	0.0909090909090909	0.102944815639693	0.0582702923737477	0.536878216123499	0.485854858548586	0.0143615974818021	0.0160311958405546	0.0725769407441433	0.0308848080133556	0.343402225755167	0.324959481361426	0.00691382765531062	0.822295805739514	0.0162368672397326	0.0190779014308426	0.00837209302325581	0.141304347826087	0.0051440329218107	10	23	4.5	49	3	134.5	63	74	119	440	122	684	361	99	510
"bacOTU_13"	0.0668280871670702	0.366638441998307	0.0333258275163252	0.0704622322435175	0.0123171670515781	0.0616830065359477	0.448888888888889	0.572938689217759	0.0492452363276417	0.0273972602739726	0.0909090909090909	0.137761377613776	0.00629549478654338	0.0272963604852686	0.00398101362731588	0.0185726210350584	0.0508744038155803	0.0648298217179903	0.00260521042084168	0.0706401766004415	0.0315186246418338	0.0174880763116057	0.013953488372093	0.0521739130434783	0.0185185185185185	24	17	4.5	34	15	42.5	295	9	642	313	131	163	84	41	99
"bacOTU_10"	0.0513317191283293	0.408128704487722	0.0173384372888989	0.0789177001127396	0.0292532717474981	0.0420751633986928	0.539259259259259	0.244186046511628	0.0762187577332343	0.029032917603762	0.180960548885077	0.337023370233702	0.0070824316348613	0.0067157712305026	0.0137804317868627	0.0252504173622705	0.209856915739269	0.0769854132901134	0.00831663326653307	0.396247240618102	0.0926456542502388	0.19872813990461	0.0381395348837209	0.180434782608696	0.0534979423868313	107	123	24	68	21	67.5	341	40	800	306	126	484	100	203	224
"bacOTU_3"	0.0440677966101695	0.884843353090601	0.202206710200405	0.565670800450958	0.548883756735951	1.09027777777778	0.936296296296296	1.2568710359408	0.458302400395942	0.087098752811286	0.144082332761578	0.145141451414514	0.0108203816643714	0.012998266897747	0.020670647680294	0.0651085141903172	0.190779014308426	0.0567260940032415	0.0130260521042084	0.120309050772627	0.0229226361031519	0.0445151033386327	0.00186046511627907	0.134782608695652	0.0483539094650206	16	32	2	44	13.5	56.5	2410	686	1216	1826	362	479	62	186	98
"bacOTU_5"	0.0430992736077482	0.523285351397121	0.0835397433010583	0.241544532130778	0.140107775211701	0.462009803921569	0.555555555555556	0.80338266384778	0.138332096015838	0.0318953179308935	0.224699828473413	0.148831488314883	0.0963997639189455	0.158145580589255	0.00949318634206094	0.0108514190317195	0.075516693163752	0.0777957860615883	0.00961923847695391	0.0507726269315673	0.00477554918815664	0.0317965023847377	0.000930232558139535	0.0217391304347826	0.00205761316872428	10	28	1	17	1.5	31	944	153	745	788	119	214	106	155	71
"bacOTU_9"	0.0290556900726392	0.226079593564776	0.0598964197252871	0.0594701240135287	0.0215550423402617	0.0910947712418301	0.18	0.23784355179704	0.0846325167037862	0.142097730525455	0.169811320754717	0.724477244772448	0.0651190241983081	0.0888214904679376	0.0347573112846425	0.034432387312187	0.135532591414944	0.340356564019449	0.0119238476953908	0.130242825607064	0.0143266475644699	0.0858505564387917	0.00465116279069767	0.0652173913043478	0.0133744855967078	22	51	2	34	5	34	327	35	359	527	327	506	545	305	183
"bacOTU_6"	0.0280871670702179	0.0270956816257409	0.751182166178789	0.020011273957159	0.210161662817552	0.0608660130718954	0.0859259259259259	0.0348837209302326	0.0197970799307102	0.133101615211613	0.0167238421955403	0.202952029520295	0.103482195553807	0.600736568457539	0.000765579543714592	0.0563439065108514	0.0290143084260731	0.0858995137763371	0.000801603206412826	0.0916114790286976	0.0324737344794651	0.0111287758346582	0.00744186046511628	0.0195652173913043	0.0164609053497942	21	12	6	12	3.5	32	71	240	127	71	353	75	129	41	106
"bacOTU_18"	0.0276029055690073	0.111769686706181	0.0272461157396983	0.0400225479143179	0.0130869899923018	0.048202614379085	0.232592592592593	0.206131078224101	0.0230141054194506	0.0136986301369863	0.0960548885077187	0.327183271832718	0.0226244343891403	0.00324956672443674	0.00199050681365794	0.00897328881469115	0.0914149443561208	0.059967585089141	0.00180360721442886	0.120309050772627	0.0143266475644699	0.0095389507154213	0.00651162790697674	0.0217391304347826	0.00925925925925926	20	16	7.5	9	4.5	36.5	170	27	384	130	57	322	95	66	164
"bacOTU_52"	0.0232445520581114	0.0228619813717189	0.00045034902049088	0.00056369785794814	0	0.115196078431373	0.117777777777778	0	0.00321702548874041	0.00756491515027602	0.00686106346483705	0.136531365313653	0.000393468424158961	0.000433275563258232	0.000612463634971674	0	0.00556438791732909	0.0235008103727715	0.00210420841683367	0.0717439293598234	0.00286532951289398	0.00317965023847377	0.000930232558139535	0	0	0	4	0	0	0	22	6	0	140	15	0	19	38	32	63
