SampleID	Copynumber	CPng
BacDMH6301	34091.64257	9740.469306
BacDMH6302	22399.8436	6399.955314
BacDMH6303	36746.82999	10499.09428
BacDMH6304	39019.11753	11148.3193
BacDMH6305	37023.46618	10578.1332
BacDMH6306	34867.39587	9962.113106
BacDMH6307	35129.88337	10037.10953
BacDMH6308	43015.10455	12290.02987
BacDMH6309	23082.01758	6594.862166
BacDMH6310	36472.26081	10420.64594
BacDMH6311	77211.54119	22060.44034
BacDMH6312	44325.1041	12664.31546
BacDMH6313	22909.55071	6545.585917
BacDMH6314	22738.3725	6496.677856
BacDMH6315	19279.73582	5508.495949
BacWMH6301	39608.81356	11316.80387
BacWMH6302	39312.85988	11232.24568
BacWMH6303	33584.08619	9595.453196
BacWMH6304	35660.80139	10188.8004
BacWMH6305	39312.85988	11232.24568
BacWMH6306	44658.79079	12759.65451
BacWMH6307	37583.00193	10738.00055
BacWMH6308	47420.32461	13548.66417
BacWMH6309	39516.93718	11290.55348
BacWMH6310	40207.42167	11487.83476
BacWMH6311	49976.39093	14278.96884
BacWMH6312	43665.19194	12475.76913
BacWMH6313	24144.42903	6898.408295
BacWMH6314	31866.4121	9104.689172
BacWMH6315	50352.62143	14386.46327
BacDWYJ01	5806.973181	1659.135195
BacDWYJ02	53466.2406	15276.06874
BacDWYJ03	19718.44506	5633.841447
BacDWYJ04	10985.28747	3138.653563
BacDWYJ05	7780.015093	2222.861455
BacDWYJ06	12110.30179	3460.086227
BacDWYJ07	3460.086227	988.5960648
BacDWYJ08	38727.57001	11065.02
BacDWYJ09	22066.35472	6304.672778
BacDWYJ10	39608.81356	11316.80387
BacDWYJ11	19571.11052	5591.745863
BacDWYJ12	20016.44998	5718.985708
BacDWYJ13	22738.3725	6496.677856
BacDWYJ14	29561	8446
BacDWYJ15	22399.8436	6399.955314
BacWWYJ01	38150.99394	10900.28398
BacWWYJ02	53466.2406	15276.06874
BacWWYJ03	49976.39093	14278.96884
BacWWYJ04	55927.167	15979.19057
BacWWYJ05	39906.99523	11401.99864
BacWWYJ06	50352.62143	14386.46327
BacWWYJ07	42058.07554	12016.59301
BacWWYJ08	46714.3308	13346.95166
BacWWYJ09	46714.3308	13346.95166
BacWWYJ10	37583.00193	10738.00055
BacWWYJ11	41743.82118	11926.80605
BacWWYJ12	41431.9149	11837.68997
BacWWYJ13	35660.80139	10188.8004
BacWWYJ14	79562.97298	22732.27799
BacWWYJ15	72171.78771	20620.51078
Bac2DWYJ01	48326.38456	13807.53845
Bac2DWYJ02	38231.24491	10923.21283
Bac2DWYJ03	35447.91874	10127.97678
Bac2DWYJ04	38813.60481	11089.60138
Bac2DWYJ05	34133.1911	9752.340313
Bac2DWYJ06	36260.9394	10360.2684
Bac2DWYJ07	35180.98313	10051.70947
Bac2DWYJ08	37657.62274	10759.32078
Bac2DWYJ09	56639.89928	16182.82837
Bac2DWYJ10	39404.83555	11258.52444
Bac2DWYJ11	46887.08423	13396.30978
Bac2DWYJ12	50952.28845	14557.7967
Bac2DWYJ13	48326.38456	13807.53845
Bac2DWYJ14	37092.60721	10597.88777
Bac2DWYJ15	34133.1911	9752.340313
Bac2WWYJ01	37943.34985	10840.9571
Bac2WWYJ02	50952.28845	14557.7967
Bac2WWYJ03	53316.33813	15233.23947
Bac2WWYJ04	29123.17536	8320.907245
Bac2WWYJ05	52120.91173	14891.68907
Bac2WWYJ06	50568.59934	14448.17124
Bac2WWYJ07	34653.12713	9900.893467
Bac2WWYJ08	48693.06087	13912.3031
Bac2WWYJ09	68421.36259	19548.96074
Bac2WWYJ10	49434.78106	14124.22316
Bac2WWYJ11	62017.70783	17719.34509
Bac2WWYJ12	37092.60721	10597.88777
Bac2WWYJ13	36536.06918	10438.87691
Bac2WWYJ14	34916.05764	9976.016468
Bac2WWYJ15	54539.1824	15582.62354
Bac2DMH6301	27414.26246	7832.646418
Bac2DMH6302	25418.43852	7262.411005
Bac2DMH6303	28686.2108	8196.060229
Bac2DMH6304	34133.1911	9752.340313
Bac2DMH6305	37943.34985	10840.9571
Bac2DMH6306	35987.88145	10282.25184
Bac2DMH6307	30017.17413	8576.335467
Bac2DMH6308	24475.69421	6993.055487
Bac2DMH6309	8821.878827	2520.536808
Bac2DMH6310	13268.76982	3791.077092
Bac2DMH6311	37092.60721	10597.88777
Bac2DMH6312	35716.87972	10204.82278
Bac2WMH6301	61087.19321	17453.48378
Bac2WMH6302	52914.84688	15118.52768
Bac2WMH6303	49434.78106	14124.22316
Bac2WMH6304	51728.42247	14779.54928
Bac2WMH6305	50952.28845	14557.7967
Bac2WMH6306	52914.84688	15118.52768
Bac2WMH6307	29344.14737	8384.042106
Bac2WMH6308	40005.07225	11430.02064
Bac2WMH6309	39703.81963	11343.94847
Bac2WMH6310	50187.79955	14339.3713
Bac2WMH6311	41233.11436	11780.88982
Bac2WMH6312	32867.22538	9390.635823
