#OTU ID	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_119	232	1043	888	91	120	0	6	0	0	4	0	0	20	70	4	183	1399	1065	89	127	0	2	6	15	7	31	0	10	0	0	27	36	28	0	0	0	0	9	0	0
OTU_64	1531	809	527	542	890	16	5	31	9	10	5	7	10	42	12	1549	1066	645	575	602	7	33	5	9	19	1458	6	289	30	3	1181	155	57	0	1	0	7	206	40	0
OTU_21	3028	89	13	3	3	0	2	2154	0	2	1	5	3859	4103	5834	3024	172	8	1	0	6	0	5	3581	7764	17	0	85	3	9	5	1	10	2	9	55	0	72	1	0
OTU_34	2393	572	4250	1442	3052	5	17	12	2	11	9	0	7	12	13	2294	889	4815	1459	2119	11	14	6	10	22	32	52	151	7	0	34	39	29	8	8	5	94	96	7	0
OTU_27	4548	3001	1801	1615	3056	11	19	64	32	44	29	11	55	160	23	4505	3954	1989	1476	2324	38	87	41	89	48	638	34	131	48	23	443	156	75	3	12	15	12	97	42	11
OTU_118	7769	2	9	2	6	0	0	0	0	0	0	0	0	0	5	7518	2	0	0	0	0	0	0	0	10	0	0	2841	2	0	0	29	690	0	0	0	0	2470	0	0
OTU_52	1766	562	701	1980	3102	8	0	12	34	12	15	41	1	8	13	1789	791	873	2048	2579	0	37	28	8	21	349	211	34	2	7	307	13	55	37	11	26	408	36	6	7
OTU_10	444	267	701	324	390	249	14	130	197	755	42	83	91	38	479	356	355	700	317	423	54	1110	36	80	612	387	32	22810	246	141	339	101	57	18	89	94	25	23482	348	97
OTU_31	4713	1036	6310	1003	1478	4	7	6	39	105	1	0	6	20	22	4440	1391	6703	974	1132	19	187	10	10	12	21	45	21	1	0	31	44	31	0	0	0	64	16	1	0
OTU_32	2001	418	460	575	215	76	689	408	404	810	1111	1524	213	377	1502	1886	532	531	536	128	1517	1225	1074	206	1972	1071	268	15	775	42	962	167	313	96	83	28	458	10	897	26
OTU_225	321	98	113	36	72	0	8	3	2	4	16	0	0	26	33	290	162	124	38	68	0	8	3	1	30	6	0	0	0	0	1	0	0	0	0	3	0	0	1	0
OTU_153	525	158	326	161	438	2	12	0	0	1	0	2	4	3	2	395	199	375	177	408	21	3	0	6	3	84	0	1	3	0	73	6	3	0	0	0	0	4	3	0
OTU_41	1452	1009	2652	1289	1323	52	17	10	38	41	38	1	104	21	327	1341	1490	2809	1400	1097	39	47	63	95	485	281	436	63	225	229	209	23	86	19	7	217	685	37	225	205
OTU_50	1708	1152	1713	2442	860	5	4	12	9	36	27	0	7	13	42	1572	1644	1946	2549	707	8	83	43	11	53	64	52	14	4	12	57	52	11	0	11	8	57	8	10	12
OTU_73	3678	720	226	75	449	2	0	1	1	3	0	2	0	0	11	3273	964	277	56	375	0	4	0	0	8	12	20	3	15	0	12	15	6	0	3	0	18	6	10	2
OTU_91	1030	147	467	793	646	1	0	15	1	32	3	1	5	41	347	812	158	525	863	608	1	58	3	4	449	33	3	163	1	1	19	16	52	0	0	0	0	102	2	0
OTU_217	89	52	205	210	253	0	2	0	0	0	0	0	2	0	0	74	65	258	205	223	0	0	0	0	0	5	0	0	10	0	1	0	3	0	0	1	0	0	17	0
OTU_115	993	103	163	661	322	46	4	7	82	23	6	11	14	56	53	965	194	168	624	238	6	48	1	12	81	24	72	9	1	29	15	16	6	64	56	73	96	25	4	13
OTU_135	302	119	655	306	677	0	0	2	26	5	0	0	71	18	7	265	174	811	277	536	0	8	1	84	4	4	0	10	7	0	4	7	1	0	0	0	0	5	5	0
OTU_366	66	32	38	12	37	4	0	18	11	4	4	6	3	0	0	87	37	102	11	41	0	5	4	2	1	0	6	3	0	4	2	2	2	0	0	3	4	9	1	0
OTU_35	1380	277	171	204	695	143	3484	346	169	260	203	82	357	537	350	1558	340	241	243	542	6986	394	252	312	491	723	25	622	75	16	572	733	156	3	38	7	44	586	85	7
OTU_354	7904	1739	381	420	403	185	0	42	131	7	49	20	12	21	167	7521	2433	434	449	278	0	13	36	25	273	4	0	12	0	0	6	52	54	0	2	1	0	8	1	0
OTU_210	366	12	122	160	204	5	0	2	2	1	5	8	0	2	0	338	11	107	158	181	0	9	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	8	0	0
OTU_30	501	56	91	392	619	61	217	26	453	122	114	120	392	2022	208	539	65	85	364	512	332	147	108	346	278	8999	2	1845	1	0	7853	1497	316	0	0	3	7	1416	4	21
OTU_63	1655	820	413	1031	340	264	114	50	53	47	42	14	29	69	481	1595	1106	483	975	268	162	70	39	27	673	441	505	60	99	141	366	40	27	4	34	78	711	70	111	126
OTU_145	645	436	469	1504	651	597	80	1770	142	293	27	286	1043	179	333	632	575	511	1530	426	168	554	23	1009	444	94	4	133	56	6	56	169	115	331	15	24	16	116	70	3
OTU_427	43	62	33	15	0	0	0	0	10	0	0	0	0	1	0	63	73	58	21	1	0	0	0	0	0	5	0	0	0	7	10	0	0	0	2	0	0	0	1	21
OTU_36	153	93	207	242	144	23	2	36	26	80	11	2	48	339	21	140	159	264	256	104	0	118	29	61	40	186	1682	4	6281	706	169	51	983	25	56	934	1984	1	6580	344
OTU_94	2372	469	1389	618	1201	0	0	7	1	14	0	34	7	12	11	2087	573	1626	623	900	2	17	0	13	26	31	14	6	9	0	58	21	23	0	0	0	28	11	14	4
OTU_214	56	47	124	182	401	0	0	6	0	1	11	0	0	0	0	58	81	108	160	366	0	5	31	0	3	1	0	0	1	0	0	9	0	2	0	0	0	0	0	0
OTU_898	13	3	48	3	4	0	0	0	0	0	0	0	0	2	0	10	0	36	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_149	1277	39	156	26	164	0	0	0	0	0	0	0	0	0	0	1424	47	141	25	152	0	0	0	0	0	3	0	1	0	0	1	2	0	0	0	0	0	0	0	0
OTU_162	231	74	554	117	135	4	0	3	7	10	9	0	0	1	2	250	123	698	132	145	0	18	14	0	3	8	68	2	22	3	10	3	12	5	0	2	33	6	19	0
OTU_54	802	1045	1155	1525	1783	234	0	1	3	4	598	1	8	24	3	850	1444	1413	1380	1391	3	3	557	14	3	169	100	12	11	55	131	90	13	7	5	670	135	4	3	65
OTU_280	135	15	18	67	75	4	0	4	0	0	0	0	6	143	23	135	32	20	76	62	0	0	0	6	46	0	0	0	38	0	0	2	2	1	0	0	0	0	40	1
OTU_207	810	26	41	88	96	0	0	1	0	0	0	0	0	0	0	835	62	38	84	125	0	0	0	0	0	4	2	0	34	2	1	11	19	0	0	0	3	0	35	0
OTU_14	124	220	301	201	387	2139	94	64	2894	1337	19	607	628	889	480	128	263	293	192	277	98	2282	41	649	745	745	423	342	1762	3895	644	287	572	2330	834	8245	682	266	2160	2694
OTU_187	210	118	177	172	195	3	24	3	11	20	14	0	10	76	1	281	151	174	168	145	32	28	14	10	6	90	4	30	6	5	112	81	28	0	0	1	21	18	5	5
OTU_420	78	16	0	95	0	81	0	0	0	0	6	0	0	6	0	73	27	11	83	0	0	0	0	0	7	3	20	0	0	7	7	6	0	0	0	2	21	0	0	11
