OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_8	Fungi	Ascomycota	Leotiomycetes	Leotiomycetes_ord_Incertae_sedis	Leotiomycetes_fam_Incertae_sedis	Scytalidium	Scytalidium_circinatum_SH218618.07FU
OTU_27	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Unassigned	Unassigned	Unassigned
OTU_25	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unassigned	Unassigned
OTU_14	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_33	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_19	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_dichromosporum_SH217330.07FU
OTU_34	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium_erectum_SH195308.07FU
OTU_26	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unassigned
OTU_5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Unassigned	Unassigned
OTU_23	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Myrothecium	Myrothecium_verrucaria_SH175286.07FU
OTU_35	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Unassigned	Unassigned
OTU_32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unassigned
OTU_24	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unassigned	Unassigned
OTU_1	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_63	Fungi	Ascomycota	Dothideomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_65	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Unassigned	Unassigned
OTU_64	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Unassigned
OTU_21	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Unassigned	Unassigned
OTU_10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_fujikuroi_SH631251.07FU
OTU_30	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Unassigned	Unassigned
OTU_58	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina_SH183636.07FU
OTU_71	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Unassigned	Unassigned
