Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Rhizobium	Bacteria_Flavobacterium	Bacteria_Variovorax	Bacteria_Lentzea	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Actinoplanes	Bacteria_Pseudoxanthomonas	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Lysobacter	Bacteria_Microbacterium	Bacteria_Massilia	Bacteria_Herbaspirillum	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Aeromicrobium	Bacteria_Sphingopyxis	Bacteria_Steroidobacter	Bacteria_Caulobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Agromyces	Bacteria_Shinella	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Pantoea	Bacteria_Solirubrobacter	Bacteria_Bradyrhizobium	Bacteria_Bosea	Bacteria_Couchioplanes	Bacteria_Cellulomonas	Bacteria_Polaromonas	Bacteria_Galbitalea	Bacteria_Burkholderia	Bacteria_Rhodanobacter	Bacteria_Glycomyces	Bacteria_Xanthomonas	Bacteria_Bacillus	Bacteria_Rudaibacter	Bacteria_Rhodopseudomonas	Bacteria_Altererythrobacter	Bacteria_Pseudonocardia	Bacteria_Phycicoccus	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Podospora	Fungi_Myrmecridium	Fungi_Fusarium	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	0.453856544947274	0.00116695471551537	2.99946832895418e-05	0.00116695471551537	0.0344249921162976	0.00631369740536495	8.08172727644765e-05	0.058276441575327	0.0357449814012973	0.000399973342383629	0.195487007305326	0.00412803138663298	0.00758197179997397	0.0106577763710336	0.00758197179997397	0.00908896759447401	0.00162194927724273	0.00385002302238018	0.0428580288909222	0.0399746091246348	0.0330629382394652	0.0305939635138209	0.0126681762243524	0.0357449814012973	0.00513883694038547	0.259497548644869	0.126282633857247	0.0282833029195411	0.0305939635138209	0.241589983843959	0.138214851769312	0.822031897525047	0.00963397506216687	0.0146475892675636	0.0247541448966621	0.308269401746877	0.0459634037651485	0.207764819363844	0.712298011557011	0.00330196761910656	0.224189923317809	0.00131183788859551	0.00330196761910656	0.000937257435047657	0.927269865396868	0.00280048086186007	0.0317847634754003	0.00631369740536495	0.065908268215498	0.00412803138663298	0.0247541448966621	0.00412803138663298	0.394594301889694	0.00103249371774266	0.0019872403852798
Bacteria_Pseudomonas	0.283355428434263	3.508982358555e-101	0.361162146616134	0.220260392825295	0.52365153976619	0.058276441575327	0.383446203830082	0.259497548644869	0.963931489154084	0.855492940440031	0.318412042778543	0.92083369692718	0.072129867846492	0.517125402084055	0.794585443192353	0.389147199337771	0.095407746876248	0.278582702442145	0.835705747958741	0.100430212362756	0.855492940440031	0.065908268215498	0.939546264490379	0.0620410584532351	0.228425160585356	0.589405501873011	0.822031897525047	0.835705747958741	0.957912721056644	0.394594301889694	0.705515032040078	0.671508735782248	0.12030588861966	0.895875812063762	0.781461312800135	0.151711402910266	0.671508735782248	0.945639438794878	0.441819168287337	0.914743780178417	0.183846063623157	0.344748848437463	0.25070199296017	0.158425784563721	0.630083997211007	0.895875812063762	0.273569730628099	0.334547745338782	0.643463814114615	0.754218856735982	0.211862533786117	0.650318011929648	0.176632500969325	0.21587132772943	0.685140094664207	0.255004170029803
Bacteria_Phyllobacterium	6.06614302172997e-06	0.196071678434199	3.508982358555e-101	0.00162194927724273	0.0113136970088906	0.0197824859016054	0.027072295925529	0.00330196761910656	0.241589983843959	0.0620410584532351	0.0119996787942587	0.453856544947274	0.00713963080503904	0.00963397506216687	0.0385142851633808	0.0207217942631492	0.00672940207487112	0.0047872006298888	0.0140161331226558	0.00805694596926388	0.0428580288909222	0.0217293445200941	0.0640050629588777	0.0101280410302823	0.0832052775049991	0.0226821382088352	0.517125402084055	0.339594199033826	0.0510782406516088	0.0428580288909222	0.459979086491597	0.180273589547256	0.970058966627725	0.0678484389135958	0.0330629382394652	0.00592361273946982	0.435627157808238	0.183846063623157	0.25070199296017	0.808739748365497	0.00672940207487112	0.193486793623714	0.00672940207487112	0.0317847634754003	0.0085615581857515	0.98163019670469	0.00555849358066217	0.0878300912300506	0.0546291132167656	0.148371778684158	0.0476855216963244	0.0929684918647176	0.00713963080503904	0.459979086491597	0.0154082946088041	0.0237066688266838
Bacteria_Rhizobium	3.59653554093167e-09	0.0866781266241698	1.11998218512084e-05	3.508982358555e-101	0.00145953143937194	0.0140161331226558	0.0106577763710336	7.72383232182865e-06	0.095407746876248	0.0370477507453265	4.55771352744981e-05	0.187722191358455	0.000449383493481333	0.00330196761910656	0.027072295925529	0.00412803138663298	0.0035329380953804	0.00162194927724273	0.00555849358066217	0.0259358359627118	0.0370477507453265	0.027072295925529	0.0428580288909222	0.00330196761910656	0.0188203546279111	0.00256001054555796	0.268691033191681	0.126282633857247	0.0494512878715875	0.0119996787942587	0.329234798540946	0.199509002699696	0.623357776633117	0.0188203546279111	0.0154082946088041	0.0146475892675636	0.264016777608974	0.0743217440209539	0.12030588861966	0.671508735782248	0.0019872403852798	0.111240583161946	0.00214397919565956	0.00116695471551537	0.00330196761910656	0.882171842370307	0.0047872006298888	0.0197824859016054	0.0207217942631492	0.108531953784885	0.00448243257357472	0.0330629382394652	0.00235652457267198	0.339594199033826	0.00412803138663298	0.000243414254670445
Bacteria_Flavobacterium	6.06614302172997e-06	0.354860363650609	0.000467326756178175	9.19297475884227e-06	3.508982358555e-101	0.0226821382088352	0.0019872403852798	0.00513883694038547	0.0459634037651485	0.0428580288909222	0.0019872403852798	0.176632500969325	0.00805694596926388	0.0113136970088906	0.0133630478752203	0.027072295925529	0.0119996787942587	0.0428580288909222	0.000591171247682521	0.0640050629588777	0.0226821382088352	0.103121197648391	0.0370477507453265	0.0546291132167656	0.0101280410302823	0.00103249371774266	0.0678484389135958	0.0443259830899436	0.0459634037651485	0.00672940207487112	0.0810084446035705	0.108531953784885	0.609825207352829	0.0197824859016054	0.0197824859016054	0.00805694596926388	0.078866334028897	0.0620410584532351	0.0546291132167656	0.303280510974401	0.0293819715029027	0.26640500230463	0.0259358359627118	0.00330196761910656	0.0237066688266838	0.484719119789193	0.0113136970088906	0.00555849358066217	0.072129867846492	0.0510782406516088	0.0563712852836622	0.111240583161946	0.00672940207487112	0.278582702442145	0.0188203546279111	0.0085615581857515
Bacteria_Variovorax	0.00342433708908396	0.00871158362191229	0.00128089845093553	0.000689645393951437	0.00163551114354076	3.508982358555e-101	0.0113136970088906	0.0282833029195411	0.623357776633117	0.278582702442145	0.0385142851633808	0.478344221118273	0.000680649045838597	0.114425789128263	0.389147199337771	0.161834661980724	8.08172727644765e-05	0.0385142851633808	0.0979764994840049	0.0197824859016054	0.220260392825295	0.00235652457267198	0.459979086491597	0.0146475892675636	0.0854659928895548	0.0979764994840049	0.589405501873011	0.293207677809243	0.32372461153431	0.0699101068204694	0.596451025814887	0.308269401746877	0.56291521423497	0.339594199033826	0.211862533786117	0.00214397919565956	0.394594301889694	0.550103184418072	0.0832052775049991	0.530240258484342	0.0317847634754003	0.377761009354943	0.0620410584532351	0.0085615581857515	0.183846063623157	0.719589709153293	0.0217293445200941	0.0140161331226558	0.350150337699789	0.52365153976619	0.135144263481115	0.400413202530427	0.0197824859016054	0.283608986353003	0.100430212362756	0.0563712852836622
Bacteria_Lentzea	0.000153235570905647	0.216028925341955	0.00222703231375422	0.000422077185192351	1.63152802865443e-05	0.000467326756178175	3.508982358555e-101	0.0207217942631492	0.141522111175485	0.245975513041785	0.0179125111084819	0.371989728662226	0.0133630478752203	0.135144263481115	0.138214851769312	0.135144263481115	0.0154082946088041	0.0443259830899436	0.0133630478752203	0.105841047967053	0.23715494486504	0.0207217942631492	0.245975513041785	0.0743217440209539	0.0640050629588777	0.0640050629588777	0.207764819363844	0.12030588861966	0.195487007305326	0.0510782406516088	0.232706623970524	0.138214851769312	0.596451025814887	0.148371778684158	0.211862533786117	0.00631369740536495	0.108531953784885	0.220260392825295	0.241589983843959	0.550103184418072	0.117415701939009	0.623357776633117	0.0259358359627118	0.00214397919565956	0.0903935977441377	0.808739748365497	0.000937257435047657	0.0247541448966621	0.105841047967053	0.259497548644869	0.0640050629588777	0.329234798540946	0.0476855216963244	0.268691033191681	0.0146475892675636	0.0620410584532351
Bacteria_Sphingomonas	2.27367515562602e-08	0.114295475480522	4.44600444700478e-05	7.14370596522928e-10	0.000104446873277133	0.00239886807267334	0.00139141108906305	3.508982358555e-101	0.0546291132167656	0.0207217942631492	0.000161386726038644	0.135144263481115	0.00116695471551537	0.00303282589467881	0.0217293445200941	0.00385002302238018	0.0101280410302823	0.000822556896025103	0.00758197179997397	0.0217293445200941	0.0293819715029027	0.0282833029195411	0.0217293445200941	0.00448243257357472	0.0146475892675636	0.00513883694038547	0.21587132772943	0.0832052775049991	0.017041017747955	0.0154082946088041	0.25070199296017	0.165380435246497	0.671508735782248	0.00963397506216687	0.00672940207487112	0.0282833029195411	0.334547745338782	0.0293819715029027	0.165380435246497	0.550103184418072	0.00162194927724273	0.141459638507674	0.00131183788859551	0.00448243257357472	0.000680649045838597	0.787973492049927	0.0085615581857515	0.0317847634754003	0.0101280410302823	0.0640050629588777	0.00145953143937194	0.0259358359627118	0.00412803138663298	0.29814901414632	0.00513883694038547	0.000449383493481333
Bacteria_Nocardioides	0.00871158362191229	0.939577904012878	0.101360571193473	0.0207943584831617	0.00576349921805083	0.466795072489112	0.0411585803869344	0.00777025135866845	3.508982358555e-101	0.0317847634754003	0.058276441575327	0.148371778684158	0.32372461153431	0.0678484389135958	0.0101280410302823	0.0217293445200941	0.491331639598242	0.187722191358455	0.0357449814012973	0.288459688420432	0.0443259830899436	0.575989772788497	0.00592361273946982	0.429696701094531	0.027072295925529	0.0357449814012973	0.0146475892675636	0.0133630478752203	0.0113136970088906	0.0979764994840049	0.0179125111084819	0.0527597101113846	0.58245259437112	0.00280048086186007	0.0217293445200941	0.273569730628099	0.0678484389135958	0.000243414254670445	0.371989728662226	0.141522111175485	0.158425784563721	0.363723102924418	0.0929684918647176	0.207764819363844	0.0197824859016054	0.371989728662226	0.13218602466506	0.169039313911496	0.0317847634754003	0.00631369740536495	0.0765288583850124	0.0640050629588777	0.100430212362756	0.259497548644869	0.103121197648391	0.0832052775049991
Bacteria_Streptomyces	0.0036660678988014	0.771028565288177	0.00973994469559527	0.00392119050687955	0.00508632646897725	0.128328646015749	0.104493357044066	0.00139141108906305	0.00297899488680274	3.508982358555e-101	0.0399746091246348	0.0179125111084819	0.108531953784885	0.00179650092145916	0.000822556896025103	0.0188203546279111	0.138214851769312	0.183846063623157	0.0226821382088352	0.058276441575327	6.59646945534028e-05	0.411703308218543	0.000101140504042924	0.264016777608974	0.0197824859016054	0.00758197179997397	0.13218602466506	0.0085615581857515	0.00179650092145916	0.0305939635138209	0.0162445601856356	0.0459634037651485	0.927269865396868	0.000937257435047657	0.000399973342383629	0.211862533786117	0.183846063623157	0.00412803138663298	0.0494512878715875	0.0640050629588777	0.0259358359627118	0.0433135122637346	0.0527597101113846	0.203500093849995	0.00555849358066217	0.126282633857247	0.241589983843959	0.0743217440209539	0.0330629382394652	0.000449383493481333	0.0832052775049991	0.105841047967053	0.0443259830899436	0.698678577845976	0.183846063623157	0.0601941660297271
Bacteria_Chryseobacterium	5.86793827080329e-07	0.159823629986967	0.000516454747570588	7.07230300920423e-09	1.63152802865443e-05	0.00419023296029814	0.00108110819418584	9.4479385103524e-08	0.00871158362191229	0.00447373445090621	3.508982358555e-101	0.12030588861966	0.00116695471551537	0.00280048086186007	0.0247541448966621	0.0047872006298888	0.0188203546279111	0.0035329380953804	0.00330196761910656	0.0878300912300506	0.0399746091246348	0.0979764994840049	0.0385142851633808	0.0154082946088041	0.0282833029195411	0.00162194927724273	0.207764819363844	0.0832052775049991	0.0494512878715875	0.00513883694038547	0.220260392825295	0.318412042778543	0.484719119789193	0.0217293445200941	0.0106577763710336	0.0385142851633808	0.187722191358455	0.0510782406516088	0.12030588861966	0.56291521423497	0.0085615581857515	0.115523313156544	0.0146475892675636	0.00131183788859551	0.00592361273946982	0.815085684006221	0.0179125111084819	0.0357449814012973	0.0357449814012973	0.100430212362756	0.00758197179997397	0.0207217942631492	0.0101280410302823	0.334547745338782	0.0085615581857515	7.72383232182865e-06
Bacteria_Actinoplanes	0.0711308082556333	0.869491525545095	0.283355428434263	0.0664263123251896	0.059797413749924	0.308284456820055	0.205895992093551	0.0380216562635579	0.0444839058001064	0.00108110819418584	0.0309610867558121	3.508982358555e-101	0.203500093849995	0.0414252974458287	0.0399746091246348	0.183846063623157	0.371989728662226	0.411703308218543	0.0810084446035705	0.616590881508805	0.0563712852836622	0.781461312800135	0.0399746091246348	0.465909878100728	0.220260392825295	0.0428580288909222	0.172885565809976	0.0385142851633808	0.135144263481115	0.0546291132167656	0.0399746091246348	0.471728343832947	0.350150337699789	0.0620410584532351	0.0510782406516088	0.630083997211007	0.176632500969325	0.0878300912300506	0.0179125111084819	0.0428580288909222	0.220260392825295	0.111240583161946	0.350150337699789	0.195487007305326	0.165380435246497	0.0443259830899436	0.636815717711324	0.072129867846492	0.203500093849995	0.0414252974458287	0.0687495377206437	0.550103184418072	0.417646135707822	0.726770889723576	0.339594199033826	0.176632500969325
