TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10	TABS1	TABS2	TABS3	TABS4	TABS5	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAE0H10
bacOTU_1	8739.52434881087	1.08365843086259	59.8179453836151	2.46578720256442	7870.42069790195	1.15553501271089	49.1373662371697	3141.70126690088	0	0	0	1.06428267347808	0	1.31492439184747	0	0	0	0	0	0	3.23729362253156	3.16823318196219	3.23834196891192	4.1823504809703	4.29968827260024	2.04123290467442	3.06184935701163	4.08246580934885	5.10308226168606	2.04144125752781	8688.50785874668	11.2267809757093	8106.75648091447	56.1339048785466	1.02061645233721	3.06184935701163	5.10308226168606	3.06184935701163	3.06184935701163	3.06184935701163
bacOTU_8	121.177802944507	278.500216731686	120.936280884265	62.8775736653927	55.4408087835634	93.5983360295817	185.630050229308	80.9113169381454	305.60486938879	241.513484502885	800.873262093531	320.349084716901	95.519978474371	164.365548980934	560.203167015237	294.781569512681	545.390980072253	352.609308885755	293.237582286056	734.980826587133	32.3729362253156	33.7944872742634	33.4628670120898	69.00878293601	76.3194668386542	43.8865074505001	38.783425188814	29.5978771177791	62.2576035925699	79.6162090435848	137.783221065524	47.968973259849	43.8865074505001	154.113084302919	238.824249846908	190.855276587059	375.586854460094	303.123086344152	210.246989181466	470.504184527455
bacOTU_5	110.985277463194	542.912873862159	309.492847854356	659.598076685982	114.142841613219	718.742777906171	686.831185848439	673.906100287448	471.722039056556	183.818596538307	413.650465356774	116.00681140911	329.611193327055	562.787639710717	65.7305049297879	90.293453724605	164.316513226897	103.070413366605	109.714741671654	64.9765658287175	21.5819574835438	16.8972436371317	8.63557858376511	17.7749895441238	8.59937654520047	22.4535619514187	24.4947948560931	6.12369871402327	24.4947948560931	17.3522506889864	80.6286997346397	605.225556235967	86.752398448663	714.431516636048	516.431924882629	124.51520718514	189.834660134721	95.9379465196979	98.9997958767095	86.752398448663
bacOTU_3	80.4077010192526	2116.38491547464	1085.82574772432	1938.10874121563	407.653005761496	1522.99514675295	1125.79165756715	833.599488981156	1718.23484656353	618.542868643499	309.088819947145	213.920817369093	259.652899233149	231.426692965155	917.239318792949	597.530208471651	476.634424892204	324.400564174894	408.936764412527	214.103110353643	20.5028596093666	28.5140986376597	2.15889464594128	72.1455457967378	30.0978179082017	14.288630332721	23.4741784037559	5.10308226168606	56.1339048785466	19.3936919465142	90.8348642580118	1880.99612165748	389.875484792815	976.729944886712	1392.12084098796	441.926923862013	380.68993672178	284.751990202082	335.782812818943	153.092467850582
bacOTU_10	56.6251415628539	247.074122236671	52.0156046814044	161.509061767969	18.4802695945211	62.3988906863878	384.363398121861	124.560843181092	174.993659650013	93.9219106400107	222.911639664484	159.642401021711	22.8709807614691	22.353714661407	70.2121302659098	77.0150046474572	292.506700850717	59.6723445806662	91.7614203072013	181.082232637409	56.1130894572138	69.7011300031682	22.6683937823834	41.8235048097031	29.0228958400516	61.2369871402327	62.2576035925699	27.5566442131047	34.7009593794652	22.455853832806	69.4019187589304	170.442947540314	16.3298632373954	383.751786078792	153.092467850582	67.360685854256	241.886099203919	53.072055521535	101.041028781384	113.28842620943
bacOTU_28	48.6976217440544	124.620719549198	74.1222366710013	154.111700160276	11.9578215023372	26.5773052923504	214.020528499672	195.890556797615	96.3733198072534	72.4540453508654	275.766976904516	161.770966368668	52.4687205704292	78.8954635108481	83.6570062742755	90.293453724605	208.600396224216	187.696647499186	83.7821663674446	137.409458883681	22.6610553577209	13.7290104551695	32.3834196891192	35.5499790882476	21.4984413630012	28.5772606654419	11.2267809757093	33.680342927128	37.7628087364768	20.4144125752781	54.0926719738722	223.515003061849	16.3298632373954	310.267401510512	156.154317207593	150.03061849357	330.679730557257	253.112880179629	120.432741375791	244.947948560931
bacOTU_9	48.6976217440544	230.819245773732	248.374512353706	219.455061028233	26.0897923687357	571.989831291888	173.618694038	143.724049824337	297.996449404007	550.114048034349	259.680569918419	449.127288207748	926.947396744249	316.89677843524	256.946519270989	171.291993095206	243.561356485258	400.347184550288	193.496908039098	120.36642522369	28.0565447286069	64.4207413665646	16.1917098445596	32.4132162275199	21.4984413630012	42.8658909981629	62.2576035925699	17.3504796897326	37.7628087364768	23.4765744615699	52.0514390691978	251.071647274954	23.4741784037559	225.556235966524	380.68993672178	234.741784037559	315.370483772198	447.030006123699	227.597468871198	170.442947540314
bacOTU_4	45.3001132502831	219.982661465106	344.603381014304	361.237825175687	94.575497336667	385.948694245436	214.020528499672	180.985840519536	399.442049201116	637.327250771501	382.626680455016	664.112388250319	2640.92560204493	562.787639710717	210.636390797729	379.763643606427	400.885677659946	619.50743191928	273.289447436665	254.580315296123	55.0339915830366	57.0281972753195	38.860103626943	47.0514429109159	41.9219606578523	67.360685854256	70.4225352112676	39.8040416411513	67.360685854256	47.9738695519036	42.8658909981629	375.586854460094	89.8142478056746	250.051030822617	467.442335170443	474.586650336803	526.638089406001	705.245968565013	291.896305368443	399.06103286385
bacOTU_13	36.2400906002265	92.1109666233203	83.2249674902471	94.9328072987301	10.8707468203066	161.774901779524	284.996724175584	97.9452783988076	68.4757798630484	55.0114048034349	135.585430311387	147.935291613453	84.7571639983856	18.4089414858646	59.7550044816253	45.1467268623025	151.497494464515	52.0776825431268	49.870337123479	70.3025138474649	19.4237617351894	13.7290104551695	10.7944732297064	16.7294019238812	10.7492206815006	21.4329454990814	18.3710961420698	16.3298632373954	15.3092467850582	6.12432377258344	33.680342927128	96.9585629720351	12.2473974280465	335.782812818943	73.4843845682792	67.360685854256	174.525413349663	53.072055521535	68.3813023065932	95.9379465196979
bacOTU_27	36.2400906002265	50.9319462505418	50.7152145643693	626.309949451362	8.69659745624524	197.596487173561	299.191963310767	36.1971681039072	39.3101699213797	351.536294109754	209.123290819258	375.691783737761	269.070361899637	105.193951347798	46.3101284732596	30.5404328774399	236.56916443305	137.788868395356	111.709555156593	266.297400937367	33.4520340994928	146.794804097582	25.9067357512953	23.0029276453367	29.0228958400516	22.4535619514187	118.391508471117	22.4535619514187	22.4535619514187	20.4144125752781	36.7421922841396	563.380281690141	12.2473974280465	259.236578893652	35.7215758318024	26.5360277607675	235.762400489896	157.174933659931	128.597672994489	262.298428250663
