Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Variovorax	Bacteria_Flavobacterium	Bacteria_Rhizobium	Bacteria_Lentzea	Bacteria_Pseudoxanthomonas	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Actinoplanes	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Herbaspirillum	Bacteria_Massilia	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Microbacterium	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Sphingopyxis	Bacteria_Aeromicrobium	Bacteria_Caulobacter	Bacteria_Steroidobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Agromyces	Bacteria_Rhodanobacter	Bacteria_Galbitalea	Bacteria_Pantoea	Bacteria_Shinella	Bacteria_Bosea	Bacteria_Solirubrobacter	Bacteria_Cellulomonas	Bacteria_Lysobacter	Bacteria_Bradyrhizobium	Bacteria_Rudaibacter	Bacteria_Glycomyces	Bacteria_Burkholderia	Bacteria_Altererythrobacter	Bacteria_Bacillus	Bacteria_Amycolatopsis	Bacteria_Rhodopseudomonas	Bacteria_Phycicoccus	Bacteria_Sphingobium	Bacteria_Gaiella	Bacteria_Blastococcus	Bacteria_Ideonella	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Gibberella	Fungi_Holtermanniella	Fungi_Bipolaris
Bacteria_Promicromonospora	3.508982358555e-101	0.448290229110142	0.000475444006359107	0.0121063995358645	0.000715988572261755	2.12446522353806e-05	0.00348267517648162	0.00376055140151786	2.12446522353806e-05	0.0262062866611314	0.110151052997715	0.0203342994386894	0.000475444006359107	0.00348267517648162	0.00109702326907319	0.00740528982679071	0.00280400463285119	0.00323185898662647	0.000321108136857325	0.0212141609449394	0.0168972181180202	0.00660174878160348	0.0251263070969963	0.00242876104890429	0.024100348861356	0.129092738247673	0.0838023380204087	0.175213595626245	0.0154316169046758	0.00428375401827511	0.113148143256787	0.566349133481898	0.775081491283769	0.0203342994386894	0.00582474177823767	0.00876940584876886	0.0308893892620775	0.000187562548052518	0.00829112846558093	0.943924612395363	0.000977185406482621	0.00173482396031684	0.0284621313668787	0.000321108136857325	0.00402632274647411	0.00223174953143374	0.0203342994386894	0.0212141609449394	0.00621085969996143	0.012704642861743	0.70747728635402	0.00120111046633718	0.00977505063917713	0.000587499426931811	0.195507123335589	0.000887696789012116
Bacteria_Pseudomonas	0.327789306841173	3.508982358555e-101	0.396154210712257	0.0790722774458719	0.474805707330842	0.164052873852426	0.330453523246476	0.0864162203312075	0.241014803570108	0.978981249336733	0.819677415039508	0.797470116065734	0.125729365570844	0.0332375558832885	0.81194268448475	0.516175978810099	0.88690245891858	0.353944141880903	0.365961151430979	0.551480171910301	0.0744828738963855	0.0400101301386282	0.804804520625579	0.488606674735189	0.179053698730151	0.580871178101567	0.70747728635402	0.662048557954269	0.313169747171824	0.88690245891858	0.302342748287387	0.775081491283769	0.0640452532598407	0.448290229110142	0.125729365570844	0.95064017743519	0.937040568612276	0.23176888634332	0.797470116065734	0.849288773004929	0.307476041180903	0.217609843860865	0.222502390083544	0.602999611568435	0.342129523233095	0.255837896353645	0.834776853426065	0.00876940584876886	0.819677415039508	0.937040568612276	0.84205462717472	0.241014803570108	0.69976861016831	0.48134109263912	0.676485835652791	0.266145242079066
Bacteria_Phyllobacterium	7.49473606456831e-06	0.277316780368384	3.508982358555e-101	0.0203342994386894	0.0069789250719138	0.000715988572261755	0.0284621313668787	0.00514883176736507	0.00120111046633718	0.129092738247673	0.260965384423686	0.0308893892620775	0.00280400463285119	0.000977185406482621	0.00829112846558093	0.00481897073772335	0.012704642861743	0.012704642861743	0.00223174953143374	0.0133896951407377	0.0147145549899641	0.00402632274647411	0.0251263070969963	0.00977505063917713	0.0744828738963855	0.302342748287387	0.271197021453405	0.37189055845854	0.0443526420633332	0.0212141609449394	0.0990609972365355	0.70747728635402	0.916019392457306	0.0332375558832885	0.00120111046633718	0.0427940321512775	0.179053698730151	0.00323185898662647	0.0140191701300715	0.88690245891858	0.00452692480437949	0.0069789250719138	0.139041038181636	0.00158092651593297	0.0176870427155286	0.00876940584876886	0.0545354519416993	0.024100348861356	0.0284621313668787	0.091337459243826	0.88690245891858	0.02312933603725	0.0371848657949974	0.0103435893994344	0.341952015653654	0.00829112846558093
Bacteria_Variovorax	0.00163551114354076	0.0284325221487085	0.0036660678988014	3.508982358555e-101	0.00783721741820356	0.00204588903003705	0.00402632274647411	7.31712815755388e-07	0.0103435893994344	0.348052121445424	0.291568691237394	0.145760459807642	0.0168972181180202	0.00323185898662647	0.0475537975507399	0.101868678900392	0.183091316880249	0.093846897077143	0.0221200504083535	0.0723408682551635	0.000977185406482621	0.0168972181180202	0.313169747171824	0.0427940321512775	0.0545354519416993	0.342129523233095	0.122397036237243	0.468144087514156	0.0580986395992733	0.171497881555233	0.23176888634332	0.378205526274615	0.530075009103764	0.0320132479956663	0.000587499426931811	0.255837896353645	0.389974020916864	0.011507832090573	0.101868678900392	0.523201017108511	0.0580986395992733	0.0203342994386894	0.00740528982679071	0.122397036237243	0.139041038181636	0.0161789717766709	0.281043762926089	0.0273248350876934	0.160378637831369	0.318862937701653	0.509329465818863	0.0887072636344068	0.171497881555233	0.0345467627650172	0.313021558096285	0.0284621313668787
Bacteria_Flavobacterium	1.63152802865443e-05	0.354860363650609	0.000689645393951437	0.000829329629136992	3.508982358555e-101	0.000475444006359107	0.000887696789012116	0.00376055140151786	0.00280400463285119	0.0176870427155286	0.0660407610530847	0.0221200504083535	0.00189225780692472	0.0121063995358645	7.22630166815658e-05	0.00582474177823767	0.00376055140151786	0.0133896951407377	0.0251263070969963	0.012704642861743	0.0813862571748313	0.0580986395992733	0.0284621313668787	0.000321108136857325	0.00452692480437949	0.0147145549899641	0.0203342994386894	0.049247236033775	0.0296417825135013	0.00977505063917713	0.160378637831369	0.175213595626245	0.566349133481898	0.000887696789012116	0.0026201850492245	0.02312933603725	0.0475537975507399	0.00204588903003705	0.00514883176736507	0.441410703293012	0.0262062866611314	0.0161789717766709	0.00452692480437949	0.0147145549899641	0.00977505063917713	0.00514883176736507	0.0147145549899641	0.0813862571748313	0.0069789250719138	0.0358815800755594	0.227122335399325	0.0443526420633332	0.0580986395992733	0.0203342994386894	0.0534382743648613	0.00547674001531909
Bacteria_Rhizobium	2.27367515562602e-08	0.081250980755495	1.63152802865443e-05	9.13693584651998e-05	7.49473606456831e-06	3.508982358555e-101	0.00301579616706664	0.000321108136857325	1.10207047380824e-05	0.0620459971808376	0.122397036237243	0.0332375558832885	1.53758662393919e-05	0.00052058701759353	0.00204588903003705	0.00660174878160348	0.0161789717766709	0.00452692480437949	0.00052058701759353	0.018564421558587	0.00876940584876886	0.00158092651593297	0.0427940321512775	0.001454642564056	0.0133896951407377	0.116191372346045	0.0838023380204087	0.271197021453405	0.0296417825135013	0.0154316169046758	0.091337459243826	0.495442089778308	0.523201017108511	0.00783721741820356	0.00120111046633718	0.0345467627650172	0.0813862571748313	6.5204929704277e-05	0.0121063995358645	0.908865567872317	0.00452692480437949	0.00223174953143374	0.0168972181180202	0.00242876104890429	0.00481897073772335	0.00301579616706664	0.0562797251320837	0.00481897073772335	0.0168972181180202	0.0600938872481251	0.767544938710694	0.00323185898662647	0.0176870427155286	0.00204588903003705	0.111339793767362	0.000142157807859032
Bacteria_Lentzea	0.000219365827727103	0.216028925341955	0.00612776678882009	0.000275244270695421	2.32364778216327e-05	0.000173147717507171	3.508982358555e-101	0.00452692480437949	0.0121063995358645	0.049247236033775	0.200017920074373	0.179053698730151	0.0103435893994344	0.0296417825135013	0.00348267517648162	0.116191372346045	0.0640452532598407	0.0744828738963855	0.0308893892620775	0.119354252292889	0.0161789717766709	0.0790722774458719	0.227122335399325	0.0358815800755594	0.0332375558832885	0.0744828738963855	0.0545354519416993	0.171497881555233	0.0284621313668787	0.0838023380204087	0.42813308216069	0.408546927889615	0.468144087514156	0.0147145549899641	0.00402632274647411	0.129092738247673	0.107367515613754	0.02312933603725	0.139041038181636	0.537137100399322	0.024100348861356	0.0964247262324326	0.00977505063917713	0.0640452532598407	0.0964247262324326	0.000587499426931811	0.149284826872492	0.091337459243826	0.0864162203312075	0.0723408682551635	0.113148143256787	0.0400101301386282	0.208872629586074	0.0194382380009386	0.217609843860865	0.049247236033775
Bacteria_Pseudoxanthomonas	0.000246007977972205	0.0322871037701236	0.000422077185192351	8.15733350897868e-11	0.000246007977972205	3.88050412879978e-06	0.000342269833035693	3.508982358555e-101	0.00280400463285119	0.27609403277024	0.217609843860865	0.091337459243826	0.00481897073772335	0.000887696789012116	0.02312933603725	0.0400101301386282	0.104545665878478	0.0427940321512775	0.00783721741820356	0.0386068510470568	0.00158092651593297	0.00621085969996143	0.195638783695528	0.0161789717766709	0.0475537975507399	0.307476041180903	0.129092738247673	0.434499611340648	0.0600938872481251	0.110151052997715	0.142375765494322	0.408546927889615	0.537137100399322	0.0154316169046758	0.000162876545161253	0.179053698730151	0.324615061926142	0.00323185898662647	0.0509576363325724	0.617977797952362	0.0386068510470568	0.00783721741820356	0.011507832090573	0.0562797251320837	0.0702616374668506	0.011507832090573	0.204368018134792	0.0147145549899641	0.104545665878478	0.266145242079066	0.676485835652791	0.0509576363325724	0.107367515613754	0.0212141609449394	0.245956250902326	0.00876940584876886
Bacteria_Sphingomonas	2.27367515562602e-08	0.139595129372145	3.80552502266473e-05	0.00128089845093553	0.000153235570905647	7.07230300920423e-09	0.00163551114354076	0.000153235570905647	3.508982358555e-101	0.0273248350876934	0.0640452532598407	0.0109061145306672	0.000142157807859032	0.000977185406482621	0.00301579616706664	0.00428375401827511	0.00783721741820356	0.00223174953143374	0.000162876545161253	0.011507832090573	0.012704642861743	0.00223174953143374	0.012704642861743	0.0026201850492245	0.0109061145306672	0.101868678900392	0.049247236033775	0.183091316880249	0.0194382380009386	0.00280400463285119	0.0660407610530847	0.37189055845854	0.566349133481898	0.0147145549899641	0.00876940584876886	0.00740528982679071	0.0221200504083535	2.12446522353806e-05	0.00452692480437949	0.789943372927894	0.00223174953143374	0.000715988572261755	0.0284621313668787	0.000187562548052518	0.000797440099858795	0.00740528982679071	0.0203342994386894	0.00876940584876886	0.00402632274647411	0.0168972181180202	0.81194268448475	0.000475444006359107	0.0103435893994344	0.00173482396031684	0.138971798632004	0.000162876545161253
Bacteria_Nocardioides	0.0054165502195917	0.969769876154569	0.05769884126896	0.23180969720616	0.00297899488680274	0.0198464219701811	0.0141039284064895	0.168432749846746	0.00576349921805083	3.508982358555e-101	0.0427940321512775	0.0176870427155286	0.0660407610530847	0.145760459807642	0.00582474177823767	0.0296417825135013	0.00348267517648162	0.00660174878160348	0.0887072636344068	0.0371848657949974	0.408546927889615	0.434499611340648	0.0069789250719138	0.02312933603725	0.0133896951407377	0.0103435893994344	0.00582474177823767	0.0109061145306672	0.0168972181180202	0.00223174953143374	0.27609403277024	0.0767224852919806	0.509329465818863	0.0320132479956663	0.208872629586074	0.000977185406482621	6.5204929704277e-05	0.0527325055979285	0.0161789717766709	0.227122335399325	0.0527325055979285	0.0620459971808376	0.0767224852919806	0.00829112846558093	0.00783721741820356	0.02312933603725	0.00301579616706664	0.441410703293012	0.000797440099858795	0.000121279737993331	0.104545665878478	0.0459540349516507	0.0427940321512775	0.0838023380204087	0.142350491426879	0.0660407610530847
