Bacteria_Promicromonospora	Bacteria_Pseudomonas	Bacteria_Phyllobacterium	Bacteria_Variovorax	Bacteria_Flavobacterium	Bacteria_Rhizobium	Bacteria_Lentzea	Bacteria_Pseudoxanthomonas	Bacteria_Sphingomonas	Bacteria_Nocardioides	Bacteria_Actinoplanes	Bacteria_Streptomyces	Bacteria_Chryseobacterium	Bacteria_Herbaspirillum	Bacteria_Massilia	Bacteria_Devosia	Bacteria_Kribbella	Bacteria_Mycobacterium	Bacteria_Microbacterium	Bacteria_Mesorhizobium	Bacteria_Stenotrophomonas	Bacteria_Sphingopyxis	Bacteria_Aeromicrobium	Bacteria_Caulobacter	Bacteria_Steroidobacter	Bacteria_Arthrobacter	Bacteria_Umezawaea	Bacteria_Chondromyces	Bacteria_Sorangium	Bacteria_Agromyces	Bacteria_Rhodanobacter	Bacteria_Galbitalea	Bacteria_Pantoea	Bacteria_Shinella	Bacteria_Bosea	Bacteria_Solirubrobacter	Bacteria_Cellulomonas	Bacteria_Lysobacter	Bacteria_Bradyrhizobium	Bacteria_Rudaibacter	Bacteria_Glycomyces	Bacteria_Burkholderia	Bacteria_Altererythrobacter	Bacteria_Bacillus	Bacteria_Amycolatopsis	Bacteria_Rhodopseudomonas	Bacteria_Phycicoccus	Bacteria_Sphingobium	Bacteria_Gaiella	Bacteria_Blastococcus	Bacteria_Ideonella	Fungi_Acremonium	Fungi_Scytalidium	Fungi_Gibberella	Fungi_Holtermanniella	Fungi_Bipolaris
Bacteria_Promicromonospora	1	0	0.614285714285714	-0.107142857142857	0.2	0.653571428571428	0.0607142857142857	0.0857142857142857	0.539285714285714	0.0821428571428571	-0.128571428571429	-0.0392857142857143	0.596428571428571	0.196428571428571	0.328571428571429	0.128571428571429	0.492857142857143	0.314285714285714	0.735714285714286	0.0214285714285714	0.392857142857143	0.560714285714286	0.153571428571429	0.214285714285714	-0.235714285714286	-0.0535714285714286	-0.196428571428571	0.128571428571429	0.289285714285714	0.542857142857143	0.0428571428571429	-0.460714285714286	-0.0142857142857143	-0.325	0.0714285714285714	0.346428571428571	0.282142857142857	0.685714285714286	0.189285714285714	-0.4	0.778571428571428	0.439285714285714	-0.403571428571428	0.667857142857143	0.471428571428571	0.542857142857143	0.278571428571429	0.464285714285714	0.242857142857143	0.285714285714286	-0.335714285714286	0.817857142857143	0.475	0.496428571428571	-0.0393560558179334	0.341682120964786
Bacteria_Pseudomonas	0	1	0.0142857142857143	0.389285714285714	-0.221428571428571	0.192857142857143	0.271428571428571	0.532142857142857	0.214285714285714	-0.128571428571429	-0.0428571428571429	-0.271428571428571	0.25	0.528571428571428	-0.428571428571428	-0.135714285714286	-0.446428571428571	0.182142857142857	0.3	-0.271428571428571	0.485714285714286	0.539285714285714	-0.375	-0.235714285714286	0.425	0.0821428571428571	-0.0178571428571429	-0.271428571428571	0.0357142857142857	-0.45	0.25	0.103571428571429	0.603571428571428	0.160714285714286	0.239285714285714	-0.264285714285714	-0.117857142857143	0.135714285714286	-0.271428571428571	0.1	0.164285714285714	0.307142857142857	0.439285714285714	-0.203571428571429	-0.0535714285714286	0.292857142857143	-0.478571428571428	0.635714285714286	-0.321428571428571	-0.139285714285714	0.207142857142857	0.121428571428571	-0.0571428571428571	-0.164285714285714	-0.0250447627932304	-0.00357782325617577
Bacteria_Phyllobacterium	0.614285714285714	0.0142857142857143	1	0.221428571428571	0.353571428571428	0.617857142857143	-0.0321428571428571	0.35	0.135714285714286	-0.189285714285714	-0.35	0.0428571428571429	0.596428571428571	0.575	0.317857142857143	0.360714285714286	0.314285714285714	0.164285714285714	0.382142857142857	0.217857142857143	0.35	0.621428571428571	0.196428571428571	0.435714285714286	-0.207142857142857	-0.135714285714286	-0.332142857142857	-0.185714285714286	0.153571428571429	0.253571428571429	0.114285714285714	-0.367857142857143	-0.153571428571429	-0.0928571428571428	0.507142857142857	-0.107142857142857	-0.167857142857143	0.346428571428571	0.114285714285714	-0.367857142857143	0.485714285714286	0.0535714285714286	-0.232142857142857	0.453571428571428	0.278571428571429	0.496428571428571	0.0857142857142857	0.535714285714286	-0.00714285714285714	-0.153571428571429	-0.342857142857143	0.446428571428571	0.282142857142857	0.367857142857143	0.225402865139073	0.42218314422874
Bacteria_Variovorax	-0.107142857142857	0.389285714285714	0.221428571428571	1	0.389285714285714	0.221428571428571	0.439285714285714	0.821428571428571	0.185714285714286	-0.221428571428571	0.00357142857142857	0.0178571428571429	0.239285714285714	0.632142857142857	-0.0178571428571429	-0.0142857142857143	-0.253571428571429	-0.271428571428571	0.217857142857143	0.128571428571429	0.635714285714286	0.435714285714286	-0.246428571428571	0.253571428571429	0.203571428571429	0	0.0392857142857143	-0.185714285714286	-0.139285714285714	-0.282142857142857	-0.107142857142857	0.203571428571429	0.375	0.235714285714286	0.639285714285714	-0.246428571428571	-0.364285714285714	0.246428571428571	-0.0535714285714286	0.1	-0.221428571428571	0.192857142857143	0.446428571428571	-0.189285714285714	-0.207142857142857	-0.2	-0.114285714285714	0.410714285714286	-0.296428571428571	-0.260714285714286	0.185714285714286	-0.025	-0.110714285714286	0.175	0.230769600023337	0.259392186072743
Bacteria_Flavobacterium	0.2	-0.221428571428571	0.353571428571428	0.389285714285714	1	0.246428571428571	0.342857142857143	0.242857142857143	0.2	0.0285714285714286	0.0214285714285714	0.235714285714286	0.414285714285714	0.157142857142857	0.678571428571428	0.0178571428571429	0.35	-0.0714285714285714	0.075	0.464285714285714	0.332142857142857	0.0357142857142857	0.2	0.589285714285714	0.117857142857143	0.203571428571429	0.460714285714286	0.35	0.25	0.346428571428571	-0.157142857142857	0.142857142857143	-0.025	0.221428571428571	0.371428571428571	0.15	0.107142857142857	0.389285714285714	0.317857142857143	0.0464285714285714	-0.0428571428571429	0.0464285714285714	0.0785714285714286	0.142857142857143	0.257142857142857	0.117857142857143	0.392857142857143	-0.0178571428571429	0.221428571428571	0.075	0.275	0.207142857142857	0.375	0.432142857142857	0.563507162847683	0.57424063261621
Bacteria_Rhizobium	0.653571428571428	0.192857142857143	0.617857142857143	0.221428571428571	0.246428571428571	1	-0.217857142857143	0.353571428571428	0.575	-0.332142857142857	-0.0857142857142857	0.0464285714285714	0.878571428571428	0.45	0.364285714285714	0.114285714285714	0.364285714285714	0.371428571428571	0.657142857142857	0.114285714285714	0.378571428571429	0.553571428571428	0.00357142857142857	0.560714285714286	-0.314285714285714	-0.353571428571428	0.00714285714285714	-0.0892857142857143	0.00714285714285714	0.164285714285714	0.221428571428571	-0.314285714285714	0.025	-0.157142857142857	0.153571428571429	-0.0714285714285714	-0.0571428571428571	0.703571428571428	0.15	-0.453571428571428	0.314285714285714	0.264285714285714	-0.442857142857143	0.546428571428571	0.546428571428571	0.439285714285714	0.0714285714285714	0.489285714285714	-0.0892857142857143	-0.235714285714286	-0.439285714285714	0.771428571428571	0.482142857142857	0.414285714285714	0.322004093055819	0.747765060540735
Bacteria_Lentzea	0.0607142857142857	0.271428571428571	-0.0321428571428571	0.439285714285714	0.342857142857143	-0.217857142857143	1	0.314285714285714	0.0285714285714286	0.342857142857143	0.2	0.0285714285714286	-0.107142857142857	0.0357142857142857	0.1	-0.0821428571428571	-0.160714285714286	-0.114285714285714	0.235714285714286	-0.107142857142857	0.45	0.121428571428571	-0.110714285714286	-0.282142857142857	0.510714285714286	0.475	0.217857142857143	0.342857142857143	0.378571428571429	0.0964285714285714	-0.296428571428571	0.257142857142857	0.396428571428571	0.371428571428571	0.517857142857143	0.242857142857143	0.107142857142857	0.103571428571429	-0.167857142857143	0.3	0.189285714285714	0.075	0.517857142857143	-0.164285714285714	-0.442857142857143	0.192857142857143	-0.0321428571428571	0.128571428571429	0.128571428571429	0.460714285714286	0.635714285714286	-0.0214285714285714	-0.0928571428571428	0.257142857142857	-0.0268336744213182	-0.15205748838747
Bacteria_Pseudoxanthomonas	0.0857142857142857	0.532142857142857	0.35	0.821428571428571	0.242857142857143	0.353571428571428	0.314285714285714	1	0.0857142857142857	-0.392857142857143	-0.0571428571428571	-0.164285714285714	0.3	0.607142857142857	-0.0964285714285714	-0.0285714285714286	-0.292857142857143	-0.178571428571429	0.285714285714286	-0.0607142857142857	0.592857142857143	0.592857142857143	-0.421428571428571	0.203571428571429	0.0928571428571428	-0.0464285714285714	-0.146428571428571	-0.342857142857143	-0.225	-0.403571428571428	0.146428571428571	-0.0107142857142857	0.310714285714286	0.225	0.525	-0.471428571428571	-0.507142857142857	0.232142857142857	-0.225	-0.0321428571428571	-0.135714285714286	0.203571428571429	0.432142857142857	-0.275	-0.146428571428571	0.0178571428571429	-0.325	0.557142857142857	-0.517857142857143	-0.403571428571428	0.05	0.0571428571428571	-0.282142857142857	0.0178571428571429	0.18604680932114	0.27907021398171
Bacteria_Sphingomonas	0.539285714285714	0.214285714285714	0.135714285714286	0.185714285714286	0.2	0.575	0.0285714285714286	0.0857142857142857	1	0.0785714285714286	0.125	-0.0678571428571429	0.553571428571428	0.171428571428571	0.346428571428571	-0.0285714285714286	0.282142857142857	0.0464285714285714	0.739285714285714	0.0857142857142857	0.457142857142857	0.392857142857143	0.107142857142857	0.335714285714286	-0.0178571428571429	-0.0357142857142857	0.242857142857143	0.0857142857142857	-0.0571428571428571	0.382142857142857	-0.103571428571429	-0.0571428571428571	0.146428571428571	-0.0928571428571428	-0.103571428571429	0.335714285714286	0.289285714285714	0.842857142857143	0.392857142857143	-0.142857142857143	0.346428571428571	0.589285714285714	-0.1	0.621428571428571	0.45	0.0214285714285714	0.335714285714286	0.446428571428571	0.175	0.264285714285714	-0.0357142857142857	0.589285714285714	0.6	0.446428571428571	0.307692800031116	0.540251311682541
Bacteria_Nocardioides	0.0821428571428571	-0.128571428571429	-0.189285714285714	-0.221428571428571	0.0285714285714286	-0.332142857142857	0.342857142857143	-0.392857142857143	0.0785714285714286	1	0.682142857142857	0.542857142857143	-0.267857142857143	-0.396428571428571	0.364285714285714	0.492857142857143	0.503571428571428	0.382142857142857	-0.0357142857142857	0.289285714285714	-0.317857142857143	-0.235714285714286	0.725	0.0357142857142857	0.592857142857143	0.778571428571428	0.485714285714286	0.807142857142857	0.446428571428571	0.660714285714286	0.196428571428571	0.675	0.367857142857143	0.475	0.025	0.842857142857143	0.853571428571429	-0.0285714285714286	0.567857142857143	0.757142857142857	0.282142857142857	0.0785714285714286	0.339285714285714	0.271428571428571	0.15	0.103571428571429	0.653571428571428	-0.189285714285714	0.878571428571428	0.935714285714286	0.642857142857143	0.00357142857142857	0.246428571428571	0.2	0.0894455814043941	-0.159213134899822
