ID,bacteria,spike,group,sample01,sample02,sample03,sample04,sample05,mean
1,Bac-186,E05,2,18.06 ,NA,32.22 ,20.28 ,20.13 ,22.673 
2,Fir-11,E05,2,19.03 ,NA,16.93 ,16.78 ,22.02 ,18.690 
3,Act-101,E05,2,7.89 ,NA,16.05 ,9.47 ,10.63 ,11.008 
4,Act-135,E05,2,2.90 ,NA,5.22 ,3.18 ,3.46 ,3.690 
5,Act-140,E05,2,5.69 ,NA,13.65 ,7.66 ,8.90 ,8.974 
6,Pro-670,E05,2,4.50 ,NA,3.54 ,3.71 ,5.14 ,4.224 
7,Pro-672,E05,2,2.50 ,NA,2.52 ,2.21 ,3.20 ,2.606 
8,Pro-1203,E05,2,7.20 ,NA,7.01 ,5.43 ,8.69 ,7.083 
9,Pro-1204,E05,2,7.81 ,NA,7.43 ,6.61 ,9.43 ,7.821 
10,Bac-186,E05,1,13.04 ,NA,NA,12.67 ,12.30 ,12.671 
11,Fir-11,E05,1,17.00 ,NA,NA,10.30 ,12.87 ,13.389 
12,Act-101,E05,1,7.19 ,NA,NA,6.43 ,6.39 ,6.671 
13,Act-135,E05,1,2.41 ,NA,NA,2.17 ,2.44 ,2.339 
14,Act-140,E05,1,6.11 ,NA,NA,6.04 ,5.24 ,5.798 
15,Pro-670,E05,1,3.55 ,NA,NA,2.12 ,2.63 ,2.766 
16,Pro-672,E05,1,2.01 ,NA,NA,1.12 ,1.64 ,1.588 
17,Pro-1203,E05,1,6.74 ,NA,NA,4.40 ,4.58 ,5.241 
18,Pro-1204,E05,1,6.79 ,NA,NA,4.10 ,5.30 ,5.396 
19,Bac-186,E05,3,20.69 ,19.50 ,20.96 ,22.36 ,19.15 ,20.532 
20,Fir-11,E05,3,27.19 ,22.56 ,22.43 ,24.12 ,18.28 ,22.917 
21,Act-101,E05,3,10.39 ,9.51 ,10.76 ,11.19 ,9.59 ,10.290 
22,Act-135,E05,3,3.49 ,3.29 ,3.68 ,3.66 ,3.36 ,3.496 
23,Act-140,E05,3,8.67 ,7.49 ,8.23 ,9.31 ,7.77 ,8.295 
24,Pro-670,E05,3,3.14 ,2.38 ,3.16 ,3.41 ,2.45 ,2.906 
25,Pro-672,E05,3,2.12 ,1.70 ,1.22 ,1.70 ,1.17 ,1.582 
26,Pro-1203,E05,3,5.61 ,5.07 ,4.91 ,5.72 ,4.23 ,5.107 
27,Pro-1204,E05,3,5.95 ,4.71 ,5.24 ,5.87 ,4.27 ,5.206 
28,Bac-186,E55,2,68.43 ,NA,NA,92.16 ,131.48 ,97.359 
29,Fir-11,E55,2,73.35 ,NA,NA,70.05 ,144.34 ,95.913 
30,Act-101,E55,2,30.33 ,NA,NA,41.45 ,67.90 ,46.561 
31,Act-135,E55,2,11.90 ,NA,NA,13.60 ,23.85 ,16.449 
32,Act-140,E55,2,25.85 ,NA,NA,33.50 ,56.34 ,38.562 
33,Pro-670,E55,2,17.13 ,NA,NA,16.74 ,34.04 ,22.636 
34,Pro-672,E55,2,10.39 ,NA,NA,10.26 ,21.15 ,13.931 
35,Pro-1203,E55,2,30.37 ,NA,NA,28.08 ,57.28 ,38.575 
36,Pro-1204,E55,2,30.48 ,NA,NA,29.61 ,57.96 ,39.350 
37,Bac-186,E55,1,68.48 ,NA,NA,47.44 ,43.88 ,53.266 
38,Fir-11,E55,1,84.92 ,NA,NA,38.54 ,44.05 ,55.837 
39,Act-101,E55,1,36.09 ,NA,NA,23.13 ,23.69 ,27.636 
40,Act-135,E55,1,12.59 ,NA,NA,8.31 ,7.65 ,9.514 
41,Act-140,E55,1,31.66 ,NA,NA,23.47 ,21.30 ,25.473 
42,Pro-670,E55,1,17.60 ,NA,NA,7.95 ,10.62 ,12.056 
43,Pro-672,E55,1,11.81 ,NA,NA,4.77 ,5.90 ,7.493 
44,Pro-1203,E55,1,32.61 ,NA,NA,15.09 ,19.13 ,22.277 
45,Pro-1204,E55,1,33.64 ,NA,NA,16.15 ,19.91 ,23.235 
46,Bac-186,E55,3,100.77 ,73.28 ,128.16 ,124.92 ,103.95 ,106.214 
47,Fir-11,E55,3,142.62 ,79.57 ,143.63 ,137.18 ,100.22 ,120.642 
48,Act-101,E55,3,56.82 ,37.44 ,64.08 ,55.32 ,45.21 ,51.774 
49,Act-135,E55,3,17.88 ,13.51 ,22.83 ,19.46 ,15.62 ,17.860 
50,Act-140,E55,3,47.23 ,29.85 ,53.84 ,51.27 ,41.18 ,44.675 
51,Pro-670,E55,3,20.42 ,11.63 ,17.54 ,16.13 ,12.57 ,15.658 
52,Pro-672,E55,3,12.52 ,6.45 ,12.25 ,11.48 ,8.72 ,10.284 
53,Pro-1203,E55,3,35.78 ,19.28 ,27.87 ,30.10 ,21.71 ,26.949 
54,Pro-1204,E55,3,36.34 ,20.11 ,33.42 ,32.11 ,24.12 ,29.220 
55,Bac-186,E04,2,91.74 ,NA,234.27 ,130.95 ,208.91 ,166.466 
56,Fir-11,E04,2,82.04 ,NA,112.86 ,91.68 ,215.19 ,125.441 
57,Act-101,E04,2,38.18 ,NA,106.34 ,59.08 ,100.58 ,76.044 
58,Act-135,E04,2,13.25 ,NA,36.74 ,19.05 ,36.25 ,26.321 
59,Act-140,E04,2,25.18 ,NA,86.25 ,47.08 ,84.34 ,60.713 
60,Pro-670,E04,2,17.13 ,NA,27.50 ,19.88 ,49.29 ,28.452 
61,Pro-672,E04,2,11.31 ,NA,15.75 ,11.76 ,31.06 ,17.472 
62,Pro-1203,E04,2,32.66 ,NA,48.53 ,38.27 ,90.62 ,52.521 
63,Pro-1204,E04,2,33.36 ,NA,52.28 ,39.36 ,93.50 ,54.626 
64,Bac-186,E04,1,99.30 ,NA,NA,74.50 ,63.51 ,79.101 
65,Fir-11,E04,1,116.73 ,NA,NA,48.66 ,57.16 ,74.181 
