ID,bacteria,spike,group,sample01,sample02,sample03,sample04,sample05,mean
1,Bac-186,E05,2,23.90,NA,30.81,26.91,21.97,25.896
2,Fir-11,E05,2,25.17,NA,16.18,22.27,24.03,21.916
3,Act-101,E05,2,10.44,NA,15.34,12.57,11.60,12.486
4,Act-135,E05,2,3.83,NA,4.99,4.23,3.78,4.206
5,Act-140,E05,2,7.53,NA,13.05,10.16,9.71,10.114
6,Pro-670,E05,2,5.95,NA,3.39,4.93,5.61,4.969
7,Pro-672,E05,2,3.30,NA,2.40,2.93,3.49,3.034
8,Pro-1203,E05,2,9.52,NA,6.71,7.21,9.48,8.229
9,Pro-1204,E05,2,10.33,NA,7.10,8.78,10.30,9.126
10,Bac-186,E05,1,20.11,NA,NA,25.66,23.04,22.936
11,Fir-11,E05,1,26.21,NA,NA,20.86,24.09,23.723
12,Act-101,E05,1,11.09,NA,NA,13.03,11.97,12.027
13,Act-135,E05,1,3.72,NA,NA,4.39,4.56,4.224
14,Act-140,E05,1,9.43,NA,NA,12.23,9.82,10.492
15,Pro-670,E05,1,5.47,NA,NA,4.29,4.93,4.896
16,Pro-672,E05,1,3.10,NA,NA,2.26,3.07,2.809
17,Pro-1203,E05,1,10.39,NA,NA,8.92,8.58,9.296
18,Pro-1204,E05,1,10.47,NA,NA,8.30,9.92,9.566
19,Bac-186,E05,3,23.71,25.58,26.00,25.59,27.25,25.626
20,Fir-11,E05,3,31.16,29.60,27.83,27.61,26.01,28.440
21,Act-101,E05,3,11.91,12.47,13.36,12.81,13.65,12.839
22,Act-135,E05,3,4.00,4.32,4.57,4.19,4.78,4.370
23,Act-140,E05,3,9.94,9.82,10.21,10.66,11.06,10.337
24,Pro-670,E05,3,3.60,3.12,3.92,3.91,3.48,3.603
25,Pro-672,E05,3,2.43,2.23,1.51,1.95,1.67,1.957
26,Pro-1203,E05,3,6.42,6.66,6.09,6.54,6.02,6.346
27,Pro-1204,E05,3,6.81,6.18,6.50,6.72,6.07,6.455
28,Bac-186,E55,2,22.94,NA,27.47,22.12,NA,24.177
29,Fir-11,E55,2,24.59,NA,20.88,24.28,NA,23.250
30,Act-101,E55,2,10.17,NA,12.36,11.42,NA,11.316
31,Act-135,E55,2,3.99,NA,4.05,4.01,NA,4.018
32,Act-140,E55,2,8.66,NA,9.99,9.48,NA,9.376
33,Pro-670,E55,2,5.74,NA,4.99,5.73,NA,5.486
34,Pro-672,E55,2,3.48,NA,3.06,3.56,NA,3.366
35,Pro-1203,E55,2,10.18,NA,8.37,9.64,NA,9.395
36,Pro-1204,E55,2,10.22,NA,8.83,9.75,NA,9.598
37,Bac-186,E55,1,20.79,NA,NA,25.66,22.37,22.938
38,Fir-11,E55,1,25.78,NA,NA,20.85,22.45,23.026
39,Act-101,E55,1,10.95,NA,NA,12.51,12.08,11.847
40,Act-135,E55,1,3.82,NA,NA,4.49,3.90,4.071
41,Act-140,E55,1,9.61,NA,NA,12.69,10.86,11.053
42,Pro-670,E55,1,5.34,NA,NA,4.30,5.41,5.018
43,Pro-672,E55,1,3.58,NA,NA,2.58,3.01,3.058
44,Pro-1203,E55,1,9.90,NA,NA,8.16,9.75,9.271
45,Pro-1204,E55,1,10.21,NA,NA,8.74,10.15,9.699
46,Bac-186,E55,3,21.42,25.17,25.44,26.13,27.84,25.199
47,Fir-11,E55,3,30.31,27.33,28.51,28.70,26.84,28.337
48,Act-101,E55,3,12.08,12.86,12.72,11.57,12.11,12.267
49,Act-135,E55,3,3.80,4.64,4.53,4.07,4.18,4.245
50,Act-140,E55,3,10.04,10.25,10.69,10.73,11.03,10.547
51,Pro-670,E55,3,4.34,3.99,3.48,3.37,3.37,3.711
52,Pro-672,E55,3,2.66,2.22,2.43,2.40,2.33,2.409
53,Pro-1203,E55,3,7.60,6.62,5.53,6.30,5.81,6.374
54,Pro-1204,E55,3,7.72,6.91,6.63,6.72,6.46,6.888
55,Bac-186,E04,2,26.59,NA,32.51,28.64,22.96,27.676
56,Fir-11,E04,2,23.78,NA,15.66,20.05,23.65,20.786
57,Act-101,E04,2,11.07,NA,14.76,12.92,11.05,12.450
58,Act-135,E04,2,3.84,NA,5.10,4.17,3.98,4.272
59,Act-140,E04,2,7.30,NA,11.97,10.30,9.27,9.709
60,Pro-670,E04,2,4.96,NA,3.82,4.35,5.42,4.637
61,Pro-672,E04,2,3.28,NA,2.19,2.57,3.41,2.863
62,Pro-1203,E04,2,9.47,NA,6.73,8.37,9.96,8.633
63,Pro-1204,E04,2,9.67,NA,7.25,8.61,10.28,8.953
64,Bac-186,E04,1,21.32,NA,NA,28.11,25.23,24.890
65,Fir-11,E04,1,25.07,NA,NA,18.36,22.71,22.046
66,Act-101,E04,1,11.54,NA,NA,13.50,11.99,12.341
