Sample ID,Dilution,counts,log10,log2
BACE0501,E05,10977,5.900804598,19.60204858
BACE0503,E05,9422,5.900804598,19.60204858
BACE0504,E05,10992,5.900804598,19.60204858
BACE0505,E05,10058,5.900804598,19.60204858
BACE05501,E05/5,4839,5.201834594,17.28012048
BACE05504,E05/5,4426,5.201834594,17.28012048
BACE05505,E05/5,2775,5.201834594,17.28012048
BACE0401,E04,4331,4.900804598,16.28012048
BACE0403,E04,2348,4.900804598,16.28012048
BACE0404,E04,3459,4.900804598,16.28012048
BACE0405,E04,1908,4.900804598,16.28012048
BACE052001,E05/20,2492,4.599774602,15.28012048
BACE052003,E05/20,1295,4.599774602,15.28012048
BACE052004,E05/20,1998,4.599774602,15.28012048
BACE052005,E05/20,959,4.599774602,15.28012048
