,spike,sample01,sample03,sample04,sample05
Bac-186,E05,23.9,30.81,26.91,21.97
Fir-11,E05,25.17,16.18,22.27,24.03
Act-101,E05,10.44,15.34,12.57,11.6
Act-135,E05,3.83,4.99,4.23,3.78
Act-140,E05,7.53,13.05,10.16,9.71
Pro-670,E05,5.95,3.39,4.93,5.61
Pro-672,E05,3.3,2.4,2.93,3.49
Pro-1203,E05,9.52,6.71,7.21,9.48
Pro-1204,E05,10.33,7.1,8.78,10.3
Bac-186,E05-5,22.94,NA,27.47,22.12
Fir-11,E05-5,24.59,NA,20.88,24.28
Act-101,E05-5,10.17,NA,12.36,11.42
Act-135,E05-5,3.99,NA,4.05,4.01
Act-140,E05-5,8.66,NA,9.99,9.48
Pro-670,E05-5,5.74,NA,4.99,5.73
Pro-672,E05-5,3.48,NA,3.06,3.56
Pro-1203,E05-5,10.18,NA,8.37,9.64
Pro-1204,E05-5,10.22,NA,8.83,9.75
Bac-186,E05-10,26.59,32.51,28.64,22.96
Fir-11,E05-10,23.78,15.66,20.05,23.65
Act-101,E05-10,11.07,14.76,12.92,11.05
Act-135,E05-10,3.84,5.1,4.17,3.98
Act-140,E05-10,7.3,11.97,10.3,9.27
Pro-670,E05-10,4.96,3.82,4.35,5.42
Pro-672,E05-10,3.28,2.19,2.57,3.41
Pro-1203,E05-10,9.47,6.73,8.37,9.96
Pro-1204,E05-10,9.67,7.25,8.61,10.28
Bac-186,E05-20,25.91,31.08,29.43,22.75
Fir-11,E05-20,23.43,16.54,19.7,23.91
Act-101,E05-20,9.79,13.82,11.88,10.72
Act-135,E05-20,3.99,5.4,4.64,4.1
Act-140,E05-20,7.62,11.16,9.45,8.58
Pro-670,E05-20,5.85,3.97,4.54,5.91
Pro-672,E05-20,3.6,2.54,2.93,3.8
Pro-1203,E05-20,9.59,7.46,8.59,9.62
Pro-1204,E05-20,10.2,8.03,8.84,10.6
Bac-186,E00,25.81,30.87,28.69,22.45
Fir-11,E00,22.87,17.19,19.85,23.77
Act-101,E00,10.64,14.33,12.16,11.22
Act-135,E00,3.68,4.73,4.34,3.57
Act-140,E00,7.85,11.29,9.84,8.64
Pro-670,E00,5.71,4.04,5.02,6
Pro-672,E00,3.31,2.4,3.05,4
Pro-1203,E00,10,7.46,8.29,9.82
Pro-1204,E00,10.11,7.68,8.73,10.51
