,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Act-101,E05-20,2,0.86,0.561,0.533,NA,NA,0.65
Act-135,E05-20,2,0.319,0.189,0.182,NA,NA,0.23
Act-140,E05-20,2,0.705,0.561,0.463,NA,NA,0.58
Bac-186,E05-20,2,1.749,1.258,1.175,NA,NA,1.39
Fir-11,E05-20,2,1.933,0.882,1.049,NA,NA,1.29
Pro-1203,E05-20,2,0.799,0.364,0.428,NA,NA,0.53
Pro-1204,E05-20,2,0.822,0.409,0.491,NA,NA,0.57
Pro-670,E05-20,2,0.441,0.2,0.24,NA,NA,0.29
Pro-672,E05-20,2,0.282,0.118,0.153,NA,NA,0.18
Act-101,E05-20,3,NA,1.051,NA,1.447,1.096,1.2
Act-135,E05-20,3,NA,0.39,NA,0.537,0.422,0.45
Act-140,E05-20,3,NA,0.891,NA,1.242,0.922,1.02
Bac-186,E05-20,3,NA,2.455,NA,3.128,2.596,2.73
Fir-11,E05-20,3,NA,2.402,NA,3.305,2.35,2.69
Pro-1203,E05-20,3,NA,0.54,NA,0.809,0.508,0.62
Pro-1204,E05-20,3,NA,0.606,NA,0.84,0.55,0.67
Pro-670,E05-20,3,NA,0.314,NA,0.431,0.314,0.35
Pro-672,E05-20,3,NA,0.215,NA,0.288,0.195,0.23
Act-101,E05-20,1,0.659,1.917,1.027,2.046,NA,1.41
Act-135,E05-20,1,0.268,0.748,0.401,0.782,NA,0.55
Act-140,E05-20,1,0.513,1.548,0.816,1.638,NA,1.13
Bac-186,E05-20,1,1.744,4.311,2.544,4.341,NA,3.23
Fir-11,E05-20,1,1.577,2.295,1.702,4.56,NA,2.53
Pro-1203,E05-20,1,0.645,1.035,0.743,1.834,NA,1.06
Pro-1204,E05-20,1,0.687,1.114,0.764,2.022,NA,1.15
Pro-670,E05-20,1,0.394,0.55,0.392,1.128,NA,0.62
Pro-672,E05-20,1,0.242,0.353,0.253,0.725,NA,0.39
