,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Bac-186,E05-20,1,25.91,31.08,29.43,22.75,NA,27.29
Fir-11,E05-20,1,23.43,16.54,19.7,23.91,NA,20.9
Act-101,E05-20,1,9.79,13.82,11.88,10.72,NA,11.55
Act-135,E05-20,1,3.99,5.4,4.64,4.1,NA,4.53
Act-140,E05-20,1,7.62,11.16,9.45,8.58,NA,9.2
Pro-670,E05-20,1,5.85,3.97,4.54,5.91,NA,5.07
Pro-672,E05-20,1,3.6,2.54,2.93,3.8,NA,3.22
Pro-1203,E05-20,1,9.59,7.46,8.59,9.62,NA,8.82
Pro-1204,E05-20,1,10.2,8.03,8.84,10.6,NA,9.42
Bac-186,E05-20,2,22.11,27.69,24.91,NA,NA,24.9
Fir-11,E05-20,2,24.43,19.42,22.25,NA,NA,22.03
Act-101,E05-20,2,10.87,12.36,11.31,NA,NA,11.51
Act-135,E05-20,2,4.03,4.16,3.87,NA,NA,4.02
Act-140,E05-20,2,8.91,12.35,9.82,NA,NA,10.36
Pro-670,E05-20,2,5.57,4.4,5.08,NA,NA,5.02
Pro-672,E05-20,2,3.56,2.6,3.24,NA,NA,3.13
Pro-1203,E05-20,2,10.1,8.02,9.07,NA,NA,9.07
Pro-1204,E05-20,2,10.4,9,10.42,NA,NA,9.94
Bac-186,E05-20,3,NA,27.69,NA,26,28.99,27.56
Fir-11,E05-20,3,NA,27.09,NA,27.47,26.25,26.94
Act-101,E05-20,3,NA,11.85,NA,12.03,12.24,12.04
Act-135,E05-20,3,NA,4.4,NA,4.46,4.71,4.52
Act-140,E05-20,3,NA,10.05,NA,10.32,10.29,10.22
Pro-670,E05-20,3,NA,3.55,NA,3.59,3.51,3.55
Pro-672,E05-20,3,NA,2.43,NA,2.39,2.17,2.33
Pro-1203,E05-20,3,NA,6.09,NA,6.73,5.67,6.16
Pro-1204,E05-20,3,NA,6.84,NA,6.98,6.14,6.65
