ID,fungi,spike,group,sample01,sample02,sample03,sample04,sample05,mean
1,Asco-AF1,E0520,2,0.264,NA,0.262,0.274,0.256,0.264
2,Asco-AF105,E0520,2,0.408,NA,0.414,0.409,0.429,0.415
3,Basi-AF78,E0520,2,0.328,NA,0.324,0.317,0.316,0.321
4,Asco-AF1,E0520,1,0.262,NA,NA,0.259,0.270,0.264
5,Asco-AF105,E0520,1,0.421,NA,NA,0.426,0.433,0.427
6,Basi-AF78,E0520,1,0.317,NA,NA,0.315,0.298,0.310
7,Asco-AF1,E0520,3,0.230,0.234,0.230,0.227,0.236,0.232
8,Asco-AF105,E0520,3,0.384,0.380,0.373,0.375,0.375,0.377
9,Basi-AF78,E0520,3,0.386,0.385,0.396,0.398,0.389,0.391
10,Asco-AF1,E04,2,0.263,NA,0.263,0.274,0.253,0.263
11,Asco-AF105,E04,2,0.427,NA,0.427,0.422,0.438,0.429
12,Basi-AF78,E04,2,0.310,NA,0.310,0.304,0.309,0.308
13,Asco-AF1,E04,1,0.263,NA,NA,0.257,0.268,0.263
14,Asco-AF105,E04,1,0.436,NA,NA,0.444,0.447,0.442
15,Basi-AF78,E04,1,0.300,NA,NA,0.299,0.285,0.295
16,Asco-AF1,E04,3,0.228,0.236,0.234,0.229,0.232,0.232
17,Asco-AF105,E04,3,0.390,0.393,0.380,0.387,0.387,0.387
18,Basi-AF78,E04,3,0.382,0.371,0.386,0.385,0.382,0.381
19,Asco-AF1,E055,2,0.265,NA,0.262,0.277,0.260,0.266
20,Asco-AF105,E055,2,0.422,NA,0.434,0.423,0.438,0.430
21,Basi-AF78,E055,2,0.313,NA,0.303,0.300,0.302,0.304
22,Asco-AF1,E055,1,0.265,NA,NA,0.265,0.273,0.268
23,Asco-AF105,E055,1,0.435,NA,NA,0.430,0.437,0.434
24,Basi-AF78,E055,1,0.299,NA,NA,0.305,0.290,0.298
25,Asco-AF1,E055,3,0.225,0.236,0.229,0.229,0.232,0.230
26,Asco-AF105,E055,3,0.391,0.389,0.384,0.381,0.393,0.387
27,Basi-AF78,E055,3,0.384,0.375,0.387,0.390,0.375,0.382
28,Asco-AF1,E05,2,0.263,NA,0.261,0.273,0.254,0.263
29,Asco-AF105,E05,2,0.451,NA,0.442,0.433,0.451,0.444
30,Basi-AF78,E05,2,0.286,NA,0.297,0.294,0.295,0.293
31,Asco-AF1,E05,1,0.269,NA,NA,0.261,0.273,0.268
32,Asco-AF105,E05,1,0.459,NA,NA,0.458,0.457,0.458
33,Basi-AF78,E05,1,0.272,NA,NA,0.281,0.269,0.274
34,Asco-AF1,E05,3,0.228,0.234,0.229,0.222,0.232,0.229
35,Asco-AF105,E05,3,0.401,0.400,0.392,0.393,0.398,0.397
36,Basi-AF78,E05,3,0.371,0.365,0.379,0.385,0.370,0.374
37,Asco-AF1,E00,2,0.263,NA,0.262,0.277,0.261,0.266
38,Asco-AF105,E00,2,0.418,NA,0.408,0.397,0.414,0.409
39,Basi-AF78,E00,2,0.319,NA,0.330,0.325,0.325,0.325
40,Asco-AF1,E00,1,0.266,NA,NA,0.263,0.272,0.267
41,Asco-AF105,E00,1,0.407,NA,NA,0.408,0.417,0.411
42,Basi-AF78,E00,1,0.327,NA,NA,0.329,0.311,0.322
43,Asco-AF1,E00,3,0.233,0.243,0.223,0.225,0.226,0.230
44,Asco-AF105,E00,3,0.375,0.366,0.374,0.374,0.373,0.373
45,Basi-AF78,E00,3,0.392,0.390,0.402,0.401,0.401,0.397
