,spike,sample01,sample03,sample04,sample05
Asco-AF1,E05,26.29506937,26.07200075,27.30148393,25.37889485
Asco-AF105,E05,45.11018292,44.20412779,43.2665023,45.08613386
Basi-AF78,E05,28.59474771,29.72387145,29.43201377,29.53497129
Asco-AF1,E05/5,26.49817815,26.23357494,27.68815129,25.97885442
Asco-AF105,E05/5,42.2397085,43.4396682,42.33500579,43.80155687
Basi-AF78,E05/5,31.26211334,30.32675685,29.97684292,30.21958871
Asco-AF1,E05/10,26.26774098,26.31014857,27.36270636,25.2813981
Asco-AF105,E05/10,42.74467771,42.70086481,42.2461868,43.77591825
Basi-AF78,E05/10,30.98758131,30.98898662,30.39110684,30.94268365
Asco-AF1,E05/20,26.39216527,26.19005043,27.38835196,25.58721533
Asco-AF105,E05/20,40.79276574,41.44701549,40.92264578,42.85867506
Basi-AF78,E05/20,32.81506898,32.36293409,31.68900226,31.55410961
Asco-AF1,E00,26.26071694,26.22021198,27.74589887,26.12320675
Asco-AF105,E00,41.81462229,40.80537366,39.70498886,41.41434599
Basi-AF78,E00,31.92466077,32.97441437,32.54911227,32.46244726
