No,Micro,Genotype,Type,Site,load
Fun2DMH6301,bac,MH63,Dry,AH,179.0365612
Fun2DMH6302,bac,MH63,Dry,AH,219.2424024
Fun2DMH6304,bac,MH63,Dry,AH,80.18706194
Fun2DMH6305,bac,MH63,Dry,AH,98.48177247
Fun2DMH6306,bac,MH63,Dry,AH,83.70931064
Fun2DMH6307,bac,MH63,Dry,AH,229.0327383
Fun2DMH6308,bac,MH63,Dry,AH,195.9688114
Fun2DMH6312,bac,MH63,Dry,AH,109.0189296
Fun2DMH6301,fungi,MH63,Dry,AH,12.92550175
Fun2DMH6302,fungi,MH63,Dry,AH,6.162255473
Fun2DMH6304,fungi,MH63,Dry,AH,11.57002042
Fun2DMH6305,fungi,MH63,Dry,AH,3.069108244
Fun2DMH6306,fungi,MH63,Dry,AH,4.710765106
Fun2DMH6307,fungi,MH63,Dry,AH,4.849004002
Fun2DMH6308,fungi,MH63,Dry,AH,4.80016934
Fun2DMH6312,fungi,MH63,Dry,AH,5.098667282
Fun2WMH6301,bac,MH63,Wet,AH,82.32979972
Fun2WMH6302,bac,MH63,Wet,AH,48.36760182
Fun2WMH6303,bac,MH63,Wet,AH,57.08006913
Fun2WMH6305,bac,MH63,Wet,AH,39.77938631
Fun2WMH6306,bac,MH63,Wet,AH,37.30700127
Fun2WMH6307,bac,MH63,Wet,AH,75.50980257
Fun2WMH6309,bac,MH63,Wet,AH,48.61427156
Fun2WMH6310,bac,MH63,Wet,AH,63.19458934
Fun2WMH6311,bac,MH63,Wet,AH,45.66072623
Fun2WMH6312,bac,MH63,Wet,AH,54.37173702
Fun2WMH6301,fungi,MH63,Wet,AH,7.235086216
Fun2WMH6302,fungi,MH63,Wet,AH,13.01504586
Fun2WMH6303,fungi,MH63,Wet,AH,7.112018738
Fun2WMH6305,fungi,MH63,Wet,AH,2.723918461
Fun2WMH6306,fungi,MH63,Wet,AH,4.636796673
Fun2WMH6307,fungi,MH63,Wet,AH,19.25009776
Fun2WMH6309,fungi,MH63,Wet,AH,6.194101571
Fun2WMH6310,fungi,MH63,Wet,AH,1.833927064
Fun2WMH6311,fungi,MH63,Wet,AH,6.072164715
Fun2WMH6312,fungi,MH63,Wet,AH,3.616173295
Fun2DWYJ01,bac,WYJ,Dry,AH,51.1858823
Fun2DWYJ02,bac,WYJ,Dry,AH,50.40350114
