OTUS,AhMH63_RA,AhMH63_AA,AhWYJ_RA,AhWYJ_AA
OTU_259,-11.14,-6.251,-7.484,-5.01
OTU_302,-8.539,-4.17,-2.209,-1.999
OTU_30,-3.337,-1.873,-5.837,-5.775
OTU_269,-3.434,0,-7.588,-5.397
OTU_92,-10.191,-3.861,-1.873,0
OTU_96,-4.565,-3.114,-3.986,-3.826
OTU_214,-10.079,-5.227,0,0
OTU_499,-4.26,-3.353,-3.25,-1.69
OTU_180,0,0,-6.271,-6.151
OTU_17,0,0,-6.815,-5.058
OTU_23,-3.768,-2.484,-2.53,-2.099
OTU_185,-3.96,-1.883,-2.578,-2.235
OTU_237,-3.254,-1.656,-2.935,-2.768
OTU_328,0,0,-5.454,-4.739
OTU_111,0,0,-5.221,-4.947
OTU_143,-4.013,-2.4,-1.822,-1.268
OTU_68,-3.8,-1.994,-2.026,-1.628
OTU_1029,0,0,-4.33,-4.381
OTU_371,-4.034,-2.551,-2.096,0
OTU_1116,-3.149,0,-2.78,-2.257
OTU_12,0,0,-4.046,-4.016
OTU_49,-3.364,0,-2.296,-2.246
OTU_411,0,0,-4.246,-3.6
OTU_291,0,0,-3.49,-3.526
OTU_540,0,0,-3.533,-3.446
OTU_443,-3.28,-0.9,-2.377,0
OTU_45,0,0,-3.013,-3.51
OTU_1046,0,0,-6.516,0
OTU_765,0,0,-6.495,0
OTU_386,-1.994,0,-2.386,-2.086
OTU_108,0,0,-3.105,-3.247
OTU_283,-1.439,0,-2.67,-2.17
OTU_294,0,0,-3.311,-2.797
OTU_89,-2.053,0,-2.178,-1.765
OTU_374,-3.055,-2.146,-0.79,0
OTU_423,0,0,-3.768,-2.105
OTU_1279,0,0,-3.2,-2.484
OTU_189,0,0,-2.737,-2.849
OTU_120,-1.697,0,-1.984,-1.611
OTU_1380,-2.899,-1.365,-0.948,0
OTU_31,-2.635,0,-2.567,0
OTU_104,-0.917,0,-2.05,-1.821
OTU_137,0,0,-2.359,-2.182
OTU_262,0,0,-2.872,-1.545
OTU_119,0,0,-2.399,-1.91
OTU_115,-2.465,0,-1.833,0
OTU_267,-2.864,-1.425,0,0
OTU_146,0,0,-2.598,-1.634
OTU_315,0,0,-2.251,-1.923
OTU_90,0,0,-2.125,-1.935
OTU_2950,0,0,-2.227,-1.762
OTU_234,-1.418,0,-1.308,-1.229
OTU_59,0,0,-2.118,-1.814
OTU_432,0,0,-2.078,-1.838
OTU_281,0,0,-2.129,-1.775
OTU_229,0,0,-1.932,-1.873
OTU_775,0,0,-2.013,-1.695
OTU_289,0,0,-2,-1.7
OTU_15,-3.553,0,0,0
OTU_313,0,0,-1.83,-1.529
OTU_611,0,0,0,-3.21
OTU_18,0,0,-1.806,-1.384
OTU_285,0,0,-3.103,0
OTU_798,0,0,-1.835,-1.16
OTU_317,0,0,-1.493,-1.33
OTU_80,0,0,-2.821,0
OTU_221,-1.515,0,-1.272,0
