OTUS,HnMH63_RA,HnMH63_AA,HnWYJ_RA,HnWYJ_AA
OTU_10,-3.249,-2.408,-2.885,-1.2
OTU_100,-9.03,-7.631,-10.763,-9.535
OTU_1000,-2.506,-1.729,-2.978,0
OTU_101,2.579,3.459,4.319,6.062
OTU_102,2.977,4.145,7.931,9.078
OTU_1029,0,5.135,0,3.4
OTU_103,0,0,0,2.123
OTU_1041,0,0,0,2.001
OTU_1047,1.34,2.56,0,0
OTU_105,0,0,0,-5.218
OTU_106,0,0.827,-1.213,0
OTU_107,0,0,4.165,5.75
OTU_109,0,0,0,1.907
OTU_1095,-6.528,-5.431,-11.239,-3.633
OTU_11,-0.571,0,-2.371,0
OTU_110,0.895,2.023,-7.404,-2.14
OTU_1107,-7.409,0,-1.515,0
OTU_111,0,-4.462,0,0
OTU_1112,0,0,-0.957,0
OTU_1121,0,0,-1.466,0
OTU_1134,0,0,-6.932,0
OTU_115,-5.382,-4.674,-4.805,-3.2
OTU_117,-2.107,0,-1.231,0
OTU_118,0,0,3.892,5.882
OTU_119,-3.938,-2.667,-5.917,-3.828
OTU_1194,0,1.869,0,0
OTU_12,-1.528,0,-2.659,0
OTU_120,0,0,-10.838,-3.864
OTU_122,0,1.594,0.928,3.088
OTU_123,-9.242,-3.273,-6.018,-3.141
OTU_1230,1.068,2.46,0,2.072
OTU_125,0,-4.054,0,0
OTU_127,0,0,-2.785,0
OTU_128,0,0,0,2.309
OTU_129,0,1.781,0,1.525
OTU_13,0,0.967,-1.078,1.129
OTU_131,-11.707,-10.374,-11.123,-9.939
OTU_1310,-1.726,0,-1.374,0
OTU_132,1.958,2.83,4.147,5.3
OTU_133,2.384,3.018,0,3.133
OTU_134,0,0,0,3.745
OTU_137,0,0,0,2.097
OTU_138,0,0,0,1.744
OTU_1380,-2.256,-1.037,-3.242,-1.12
OTU_1390,0,0,-3.433,0
OTU_14,2.131,3.05,2.307,4.707
OTU_1403,-3.875,-2.736,-2.502,0
OTU_141,1.72,2.671,2.913,5.682
OTU_142,-3.686,-2.594,-2.975,-0.999
OTU_143,-14.54,-9.31,-15.184,-7.192
OTU_144,0,0,-8.28,0
OTU_146,-3.133,-1.727,-5.442,-2.48
OTU_15,-9.596,-8.305,-14.854,-10.097
OTU_150,-6.205,-4.632,0,0
OTU_151,0,0.983,-0.999,0
OTU_1523,0,0,-6.711,-1.845
OTU_153,0,0,3.586,5.559
OTU_154,-7.103,-6.246,-7.43,-6.04
OTU_1555,-5.908,-4.131,-10.468,-3.762
OTU_1568,-8.234,-3.271,-3.44,0
OTU_158,0,0,-7.723,-3.812
OTU_16,0,1.38,0,2.389
OTU_160,0,1.103,0,1.166
OTU_161,0,1.666,0,2.324
OTU_162,0,0,0,2.75
OTU_164,0,-5.541,0,0
OTU_165,0,0,0,3.698
OTU_166,-3.298,-1.381,-2.72,0
OTU_167,1.522,2.577,-1.907,0
OTU_169,0,0,-6.688,0
OTU_17,2.002,3.107,1.755,3.903
OTU_170,0,1.534,-1.322,0
OTU_172,0,0,-7.683,-6.606
OTU_173,-0.839,0,-1.653,0
OTU_18,0,0,3.903,5.668
OTU_181,-3.853,0,-10.098,-3.012
OTU_182,3.051,4.134,0,4.69
OTU_184,0,2.259,0,0
OTU_188,-0.946,0,-2.476,0
OTU_1885,0,0,0,1.921
OTU_19,2.681,3.737,3.348,5.394
OTU_192,0,0,0,2.235
OTU_193,2.683,4.08,-1.991,0
OTU_1944,0,0,0,2.36
OTU_1954,0,0,0,2.42
OTU_199,0,0,0,2.207
OTU_1991,-0.527,-0.366,-2.724,0
OTU_2,0.643,1.86,-5.329,-2.721
OTU_20,0,1.492,0,1.623
OTU_206,-2.402,-1.301,-2.705,0
OTU_2072,-3.58,-2.636,-8.366,0
OTU_2077,0,0,0,3.874
OTU_208,-7.081,0,-3.183,0
OTU_209,0,0,-3.688,0
OTU_21,2.469,3.583,2.902,5.05
OTU_210,1.032,2.126,1.446,3.566
OTU_2117,0,0,-1.367,0
OTU_212,0,0,-2.674,0
OTU_213,-1.02,0,1.691,3.705
OTU_214,-12.812,-7.031,-7.576,-6.474
OTU_217,-1.905,0,0,2.278
OTU_218,0,0,-7.63,0
OTU_22,0,0,0,3.42
OTU_222,1.014,1.87,1.316,3.167
OTU_225,1.931,2.518,0,2.862
OTU_226,-7.245,0,-7.976,0
OTU_229,0,0,-3.029,0
OTU_23,-13.482,-10.043,-6.21,-3.901
OTU_231,-2.701,0,1.581,3.796
OTU_232,0,0,-9.279,-2.028
OTU_233,-11.709,-10.596,-10.179,-8.916
OTU_237,-6.993,-5.28,-10.138,-3.33
OTU_24,1.113,2.058,0,3.089
OTU_245,-2.952,0,0,-6.189
OTU_247,0,0,-0.921,0
OTU_248,0,0,0,2.063
OTU_256,-1.03,0,-1.694,0
OTU_2588,-2.109,-1.041,0,1.601
OTU_259,-8.095,-6.988,-6.211,-3.857
OTU_26,0,0,0,2.446
OTU_262,0,2.167,0,2.391
OTU_264,-1.34,0,0,4.292
OTU_265,-2.838,-1.639,0,1.777
OTU_266,0,0,3.555,4.325
OTU_267,-9.387,-4.285,-10.313,-3.508
OTU_268,0,0,-8.215,0
OTU_269,-10.498,-7.45,-10.285,-5.584
OTU_27,0,0,0,1.584
OTU_276,0,0,0,1.94
OTU_2775,0,0,0,3.665
OTU_278,0,0,0,-4.775
OTU_2785,-1.892,0,-0.631,0
OTU_2795,-10.162,-6.551,-11.128,-3.952
OTU_28,-2.803,0,0,5.082
OTU_281,0,0,0,-4.531
OTU_283,-9.32,-2.456,-10.141,-3.576
OTU_285,2.511,3.567,0,4.421
OTU_286,0,0,-1.058,0
OTU_289,2.447,3.516,0,2.743
OTU_29,1.079,2.251,1.956,4.244
OTU_290,-7.246,-6.163,-8.195,-7.134
OTU_294,-8.488,-5.505,-7.569,-2.364
OTU_2950,-4.709,-4.548,-3.732,-1.494
OTU_2952,-2.52,-1.675,-3.347,-1.673
OTU_296,0,0,-1.771,0
OTU_298,0,0,-1.8,0
OTU_3,-2.301,-1.362,-2.76,0
OTU_30,-10.43,-5.446,-9.518,-8.216
OTU_300,0,0,-1.553,0
OTU_301,0,0,0,-5.605
OTU_302,-3.902,-2.611,-6.427,-3.762
OTU_309,0,0,-1.595,0.96
OTU_31,-6.174,-5.379,-6.542,-4.172
OTU_311,0,0,0,1.388
OTU_312,-4.213,-3.022,-4.778,-1.597
OTU_315,0,-4.607,0,0
OTU_320,-2.648,0,-1.775,0
OTU_33,-12.471,-9.22,-14.078,-8.038
OTU_34,0,0,-12.615,-11.249
OTU_340,3.96,5.502,0,0
OTU_343,0,0,0,2.368
OTU_346,2.393,3.826,0,2.849
OTU_35,0,0,0,2.251
OTU_354,0,0,0,2.155
OTU_356,0,0,0,3.036
OTU_357,0,0,0,2.621
OTU_36,-2.104,-0.819,-4.938,-3.295
OTU_37,1.614,2.355,4.323,6.405
OTU_370,0,0,-1.581,0
OTU_373,1.235,2.183,1.086,3.29
OTU_374,-5.18,-4.163,-4.194,-2.746
OTU_38,1.187,2.257,0,1.405
OTU_384,0,0,-2.098,0
OTU_386,0,-4.575,0,-4.543
OTU_399,0,0,-1.97,0
OTU_4,2.356,3.371,3.762,6.194
OTU_403,-1.23,0,-2.27,0
OTU_405,0,0,0,2.111
OTU_41,0,0,0.881,3.088
OTU_411,-6.571,-5.562,-5.823,-4.203
OTU_412,0,0,-7.314,-3.103
OTU_416,1.845,2.819,0,2.003
OTU_418,1.124,2.11,0,0
OTU_423,2.184,2.778,0,2.973
OTU_438,0,0,0,2.013
OTU_44,-2.484,0,0,0
OTU_443,0,-2.825,-7.907,-4.137
OTU_444,0,0,-7.82,-2.414
OTU_45,0.932,2.142,0,2.007
OTU_46,0,0,0,2.243
OTU_464,0,0,-6.906,0
OTU_467,-1.864,0,0,0
OTU_475,0,0,0,-5.325
OTU_481,0,0,-1.068,1.36
OTU_49,0,0,0,1.747
OTU_492,-6.39,-5.2,-10.847,-6.56
OTU_498,-4.881,-4.452,-4.669,-3.009
OTU_499,-2.602,-1.541,-4.375,-1.498
OTU_502,0,0,0,3.256
OTU_506,0,1.986,0,0
OTU_51,2.86,3.811,1.61,3.795
OTU_515,0,0,0,1.874
OTU_518,-2.896,-1.982,-3.072,0
OTU_52,-0.92,0,-1.84,0
OTU_520,0,0,-1.085,0
OTU_528,0,-4.163,0,-5.947
OTU_53,-1.282,0,-1.054,1.468
OTU_537,0,0,-2.539,0
OTU_539,0,0,-7.908,0
OTU_54,-1.613,0,-5.702,-3.399
OTU_541,0,0,0,2.295
OTU_55,2.014,2.894,1.828,4.005
OTU_560,0,0,0,-4.846
OTU_564,-2.451,-2.033,0,0
OTU_567,0,0,-7.674,0
OTU_568,0,5.73,0,0
OTU_57,0,1.75,0,2.341
OTU_574,0,0,1.258,3.455
OTU_579,0,0,-0.721,0
OTU_58,0,1.408,-0.914,0
OTU_59,1.349,2.872,0,1.784
OTU_592,0,0,0,1.27
OTU_6,-0.646,0,4.484,6.508
OTU_60,2.791,4.204,2.086,4.569
OTU_603,0,2.037,0,0
OTU_61,0,0,-10.459,-9.186
OTU_62,-4.987,-4.022,-5.596,-3.858
OTU_627,0,0,-2.061,0
OTU_630,0,1.626,0,0
