HnWYJ,HnWYJRA
OTU_10,-2.885
OTU_100,-10.763
OTU_1000,-2.978
OTU_101,4.319
OTU_102,7.931
OTU_106,-1.213
OTU_107,4.165
OTU_1095,-11.239
OTU_11,-2.371
OTU_110,-7.404
OTU_1107,-1.515
OTU_1112,-0.957
OTU_1121,-1.466
OTU_1134,-6.932
OTU_115,-4.805
OTU_117,-1.231
OTU_118,3.892
OTU_119,-5.917
OTU_12,-2.659
OTU_120,-10.838
OTU_122,0.928
OTU_123,-6.018
OTU_127,-2.785
OTU_13,-1.078
OTU_131,-11.123
OTU_1310,-1.374
OTU_132,4.147
OTU_1380,-3.242
OTU_1390,-3.433
OTU_14,2.307
OTU_1403,-2.502
OTU_141,2.913
OTU_142,-2.975
OTU_143,-15.184
OTU_144,-8.28
OTU_146,-5.442
OTU_15,-14.854
OTU_151,-0.999
OTU_1523,-6.711
OTU_153,3.586
OTU_154,-7.43
OTU_1555,-10.468
OTU_1568,-3.44
OTU_158,-7.723
OTU_166,-2.72
OTU_167,-1.907
OTU_169,-6.688
OTU_17,1.755
OTU_170,-1.322
OTU_172,-7.683
OTU_173,-1.653
OTU_18,3.903
OTU_181,-10.098
OTU_188,-2.476
OTU_19,3.348
OTU_193,-1.991
OTU_1991,-2.724
OTU_2,-5.329
OTU_206,-2.705
OTU_2072,-8.366
OTU_208,-3.183
OTU_209,-3.688
OTU_21,2.902
OTU_210,1.446
OTU_2117,-1.367
OTU_212,-2.674
OTU_213,1.691
OTU_214,-7.576
OTU_218,-7.63
OTU_222,1.316
OTU_226,-7.976
OTU_229,-3.029
OTU_23,-6.21
OTU_231,1.581
OTU_232,-9.279
OTU_233,-10.179
OTU_237,-10.138
OTU_247,-0.921
OTU_256,-1.694
OTU_259,-6.211
OTU_266,3.555
OTU_267,-10.313
OTU_268,-8.215
OTU_269,-10.285
OTU_2785,-0.631
OTU_2795,-11.128
OTU_283,-10.141
OTU_286,-1.058
OTU_29,1.956
OTU_290,-8.195
OTU_294,-7.569
OTU_2950,-3.732
OTU_2952,-3.347
OTU_296,-1.771
OTU_298,-1.8
OTU_3,-2.76
OTU_30,-9.518
OTU_300,-1.553
OTU_302,-6.427
OTU_309,-1.595
OTU_31,-6.542
OTU_312,-4.778
OTU_320,-1.775
OTU_33,-14.078
OTU_34,-12.615
OTU_36,-4.938
OTU_37,4.323
OTU_370,-1.581
OTU_373,1.086
OTU_374,-4.194
OTU_384,-2.098
OTU_399,-1.97
OTU_4,3.762
OTU_403,-2.27
OTU_41,0.881
OTU_411,-5.823
OTU_412,-7.314
OTU_443,-7.907
OTU_444,-7.82
OTU_464,-6.906
OTU_481,-1.068
OTU_492,-10.847
OTU_498,-4.669
OTU_499,-4.375
OTU_51,1.61
OTU_518,-3.072
OTU_52,-1.84
OTU_520,-1.085
OTU_53,-1.054
OTU_537,-2.539
OTU_539,-7.908
OTU_54,-5.702
OTU_55,1.828
OTU_567,-7.674
OTU_574,1.258
OTU_579,-0.721
OTU_58,-0.914
OTU_6,4.484
OTU_60,2.086
OTU_61,-10.459
OTU_62,-5.596
OTU_627,-2.061
OTU_64,1.866
OTU_65,1.977
OTU_66,-8.007
OTU_665,-2.64
OTU_670,1.59
OTU_68,-9.249
OTU_69,3.383
OTU_7,4.001
OTU_702,-1.548
OTU_72,-2.489
OTU_75,-1.987
OTU_80,-10.071
OTU_81,4.255
OTU_830,-2.984
OTU_87,3.963
OTU_89,-4.963
OTU_9,-3.797
OTU_90,-11.421
OTU_91,-1.934
OTU_92,-4.002
OTU_95,-0.813
OTU_96,-7.712
OTU_98,-7.003
OTU_99,-10.255
