AhMH63,RAlogFC,AAlogFC
OTU_1380,-2.899,-1.365
OTU_143,-4.013,-2.4
OTU_185,-3.96,-1.883
OTU_214,-10.079,-5.227
OTU_23,-3.768,-2.484
OTU_237,-3.254,-1.656
OTU_259,-11.14,-6.251
OTU_267,-2.864,-1.425
OTU_30,-3.337,-1.873
OTU_302,-8.539,-4.17
OTU_371,-4.034,-2.551
OTU_374,-3.055,-2.146
OTU_443,-3.28,-0.9
OTU_499,-4.26,-3.353
OTU_68,-3.8,-1.994
OTU_92,-10.191,-3.861
OTU_96,-4.565,-3.114
OTU_104,-0.917,0.295
OTU_1116,-3.149,-1.201
OTU_115,-2.465,-1.065
OTU_120,-1.697,-0.297
OTU_15,-3.553,-1.575
OTU_154,-1.768,-0.361
OTU_221,-1.515,0.531
OTU_234,-1.418,0.593
OTU_269,-3.434,-1.326
OTU_283,-1.439,-0.164
OTU_31,-2.635,-0.824
OTU_386,-1.994,-0.512
OTU_49,-3.364,-1.876
OTU_89,-2.053,-0.651
OTU_621,7.865,5.078
OTU_103,1.176,2.532
OTU_105,-0.054,1.265
OTU_106,0.153,1.541
OTU_11,0.326,1.646
OTU_110,1.581,2.845
OTU_112,0.849,2.504
OTU_1134,0.304,2.478
OTU_114,0.33,1.888
OTU_116,0.469,2.124
OTU_117,0.931,2.54
OTU_1175,1.259,2.927
OTU_121,0.854,2.215
OTU_129,1.096,2.343
OTU_1310,0.432,1.835
OTU_133,0.251,2.101
OTU_140,-0.714,1.395
OTU_1403,0.322,1.428
OTU_147,0.328,1.556
OTU_1565,2.28,2.757
OTU_16,0.774,2.079
OTU_165,1.426,2.099
OTU_167,-0.008,1.378
OTU_170,0.486,1.936
OTU_171,0.327,1.884
OTU_173,1.28,2.636
OTU_174,0.237,1.492
OTU_175,0.242,1.721
OTU_178,0.572,1.708
OTU_183,1.109,2.318
OTU_187,0.609,2.216
OTU_188,0.812,2.126
OTU_19,0.65,1.757
OTU_1906,0.817,2.826
OTU_199,0.588,2.154
OTU_205,1.701,3.55
OTU_208,0.811,2.685
OTU_2117,0.314,1.713
OTU_215,0.797,2.196
OTU_219,1.027,2.301
OTU_22,-0.476,0.937
OTU_220,1.102,2.157
OTU_224,0.547,1.878
OTU_227,0.551,1.926
OTU_230,1.303,2.714
OTU_231,-0.344,1.135
OTU_2315,7.174,3.277
OTU_235,0.319,2.782
OTU_236,1.011,2.421
OTU_247,0.693,2.083
OTU_248,0.959,2.282
OTU_2588,0.292,1.94
OTU_27,0.844,2.038
OTU_270,0.907,2.229
OTU_276,0.768,1.853
OTU_278,1.308,2.619
OTU_279,0.142,1.947
OTU_286,1.064,2.299
OTU_290,0.588,1.779
OTU_292,0.381,1.491
OTU_299,0.143,1.489
OTU_3,0.337,1.846
OTU_307,1.551,2.795
OTU_308,0.131,1.315
OTU_324,0.943,2.44
OTU_331,0.18,1.387
OTU_354,-0.226,1.809
OTU_357,0.368,1.699
OTU_363,1.044,2.613
OTU_38,0.349,1.878
OTU_384,0.674,2.247
OTU_39,0.635,1.939
OTU_393,1.087,2.999
OTU_400,0.411,1.884
OTU_408,-0.142,1.501
OTU_412,1.139,2.338
OTU_414,1.308,2.264
OTU_43,0.728,1.915
OTU_444,-0.384,1.119
OTU_454,0.812,2.523
OTU_47,0.798,1.939
OTU_470,1.637,3.587
OTU_486,0.317,1.763
OTU_491,0.484,2.011
OTU_50,0.501,1.756
OTU_506,-0.175,1.303
OTU_51,0.548,1.664
OTU_517,1.466,3.243
OTU_520,0.488,2.107
OTU_526,0.777,2.345
OTU_53,0.892,2.469
OTU_543,1.02,2.541
OTU_558,0.115,1.982
OTU_564,0.91,2.665
OTU_57,1.125,2.601
OTU_6,2.789,4.73
OTU_60,0.956,2.307
OTU_63,0.058,1.328
OTU_635,0.734,2.385
OTU_64,1.37,2.561
OTU_654,-0.644,2.532
OTU_665,0.142,1.953
OTU_67,0.53,1.746
OTU_694,0.482,1.563
OTU_707,0.271,1.694
OTU_71,0.633,2.38
OTU_736,-0.101,1.098
OTU_751,2.765,3.588
OTU_791,1.552,2.506
OTU_84,0.803,2.027
OTU_91,-0.045,1.623
OTU_936,0.333,1.463
OTU_94,0.635,2.049
OTU_107,6.44,9.621
OTU_124,0.705,2.037
OTU_125,1.87,3.676
OTU_128,0.717,2.135
OTU_138,1.15,2.688
OTU_160,1.085,2.605
OTU_172,0.971,2.53
OTU_184,1.262,2.79
OTU_186,1.153,2.518
OTU_211,1.554,3.208
OTU_226,1.495,3.03
OTU_244,3.632,3.755
OTU_245,1.976,3.383
OTU_266,1.454,3.357
OTU_297,1.472,3.173
OTU_301,1.936,3.009
OTU_309,1.405,2.727
OTU_326,1.378,2.812
OTU_35,1.007,2.492
OTU_42,1.533,2.988
OTU_44,1.646,3.313
OTU_643,2.882,3.789
OTU_686,1.868,3.848
OTU_720,2.384,3.192
OTU_73,1.116,2.004
OTU_811,3.117,3.371
OTU_82,1.225,2.891
OTU_878,1.275,2.61
