AhWYJ,RAlogFC,AAlogFC
OTU_1029,-4.33,-4.381
OTU_104,-2.05,-1.821
OTU_108,-3.105,-3.247
OTU_111,-5.221,-4.947
OTU_1116,-2.78,-2.257
OTU_119,-2.399,-1.91
OTU_12,-4.046,-4.016
OTU_120,-1.984,-1.611
OTU_123,-1.26,-0.897
OTU_1279,-3.2,-2.484
OTU_137,-2.359,-2.182
OTU_143,-1.822,-1.268
OTU_146,-2.598,-1.634
OTU_17,-6.815,-5.058
OTU_176,-1.436,-1.234
OTU_18,-1.806,-1.384
OTU_180,-6.271,-6.151
OTU_185,-2.578,-2.235
OTU_189,-2.737,-2.849
OTU_229,-1.932,-1.873
OTU_23,-2.53,-2.099
OTU_234,-1.308,-1.229
OTU_237,-2.935,-2.768
OTU_259,-7.484,-5.01
OTU_262,-2.872,-1.545
OTU_269,-7.588,-5.397
OTU_279,-1.568,-1.218
OTU_281,-2.129,-1.775
OTU_283,-2.67,-2.17
OTU_289,-2,-1.7
OTU_291,-3.49,-3.526
OTU_294,-3.311,-2.797
OTU_2950,-2.227,-1.762
OTU_30,-5.837,-5.775
OTU_302,-2.209,-1.999
OTU_313,-1.83,-1.529
OTU_315,-2.251,-1.923
OTU_317,-1.493,-1.33
OTU_328,-5.454,-4.739
OTU_386,-2.386,-2.086
OTU_411,-4.246,-3.6
OTU_423,-3.768,-2.105
OTU_432,-2.078,-1.838
OTU_45,-3.013,-3.51
OTU_49,-2.296,-2.246
OTU_499,-3.25,-1.69
OTU_540,-3.533,-3.446
OTU_59,-2.118,-1.814
OTU_68,-2.026,-1.628
OTU_775,-2.013,-1.695
OTU_798,-1.835,-1.16
OTU_89,-2.178,-1.765
OTU_90,-2.125,-1.935
OTU_96,-3.986,-3.826
OTU_101,-1.411,-0.899
OTU_1027,-1.949,-1.047
OTU_1046,-6.516,-1.987
OTU_1095,-1.333,-1.128
OTU_115,-1.833,-1.332
OTU_1194,-0.46,-0.185
OTU_1230,-1.01,-0.968
OTU_130,-1.277,-0.745
OTU_132,-1.941,-1.484
OTU_1380,-0.948,-0.503
OTU_1390,-1.025,-0.51
OTU_140,-1.35,-1.183
OTU_145,-0.613,-0.568
OTU_154,-0.948,-0.26
OTU_166,-0.702,-0.404
OTU_167,-0.447,0.005
OTU_179,-0.656,-0.293
OTU_181,-2.078,-1.381
OTU_187,-0.825,-0.343
OTU_190,-0.942,-0.433
OTU_20,-0.814,-0.507
OTU_206,-0.675,-0.504
OTU_209,-0.276,0.04
OTU_21,-1.53,-1.272
OTU_2117,-1.072,-1.211
OTU_218,-1.587,-1.016
OTU_221,-1.272,-1.513
OTU_232,-1.214,-0.959
OTU_2486,-0.806,0.111
OTU_261,-1.117,-0.735
OTU_270,-0.628,-0.269
OTU_278,-1.08,-0.46
OTU_285,-3.103,-1.855
OTU_292,-1.281,-0.868
OTU_296,-0.935,-0.801
OTU_298,-0.875,-0.579
OTU_304,-1.313,-0.908
OTU_308,-0.675,-0.48
OTU_31,-2.567,-1.476
OTU_311,-0.881,-1.039
OTU_312,-0.717,-0.657
OTU_319,-1.534,-1.266
OTU_321,-0.908,-0.795
OTU_331,-0.683,-0.514
OTU_342,-1.113,-0.786
