HNWYJ,RAlogFC,AAlogFC
OTU_10,-2.885,-1.2
OTU_100,-10.763,-9.535
OTU_1095,-11.239,-3.633
OTU_110,-7.404,-2.14
OTU_115,-4.805,-3.2
OTU_119,-5.917,-3.828
OTU_120,-10.838,-3.864
OTU_123,-6.018,-3.141
OTU_131,-11.123,-9.939
OTU_1380,-3.242,-1.12
OTU_142,-2.975,-0.999
OTU_143,-15.184,-7.192
OTU_146,-5.442,-2.48
OTU_15,-14.854,-10.097
OTU_1523,-6.711,-1.845
OTU_154,-7.43,-6.04
OTU_1555,-10.468,-3.762
OTU_158,-7.723,-3.812
OTU_172,-7.683,-6.606
OTU_181,-10.098,-3.012
OTU_2,-5.329,-2.721
OTU_214,-7.576,-6.474
OTU_23,-6.21,-3.901
OTU_232,-9.279,-2.028
OTU_233,-10.179,-8.916
OTU_237,-10.138,-3.33
OTU_259,-6.211,-3.857
OTU_267,-10.313,-3.508
OTU_269,-10.285,-5.584
OTU_2795,-11.128,-3.952
OTU_283,-10.141,-3.576
OTU_290,-8.195,-7.134
OTU_294,-7.569,-2.364
OTU_2950,-3.732,-1.494
OTU_2952,-3.347,-1.673
OTU_30,-9.518,-8.216
OTU_302,-6.427,-3.762
OTU_31,-6.542,-4.172
OTU_312,-4.778,-1.597
OTU_33,-14.078,-8.038
OTU_34,-12.615,-11.249
OTU_36,-4.938,-3.295
OTU_374,-4.194,-2.746
OTU_411,-5.823,-4.203
OTU_412,-7.314,-3.103
OTU_443,-7.907,-4.137
OTU_444,-7.82,-2.414
OTU_492,-10.847,-6.56
OTU_498,-4.669,-3.009
OTU_499,-4.375,-1.498
OTU_54,-5.702,-3.399
OTU_61,-10.459,-9.186
OTU_62,-5.596,-3.858
OTU_66,-8.007,-6.71
OTU_68,-9.249,-7.988
OTU_72,-2.489,-1.953
OTU_80,-10.071,-8.721
OTU_89,-4.963,-3.019
OTU_9,-3.797,-1.934
OTU_90,-11.421,-10.119
OTU_92,-4.002,-2.291
OTU_98,-7.003,-4.54
OTU_99,-10.255,-3.422
OTU_1000,-2.978,-0.601
OTU_106,-1.213,0.835
OTU_11,-2.371,-0.165
OTU_1107,-1.515,0.154
OTU_1112,-0.957,2.115
OTU_1121,-1.466,0.015
OTU_1134,-6.932,1.109
OTU_117,-1.231,0.656
OTU_12,-2.659,-1.215
OTU_127,-2.785,0.161
OTU_1310,-1.374,0.81
OTU_1390,-3.433,-0.452
OTU_1403,-2.502,-0.661
OTU_144,-8.28,-0.754
OTU_151,-0.999,1.061
