,spike,sample06,sample09,sample10,sample11,sample12,sample13,sample14,sample15
Asco-AF1,E05,26.89875045,26.06877809,27.32815965,22.78370514,23.44755774,22.87989774,22.24482707,23.22472849
Asco-AF105,E05,45.90425258,45.81373471,45.73674662,40.12609117,40.02745172,39.24585812,39.25966357,39.77591036
Basi-AF78,E05,27.19699697,28.1174872,26.93509373,37.09020369,36.52499053,37.87424414,38.49550935,36.99936115
Asco-AF1,E05/5,26.53476632,26.54077183,27.33270883,22.5147239,23.59594845,22.90260366,22.90955803,23.22098858
Asco-AF105,E05/5,43.53525484,43.00584218,43.69323504,39.1003597,38.89567651,38.37994214,38.11569186,39.25085938
Basi-AF78,E05/5,29.92997883,30.453386,28.97405612,38.3849164,37.50837504,38.71745419,38.97475011,37.52815204
Asco-AF1,E05/10,26.34076703,25.73572064,26.75855146,22.84680883,23.55234062,23.38491958,22.85670836,23.15721552
Asco-AF105,E05/10,43.64920133,44.40233574,44.69539032,38.95712456,39.32761141,38.02045705,38.67999848,38.66241555
Basi-AF78,E05/10,30.01003164,29.86194362,28.54605822,38.19606661,37.12004797,38.59462337,38.46329316,38.18036894
Asco-AF1,E05/20,26.19820086,25.89341925,26.97853605,23.03742542,23.44770358,23.04130531,22.73141898,23.57866257
Asco-AF105,E05/20,42.06606695,42.6397067,43.25811778,38.3547279,38.00916405,37.3364692,37.51231437,37.47577785
Basi-AF78,E05/20,31.73573219,31.46687405,29.76334618,38.60784668,38.54313237,39.62222549,39.75626665,38.94555958
Asco-AF1,E00,26.61265823,26.32396125,27.23621144,23.34019644,24.34266041,22.33586498,22.49113924,22.55527426
Asco-AF105,E00,40.69535865,40.79724576,41.66272868,37.48945219,36.6287508,37.41434599,37.41097046,37.31983122
Basi-AF78,E00,32.69198312,32.87879299,31.10105988,39.17035137,39.02858879,40.24978903,40.0978903,40.12489451
