,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Asco-AF1,E05,1,0.262950694,0.260720008,0.273014839,0.253788949,NA,0.262618622
Asco-AF105,E05,1,0.451101829,0.442041278,0.432665023,0.450861339,NA,0.444167367
Basi-AF78,E05,1,0.285947477,0.297238715,0.294320138,0.295349713,NA,0.293214011
Asco-AF1,E05-5,1,0.264981782,0.262335749,0.276881513,0.259788544,NA,0.265996897
Asco-AF105,E05-5,1,0.422397085,0.434396682,0.423350058,0.438015569,NA,0.429539848
Basi-AF78,E05-5,1,0.312621133,0.303267569,0.299768429,0.302195887,NA,0.304463255
Asco-AF1,E05-10,1,0.26267741,0.263101486,0.273627064,0.252813981,NA,0.263054985
Asco-AF105,E05-10,1,0.427446777,0.427008648,0.422461868,0.437759182,NA,0.428669119
Basi-AF78,E05-10,1,0.309875813,0.309889866,0.303911068,0.309426836,NA,0.308275896
Asco-AF1,E05,2,0.268987504,0.260687781,0.273281596,NA,NA,0.267652294
Asco-AF105,E05,2,0.459042526,0.458137347,0.457367466,NA,NA,0.458182446
Basi-AF78,E05,2,0.27196997,0.281174872,0.269350937,NA,NA,0.27416526
Asco-AF1,E05-5,2,0.265347663,0.265407718,0.273327088,NA,NA,0.26802749
Asco-AF105,E05-5,2,0.435352548,0.430058422,0.43693235,NA,NA,0.43411444
Basi-AF78,E05-5,2,0.299299788,0.30453386,0.289740561,NA,NA,0.29785807
Asco-AF1,E05-10,2,0.26340767,0.257357206,0.267585515,NA,NA,0.262783464
Asco-AF105,E05-10,2,0.436492013,0.444023357,0.446953903,NA,NA,0.442489758
Basi-AF78,E05-10,2,0.300100316,0.298619436,0.285460582,NA,NA,0.294726778
Asco-AF1,E05,3,0.227837051,0.234475577,0.228798977,0.222448271,0.232247285,0.229161432
Asco-AF105,E05,3,0.401260912,0.400274517,0.392458581,0.392596636,0.397759104,0.39686995
Basi-AF78,E05,3,0.370902037,0.365249905,0.378742441,0.384955094,0.369993611,0.373968618
Asco-AF1,E05-5,3,0.225147239,0.235959484,0.229026037,0.22909558,0.232209886,0.230287645
Asco-AF105,E05-5,3,0.391003597,0.388956765,0.383799421,0.381156919,0.392508594,0.387485059
Basi-AF78,E05-5,3,0.383849164,0.37508375,0.387174542,0.389747501,0.37528152,0.382227296
Asco-AF1,E05-10,3,0.228468088,0.235523406,0.233849196,0.228567084,0.231572155,0.231595986
Asco-AF105,E05-10,3,0.389571246,0.393276114,0.380204571,0.386799985,0.386624155,0.387295214
Basi-AF78,E05-10,3,0.381960666,0.37120048,0.385946234,0.384632932,0.381803689,0.3811088
