	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10	TABS1	TABS2	TABS3	TABS4	TABS5	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAE0H10
TAD1	0.0	0.663710720753	0.654863734686	0.614509428281	0.642002550803	0.638849108521	0.586876761262	0.629222895982	0.581721624235	0.586008814672	0.729663269893	0.903543326671	0.817926200399	0.729391402502	0.914572554383	0.812442608518	0.835846252938	0.868685367027	0.904630567	0.647784279682	0.895785199678	0.91052423346	0.904257626593	0.916547579442	0.900200292589	0.893534448725	0.913686065149	0.907415787656	0.918413580385	0.898465091514	0.0822526529284	0.607903546563	0.637683986361	0.582486572386	0.583594278055	0.809764173657	0.830353080622	0.872245733899	0.904494976799	0.65896859843
TAD2	0.663710720753	0.0	0.456275985451	0.502021397656	0.631849491387	0.390318573722	0.514425634064	0.499678855565	0.377885818059	0.45792544381	0.782127447891	0.926259622158	0.831105078757	0.801158551659	0.928645388363	0.884184171082	0.890426877383	0.884393211943	0.926638122313	0.734580938923	0.912317737651	0.925125378344	0.936590089953	0.92458342941	0.925277123027	0.911502592117	0.926071690966	0.935743973782	0.924391724581	0.927855002748	0.627518232044	0.507696592601	0.623049214929	0.521801390274	0.37673746484	0.878370811022	0.885321368719	0.885688299099	0.924974106028	0.743727464338
TAD3	0.654863734686	0.456275985451	0.0	0.518725758548	0.704089573724	0.510771955171	0.531166899635	0.358403992875	0.487873672733	0.504568036406	0.75402035895	0.907070905483	0.784850135902	0.761327547458	0.844325731359	0.822541937433	0.886681634524	0.829147281268	0.831200770062	0.680594458073	0.939156154923	0.914877548961	0.925003240239	0.928557294727	0.918543008374	0.937688191187	0.913139931575	0.926340632128	0.929595014948	0.917867767856	0.624440866338	0.503222509633	0.694774918823	0.544286540431	0.479057823572	0.817075851029	0.880135215161	0.827877768111	0.83294359427	0.689032135708
TAD4	0.614509428281	0.502021397656	0.518725758548	0.0	0.422138107924	0.539513783492	0.61311667299	0.502344462336	0.542116053899	0.429670965891	0.765808019365	0.912618074541	0.813088164272	0.796631520831	0.906811236133	0.822556101939	0.87353700866	0.844118479336	0.898141698854	0.722914187688	0.919349933392	0.925359071592	0.907021362852	0.924158152814	0.918554376934	0.91879924063	0.927136163728	0.909434579634	0.925277369119	0.918701518985	0.612512010671	0.0320968034198	0.416758546482	0.606124364905	0.546875660134	0.819977775009	0.86799770209	0.848931685151	0.898764774899	0.724568399308
TAD5	0.642002550803	0.631849491387	0.704089573724	0.422138107924	0.0	0.630708560206	0.73711494165	0.685793334805	0.611032345951	0.556261110073	0.809372301841	0.91869496927	0.841459504998	0.819833986136	0.918842204212	0.845783497899	0.881786581169	0.864863941237	0.918319832372	0.778042392937	0.898195616776	0.90230903663	0.896329499593	0.894764966586	0.902763766935	0.89868274203	0.90427482274	0.896651656144	0.896387441949	0.903084039833	0.652739158552	0.424099719636	0.0386241743956	0.728198688499	0.615535213958	0.841986932472	0.877261284699	0.868380387957	0.917937465371	0.782892110719
TAD6	0.638849108521	0.390318573722	0.510771955171	0.539513783492	0.630708560206	0.0	0.531595743437	0.60594514483	0.391849349491	0.469403167829	0.755200832165	0.906905183058	0.807317479156	0.763582510268	0.907174120053	0.855805204702	0.874306669132	0.836938656928	0.885560453417	0.660799364688	0.931676708262	0.92921934349	0.917703900426	0.927701610304	0.921223079149	0.930491463614	0.929397634838	0.918947734249	0.929977979138	0.917031688931	0.61682210267	0.534005479708	0.626880500215	0.529254259501	0.393684965449	0.852128087507	0.86873653955	0.840632804439	0.887533083055	0.670782565425
TAD7	0.586876761262	0.514425634064	0.531166899635	0.61311667299	0.73711494165	0.531595743437	0.0	0.387299468934	0.529362518311	0.587603874837	0.745273004472	0.915563830893	0.789577411796	0.754228656726	0.89755409997	0.813692679047	0.889541564374	0.888736075396	0.899329288557	0.695888644366	0.921675970544	0.936335490637	0.937008994834	0.944392954974	0.939635320622	0.920331795628	0.936145443774	0.938348436756	0.943880701805	0.939446100013	0.564782911583	0.605460306246	0.728485251681	0.024500549979	0.521553432809	0.811963733976	0.883201333593	0.891423753475	0.899833111134	0.702759306785
TAD8	0.629222895982	0.499678855565	0.358403992875	0.502344462336	0.685793334805	0.60594514483	0.387299468934	0.0	0.547260362667	0.645837275764	0.752297690498	0.921140411509	0.824140358346	0.797638687422	0.923939914622	0.846505136029	0.877972656338	0.900646180651	0.918179409078	0.707736858008	0.911511012671	0.9432466233	0.935037250256	0.942616394073	0.924674839868	0.909763821342	0.942009553852	0.93634511493	0.943758400782	0.923491453427	0.604789643586	0.491178844678	0.676827240086	0.394421592027	0.537608300789	0.839378290781	0.872016488626	0.901620143398	0.920797724625	0.716500701265
TAD9	0.581721624235	0.377885818059	0.487873672733	0.542116053899	0.611032345951	0.391849349491	0.529362518311	0.547260362667	0.0	0.432410192368	0.771395303886	0.910301887399	0.8245002841	0.785664520727	0.904095427557	0.85631825106	0.871729773346	0.859204340491	0.896397747659	0.705118243686	0.876216422176	0.900219566584	0.903785189903	0.908425265681	0.897971483676	0.874006361408	0.901923845939	0.905870918319	0.909428604856	0.897317504977	0.551791946251	0.53461254514	0.603929616809	0.52515884271	0.0289248991638	0.852311259639	0.864361601128	0.861730691212	0.894535246006	0.71237103365
TAD10	0.586008814672	0.45792544381	0.504568036406	0.429670965891	0.556261110073	0.469403167829	0.587603874837	0.645837275764	0.432410192368	0.0	0.723324616543	0.877589158944	0.773911039706	0.768161688279	0.867865306869	0.787441619636	0.858238496557	0.824863054776	0.853865927158	0.646032571168	0.916454429759	0.898430300931	0.907451842735	0.903372498921	0.900137256605	0.915671610052	0.899257592994	0.908755154987	0.903107900178	0.899000184452	0.563203291975	0.426099386407	0.548082093176	0.584235955321	0.436406883825	0.783292559843	0.852575430828	0.82573341306	0.853681996514	0.655762842559
TAH1	0.729663269893	0.782127447891	0.75402035895	0.765808019365	0.809372301841	0.755200832165	0.745273004472	0.752297690498	0.771395303886	0.723324616543	0.0	0.708492174347	0.842324845273	0.787511818511	0.872348711505	0.815414209928	0.696651368899	0.810415460306	0.890120087709	0.484779324806	0.832870103976	0.873370708147	0.828215896033	0.705966901562	0.841143433235	0.831771790602	0.874223436072	0.824919839866	0.708680338114	0.840497513142	0.724511934822	0.765049779133	0.798303037223	0.743718097322	0.770887421631	0.805740247108	0.671086863097	0.810600955518	0.889772832896	0.474321240254
TAH2	0.903543326671	0.926259622158	0.907070905483	0.912618074541	0.91869496927	0.906905183058	0.915563830893	0.921140411509	0.910301887399	0.877589158944	0.708492174347	0.0	0.858036354019	0.862446700716	0.856385970001	0.819181093068	0.790321954642	0.428506784323	0.830413278321	0.78394248362	0.881138192203	0.910575454504	0.898146708595	0.839838964471	0.888310392715	0.885519605404	0.910391448701	0.894184146808	0.838899530975	0.888661857449	0.898000064309	0.912380451606	0.913058390101	0.914865432404	0.91017576571	0.815913103593	0.78503115139	0.428987798831	0.816369630358	0.777815261293
TAH3	0.817926200399	0.831105078757	0.784850135902	0.813088164272	0.841459504998	0.807317479156	0.789577411796	0.824140358346	0.8245002841	0.773911039706	0.842324845273	0.858036354019	0.0	0.606066262163	0.763926949839	0.581281977623	0.920344795452	0.804905082286	0.797146011261	0.771647614589	0.96213274665	0.953106990759	0.953304596052	0.938586536984	0.956028349279	0.96178177505	0.952476542886	0.9546676547	0.936750812415	0.956026385837	0.817600547699	0.810651474227	0.839114940538	0.790898904812	0.825198170933	0.583262950868	0.914812731615	0.80648605855	0.796182716545	0.768932942705
TAH4	0.729391402502	0.801158551659	0.761327547458	0.796631520831	0.819833986136	0.763582510268	0.754228656726	0.797638687422	0.785664520727	0.768161688279	0.787511818511	0.862446700716	0.606066262163	0.0	0.724443986436	0.721465466059	0.886507412528	0.791917859298	0.741933488945	0.689521439566	0.932255569711	0.93039152536	0.918936203244	0.909967651738	0.930315898422	0.931193668567	0.930879315451	0.918327032417	0.908392799261	0.930101726744	0.728783207842	0.798103762133	0.812025127026	0.751404771343	0.786220706913	0.71731119399	0.88104510948	0.793196448707	0.742221517379	0.689759419591
