Promicromonospora	Phyllobacterium	Pseudomonas	Rhizobium	Flavobacterium	Sphingomonas	Variovorax	Pseudoxanthomonas	g__Acremonium	Chryseobacterium	Lentzea	Nocardioides	g__Lachnella	g__Scytalidium	Streptomyces	Actinoplanes	Herbaspirillum	g__Magnaporthiopsis	Mycobacterium	Kribbella	Massilia	g__Ophiosphaerella	Devosia	Microbacterium	Sphingopyxis	Stenotrophomonas	Mesorhizobium	g__Gibberella	Caulobacter	Aeromicrobium	Sorangium	Agromyces	Steroidobacter	Arthrobacter	g__Pyrenochaetopsis	Chondromyces	Umezawaea	Pantoea	Rhodanobacter	g__Sarocladium	Shinella	Lysobacter	Solirubrobacter	Bosea	Glycomyces	Cellulomonas	Bradyrhizobium	Burkholderia	Rhodopseudomonas	Bacillus	g__Bipolaris	g__Mycosphaerella	g__Didymella	Actinosynnema	Reyranella	Haliangium
Promicromonospora	0	0	0.647883301182676	0.0489123216108154	0.0245221535210005	0.179544091983518	0.179544091983518	0.179544091983518	0.522927376109033	0.0744253544403319	0	0.0603958806601786	0.360036645485575	0.752138049115845	0.360036645485575	0.264168219862778	0.105755720807267	0.522927376109033	0.0489123216108154	0.0489123216108154	0.00801489711197443	0.310474664507151	0.0744253544403319	0.22102675952445	0.360036645485575	0.310474664507151	0.123034547391291	0.752138049115845	0.0603958806601786	0.242289346751836	0.22102675952445	0.22102675952445	0.264168219862778	0.201424679024173	0.785458365364536	0.286434807524383	0.22102675952445	0.55413340016279	0.105755720807267	0.522927376109033	0.0744253544403319	0.286434807524383	0.22102675952445	0.00221740697987248	0.242289346751836	0.242289346751836	0.242289346751836	0.286434807524383	0.00801489711197443	0.123034547391291	0.411294276618771	0.46471992571897	0.105755720807267	0.386565164901315	0.0744253544403319	0.22102675952445
Phyllobacterium	0	0	0.647883301182676	0.0489123216108154	0.0245221535210005	0.179544091983518	0.179544091983518	0.179544091983518	0.522927376109033	0.0744253544403319	0	0.0603958806601786	0.360036645485575	0.752138049115845	0.360036645485575	0.264168219862778	0.105755720807267	0.522927376109033	0.0489123216108154	0.0489123216108154	0.00801489711197443	0.310474664507151	0.0744253544403319	0.22102675952445	0.360036645485575	0.310474664507151	0.123034547391291	0.752138049115845	0.0603958806601786	0.242289346751836	0.22102675952445	0.22102675952445	0.264168219862778	0.201424679024173	0.785458365364536	0.286434807524383	0.22102675952445	0.55413340016279	0.105755720807267	0.522927376109033	0.0744253544403319	0.286434807524383	0.22102675952445	0.00221740697987248	0.242289346751836	0.242289346751836	0.242289346751836	0.286434807524383	0.00801489711197443	0.123034547391291	0.411294276618771	0.46471992571897	0.105755720807267	0.386565164901315	0.0744253544403319	0.22102675952445
Pseudomonas	0.570156320815768	0.570156320815768	0	0.22102675952445	0.617020500145474	0.0744253544403319	0.105755720807267	0.105755720807267	0.22102675952445	0.242289346751836	0.647883301182676	0.647883301182676	0.924147611587141	0.647883301182676	0.286434807524383	0.22102675952445	0.123034547391291	0.22102675952445	0.22102675952445	0.924147611587141	0.584311491661558	0.33799305162718	0.310474664507151	0.264168219862778	0.0744253544403319	0.22102675952445	0.264168219862778	0.411294276618771	0.386565164901315	0.522927376109033	0.647883301182676	0.716602990765396	0.33799305162718	0.716602990765396	0.123034547391291	0.924147611587141	0.310474664507151	0.0744253544403319	0.123034547391291	0.0489123216108154	0.310474664507151	0.201424679024173	0.716602990765396	0.522927376109033	0.856040759793161	0.522927376109033	0.49421398342114	0.140253633099399	0.439495281880935	0.683076730699121	0.105755720807267	0.286434807524383	0.264168219862778	0.123034547391291	0.242289346751836	0.716602990765396
Rhizobium	0.00653001725471527	0.00653001725471527	0.101733037454265	0	0.0603958806601786	0.0603958806601786	0.0245221535210005	0.0245221535210005	0.46471992571897	0.00221740697987248	0.0489123216108154	0.179544091983518	0.647883301182676	0.683076730699121	0.264168219862778	0.140253633099399	0.0359817947793598	0.46471992571897	0	0.242289346751836	0.0489123216108154	0.264168219862778	0.0245221535210005	0.201424679024173	0.158414309008367	0.310474664507151	0.0603958806601786	1	0.01694913730562	0.360036645485575	0.411294276618771	0.411294276618771	0.22102675952445	0.360036645485575	0.439495281880935	0.522927376109033	0.201424679024173	0.242289346751836	0.00801489711197443	0.22102675952445	0.0245221535210005	0.123034547391291	0.411294276618771	0.0245221535210005	0.522927376109033	0.360036645485575	0.264168219862778	0.140253633099399	0.01694913730562	0.310474664507151	0.090262663365075	0.201424679024173	0.00801489711197443	0.105755720807267	0.00221740697987248	0.411294276618771
Flavobacterium	0.00200827550542945	0.00200827550542945	0.530922861565801	0.0101755401234568	0	0.201424679024173	0.158414309008367	0.158414309008367	0.584311491661558	0.0744253544403319	0.0245221535210005	0.0359817947793598	0.201424679024173	0.49421398342114	0.201424679024173	0.123034547391291	0.140253633099399	0.647883301182676	0.0603958806601786	0.0245221535210005	0.00221740697987248	0.360036645485575	0.01694913730562	0.49421398342114	0.55413340016279	0.617020500145474	0.0744253544403319	0.683076730699121	0.0245221535210005	0.158414309008367	0.201424679024173	0.123034547391291	0.090262663365075	0.0744253544403319	1	0.123034547391291	0.105755720807267	0.439495281880935	0.179544091983518	0.683076730699121	0.01694913730562	0.123034547391291	0.123034547391291	0.00801489711197443	0.360036645485575	0.158414309008367	0.0603958806601786	0.201424679024173	0.0744253544403319	0.158414309008367	0.286434807524383	0.310474664507151	0.0603958806601786	0.201424679024173	0.0489123216108154	0.123034547391291
Sphingomonas	0.0709876543209876	0.0709876543209876	0.0149026676862301	0.0101755401234568	0.0855588910126731	0	0.0359817947793598	0.0359817947793598	0.158414309008367	0.123034547391291	0.179544091983518	0.201424679024173	0.522927376109033	0.891343338894277	0.179544091983518	0.105755720807267	0.00221740697987248	0.201424679024173	0.0603958806601786	0.46471992571897	0.158414309008367	0.286434807524383	0.090262663365075	0.140253633099399	0.0744253544403319	0.105755720807267	0.105755720807267	0.959755923004847	0.158414309008367	0.22102675952445	0.286434807524383	0.310474664507151	0.140253633099399	0.286434807524383	0.360036645485575	0.49421398342114	0.105755720807267	0.105755720807267	0.0359817947793598	0.123034547391291	0.090262663365075	0.105755720807267	0.310474664507151	0.123034547391291	0.46471992571897	0.22102675952445	0.22102675952445	0.0359817947793598	0.140253633099399	0.264168219862778	0.22102675952445	0.439495281880935	0.158414309008367	0.140253633099399	0.090262663365075	0.310474664507151
Variovorax	0.0709876543209876	0.0709876543209876	0.0280049391530719	0.00200827550542945	0.0579903181645727	0.0038503204637324	0	0	0.411294276618771	0.0603958806601786	0.179544091983518	0.360036645485575	0.716602990765396	0.820212309327793	0.310474664507151	0.179544091983518	0.0603958806601786	0.522927376109033	0.0245221535210005	0.439495281880935	0.179544091983518	0.522927376109033	0.0744253544403319	0.158414309008367	0.0603958806601786	0.264168219862778	0.201424679024173	0.716602990765396	0.0359817947793598	0.522927376109033	0.647883301182676	0.584311491661558	0.264168219862778	0.411294276618771	0.242289346751836	0.647883301182676	0.286434807524383	0.0603958806601786	0.0245221535210005	0.0744253544403319	0.0744253544403319	0.090262663365075	0.584311491661558	0.105755720807267	0.785458365364536	0.522927376109033	0.310474664507151	0.0245221535210005	0.123034547391291	0.584311491661558	0.0603958806601786	0.158414309008367	0.0489123216108154	0.0245221535210005	0.01694913730562	0.584311491661558
Pseudoxanthomonas	0.0709876543209876	0.0709876543209876	0.0280049391530719	0.00200827550542945	0.0579903181645727	0.0038503204637324	0	0	0.411294276618771	0.0603958806601786	0.179544091983518	0.360036645485575	0.716602990765396	0.820212309327793	0.310474664507151	0.179544091983518	0.0603958806601786	0.522927376109033	0.0245221535210005	0.439495281880935	0.179544091983518	0.522927376109033	0.0744253544403319	0.158414309008367	0.0603958806601786	0.264168219862778	0.201424679024173	0.716602990765396	0.0359817947793598	0.522927376109033	0.647883301182676	0.584311491661558	0.264168219862778	0.411294276618771	0.242289346751836	0.647883301182676	0.286434807524383	0.0603958806601786	0.0245221535210005	0.0744253544403319	0.0744253544403319	0.090262663365075	0.584311491661558	0.105755720807267	0.785458365364536	0.522927376109033	0.310474664507151	0.0245221535210005	0.123034547391291	0.584311491661558	0.0603958806601786	0.158414309008367	0.0489123216108154	0.0245221535210005	0.01694913730562	0.584311491661558
g__Acremonium	0.419753086419753	0.419753086419753	0.101733037454265	0.351812553117565	0.492726245016957	0.0579903181645727	0.28940322484679	0.28940322484679	0	0.584311491661558	0.522927376109033	0.439495281880935	0.584311491661558	0.856040759793161	0.090262663365075	0.140253633099399	0.179544091983518	0.00801489711197443	0.46471992571897	0.617020500145474	0.522927376109033	0.158414309008367	0.360036645485575	0.439495281880935	0.286434807524383	0.140253633099399	0.310474664507151	0.617020500145474	0.683076730699121	0.201424679024173	0.179544091983518	0.310474664507151	0.242289346751836	0.49421398342114	0.584311491661558	0.386565164901315	0.201424679024173	0.179544091983518	0.286434807524383	0.360036645485575	0.360036645485575	0.201424679024173	0.310474664507151	0.55413340016279	0.123034547391291	0.201424679024173	0.360036645485575	0.286434807524383	0.522927376109033	0.22102675952445	0.752138049115845	0.856040759793161	0.647883301182676	0.522927376109033	0.522927376109033	0.310474664507151
Chryseobacterium	0.0149026676862301	0.0149026676862301	0.119529806138793	3.31439602620011e-05	0.0149026676862301	0.0365527610528608	0.0101755401234568	0.0101755401234568	0.492726245016957	0	0.0744253544403319	0.201424679024173	0.683076730699121	0.49421398342114	0.286434807524383	0.158414309008367	0.0744253544403319	0.522927376109033	0.00221740697987248	0.264168219862778	0.0603958806601786	0.22102675952445	0.0359817947793598	0.286434807524383	0.242289346751836	0.439495281880935	0.0489123216108154	0.959755923004847	0.0245221535210005	0.386565164901315	0.439495281880935	0.439495281880935	0.242289346751836	0.411294276618771	0.46471992571897	0.55413340016279	0.22102675952445	0.33799305162718	0.0245221535210005	0.286434807524383	0.0359817947793598	0.158414309008367	0.439495281880935	0.0489123216108154	0.584311491661558	0.386565164901315	0.286434807524383	0.242289346751836	0.0245221535210005	0.33799305162718	0.0603958806601786	0.140253633099399	0.00221740697987248	0.123034547391291	0.00801489711197443	0.439495281880935
Lentzea	0	0	0.570156320815768	0.00653001725471527	0.00200827550542945	0.0709876543209876	0.0709876543209876	0.0709876543209876	0.419753086419753	0.0149026676862301	0	0.0603958806601786	0.360036645485575	0.752138049115845	0.360036645485575	0.264168219862778	0.105755720807267	0.522927376109033	0.0489123216108154	0.0489123216108154	0.00801489711197443	0.310474664507151	0.0744253544403319	0.22102675952445	0.360036645485575	0.310474664507151	0.123034547391291	0.752138049115845	0.0603958806601786	0.242289346751836	0.22102675952445	0.22102675952445	0.264168219862778	0.201424679024173	0.785458365364536	0.286434807524383	0.22102675952445	0.55413340016279	0.105755720807267	0.522927376109033	0.0744253544403319	0.286434807524383	0.22102675952445	0.00221740697987248	0.242289346751836	0.242289346751836	0.242289346751836	0.286434807524383	0.00801489711197443	0.123034547391291	0.411294276618771	0.46471992571897	0.105755720807267	0.386565164901315	0.0744253544403319	0.22102675952445
Nocardioides	0.0101755401234568	0.0101755401234568	0.570156320815768	0.0709876543209876	0.0038503204637324	0.0855588910126731	0.232935534650098	0.232935534650098	0.319888641228816	0.0855588910126731	0.0101755401234568	0	0.0744253544403319	0.411294276618771	0.201424679024173	0.158414309008367	0.123034547391291	0.411294276618771	0.179544091983518	0.0603958806601786	0.01694913730562	0.242289346751836	0.090262663365075	0.49421398342114	0.683076730699121	0.46471992571897	0.0603958806601786	0.522927376109033	0.201424679024173	0.0245221535210005	0.0359817947793598	0.01694913730562	0.0603958806601786	0.0245221535210005	0.856040759793161	0.0744253544403319	0.0359817947793598	0.683076730699121	0.310474664507151	0.856040759793161	0.090262663365075	0.264168219862778	0.01694913730562	0.0489123216108154	0.22102675952445	0.0245221535210005	0.0489123216108154	0.310474664507151	0.140253633099399	0.0245221535210005	0.55413340016279	0.584311491661558	0.242289346751836	0.46471992571897	0.22102675952445	0.01694913730562
