Promicromonospora	Phyllobacterium	Pseudomonas	Rhizobium	Flavobacterium	Sphingomonas	Variovorax	Pseudoxanthomonas	g__Acremonium	Chryseobacterium	Lentzea	Nocardioides	g__Lachnella	g__Scytalidium	Streptomyces	Actinoplanes	Herbaspirillum	g__Magnaporthiopsis	Mycobacterium	Kribbella	Massilia	g__Ophiosphaerella	Devosia	Microbacterium	Sphingopyxis	Stenotrophomonas	Mesorhizobium	g__Gibberella	Caulobacter	Aeromicrobium	Sorangium	Agromyces	Steroidobacter	Arthrobacter	g__Pyrenochaetopsis	Chondromyces	Umezawaea	Pantoea	Rhodanobacter	g__Sarocladium	Shinella	Lysobacter	Solirubrobacter	Bosea	Glycomyces	Cellulomonas	Bradyrhizobium	Burkholderia	Rhodopseudomonas	Bacillus	g__Bipolaris	g__Mycosphaerella	g__Didymella	Actinosynnema	Reyranella	Haliangium
Promicromonospora	1	1	0.238095238095238	0.857142857142857	0.904761904761905	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.80952380952381	1	0.833333333333333	0.476190476190476	0.166666666666667	0.476190476190476	0.571428571428572	0.761904761904762	0.333333333333333	0.857142857142857	0.857142857142857	0.952380952380953	0.523809523809524	0.80952380952381	0.619047619047619	0.476190476190476	0.523809523809524	0.738095238095238	-0.166666666666667	0.833333333333333	0.595238095238095	0.619047619047619	0.619047619047619	0.571428571428572	0.642857142857143	0.142857142857143	0.547619047619048	0.619047619047619	0.30952380952381	0.761904761904762	0.333333333333333	0.80952380952381	0.547619047619048	0.619047619047619	0.976190476190476	0.595238095238095	0.595238095238095	0.595238095238095	0.547619047619048	0.952380952380953	0.738095238095238	0.428571428571429	0.380952380952381	0.761904761904762	0.452380952380952	0.80952380952381	0.619047619047619
Phyllobacterium	1	1	0.238095238095238	0.857142857142857	0.904761904761905	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.80952380952381	1	0.833333333333333	0.476190476190476	0.166666666666667	0.476190476190476	0.571428571428572	0.761904761904762	0.333333333333333	0.857142857142857	0.857142857142857	0.952380952380953	0.523809523809524	0.80952380952381	0.619047619047619	0.476190476190476	0.523809523809524	0.738095238095238	-0.166666666666667	0.833333333333333	0.595238095238095	0.619047619047619	0.619047619047619	0.571428571428572	0.642857142857143	0.142857142857143	0.547619047619048	0.619047619047619	0.30952380952381	0.761904761904762	0.333333333333333	0.80952380952381	0.547619047619048	0.619047619047619	0.976190476190476	0.595238095238095	0.595238095238095	0.595238095238095	0.547619047619048	0.952380952380953	0.738095238095238	0.428571428571429	0.380952380952381	0.761904761904762	0.452380952380952	0.80952380952381	0.619047619047619
Pseudomonas	0.238095238095238	0.238095238095238	1	0.619047619047619	0.261904761904762	0.80952380952381	0.761904761904762	0.761904761904762	0.619047619047619	0.595238095238095	0.238095238095238	0.238095238095238	0.0476190476190476	0.238095238095238	0.547619047619048	0.619047619047619	0.738095238095238	0.619047619047619	0.619047619047619	-0.0476190476190476	0.285714285714286	0.5	0.523809523809524	0.571428571428572	0.80952380952381	0.619047619047619	0.571428571428572	0.428571428571429	0.452380952380952	0.333333333333333	0.238095238095238	0.19047619047619	0.5	0.19047619047619	0.738095238095238	0.0476190476190476	0.523809523809524	0.80952380952381	0.738095238095238	0.857142857142857	0.523809523809524	0.642857142857143	0.19047619047619	0.333333333333333	0.0952380952380952	0.333333333333333	0.357142857142857	0.714285714285714	0.404761904761905	0.214285714285714	0.761904761904762	0.547619047619048	0.571428571428572	0.738095238095238	0.595238095238095	0.19047619047619
Rhizobium	0.857142857142857	0.857142857142857	0.619047619047619	1	0.833333333333333	0.833333333333333	0.904761904761905	0.904761904761905	0.380952380952381	0.976190476190476	0.857142857142857	0.666666666666667	0.238095238095238	0.214285714285714	0.571428571428572	0.714285714285714	0.880952380952381	0.380952380952381	1	0.595238095238095	0.857142857142857	0.571428571428572	0.904761904761905	0.642857142857143	0.690476190476191	0.523809523809524	0.833333333333333	0	0.928571428571429	0.476190476190476	0.428571428571429	0.428571428571429	0.619047619047619	0.476190476190476	0.404761904761905	0.333333333333333	0.642857142857143	0.595238095238095	0.952380952380953	0.619047619047619	0.904761904761905	0.738095238095238	0.428571428571429	0.904761904761905	0.333333333333333	0.476190476190476	0.571428571428572	0.714285714285714	0.928571428571429	0.523809523809524	0.785714285714286	0.642857142857143	0.952380952380953	0.761904761904762	0.976190476190476	0.428571428571429
Flavobacterium	0.904761904761905	0.904761904761905	0.261904761904762	0.833333333333333	1	0.642857142857143	0.690476190476191	0.690476190476191	0.285714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.642857142857143	0.357142857142857	0.642857142857143	0.738095238095238	0.714285714285714	0.238095238095238	0.833333333333333	0.904761904761905	0.976190476190476	0.476190476190476	0.928571428571429	0.357142857142857	0.30952380952381	0.261904761904762	0.80952380952381	-0.214285714285714	0.904761904761905	0.690476190476191	0.642857142857143	0.738095238095238	0.785714285714286	0.80952380952381	0	0.738095238095238	0.761904761904762	0.404761904761905	0.666666666666667	0.214285714285714	0.928571428571429	0.738095238095238	0.738095238095238	0.952380952380953	0.476190476190476	0.690476190476191	0.833333333333333	0.642857142857143	0.80952380952381	0.690476190476191	0.547619047619048	0.523809523809524	0.833333333333333	0.642857142857143	0.857142857142857	0.738095238095238
Sphingomonas	0.666666666666667	0.666666666666667	0.80952380952381	0.833333333333333	0.642857142857143	1	0.880952380952381	0.880952380952381	0.690476190476191	0.738095238095238	0.666666666666667	0.642857142857143	0.333333333333333	0.0714285714285714	0.666666666666667	0.761904761904762	0.976190476190476	0.642857142857143	0.833333333333333	0.380952380952381	0.690476190476191	0.547619047619048	0.785714285714286	0.714285714285714	0.80952380952381	0.761904761904762	0.761904761904762	0.0238095238095238	0.690476190476191	0.619047619047619	0.547619047619048	0.523809523809524	0.714285714285714	0.547619047619048	0.476190476190476	0.357142857142857	0.761904761904762	0.761904761904762	0.880952380952381	0.738095238095238	0.785714285714286	0.761904761904762	0.523809523809524	0.738095238095238	0.380952380952381	0.619047619047619	0.619047619047619	0.880952380952381	0.714285714285714	0.571428571428572	0.619047619047619	0.404761904761905	0.690476190476191	0.714285714285714	0.785714285714286	0.523809523809524
Variovorax	0.666666666666667	0.666666666666667	0.761904761904762	0.904761904761905	0.690476190476191	0.880952380952381	1	1	0.428571428571429	0.833333333333333	0.666666666666667	0.476190476190476	0.19047619047619	0.119047619047619	0.523809523809524	0.666666666666667	0.833333333333333	0.333333333333333	0.904761904761905	0.404761904761905	0.666666666666667	0.333333333333333	0.80952380952381	0.690476190476191	0.833333333333333	0.571428571428572	0.642857142857143	0.19047619047619	0.880952380952381	0.333333333333333	0.238095238095238	0.285714285714286	0.571428571428572	0.428571428571429	0.595238095238095	0.238095238095238	0.547619047619048	0.833333333333333	0.904761904761905	0.80952380952381	0.80952380952381	0.785714285714286	0.285714285714286	0.761904761904762	0.142857142857143	0.333333333333333	0.523809523809524	0.904761904761905	0.738095238095238	0.285714285714286	0.833333333333333	0.690476190476191	0.857142857142857	0.904761904761905	0.928571428571429	0.285714285714286
Pseudoxanthomonas	0.666666666666667	0.666666666666667	0.761904761904762	0.904761904761905	0.690476190476191	0.880952380952381	1	1	0.428571428571429	0.833333333333333	0.666666666666667	0.476190476190476	0.19047619047619	0.119047619047619	0.523809523809524	0.666666666666667	0.833333333333333	0.333333333333333	0.904761904761905	0.404761904761905	0.666666666666667	0.333333333333333	0.80952380952381	0.690476190476191	0.833333333333333	0.571428571428572	0.642857142857143	0.19047619047619	0.880952380952381	0.333333333333333	0.238095238095238	0.285714285714286	0.571428571428572	0.428571428571429	0.595238095238095	0.238095238095238	0.547619047619048	0.833333333333333	0.904761904761905	0.80952380952381	0.80952380952381	0.785714285714286	0.285714285714286	0.761904761904762	0.142857142857143	0.333333333333333	0.523809523809524	0.904761904761905	0.738095238095238	0.285714285714286	0.833333333333333	0.690476190476191	0.857142857142857	0.904761904761905	0.928571428571429	0.285714285714286
g__Acremonium	0.333333333333333	0.333333333333333	0.619047619047619	0.380952380952381	0.285714285714286	0.690476190476191	0.428571428571429	0.428571428571429	1	0.285714285714286	0.333333333333333	0.404761904761905	0.285714285714286	-0.0952380952380952	0.785714285714286	0.714285714285714	0.666666666666667	0.952380952380953	0.380952380952381	0.261904761904762	0.333333333333333	0.690476190476191	0.476190476190476	0.404761904761905	0.547619047619048	0.714285714285714	0.523809523809524	0.261904761904762	0.214285714285714	0.642857142857143	0.666666666666667	0.523809523809524	0.595238095238095	0.357142857142857	0.285714285714286	0.452380952380952	0.642857142857143	0.666666666666667	0.547619047619048	0.476190476190476	0.476190476190476	0.642857142857143	0.523809523809524	0.30952380952381	0.738095238095238	0.642857142857143	0.476190476190476	0.547619047619048	0.333333333333333	0.619047619047619	0.166666666666667	-0.0952380952380952	0.238095238095238	0.333333333333333	0.333333333333333	0.523809523809524
Chryseobacterium	0.80952380952381	0.80952380952381	0.595238095238095	0.976190476190476	0.80952380952381	0.738095238095238	0.833333333333333	0.833333333333333	0.285714285714286	1	0.80952380952381	0.642857142857143	0.214285714285714	0.357142857142857	0.547619047619048	0.690476190476191	0.80952380952381	0.333333333333333	0.976190476190476	0.571428571428572	0.833333333333333	0.619047619047619	0.880952380952381	0.547619047619048	0.595238095238095	0.404761904761905	0.857142857142857	0.0238095238095238	0.904761904761905	0.452380952380952	0.404761904761905	0.404761904761905	0.595238095238095	0.428571428571429	0.380952380952381	0.30952380952381	0.619047619047619	0.5	0.904761904761905	0.547619047619048	0.880952380952381	0.690476190476191	0.404761904761905	0.857142857142857	0.285714285714286	0.452380952380952	0.547619047619048	0.595238095238095	0.904761904761905	0.5	0.833333333333333	0.714285714285714	0.976190476190476	0.738095238095238	0.952380952380953	0.404761904761905
