Promicromonospora	Phyllobacterium	Pseudomonas	Rhizobium	Flavobacterium	Sphingomonas	Variovorax	Pseudoxanthomonas	Streptomyces	Chryseobacterium	Lentzea	Nocardioides	Actinoplanes	Herbaspirillum	Mycobacterium	Kribbella	Massilia	Devosia	Microbacterium	Sphingopyxis	Stenotrophomonas	Mesorhizobium	Caulobacter	Aeromicrobium	Sorangium	Agromyces	Steroidobacter	Arthrobacter	Chondromyces	Umezawaea	Pantoea	Rhodanobacter	Shinella	Lysobacter	Solirubrobacter	Bosea	Glycomyces	Cellulomonas	Bradyrhizobium	Burkholderia	Rhodopseudomonas	Bacillus	Actinosynnema	Reyranella	Haliangium	g__Acremonium	g__Lachnella	g__Scytalidium	g__Magnaporthiopsis	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Sarocladium	g__Mycosphaerella	g__Didymella	g__Bipolaris
Promicromonospora	0	0.366194151399936	0.817491611258206	0.938653887925052	0.642375417977446	0.918466893132046	0.883544535819056	0.900459293359297	0.52943033452252	0.951822830796759	0.159154262521075	0.135734733424969	0.642375417977446	0.792481427045816	0.69710669304468	0.345091278433391	0.366194151399936	0.52943033452252	0.69710669304468	0.836580812055786	0.817491611258206	0.792481427045816	0.918466893132046	0.366194151399936	0.366194151399936	0.187175911530876	0.817491611258206	0.284057606808134	0.284057606808134	0.967761485066497	0.817491611258206	0.883544535819056	0.86214658000047	0.951822830796759	0.159154262521075	0.31541353887849	0.135734733424969	0.366194151399936	0.836580812055786	0.883544535819056	0.52943033452252	0.52943033452252	0.967761485066497	0.900459293359297	0.583924207000872	0.583924207000872	0.503138854146027	0.938653887925052	0.72608969823851	0.792481427045816	0.883544535819056	0.951822830796759	0.938653887925052	1	0.938653887925052	0.918466893132046
Phyllobacterium	0.101733037454265	0	1	0.442419591696345	0.366194151399936	0.900459293359297	0.951822830796759	0.836580812055786	0.72608969823851	0.442419591696345	0.366194151399936	0.72608969823851	0.967761485066497	0.918466893132046	0.345091278433391	0.467200618249921	0.0625190436848857	0.61315738849696	0.642375417977446	0.7740442598996	0.951822830796759	0.7740442598996	0.52943033452252	0.559613609285521	0.583924207000872	0.583924207000872	0.900459293359297	0.69710669304468	0.673659049278275	0.918466893132046	0.938653887925052	0.642375417977446	0.417134937482782	0.951822830796759	0.69710669304468	0.115994100851137	0.72608969823851	0.72608969823851	0.883544535819056	0.900459293359297	0.0885212851882095	0.72608969823851	0.72608969823851	0.417134937482782	0.61315738849696	0.967761485066497	0.642375417977446	0.836580812055786	0.967761485066497	0.642375417977446	0.883544535819056	0.817491611258206	0.836580812055786	0.417134937482782	0.442419591696345	0.559613609285521
Pseudomonas	0.610344415645267	1	0	0.234793344170654	0.951822830796759	0.284057606808134	0.391951032534517	0.209384078745506	0.967761485066497	0.31541353887849	0.938653887925052	0.817491611258206	0.642375417977446	0.0438291355998331	0.559613609285521	0.883544535819056	0.86214658000047	0.967761485066497	0.391951032534517	0.284057606808134	0.366194151399936	0.938653887925052	0.750376677210764	0.86214658000047	0.938653887925052	0.792481427045816	0.86214658000047	0.836580812055786	0.900459293359297	0.583924207000872	0.391951032534517	0.234793344170654	0.792481427045816	0.61315738849696	0.792481427045816	0.951822830796759	1	0.900459293359297	0.883544535819056	0.442419591696345	0.792481427045816	0.918466893132046	0.417134937482782	0.583924207000872	0.938653887925052	0.559613609285521	0.900459293359297	0.750376677210764	0.442419591696345	0.559613609285521	0.417134937482782	0.135734733424969	0.115994100851137	0.503138854146027	0.559613609285521	0.284057606808134
Rhizobium	0.866526270675909	0.160025642538896	0.0365527610528608	0	0.792481427045816	0.750376677210764	0.750376677210764	0.417134937482782	0.86214658000047	0.0222573972064238	0.938653887925052	0.792481427045816	0.817491611258206	0.391951032534517	0.209384078745506	0.883544535819056	0.673659049278275	0.792481427045816	0.52943033452252	0.467200618249921	0.86214658000047	0.86214658000047	0.467200618249921	0.951822830796759	0.900459293359297	0.86214658000047	0.883544535819056	0.883544535819056	1	0.61315738849696	0.61315738849696	0.209384078745506	0.391951032534517	0.836580812055786	0.7740442598996	0.69710669304468	0.918466893132046	0.918466893132046	0.900459293359297	0.918466893132046	0.259228722726075	0.900459293359297	0.467200618249921	0.284057606808134	0.918466893132046	0.836580812055786	0.967761485066497	0.836580812055786	0.69710669304468	0.366194151399936	0.673659049278275	0.366194151399936	0.345091278433391	0.234793344170654	0.366194151399936	0.115994100851137
Flavobacterium	0.351812553117565	0.101733037454265	0.910849168519584	0.570156320815768	0	0.7740442598996	0.750376677210764	0.938653887925052	0.559613609285521	0.673659049278275	0.559613609285521	0.52943033452252	0.967761485066497	0.918466893132046	0.836580812055786	0.417134937482782	0.135734733424969	0.503138854146027	0.951822830796759	0.918466893132046	1	0.187175911530876	0.135734733424969	0.366194151399936	0.61315738849696	0.417134937482782	0.31541353887849	0.345091278433391	0.583924207000872	0.52943033452252	0.900459293359297	1	0.209384078745506	0.52943033452252	0.417134937482782	0.234793344170654	0.918466893132046	0.366194151399936	0.209384078745506	0.750376677210764	0.673659049278275	0.69710669304468	0.366194151399936	0.366194151399936	0.209384078745506	0.86214658000047	0.187175911530876	0.209384078745506	0.817491611258206	0.951822830796759	0.750376677210764	0.951822830796759	0.951822830796759	0.284057606808134	0.259228722726075	0.583924207000872
Sphingomonas	0.822505430203611	0.77888572605238	0.0579903181645727	0.492726245016957	0.530922861565801	0	0.417134937482782	0.642375417977446	0.918466893132046	0.836580812055786	0.951822830796759	0.900459293359297	0.836580812055786	0.159154262521075	0.918466893132046	0.951822830796759	0.951822830796759	0.951822830796759	0.583924207000872	0.583924207000872	0.135734733424969	0.642375417977446	0.792481427045816	0.918466893132046	0.918466893132046	0.817491611258206	0.673659049278275	0.883544535819056	0.967761485066497	0.442419591696345	0.836580812055786	0.817491611258206	0.938653887925052	0.31541353887849	0.817491611258206	0.918466893132046	0.836580812055786	0.817491611258206	0.559613609285521	0.209384078745506	0.918466893132046	0.583924207000872	0.417134937482782	0.86214658000047	0.72608969823851	0.792481427045816	0.673659049278275	0.187175911530876	0.642375417977446	0.817491611258206	0.417134937482782	0.417134937482782	0.52943033452252	0.69710669304468	0.642375417977446	0.673659049278275
Variovorax	0.735764859879812	0.910849168519584	0.119529806138793	0.492726245016957	0.492726245016957	0.138959957160707	0	0.115994100851137	0.951822830796759	0.750376677210764	0.503138854146027	0.883544535819056	0.583924207000872	0.209384078745506	0.938653887925052	0.967761485066497	0.967761485066497	0.836580812055786	0.259228722726075	0.0885212851882095	0.345091278433391	0.836580812055786	0.559613609285521	0.938653887925052	0.900459293359297	0.967761485066497	0.750376677210764	0.951822830796759	1	0.938653887925052	0.345091278433391	0.750376677210764	0.7740442598996	0.366194151399936	0.836580812055786	0.7740442598996	0.836580812055786	0.967761485066497	0.69710669304468	0.0438291355998331	0.918466893132046	0.86214658000047	0.366194151399936	0.345091278433391	0.938653887925052	0.750376677210764	1	0.559613609285521	0.7740442598996	0.883544535819056	0.0222573972064238	0.234793344170654	0.284057606808134	0.559613609285521	0.467200618249921	0.345091278433391
Pseudoxanthomonas	0.77888572605238	0.651401495702482	0.0280049391530719	0.138959957160707	0.866526270675909	0.351812553117565	0.00653001725471527	0	0.938653887925052	0.417134937482782	0.673659049278275	0.938653887925052	0.61315738849696	0.234793344170654	0.52943033452252	0.918466893132046	0.967761485066497	0.951822830796759	0.159154262521075	0.0222573972064238	0.467200618249921	0.938653887925052	0.642375417977446	0.792481427045816	0.817491611258206	0.792481427045816	0.938653887925052	0.883544535819056	0.900459293359297	1	0.187175911530876	0.284057606808134	0.750376677210764	0.750376677210764	0.918466893132046	0.69710669304468	0.918466893132046	0.86214658000047	0.951822830796759	0.31541353887849	0.792481427045816	0.938653887925052	0.366194151399936	0.31541353887849	0.7740442598996	0.351812553117565	0.570156320815768	0.77888572605238	0.69710669304468	0.938653887925052	0.187175911530876	0.0625190436848857	0.0438291355998331	0.442419591696345	0.417134937482782	0.234793344170654
Streptomyces	0.232935534650098	0.455644890737582	0.955374011815881	0.693238811728395	0.260404767436885	0.822505430203611	0.910849168519584	0.866526270675909	0	0.570156320815768	0.385120643556256	0.0280049391530719	0.209384078745506	0.918466893132046	0.72608969823851	0.0222573972064238	0.442419591696345	0.0222573972064238	0.836580812055786	0.900459293359297	0.967761485066497	0.159154262521075	0.559613609285521	0.0438291355998331	0.0438291355998331	0.284057606808134	0.159154262521075	0.187175911530876	0.0222573972064238	0.284057606808134	0.69710669304468	0.967761485066497	0.391951032534517	0.366194151399936	0.284057606808134	0.817491611258206	0.442419591696345	0.259228722726075	0.234793344170654	0.900459293359297	0.750376677210764	0.284057606808134	0.938653887925052	0.7740442598996	0.209384078745506	0.101733037454265	0.0709876543209876	0.455644890737582	0.138959957160707	0.345091278433391	0.822505430203611	0.7740442598996	0.836580812055786	0.938653887925052	0.967761485066497	0.883544535819056
Chryseobacterium	0.910849168519584	0.160025642538896	0.0709876543209876	0.00026040002438725	0.385120643556256	0.651401495702482	0.492726245016957	0.138959957160707	0.792481427045816	0	0.955374011815881	0.86214658000047	0.792481427045816	0.467200618249921	0.135734733424969	0.817491611258206	0.61315738849696	0.750376677210764	0.69710669304468	0.559613609285521	1	0.750376677210764	0.284057606808134	0.900459293359297	0.900459293359297	0.883544535819056	0.72608969823851	1	0.938653887925052	0.52943033452252	0.442419591696345	0.187175911530876	0.209384078745506	0.836580812055786	0.817491611258206	0.559613609285521	0.836580812055786	0.951822830796759	0.7740442598996	0.938653887925052	0.259228722726075	0.967761485066497	0.366194151399936	0.209384078745506	0.836580812055786	0.651401495702482	0.866526270675909	0.651401495702482	0.817491611258206	0.442419591696345	0.750376677210764	0.442419591696345	0.391951032534517	0.135734733424969	0.259228722726075	0.115994100851137
Lentzea	0.0149026676862301	0.101733037454265	0.866526270675909	0.866526270675909	0.260404767436885	0.910849168519584	0.20703125	0.385120643556256	0.673659049278275	0.967761485066497	0	0.366194151399936	0.642375417977446	0.951822830796759	0.883544535819056	0.442419591696345	0.366194151399936	0.467200618249921	0.391951032534517	0.467200618249921	0.673659049278275	0.817491611258206	0.792481427045816	0.583924207000872	0.583924207000872	0.442419591696345	0.883544535819056	0.61315738849696	0.52943033452252	0.86214658000047	0.836580812055786	1	0.817491611258206	0.72608969823851	0.31541353887849	0.366194151399936	0.259228722726075	0.7740442598996	0.836580812055786	0.583924207000872	0.72608969823851	0.417134937482782	0.918466893132046	0.559613609285521	0.817491611258206	0.570156320815768	0.492726245016957	0.570156320815768	0.7740442598996	0.951822830796759	0.391951032534517	0.792481427045816	0.836580812055786	0.883544535819056	0.817491611258206	0.7740442598996
Nocardioides	0.0101755401234568	0.455644890737582	0.610344415645267	0.570156320815768	0.232935534650098	0.77888572605238	0.735764859879812	0.866526270675909	0.209384078745506	0.693238811728395	0.101733037454265	0	0.417134937482782	0.900459293359297	0.918466893132046	0.159154262521075	0.467200618249921	0.284057606808134	1	0.951822830796759	0.817491611258206	0.366194151399936	0.817491611258206	0.115994100851137	0.159154262521075	0.0438291355998331	0.366194151399936	0.0438291355998331	0.0625190436848857	0.673659049278275	0.792481427045816	0.918466893132046	0.7740442598996	0.583924207000872	0.00606757081482946	0.61315738849696	0.159154262521075	0.115994100851137	0.391951032534517	0.750376677210764	0.86214658000047	0.345091278433391	0.951822830796759	0.967761485066497	0.259228722726075	0.160025642538896	0.0280049391530719	0.419753086419753	0.319888641228816	0.750376677210764	0.900459293359297	0.836580812055786	0.86214658000047	0.918466893132046	0.951822830796759	0.836580812055786
Actinoplanes	0.351812553117565	0.955374011815881	0.351812553117565	0.610344415645267	0.955374011815881	0.651401495702482	0.28940322484679	0.319888641228816	0.0280049391530719	0.570156320815768	0.351812553117565	0.138959957160707	0	0.28940322484679	0.69710669304468	0.345091278433391	0.918466893132046	0.209384078745506	0.836580812055786	0.69710669304468	0.750376677210764	0.583924207000872	0.792481427045816	0.467200618249921	0.366194151399936	0.69710669304468	0.417134937482782	0.559613609285521	0.259228722726075	0.583924207000872	0.284057606808134	0.7740442598996	0.69710669304468	0.366194151399936	0.559613609285521	1	0.391951032534517	0.673659049278275	0.559613609285521	0.583924207000872	0.918466893132046	0.467200618249921	0.938653887925052	0.750376677210764	0.7740442598996	0.00200827550542945	0.651401495702482	0.910849168519584	0.0101755401234568	0.160025642538896	0.28940322484679	0.883544535819056	0.7740442598996	0.951822830796759	0.900459293359297	0.7740442598996
Herbaspirillum	0.570156320815768	0.822505430203611	0.000862968182899978	0.119529806138793	0.822505430203611	0.0149026676862301	0.0280049391530719	0.0365527610528608	0.822505430203611	0.182720750539715	0.910849168519584	0.77888572605238	0.583924207000872	0	0.836580812055786	0.938653887925052	0.883544535819056	0.883544535819056	0.417134937482782	0.259228722726075	0.284057606808134	0.792481427045816	0.642375417977446	0.918466893132046	0.951822830796759	0.86214658000047	0.72608969823851	0.900459293359297	0.938653887925052	0.559613609285521	0.442419591696345	0.52943033452252	0.7740442598996	0.31541353887849	0.918466893132046	0.918466893132046	0.967761485066497	0.918466893132046	0.69710669304468	0.209384078745506	1	0.792481427045816	0.391951032534517	0.503138854146027	1	0.351812553117565	0.955374011815881	0.20703125	0.20703125	0.492726245016957	0.0280049391530719	0.209384078745506	0.234793344170654	0.52943033452252	0.559613609285521	0.259228722726075
Mycobacterium	0.419753086419753	0.0855588910126731	0.260404767436885	0.0280049391530719	0.651401495702482	0.822505430203611	0.866526270675909	0.232935534650098	0.455644890737582	0.0101755401234568	0.735764859879812	0.822505430203611	0.419753086419753	0.651401495702482	0	0.419753086419753	0.28940322484679	0.492726245016957	0.455644890737582	0.69710669304468	0.938653887925052	0.900459293359297	0.583924207000872	0.792481427045816	0.750376677210764	0.938653887925052	0.836580812055786	0.836580812055786	0.750376677210764	0.72608969823851	0.391951032534517	0.0885212851882095	0.391951032534517	0.900459293359297	0.967761485066497	0.417134937482782	0.900459293359297	0.792481427045816	0.938653887925052	0.883544535819056	0.0885212851882095	0.951822830796759	0.673659049278275	0.503138854146027	0.836580812055786	0.28940322484679	0.822505430203611	0.735764859879812	0.419753086419753	0.0855588910126731	0.955374011815881	0.583924207000872	0.442419591696345	0.417134937482782	0.52943033452252	0.467200618249921
