Variovorax	Flavobacterium	Actinoplanes	Lentzea	Streptomyces	Pseudoxanthomonas	Rhizobium	Promicromonospora	Nocardioides	g__Podospora	Pseudomonas	Massilia	Umezawaea	Devosia	Galbitalea	Sphingomonas	Mesorhizobium	Herbaspirillum	Caulobacter	Phyllobacterium	Kribbella	Arthrobacter	Shinella	Aeromicrobium	Kineosporia	g__Cladosporium	Chondromyces	Rudaibacter	g__Mycosphaerella	Steroidobacter	g__Nigrospora	Stenotrophomonas	Pantoea	g__Mortierella	Ideonella	Rhodanobacter	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Microbacterium	Solirubrobacter	Mycobacterium	Bosea	Altererythrobacter	Aquabacterium	g__Edenia	Curtobacterium	g__Metacordyceps	Dactylosporangium
Variovorax	1	0.878787878787879	0.503030303030303	0.854545454545454	0.757575757575757	0.975757575757576	0.927272727272727	0.83030303030303	0.418181818181818	0.236363636363636	0.478787878787879	0.806060606060606	0.757575757575757	0.648484848484848	0.721212121212121	0.866666666666667	0.793939393939394	0.854545454545454	0.696969696969697	0.696969696969697	0.648484848484848	0.503030303030303	0.806060606060606	0.490909090909091	0.587878787878788	0.442424242424242	0.684848484848485	0.672727272727273	0.527272727272727	0.781818181818182	0.551515151515151	0.648484848484848	0.212121212121212	0.418181818181818	0.733333333333333	0.36969696969697	0.745454545454545	0.636363636363636	0.793939393939394	0.648484848484848	0.466666666666667	0.563636363636364	0.490909090909091	0.915151515151515	0.709090909090909	0.721212121212121	0.43030303030303	0.466666666666667	0.358664270771238	0.636363636363636
Flavobacterium	0.878787878787879	1	0.757575757575757	0.854545454545454	0.854545454545454	0.903030303030303	0.987878787878788	0.951515151515151	0.721212121212121	-0.0181818181818182	0.381818181818182	0.975757575757576	0.927272727272727	0.83030303030303	0.878787878787879	0.987878787878788	0.878787878787879	0.757575757575757	0.903030303030303	0.612121212121212	0.854545454545454	0.818181818181818	0.963636363636364	0.721212121212121	0.793939393939394	0.745454545454545	0.903030303030303	0.83030303030303	0.83030303030303	0.951515151515151	0.781818181818182	0.454545454545455	0.333333333333333	0.709090909090909	0.854545454545454	0.515151515151515	0.890909090909091	0.842424242424242	0.951515151515151	0.854545454545454	0.490909090909091	0.757575757575757	0.660606060606061	0.757575757575757	0.745454545454545	0.866666666666667	0.224242424242424	0.624242424242424	0.613984599116865	0.83030303030303
Actinoplanes	0.503030303030303	0.757575757575757	1	0.454545454545455	0.878787878787879	0.539393939393939	0.684848484848485	0.842424242424242	0.866666666666667	-0.309090909090909	0.0181818181818182	0.83030303030303	0.927272727272727	0.793939393939394	0.915151515151515	0.781818181818182	0.818181818181818	0.466666666666667	0.866666666666667	0.43030303030303	0.951515151515151	0.781818181818182	0.781818181818182	0.83030303030303	0.987878787878788	0.624242424242424	0.915151515151515	0.939393939393939	0.76969696969697	0.721212121212121	0.490909090909091	-0.0666666666666667	0.0424242424242424	0.915151515151515	0.636363636363636	0.76969696969697	0.878787878787879	0.927272727272727	0.733333333333333	0.951515151515151	0.236363636363636	0.939393939393939	0.76969696969697	0.272727272727273	0.478787878787879	0.915151515151515	-0.0666666666666667	0.248484848484848	0.936174537267299	0.927272727272727
Lentzea	0.854545454545454	0.854545454545454	0.454545454545455	1	0.575757575757576	0.83030303030303	0.878787878787879	0.818181818181818	0.515151515151515	0.357575757575757	0.527272727272727	0.793939393939394	0.709090909090909	0.466666666666667	0.587878787878788	0.866666666666667	0.563636363636364	0.624242424242424	0.575757575757576	0.345454545454545	0.587878787878788	0.587878787878788	0.733333333333333	0.333333333333333	0.490909090909091	0.709090909090909	0.709090909090909	0.563636363636364	0.587878787878788	0.793939393939394	0.636363636363636	0.721212121212121	0.563636363636364	0.309090909090909	0.939393939393939	0.151515151515151	0.587878787878788	0.551515151515151	0.757575757575757	0.587878787878788	0.612121212121212	0.490909090909091	0.418181818181818	0.793939393939394	0.696969696969697	0.575757575757576	0.563636363636364	0.696969696969697	0.297873716403232	0.539393939393939
Streptomyces	0.757575757575757	0.854545454545454	0.878787878787879	0.575757575757576	1	0.757575757575757	0.818181818181818	0.878787878787879	0.806060606060606	-0.115151515151515	0.115151515151515	0.878787878787879	0.939393939393939	0.878787878787879	0.987878787878788	0.866666666666667	0.951515151515151	0.757575757575757	0.927272727272727	0.672727272727273	0.939393939393939	0.672727272727273	0.842424242424242	0.878787878787879	0.903030303030303	0.527272727272727	0.890909090909091	0.963636363636364	0.648484848484848	0.818181818181818	0.515151515151515	0.175757575757576	-0.0181818181818182	0.83030303030303	0.636363636363636	0.721212121212121	0.951515151515151	0.963636363636364	0.781818181818182	0.939393939393939	0.284848484848485	0.939393939393939	0.866666666666667	0.551515151515151	0.6	0.939393939393939	-0.0545454545454545	0.333333333333333	0.85106776115209	0.915151515151515
Pseudoxanthomonas	0.975757575757576	0.903030303030303	0.539393939393939	0.83030303030303	0.757575757575757	1	0.951515151515151	0.842424242424242	0.442424242424242	0.127272727272727	0.466666666666667	0.854545454545454	0.781818181818182	0.721212121212121	0.733333333333333	0.890909090909091	0.842424242424242	0.83030303030303	0.745454545454545	0.733333333333333	0.696969696969697	0.551515151515151	0.878787878787879	0.527272727272727	0.612121212121212	0.503030303030303	0.733333333333333	0.672727272727273	0.636363636363636	0.793939393939394	0.648484848484848	0.624242424242424	0.248484848484848	0.466666666666667	0.709090909090909	0.406060606060606	0.806060606060606	0.660606060606061	0.866666666666667	0.696969696969697	0.539393939393939	0.587878787878788	0.503030303030303	0.927272727272727	0.672727272727273	0.781818181818182	0.357575757575757	0.515151515151515	0.389059547955241	0.709090909090909
Rhizobium	0.927272727272727	0.987878787878788	0.684848484848485	0.878787878787879	0.818181818181818	0.951515151515151	1	0.939393939393939	0.636363636363636	0.0303030303030303	0.43030303030303	0.951515151515151	0.890909090909091	0.793939393939394	0.83030303030303	0.975757575757576	0.866666666666667	0.793939393939394	0.854545454545454	0.660606060606061	0.806060606060606	0.757575757575757	0.951515151515151	0.648484848484848	0.733333333333333	0.696969696969697	0.854545454545454	0.76969696969697	0.781818181818182	0.915151515151515	0.757575757575757	0.515151515151515	0.321212121212121	0.624242424242424	0.83030303030303	0.442424242424242	0.866666666666667	0.781818181818182	0.939393939393939	0.806060606060606	0.503030303030303	0.696969696969697	0.6	0.842424242424242	0.709090909090909	0.842424242424242	0.284848484848485	0.612121212121212	0.522798767564856	0.793939393939394
Promicromonospora	0.83030303030303	0.951515151515151	0.842424242424242	0.818181818181818	0.878787878787879	0.842424242424242	0.939393939393939	1	0.76969696969697	-0.0666666666666667	0.224242424242424	0.963636363636364	0.975757575757576	0.757575757575757	0.903030303030303	0.975757575757576	0.854545454545454	0.672727272727273	0.854545454545454	0.551515151515151	0.915151515151515	0.781818181818182	0.915151515151515	0.684848484848485	0.866666666666667	0.733333333333333	0.939393939393939	0.878787878787879	0.76969696969697	0.854545454545454	0.624242424242424	0.309090909090909	0.187878787878788	0.709090909090909	0.854545454545454	0.478787878787879	0.903030303030303	0.878787878787879	0.890909090909091	0.915151515151515	0.43030303030303	0.842424242424242	0.672727272727273	0.672727272727273	0.6	0.915151515151515	0.187878787878788	0.466666666666667	0.699091375232074	0.890909090909091
Nocardioides	0.418181818181818	0.721212121212121	0.866666666666667	0.515151515151515	0.806060606060606	0.442424242424242	0.636363636363636	0.76969696969697	1	-0.103030303030303	0.0545454545454545	0.793939393939394	0.842424242424242	0.757575757575757	0.854545454545454	0.757575757575757	0.709090909090909	0.466666666666667	0.83030303030303	0.345454545454545	0.890909090909091	0.793939393939394	0.709090909090909	0.842424242424242	0.806060606060606	0.806060606060606	0.878787878787879	0.83030303030303	0.709090909090909	0.76969696969697	0.6	0.0303030303030303	0.272727272727273	0.83030303030303	0.672727272727273	0.551515151515151	0.793939393939394	0.915151515151515	0.660606060606061	0.890909090909091	0.309090909090909	0.915151515151515	0.903030303030303	0.272727272727273	0.418181818181818	0.781818181818182	-0.163636363636364	0.551515151515151	0.893621149209695	0.842424242424242
g__Podospora	0.236363636363636	-0.0181818181818182	-0.309090909090909	0.357575757575757	-0.115151515151515	0.127272727272727	0.0303030303030303	-0.0666666666666667	-0.103030303030303	1	0.406060606060606	-0.0909090909090909	-0.163636363636364	-0.236363636363636	-0.151515151515151	-0.00606060606060606	-0.187878787878788	0.151515151515151	-0.212121212121212	0.0181818181818182	-0.224242424242424	-0.175757575757576	-0.139393939393939	-0.2	-0.296969696969697	0.0787878787878788	-0.151515151515151	-0.139393939393939	-0.224242424242424	0.00606060606060606	0.0424242424242424	0.745454545454545	0.503030303030303	-0.321212121212121	0.224242424242424	-0.236363636363636	-0.212121212121212	-0.163636363636364	-0.0787878787878788	-0.224242424242424	0.43030303030303	-0.175757575757576	-0.0424242424242424	0.321212121212121	0.296969696969697	-0.248484848484848	0.648484848484848	0.36969696969697	-0.212766940288023	-0.260606060606061
