Variovorax	Flavobacterium	Actinoplanes	Lentzea	Streptomyces	Pseudoxanthomonas	Rhizobium	Promicromonospora	Nocardioides	Pseudomonas	Massilia	Umezawaea	Devosia	Galbitalea	Sphingomonas	Mesorhizobium	Herbaspirillum	Caulobacter	Phyllobacterium	Kribbella	Arthrobacter	Shinella	Aeromicrobium	Kineosporia	Chondromyces	Rudaibacter	Steroidobacter	Stenotrophomonas	Pantoea	Ideonella	Rhodanobacter	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Microbacterium	Solirubrobacter	Mycobacterium	Bosea	Altererythrobacter	Aquabacterium	Curtobacterium	Dactylosporangium	g__Podospora	g__Cladosporium	g__Mycosphaerella	g__Nigrospora	g__Mortierella	g__Edenia	g__Metacordyceps
Variovorax	1.0635035875251e-62	0.119521653341333	0.715195787209492	0.193995381701096	0.897654564759414	0.026788407262516	0.230194152866197	0.922371190087869	0.536842907607135	0.552969753324068	0.603079601963637	0.831783399828359	0.885905125264508	0.968509022668044	0.715195787209492	0.729756502997742	0.119521653341333	0.519213028458341	0.171706595286409	0.968509022668044	0.934745678434508	0.519213028458341	0.831783399828359	0.957819305512937	0.968509022668044	0.618889451169956	0.946324309086366	0.119521653341333	0.552969753324068	0.618889451169956	0.910616895266776	0.978188078176529	0.922371190087869	0.243840401782846	0.818603631449613	0.804134371401895	0.715195787209492	0.58693461411334	0.139529458825612	0.872311280516463	0.746163895897973	0.651086820492613	0.843680588986132	0.36546831043867	0.651086820492613	0.552969753324068	0.485357908201704	0.968509022668044	0.618889451169956	0.922371190087869
Flavobacterium	0.0111434467996942	1.0635035875251e-62	0.726057014762789	0.0425401276844894	0.843680588986132	0.255523330788306	0.284799801399867	0.922371190087869	0.843680588986132	0.933772958094147	0.182286243630388	0.243840401782846	0.957819305512937	0.536842907607135	0.387991476810259	0.633573085669802	0.603079601963637	0.299848490212453	0.746163895897973	0.715195787209492	0.774782108008879	0.387991476810259	0.957819305512937	0.485357908201704	0.371149731990689	0.978188078176529	0.934745678434508	0.341941938479996	0.774782108008879	0.327324543768505	0.946324309086366	0.804134371401895	0.618889451169956	0.243840401782846	0.885905125264508	0.774782108008879	0.897654564759414	0.804134371401895	0.633573085669802	0.978188078176529	0.357760640474031	0.746163895897973	0.910616895266776	0.676065175997854	0.327324543768505	0.193995381701096	0.519213028458341	0.501392472681333	0.715195787209492	0.645512696717094
Actinoplanes	0.46708905438634	0.872311280516463	1.0635035875251e-62	0.579584	0.341941938479996	0.804134371401895	0.774782108008879	0.433766128955119	0.171706595286409	0.5108853175152	0.299848490212453	0.270547982485685	0.270547982485685	0.119521653341333	0.469256732713645	0.341941938479996	0.804134371401895	0.403673180238266	0.98789114498742	0.0917273112527832	0.519213028458341	0.452198140134117	0.10122907430174	0.0830688311676079	0.341941938479996	0.0216041239654622	0.897654564759414	0.651086820492613	0.897654564759414	0.872311280516463	0.160643919336367	0.139529458825612	0.0917273112527832	0.968509022668044	0.0665696137131612	0.759658263142584	0.171706595286409	0.243840401782846	0.618889451169956	0.788689971191324	0.160643919336367	0.968509022668044	0.045597636709589	0.700931884910058	0.570194355367425	0.327324543768505	0.699143708356	0.0594228358137074	0.957819305512937	0.0639746752527701
Lentzea	0.0330412225454377	0.217624055196294	0.788689971191324	1.0635035875251e-62	0.683568272338059	0.160643919336367	0.666616291343458	0.729756502997742	0.910616895266776	0.270547982485685	0.683568272338059	0.831783399828359	0.603079601963637	0.804134371401895	0.403673180238266	0.759658263142584	0.759658263142584	0.957819305512937	0.858567606014303	0.729756502997742	0.570194355367425	0.633573085669802	0.519213028458341	0.843680588986132	0.552969753324068	0.666616291343458	0.403673180238266	0.026788407262516	0.255523330788306	0.0594228358137074	0.774782108008879	0.699143708356	0.818603631449613	0.433766128955119	0.858567606014303	0.217624055196294	0.98789114498742	0.872311280516463	0.160643919336367	0.552969753324068	0.98789114498742	0.387991476810259	0.715195787209492	0.066688	0.403673180238266	0.729756502997742	0.788689971191324	0.818603631449613	0.160643919336367	0.788689971191324
Streptomyces	0.77699846344389	0.676065175997854	0.107593187782415	0.425038154892145	1.0635035875251e-62	0.77699846344389	0.276255333385436	0.46708905438634	0.0984011766696351	0.700931884910058	0.759658263142584	0.387991476810259	0.193995381701096	0.139529458825612	0.98789114498742	0.0163570379335206	0.341941938479996	0.243840401782846	0.501392472681333	0.111692730557156	0.858567606014303	0.957819305512937	0.0524342977155851	0.230194152866197	0.804134371401895	0.217624055196294	0.804134371401895	0.746163895897973	0.788689971191324	0.633573085669802	0.403673180238266	0.129746757470283	0.119521653341333	0.897654564759414	0.150852092415744	0.818603631449613	0.243840401782846	0.243840401782846	0.98789114498742	0.934745678434508	0.341941938479996	0.885905125264508	0.217624055196294	0.77699846344389	0.98789114498742	0.843680588986132	0.831783399828359	0.299848490212453	0.683568272338059	0.145193098507188
Pseudoxanthomonas	0.000343612197763281	0.0599721424772553	0.603217610029209	0.0216659233675324	0.897654564759414	1.0635035875251e-62	0.357760640474031	0.960240418128624	0.214492332532808	0.127552869703234	0.683568272338059	0.946324309086366	0.922371190087869	0.858567606014303	0.666616291343458	0.897654564759414	0.270547982485685	0.788689971191324	0.193995381701096	0.843680588986132	0.843680588986132	0.433766128955119	0.715195787209492	0.922371190087869	0.98789114498742	0.666616291343458	0.788689971191324	0.0830688311676079	0.485357908201704	0.501392472681333	0.968509022668044	0.946324309086366	0.715195787209492	0.469256732713645	0.759658263142584	0.603079601963637	0.58693461411334	0.536842907607135	0.129746757470283	0.570194355367425	0.831783399828359	0.651086820492613	0.858567606014303	0.346593507087334	0.666616291343458	0.58693461411334	0.519213028458341	0.968509022668044	0.31402758131029	0.816204597965498
Rhizobium	0.0479117261299755	0.073877706888658	0.55630577510293	0.404701671270157	0.552969753324068	0.117308065550202	1.0635035875251e-62	0.533400561272595	0.986742911194989	0.986742911194989	0.129746757470283	0.357760640474031	0.357760640474031	0.433766128955119	0.193995381701096	0.419931721987968	0.419931721987968	0.111692730557156	0.327324543768505	0.299848490212453	0.957819305512937	0.111692730557156	0.618889451169956	0.357760640474031	0.699143708356	0.872311280516463	0.831783399828359	0.818603631449613	0.804134371401895	0.729756502997742	0.934745678434508	0.243840401782846	0.501392472681333	0.193995381701096	0.501392472681333	0.618889451169956	0.759658263142584	0.98789114498742	0.666616291343458	0.618889451169956	0.111692730557156	0.58693461411334	0.433766128955119	0.579584	0.357760640474031	0.255523330788306	0.341941938479996	0.519213028458341	0.818603631449613	0.512549150713397
Promicromonospora	0.828717394697461	0.828717394697461	0.173938597165066	0.488776304519243	0.715195787209492	0.978188078176529	0.759658263142584	1.0635035875251e-62	0.243840401782846	0.276255333385436	0.804134371401895	0.699143708356	0.858567606014303	0.934745678434508	0.501392472681333	0.922371190087869	0.957819305512937	0.978188078176529	0.910616895266776	0.666616291343458	0.519213028458341	0.651086820492613	0.570194355367425	0.774782108008879	0.843680588986132	0.58693461411334	0.552969753324068	0.910616895266776	0.922371190087869	0.666616291343458	0.978188078176529	0.759658263142584	0.729756502997742	0.968509022668044	0.255523330788306	0.31402758131029	0.31402758131029	0.341941938479996	0.774782108008879	0.651086820492613	0.666616291343458	0.872311280516463	0.403673180238266	0.5108853175152	0.843680588986132	0.98789114498742	0.831783399828359	0.934745678434508	0.651086820492613	0.816204597965498
Nocardioides	0.259997766834888	0.676065175997854	0.0250966758822518	0.802771731207162	0.327324543768505	0.485357908201704	0.98789114498742	0.0537177672171674	1.0635035875251e-62	0.700931884910058	0.774782108008879	0.403673180238266	0.536842907607135	0.299848490212453	0.651086820492613	0.618889451169956	0.885905125264508	0.774782108008879	0.843680588986132	0.255523330788306	0.536842907607135	0.922371190087869	0.129746757470283	0.387991476810259	0.327324543768505	0.0830688311676079	0.452198140134117	0.788689971191324	0.788689971191324	0.788689971191324	0.433766128955119	0.341941938479996	0.160643919336367	0.946324309086366	0.111692730557156	0.58693461411334	0.026788407262516	0.00568910590843783	0.885905125264508	0.746163895897973	0.666616291343458	0.666616291343458	0.230194152866197	0.425038154892145	0.683568272338059	0.885905125264508	0.885905125264508	0.452198140134117	0.946324309086366	0.224871367179987
Pseudomonas	0.276255333385436	0.968509022668044	0.746163895897973	0.066688	0.858567606014303	0.371149731990689	0.98789114498742	0.552969753324068	0.858567606014303	1.0635035875251e-62	0.759658263142584	0.729756502997742	0.978188078176529	0.58693461411334	0.946324309086366	0.774782108008879	0.501392472681333	0.729756502997742	0.570194355367425	0.666616291343458	0.501392472681333	0.957819305512937	0.843680588986132	0.618889451169956	0.968509022668044	0.872311280516463	0.10122907430174	0.160643919336367	0.160643919336367	0.452198140134117	0.957819305512937	0.759658263142584	0.618889451169956	0.759658263142584	0.759658263142584	0.433766128955119	0.957819305512937	0.804134371401895	0.150852092415744	0.171706595286409	0.651086820492613	0.31402758131029	0.831783399828359	0.0185731550894602	0.946324309086366	0.831783399828359	0.858567606014303	0.618889451169956	0.139529458825612	0.618889451169956
