Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	g__Acremonium	Mycobacterium	Microbacterium	g__Ophiosphaerella	g__Gibberella	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	g__Pseudogymnoascus	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	g__Didymella	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus
Promicromonospora	1	0.779411764705882	0.924019607843137	0.919117647058824	0.865196078431373	0.772058823529412	0.821078431372549	0.803921568627451	0.901960784313726	0.717446883011566	0.862745098039216	0.639705882352941	0.821078431372549	0.892156862745098	0.794117647058824	0.720588235294118	0.879901960784314	0.843137254901961	0.794117647058824	0.909313725490196	0.786764705882353	0.865196078431373	0.842428116649368	0.816176470588235	0.813725490196079	0.924019607843137	0.644607843137255	0.865196078431373	0.798283411846781	0.887254901960784	0.911764705882353	0.808823529411765	0.844880600249511	0.729976881987551	0.659313725490196	0.851011809249871	0.909313725490196	0.850817649613869	0.818627450980392	0.764705882352941	0.884120337851811	0.803921568627451	0.745326168119929
Flavobacterium	0.779411764705882	1	0.86764705882353	0.818627450980392	0.833333333333333	0.441176470588235	0.708333333333333	0.561274509803922	0.634803921568628	0.299755204545928	0.845588235294118	0.377450980392157	0.642156862745098	0.642156862745098	0.66421568627451	0.495098039215686	0.767156862745098	0.58578431372549	0.691176470588235	0.71078431372549	0.933823529411765	0.71078431372549	0.68546916624017	0.708333333333333	0.806372549019608	0.825980392156863	0.688725490196079	0.659313725490196	0.571428678833487	0.774509803921569	0.801470588235294	0.784313725490196	0.71857769484211	0.361289233821541	0.845588235294118	0.606989691035571	0.786764705882353	0.726277674815317	0.600490196078431	0.774509803921569	0.806867104447284	0.754901960784314	0.720273187678923
Rhizobium	0.924019607843137	0.86764705882353	1	0.963235294117647	0.946078431372549	0.669117647058824	0.821078431372549	0.75	0.865196078431373	0.557741241245293	0.921568627450981	0.598039215686275	0.78921568627451	0.794117647058824	0.781862745098039	0.752450980392157	0.950980392156863	0.843137254901961	0.823529411764706	0.877450980392157	0.870098039215686	0.865196078431373	0.859595501850374	0.821078431372549	0.816176470588235	0.955882352941177	0.732843137254902	0.732843137254902	0.756591190644337	0.928921568627451	0.921568627450981	0.901960784313726	0.830165698648649	0.567211766409246	0.801470588235294	0.762722399644697	0.906862745098039	0.849584580556457	0.754901960784314	0.752450980392157	0.83752314944908	0.776960784313726	0.822990407487047
Sphingomonas	0.919117647058824	0.818627450980392	0.963235294117647	1	0.926470588235294	0.774509803921569	0.811274509803922	0.833333333333333	0.877450980392157	0.606881438711838	0.926470588235294	0.66421568627451	0.799019607843137	0.821078431372549	0.825980392156863	0.752450980392157	0.941176470588235	0.901960784313726	0.850490196078431	0.901960784313726	0.840686274509804	0.860294117647059	0.858369260050302	0.870098039215686	0.843137254901961	0.955882352941177	0.764705882352941	0.762254901960784	0.827713215048505	0.938725490196079	0.899509803921569	0.889705882352941	0.859595501850374	0.631331357394639	0.75	0.71857769484211	0.924019607843137	0.879178237934331	0.838235294117647	0.786764705882353	0.849785567449799	0.764705882352941	0.830506301619349
Chryseobacterium	0.865196078431373	0.833333333333333	0.946078431372549	0.926470588235294	1	0.745098039215686	0.740196078431373	0.79656862745098	0.865196078431373	0.594596389345202	0.901960784313726	0.644607843137255	0.637254901960784	0.713235294117647	0.754901960784314	0.79656862745098	0.911764705882353	0.857843137254902	0.723039215686275	0.887254901960784	0.850490196078431	0.879901960784314	0.781116026645775	0.78921568627451	0.745098039215686	0.919117647058824	0.781862745098039	0.622549019607843	0.841201874849296	0.855392156862745	0.811274509803922	0.79656862745098	0.777437301245559	0.635030564566873	0.811274509803922	0.64622942863787	0.825980392156863	0.760803608422836	0.79656862745098	0.715686274509804	0.826486973248433	0.696078431372549	0.726536432789174
g__Acremonium	0.772058823529412	0.441176470588235	0.669117647058824	0.774509803921569	0.745098039215686	1	0.524509803921569	0.848039215686275	0.808823529411765	0.798528208831366	0.715686274509804	0.752450980392157	0.53921568627451	0.693627450980392	0.713235294117647	0.688725490196079	0.723039215686275	0.808823529411765	0.58578431372549	0.772058823529412	0.517156862745098	0.791666666666667	0.69895782604096	0.700980392156863	0.605392156862745	0.713235294117647	0.678921568627451	0.651960784313726	0.916002624653679	0.649509803921569	0.612745098039216	0.53921568627451	0.717351453042038	0.923568724001142	0.455882352941177	0.533415183031259	0.67156862745098	0.664624221944747	0.894607843137255	0.573529411764706	0.660944330238732	0.553921568627451	0.537386430459579
Mycobacterium	0.821078431372549	0.708333333333333	0.821078431372549	0.811274509803922	0.740196078431373	0.524509803921569	1	0.566176470588235	0.786764705882353	0.511058053652074	0.791666666666667	0.357843137254902	0.882352941176471	0.862745098039216	0.875	0.593137254901961	0.772058823529412	0.791666666666667	0.933823529411765	0.799019607843137	0.833333333333333	0.737745098039216	0.821582006048146	0.833333333333333	0.811274509803922	0.852941176470588	0.303921568627451	0.776960784313726	0.669528022839235	0.825980392156863	0.926470588235294	0.833333333333333	0.836296907649008	0.478430794275625	0.573529411764706	0.808093346247356	0.887254901960784	0.747239848791311	0.642156862745098	0.862745098039216	0.833844424048864	0.830882352941177	0.860569878148556
Microbacterium	0.803921568627451	0.561274509803922	0.75	0.833333333333333	0.79656862745098	0.848039215686275	0.566176470588235	1	0.71078431372549	0.727274922504875	0.674019607843137	0.838235294117647	0.529411764705882	0.602941176470588	0.563725490196079	0.74264705882353	0.764705882352941	0.823529411764706	0.551470588235294	0.83578431372549	0.551470588235294	0.730392156862745	0.619252109036289	0.752450980392157	0.534313725490196	0.764705882352941	0.71078431372549	0.553921568627451	0.892704030452314	0.727941176470588	0.637254901960784	0.612745098039216	0.599632240235139	0.707781638954146	0.458333333333333	0.570202437033415	0.745098039215686	0.628865219279816	0.899509803921569	0.487745098039216	0.705089035041319	0.443627450980392	0.50231225784217
g__Ophiosphaerella	0.901960784313726	0.634803921568628	0.865196078431373	0.877450980392157	0.865196078431373	0.808823529411765	0.786764705882353	0.71078431372549	1	0.729731932378202	0.857843137254902	0.575980392156863	0.754901960784314	0.911764705882353	0.83578431372549	0.754901960784314	0.843137254901961	0.909313725490196	0.784313725490196	0.86764705882353	0.708333333333333	0.83578431372549	0.830165698648649	0.720588235294118	0.784313725490196	0.901960784313726	0.610294117647059	0.791666666666667	0.774984817645415	0.857843137254902	0.825980392156863	0.759803921568628	0.862047985450517	0.760803608422836	0.659313725490196	0.728387629242685	0.823529411764706	0.855749925843514	0.727941176470588	0.759803921568628	0.827713215048505	0.769607843137255	0.727789081811225
g__Gibberella	0.717446883011566	0.299755204545928	0.557741241245293	0.606881438711838	0.594596389345202	0.798528208831366	0.511058053652074	0.727274922504875	0.729731932378202	1	0.574940310358584	0.808356248324675	0.567569280738602	0.64127957693842	0.542999182005329	0.638822567065093	0.660935655925039	0.710075853391584	0.528257122765365	0.69533379415162	0.383293540239056	0.764130070604784	0.614629194812088	0.611795458458493	0.481573935172147	0.597053399218529	0.466831875932183	0.616709478205148	0.746159842501875	0.459460846312202	0.584768349851893	0.449632806818892	0.604795127695095	0.81211930453204	0.402949619225674	0.623234003539457	0.542999182005329	0.541412869688027	0.70516183364493	0.454546826565547	0.518747040421402	0.528257122765365	0.483456271034841
