Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mesorhizobium	Mycobacterium	g__Magnaporthiopsis	Caulobacter	Umezawaea	g__Podospora	Microbacterium	g__Ophiosphaerella	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	g__Gibberella	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	g__Cladosporium	Lysobacter	g__Pyrenochaetopsis	Kineosporia	Cellulomonas	g__Bipolaris	Reyranella	Mucilaginibacter	g__Didymella
Promicromonospora	0	0.00289713230060788	0.0274831365547108	3.10669011206555e-05	0.436842701330435	0.00017172120944226	0.00949904174056454	0.0061694292040827	0.131370902583534	4.04259444016751e-05	0.0209433223795031	0.0267067335111415	0.000347779184025321	0.00520610778419288	0.00239915696331727	0.00880123407167532	0.00335053436292838	0.00367882558066406	0.0013141714068705	0.0168133184087857	0.0274831365547108	0.00117253728017774	0.0114681925285307	0.00985384697098016	0.136077614081377	0.253098189700157	0.00174513797782845	8.97478268573934e-05	0.0209433223795031	0.0259428445729783	0.647016721136443	0.143688857854164	0.0244648427497504	0.182548722220751	0.0123424453230094	0.0506581112660738	0.8537094836602	0.00251093273377094	0.00785120180703154	0.108572903985957	0.00858770210049203	0.00985384697098016	0.00667007118738677	0.989271796943056	0.00589947917816691	0.85922789258794	0.00037452115514758	0.0251690854378627	0.921354655881183	0.0237648001622949	0.000347779184025321	5.69709396671992e-05	0.279891590754274	0.0196774469308977
Flavobacterium	0.000225698556484369	0	0.00318615599050587	0.000319897157499864	0.42686336498798	0.0237648001622949	0.000221672610367529	0.00124310931168237	0.0290923170036378	0.00124310931168237	0.00815528116372047	0.0110474328433542	0.000870583719852118	6.68810538015835e-06	0.0106701597849081	0.00156138816996482	0.157006252196185	0.000761820738647834	0.0926696370715018	0.2181878089859	0.00457949951254156	0.00985384697098016	0.332521898507836	0.000129956065644528	0.00815528116372047	0.533587552346694	0.0584783609433618	0.0267067335111415	0.0251690854378627	0.179502782202696	0.0907693179128723	0.00565606878059174	0.00117253728017774	0.0123424453230094	0.149087654145097	0.000264609329083089	0.436842701330435	0.00438826312027971	0.0506581112660738	0.0946162743459594	0.365938067674208	0.00156138816996482	0.0184985518802278	0.245873185164815	0.00111040401386504	0.179502782202696	0.000618785006736784	0.238904424520427	0.136077614081377	0.0557780040636246	0.00949904174056454	0.00184888810855302	0.038426785287201	0.000618785006736784
Variovorax	0.0064537880533827	0.0002620675462425	0	0.0022720341333066	0.0597976715819041	0.0506581112660738	0.00139912477464872	8.22347675840435e-07	0.151702066178414	0.00815528116372047	0.228143363985846	0.0888495489188306	0.0184985518802278	0.017935659434938	0.00262951141274441	0.0481055646525513	0.362516178338508	0.0946162743459594	0.358222069055899	0.636125525825778	0.0325154764454017	0.0870588590957592	0.176704800727436	0.0168133184087857	0.0481055646525513	0.92630601781425	0.0870588590957592	0.128994395105654	0.275546065566259	0.017935659434938	0.182548722220751	0.176704800727436	0.0299448066900548	0.2181878089859	0.102350932760852	0.00949904174056454	0.461706853164291	0.138591659817987	0.0801416082243079	0.179502782202696	0.465686233411878	0.0519448790519983	0.20823621096236	0.264289610078004	0.000187874169920726	0.34100252800964	0.00847229744709026	0.138591659817987	0.336755568336527	0.446618668069627	0.0818693873366588	0.0123424453230094	0.132709293571131	0.0230431402423762
Rhizobium	1.18449054439957e-07	6.42647355423362e-06	0.000152775345373964	0	0.110784629139701	0.00111040401386504	0.00174513797782845	0.000204713377952181	0.064145616503525	1.71655752145734e-06	0.0299448066900548	0.0196774469308977	7.465160658649e-06	0.000982200498394705	0.000221672610367529	0.00216828711429609	0.0173457728375044	0.00589947917816691	0.0184985518802278	0.0749934658881162	0.00694313217480643	0.00117253728017774	0.0223365424504938	0.00139912477464872	0.0481055646525513	0.380390834021321	0.0049797309247699	0.000347779184025321	0.0274831365547108	0.030763744437831	0.353998732083703	0.0686311936642255	0.00541924856404425	0.146386678370548	0.0128003496676357	0.00400577344799628	0.50724233304141	0.00667007118738677	0.020292529477274	0.046921650633767	0.060465543214074	0.00565606878059174	0.020292529477274	0.713341331297642	0.000535710019872797	0.538999113556508	3.5786027973048e-05	0.0402520545011082	0.614786320451451	0.061242848244381	0.000347779184025321	3.5786027973048e-05	0.0991796199587122	0.00184888810855302
Pseudomonas	0.309208659898238	0.299917912095903	0.0197085659158017	0.0470210969967303	0	0.389594280003116	0.275546065566259	0.053248000640912	0.811467681046698	0.149087654145097	0.984681491176947	0.806203857588807	0.102350932760852	0.713341331297642	0.0352473556462596	0.481587031550717	0.39895982811894	0.979955502366999	0.620130321219518	0.821982814512521	0.555259262916631	0.375956000910955	0.0506581112660738	0.436842701330435	0.718877470283858	0.336755568336527	0.299064213005542	0.253098189700157	0.889826812607109	0.0733703557921478	0.806203857588807	0.614786320451451	0.195416615288648	0.794511225537947	0.0316170693100201	0.417296916936174	0.0457702103836947	0.895353315556871	0.422029268026907	0.328003203991199	0.668880409653889	0.729526564185435	0.95177359182185	0.884948293224945	0.0888495489188306	0.713341331297642	0.168036140770807	0.179502782202696	0.970848066675691	0.975645663070701	0.20823621096236	0.295155138486117	0.576649176411804	0.315170353874775
Phyllobacterium	2.38916465310971e-06	0.00521447933995862	0.0155317656191702	4.85755334493471e-05	0.264446347071011	0	0.0749934658881162	0.0137162459646182	0.311237511334721	0.0027509990979022	0.117422438343013	0.0493805607467188	0.00589947917816691	0.0334214866260904	0.000870583719852118	0.0102532049946585	0.0244648427497504	0.020292529477274	0.00251093273377094	0.0733703557921478	0.0244648427497504	0.00589947917816691	0.0061694292040827	0.0362513285769308	0.367029686676827	0.211435522978318	0.0141769013084548	0.00195365133651856	0.020292529477274	0.0352473556462596	0.783765500868581	0.319329693444577	0.0888495489188306	0.417296916936174	0.0156953846781498	0.0926696370715018	0.740391818027408	0.0156953846781498	0.0230431402423762	0.117422438343013	0.0633935178149527	0.0216174646625424	0.0352473556462596	0.827558749800366	0.00289713230060788	0.905849776108836	0.00785120180703154	0.2181878089859	0.884948293224945	0.149087654145097	0.0137162459646182	0.00104083834621246	0.3848475043079	0.117422438343013
Lentzea	0.00138239120269041	3.71678490515902e-06	7.06893364404458e-05	0.000100739403001067	0.164657973316417	0.0271397758044596	0	0.00174513797782845	0.136077614081377	0.00520610778419288	0.0412702556666904	0.143688857854164	0.00335053436292838	0.0013141714068705	0.0362513285769308	0.0686311936642255	0.192200973847654	0.0362513285769308	0.303017508253253	0.375956000910955	0.0784113394725802	0.0853037902367692	0.336755568336527	0.0251690854378627	0.0362513285769308	0.984681491176947	0.0334214866260904	0.064145616503525	0.242313309795569	0.0316170693100201	0.291156385515505	0.0435244491824382	0.0162476596606231	0.0766514660104878	0.117422438343013	0.00815528116372047	0.295155138486117	0.0571119209628237	0.0656147109231413	0.307108256987449	0.402481884348504	0.0801416082243079	0.146386678370548	0.3848475043079	0.000982200498394705	0.173772621711577	0.0141769013084548	0.100402036753142	0.431609636834304	0.143688857854164	0.046921650633767	0.0343381419966138	0.296758912352791	0.0049797309247699
Pseudoxanthomonas	0.000723824670499067	5.87601279992557e-05	1.10013067002065e-10	3.21790259657274e-06	0.0166463816496372	0.00234904091982681	0.000100739403001067	0	0.110784629139701	0.00117253728017774	0.179502782202696	0.061242848244381	0.00303805473225217	0.00847229744709026	0.000709570694760257	0.0156953846781498	0.146386678370548	0.0481055646525513	0.170771975680164	0.380390834021321	0.020292529477274	0.0274831365547108	0.0907693179128723	0.00589947917816691	0.0670951932047528	0.869683542637482	0.028282654750661	0.046921650633767	0.170771975680164	0.0141769013084548	0.245873185164815	0.157006252196185	0.0223365424504938	0.214621449127115	0.0334214866260904	0.00541924856404425	0.389594280003116	0.0853037902367692	0.0766514660104878	0.0870588590957592	0.27066686479981	0.0237648001622949	0.14110858525264	0.389594280003116	4.5381081886602e-05	0.371506024670446	0.00124310931168237	0.0801416082243079	0.403620362655126	0.349577986917075	0.0190926265934916	0.00195365133651856	0.115204901928527	0.0128003496676357
Actinoplanes	0.0595782421081178	0.00701134569659579	0.0726918417890812	0.0217465796864236	0.729235337448989	0.194542528266613	0.0626776221113285	0.0470210969967303	0	0.0519448790519983	0.0110474328433542	0.000264609329083089	0.121961149938371	0.00318615599050587	0.121961149938371	0.00124310931168237	0.264289610078004	0.00205764520921946	0.451639806427624	0.740391818027408	0.000761820738647834	0.0412702556666904	0.6310962688622	0.00382907231003841	0.000187874169920726	0.389594280003116	0.59283688112507	0.102350932760852	0.00239915696331727	0.994435849819342	0.000618785006736784	0.00694313217480643	0.0151600926109995	0.000761820738647834	0.864477509476163	0.000813990936641598	0.60921012945972	0.0114681925285307	0.119753806704913	0.00694313217480643	0.640812997684219	0.00139912477464872	0.00667007118738677	0.00318615599050587	0.332521898507836	0.238904424520427	0.0209433223795031	0.800186959406234	0.00174513797782845	0.0216174646625424	0.143688857854164	0.030763744437831	0.0151206236549054	0.0123424453230094
Sphingomonas	1.86581281853885e-07	5.87601279992557e-05	0.00110173575409102	5.74099505504129e-10	0.0709464396376372	0.000209161804322107	0.000561238152431941	5.34635170114489e-05	0.0160814859673801	0	0.0216174646625424	0.0146358741532333	2.78963481476785e-05	0.00205764520921946	0.00104083834621246	0.00303805473225217	0.00318615599050587	0.00541924856404425	0.00815528116372047	0.0316170693100201	0.0102532049946585	0.00148502748267143	0.0196774469308977	0.00318615599050587	0.0446130168173068	0.367029686676827	0.000870583719852118	0.000221672610367529	0.0162476596606231	0.020292529477274	0.319329693444577	0.0701822754081235	0.00520610778419288	0.117422438343013	0.00589947917816691	0.0114681925285307	0.417296916936174	0.0022720341333066	0.0216174646625424	0.0381923031863887	0.0366371642738045	0.00382907231003841	0.00880123407167532	0.663913568947692	0.00318615599050587	0.614786320451451	2.78963481476785e-05	0.0184985518802278	0.691358754259017	0.0230431402423762	0.000406947220049863	9.95227980548239e-05	0.163723998103844	0.0049797309247699
