Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mesorhizobium	Mycobacterium	g__Magnaporthiopsis	Caulobacter	Umezawaea	g__Podospora	Microbacterium	g__Ophiosphaerella	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	g__Gibberella	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	g__Cladosporium	Lysobacter	g__Pyrenochaetopsis	Kineosporia	Cellulomonas	g__Bipolaris	Reyranella	Mucilaginibacter	g__Didymella
Promicromonospora	1	0.779411764705882	0.632352941176471	0.924019607843137	0.262254901960784	0.884803921568628	0.71078431372549	0.737745098039216	0.465686274509804	0.919117647058824	0.654411764705882	0.634803921568628	0.865196078431373	0.747549019607843	0.78921568627451	0.715686274509804	0.772058823529412	0.767156862745098	0.816176470588235	0.67156862745098	0.632352941176471	0.821078431372549	0.698529411764706	0.708333333333333	0.46078431372549	-0.367647058823529	0.803921568627451	0.901960784313726	0.654411764705882	0.637254901960784	0.16421568627451	0.45343137254902	0.642156862745098	0.419117647058824	0.693627450980392	0.575980392156863	0.071078431372549	0.786764705882353	0.723039215686275	0.490196078431373	0.717446883011566	0.708333333333333	0.732843137254902	-0.00490196078431373	0.740196078431373	0.0686274509803922	0.862745098039216	0.639705882352941	0.0392156862745098	0.644607843137255	0.865196078431373	0.911764705882353	0.350311365414165	0.659313725490196
Flavobacterium	0.779411764705882	1	0.774509803921569	0.86764705882353	0.267156862745098	0.644607843137255	0.877450980392157	0.818627450980392	0.627450980392157	0.818627450980392	0.720588235294118	0.700980392156863	0.833333333333333	0.948529411764706	0.70343137254902	0.808823529411765	0.441176470588235	0.838235294117647	0.509803921568628	0.392156862745098	0.754901960784314	0.708333333333333	0.318627450980392	0.892156862745098	0.720588235294118	-0.215686274509804	0.561274509803922	0.634803921568628	0.639705882352941	0.42156862745098	0.512254901960784	0.74264705882353	0.821078431372549	0.693627450980392	0.448529411764706	0.872549019607843	0.262254901960784	0.757352941176471	0.575980392156863	0.507352941176471	0.299755204545928	0.808823529411765	0.66421568627451	0.372549019607843	0.823529411764706	0.42156862745098	0.845588235294118	0.377450980392157	0.46078431372549	0.566176470588235	0.71078431372549	0.801470588235294	0.602429393553148	0.845588235294118
Variovorax	0.632352941176471	0.774509803921569	1	0.791666666666667	0.558823529411765	0.575980392156863	0.813725490196079	0.970588235294118	0.446078431372549	0.720588235294118	0.384803921568628	0.514705882352941	0.66421568627451	0.666666666666667	0.784313725490196	0.580882352941177	0.301470588235294	0.507352941176471	0.303921568627451	0.169117647058824	0.61764705882353	0.517156862745098	0.424019607843137	0.67156862745098	0.580882352941177	0.0367647058823529	0.517156862745098	0.468137254901961	0.352941176470588	0.666666666666667	0.419117647058824	0.424019607843137	0.625	0.392156862745098	0.497549019607843	0.71078431372549	0.25	0.458333333333333	0.526960784313726	0.42156862745098	0.248157997206055	0.573529411764706	0.399509803921569	0.360294117647059	0.882352941176471	0.313725490196078	0.718137254901961	0.458333333333333	0.316176470588235	0.257352941176471	0.524509803921569	0.693627450980392	0.46442794657181	0.647058823529412
Rhizobium	0.924019607843137	0.86764705882353	0.791666666666667	1	0.487745098039216	0.823529411764706	0.803921568627451	0.879901960784314	0.551470588235294	0.963235294117647	0.625	0.659313725490196	0.946078431372549	0.82843137254902	0.877450980392157	0.794117647058824	0.669117647058824	0.740196078431373	0.66421568627451	0.534313725490196	0.730392156862745	0.821078431372549	0.649509803921569	0.813725490196079	0.580882352941177	-0.291666666666667	0.75	0.865196078431373	0.632352941176471	0.622549019607843	0.306372549019608	0.544117647058824	0.745098039215686	0.450980392156863	0.691176470588235	0.762254901960784	0.227941176470588	0.732843137254902	0.656862745098039	0.583333333333333	0.557741241245293	0.74264705882353	0.656862745098039	0.134803921568627	0.850490196078431	0.213235294117647	0.921568627450981	0.598039215686275	0.178921568627451	0.556372549019608	0.865196078431373	0.921568627450981	0.501582182297555	0.801470588235294
Pseudomonas	0.262254901960784	0.267156862745098	0.558823529411765	0.487745098039216	1	0.286764705882353	0.352941176470588	0.571078431372549	0.0906862745098039	0.448529411764706	-0.00735294117647059	0.0931372549019608	0.497549019607843	0.134803921568627	0.610294117647059	0.240196078431373	0.281862745098039	-0.00980392156862745	0.176470588235294	0.0857843137254902	0.205882352941176	0.294117647058824	0.575980392156863	0.262254901960784	0.132352941176471	0.316176470588235	0.338235294117647	0.367647058823529	0.053921568627451	0.536764705882353	0.0931372549019608	0.178921568627451	0.409313725490196	-0.0980392156862745	0.620098039215686	0.272058823529412	0.58578431372549	0.0514705882352941	0.269607843137255	0.321078431372549	0.154791622019619	0.127450980392157	0.0245098039215686	0.0563725490196079	0.514705882352941	0.134803921568627	0.431372549019608	0.42156862745098	-0.0147058823529412	-0.0122549019607843	0.399509803921569	0.340686274509804	0.196386674550365	0.32843137254902
Phyllobacterium	0.884803921568628	0.644607843137255	0.575980392156863	0.823529411764706	0.286764705882353	1	0.534313725490196	0.686274509803922	0.330882352941177	0.781862745098039	0.480392156862745	0.57843137254902	0.740196078431373	0.615196078431373	0.833333333333333	0.705882352941177	0.642156862745098	0.656862745098039	0.786764705882353	0.536764705882353	0.642156862745098	0.740196078431373	0.737745098039216	0.607843137254902	0.299019607843137	-0.397058823529412	0.683823529411765	0.799019607843137	0.656862745098039	0.610294117647059	0.102941176470588	0.325980392156863	0.514705882352941	0.272058823529412	0.676470588235294	0.509803921568628	-0.122549019607843	0.676470588235294	0.647058823529412	0.480392156862745	0.552827221498638	0.651960784313726	0.610294117647059	-0.0833333333333333	0.779411764705882	-0.0465686274509804	0.723039215686275	0.392156862745098	-0.0563725490196079	0.448529411764706	0.686274509803922	0.825980392156863	0.289272263864727	0.480392156862745
Lentzea	0.71078431372549	0.877450980392157	0.813725490196079	0.803921568627451	0.352941176470588	0.534313725490196	1	0.803921568627451	0.46078431372549	0.747549019607843	0.595588235294118	0.45343137254902	0.772058823529412	0.816176470588235	0.607843137254902	0.544117647058824	0.411764705882353	0.607843137254902	0.33578431372549	0.294117647058824	0.529411764705882	0.519607843137255	0.316176470588235	0.639705882352941	0.607843137254902	0.00735294117647059	0.615196078431373	0.551470588235294	0.375	0.620098039215686	0.343137254901961	0.590686274509804	0.674019607843137	0.531862745098039	0.480392156862745	0.720588235294118	0.340686274509804	0.563725490196079	0.549019607843137	0.333333333333333	0.28009912555931	0.526960784313726	0.450980392156863	0.28921568627451	0.82843137254902	0.426470588235294	0.683823529411765	0.5	0.264705882352941	0.45343137254902	0.583333333333333	0.612745098039216	0.339695869492524	0.75
Pseudoxanthomonas	0.737745098039216	0.818627450980392	0.970588235294118	0.879901960784314	0.571078431372549	0.686274509803922	0.803921568627451	1	0.487745098039216	0.821078431372549	0.42156862745098	0.556372549019608	0.776960784313726	0.718137254901961	0.840686274509804	0.676470588235294	0.450980392156863	0.580882352941177	0.428921568627451	0.291666666666667	0.656862745098039	0.632352941176471	0.512254901960784	0.740196078431373	0.54656862745098	-0.0637254901960784	0.629901960784314	0.583333333333333	0.428921568627451	0.683823529411765	0.372549019607843	0.441176470588235	0.649509803921569	0.394607843137255	0.615196078431373	0.745098039215686	0.286764705882353	0.519607843137255	0.531862745098039	0.517156862745098	0.356266431632456	0.644607843137255	0.455882352941177	0.286764705882353	0.916666666666667	0.29656862745098	0.818627450980392	0.526960784313726	0.279411764705882	0.308823529411765	0.661764705882353	0.799019607843137	0.483005064434682	0.691176470588235
Actinoplanes	0.465686274509804	0.627450980392157	0.446078431372549	0.551470588235294	0.0906862745098039	0.330882352941177	0.46078431372549	0.487745098039216	1	0.573529411764706	0.700980392156863	0.872549019607843	0.475490196078431	0.774509803921569	0.475490196078431	0.818627450980392	0.360294117647059	0.79656862745098	0.254901960784314	0.122549019607843	0.838235294117647	0.595588235294118	0.17156862745098	0.764705882352941	0.882352941176471	-0.286764705882353	0.188725490196078	0.497549019607843	0.78921568627451	0.00245098039215686	0.845588235294118	0.730392156862745	0.678921568627451	0.838235294117647	0.0661764705882353	0.83578431372549	0.181372549019608	0.698529411764706	0.477941176470588	0.730392156862745	0.167076671386255	0.813725490196079	0.732843137254902	0.774509803921569	0.318627450980392	0.377450980392157	0.654411764705882	0.0955882352941177	0.803921568627451	0.651960784313726	0.45343137254902	0.622549019607843	0.679391738985047	0.693627450980392
Sphingomonas	0.919117647058824	0.818627450980392	0.720588235294118	0.963235294117647	0.448529411764706	0.781862745098039	0.747549019607843	0.821078431372549	0.573529411764706	1	0.651960784313726	0.681372549019608	0.926470588235294	0.79656862745098	0.825980392156863	0.776960784313726	0.774509803921569	0.745098039215686	0.720588235294118	0.620098039215686	0.705882352941177	0.811274509803922	0.659313725490196	0.774509803921569	0.588235294117647	-0.299019607843137	0.833333333333333	0.877450980392157	0.674019607843137	0.656862745098039	0.325980392156863	0.541666666666667	0.747549019607843	0.480392156862745	0.740196078431373	0.698529411764706	0.272058823529412	0.791666666666667	0.651960784313726	0.602941176470588	0.606881438711838	0.764705882352941	0.715686274509804	0.156862745098039	0.774509803921569	0.178921568627451	0.926470588235294	0.66421568627451	0.144607843137255	0.647058823529412	0.860294117647059	0.899509803921569	0.435235332787296	0.75
