Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	Mycobacterium	Microbacterium	Lysobacter	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus	Mucilaginibacter	g__Acremonium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Pseudogymnoascus	g__Didymella	g__Bipolaris
Promicromonospora	0	0.978725649786392	0.233015796644448	0.223225068375128	0.28814331499093	0.302078318547516	0.0565936423726125	0.199224393966958	0.219928689154589	0.0716072867106994	0.216994619962196	0.160629133853013	0.193152682073196	0.0935108354980249	0.884360280158533	0.0751437770367078	0.990442203747588	0.204593884268929	0.608687954532124	0.382798779777666	0.410729599070081	0.109276082697822	0.0385838277140132	0.26037105343278	0.143043809317313	0.370833055369949	0.155587529366502	0.0241121047343211	0.0977548261218752	0.128766853567821	0.0700231803111307	0.0417732005199484	0.339918057495662	0.233015796644448	0.492672664737788	0.323894960307003	0.793751369502563	0.017837138438116	0.0716072867106994	0.0530010020185283	0.382798779777666	0.702758681164876	0.656350387034363	0.706450634991619
Flavobacterium	0.947890881823222	0	0.54630702958244	0.634963013122478	0.236314680088511	0.727725553132185	0.906343984727165	0.26037105343278	0.940909648523675	0.913887109836366	0.698809001571321	0.95690776230211	0.851054728885482	0.862373980652812	0.665624900578795	0.959907438438384	0.573238006071429	0.729474785187182	0.937657482148887	0.814918665792105	0.267225534003458	0.870208202042932	0.934246191449709	0.985217800405747	0.577086891651346	0.670009936864199	0.67658500747867	0.877100616390548	0.865413358404144	0.835994883723102	0.935883699995307	0.787319303528802	0.940909648523675	0.797922202769955	0.731827979475373	0.582312031513149	0.359331768406845	0.995503294433053	0.858804118773222	0.718933156156758	0.982085764339375	0.256861417369617	0.256861417369617	0.50551074049353
Rhizobium	0.0523285418908112	0.268731899367844	0	0.152932060489045	0.00259664269285926	0.528357287462286	0.175742377801932	0.0525329564402234	0.630553748086284	0.213826426862526	0.226562095658723	0.294871654119269	0.0203107294103894	0.0716072867106994	0.651685444173902	0.308671638653878	0.665624900578795	0.0716072867106994	0.858804118773222	0.541819034542478	0.351943538351153	0.77849951857457	0.143043809317313	0.14788993160517	0.184596431273543	0.0334851087801532	0.124509434811863	0.351191278090984	0.898100945667105	0.767657306162651	0.117067149927522	0.331765236031609	0.847636721470172	0.363370498096685	0.990442203747588	0.101786917410472	0.351191278090984	0.124509434811863	0.0500893121020549	0.200732283716306	0.370833055369949	0.382798779777666	0.736849664565559	0.294871654119269
Sphingomonas	0.0483081942842584	0.363295114375383	0.0231938433767333	0	0.140551626860185	0.992650199359092	0.0183677425585913	0.0119711450959423	0.305368730864435	0.210722592523116	0.331765236031609	0.223225068375128	0.150333182629904	0.165450447849669	0.518944908876239	0.190086266490592	0.723171640189954	0.429455578074978	0.398530284757962	0.367356652129888	0.0303169826586486	0.193152682073196	0.199224393966958	0.550846265943398	0.568485652598866	0.62625168499554	0.249984484848824	0.0757302708357548	0.765931025791303	0.344034394420671	0.140768535826574	0.0751437770367078	0.46260709361951	0.363370498096685	0.541819034542478	0.301851981497838	0.943925818996834	0.0669576242063976	0.402294513854827	0.0226805165175035	0.0640133912775408	0.665624900578795	0.758633077301488	0.42735288548199
Chryseobacterium	0.0781167127530595	0.0537227308401887	6.42647355423362e-06	0.0197085659158017	0	0.639355264449211	0.136122699996509	0.0290278717933314	0.90991798962012	0.479408663910587	0.242453508410095	0.10755072802394	0.010425976758405	0.0552437604860101	0.518944908876239	0.165450447849669	0.50551074049353	0.239445252079302	0.934246191449709	0.536853239517561	0.105463419410594	0.966437349656567	0.181571723227624	0.175742377801932	0.26037105343278	0.193152682073196	0.243785679816643	0.276872264528186	0.962655355859986	0.76339662986728	0.344034394420671	0.302078318547516	0.795068214873635	0.464568980366914	0.950515375629611	0.204947482429515	0.590346961891325	0.0315848269163221	0.0700231803111307	0.166801725003772	0.363370498096685	0.363370498096685	0.581197334890361	0.339918057495662
Mycobacterium	0.0858010189515453	0.486009775519929	0.251844416752926	0.98510295927032	0.368459654854376	0	0.373664866717298	0.944405475655469	0.54630702958244	0.390557232850064	0.246174464232349	0.795068214873635	0.670009936864199	0.246174464232349	0.458354350706809	0.514710470451313	0.319857279732638	0.577086891651346	0.612878663209685	0.559538352143799	0.634963013122478	0.532596573619981	0.410729599070081	0.877100616390548	0.083124201557579	0.419252932077931	0.337814315252194	0.457193498567126	0.656350387034363	0.270947169766429	0.590346961891325	0.621611556166658	0.187210631742725	0.346263370428579	0.647790648924538	0.401955383757457	0.470496692073796	0.158463989982369	0.0551444817999355	0.487781043557679	0.528357287462286	0.46260709361951	0.950515375629611	0.500891672462632
Microbacterium	0.00330981324288434	0.786326661978121	0.030654016087949	0.000349610950046986	0.0184349895156923	0.643952709789465	0	0.140551626860185	0.394795058937824	0.470496692073796	0.723171640189954	0.0466394169283976	0.117669807054145	0.0817502176870327	0.787319303528802	0.0246557830306415	0.771424627617092	0.624515638904444	0.718933156156758	0.184596431273543	0.138428135618235	0.440585086027696	0.0406995350268085	0.386808044484035	0.536853239517561	0.656350387034363	0.767657306162651	0.0773754335750497	0.508101549663988	0.382798779777666	0.374664365535617	0.0782749806489829	0.823029189091153	0.239445252079302	0.917176446577855	0.683530804807694	0.724737447791643	0.0059324373230873	0.514710470451313	0.00919160322852842	0.00455531090065803	0.814918665792105	0.995503294433053	0.497006587319681
Lysobacter	0.0387210488787062	0.0642713028440202	0.00286506386532915	0.000140875554629218	0.000869865321967388	0.866483274919872	0.0197085659158017	0	0.423276787025925	0.202048020572519	0.374654229264277	0.204593884268929	0.0782749806489829	0.210722592523116	0.870208202042932	0.390557232850064	0.643952709789465	0.227933987269143	0.599461752079176	0.410729599070081	0.0395734025162913	0.363370498096685	0.335764438262309	0.54630702958244	0.277915702347651	0.419252932077931	0.128766853567821	0.10222849431385	0.866331694194906	0.694382775716275	0.101181039939488	0.19614630758639	0.528357287462286	0.500891672462632	0.559538352143799	0.303290564953997	0.698809001571321	0.0184349895156923	0.027987612204855	0.00553022453182985	0.146554291784015	0.806791883307869	0.604557429521292	0.26037105343278
Burkholderia	0.0470210969967303	0.859133376284092	0.358171399916303	0.0878045742079767	0.79354244291606	0.268731899367844	0.143675472730951	0.164657973316417	0	0.160629133853013	0.378602616408569	0.500891672462632	0.45407658446304	0.253367970317643	0.26037105343278	0.492672664737788	1	0.178320680664281	0.242453508410095	0.873739813210945	0.924049825605554	0.115790255509453	0.656350387034363	0.718933156156758	0.0935108354980249	0.305368730864435	0.273246478467852	0.470003004021858	0.279658656086503	0.291216895025972	0.158633626716396	0.111775556250293	0.528357287462286	0.633179005393935	0.0512812688446675	0.126535902743333	0.552119134395396	0.155427040254569	0.119499784613816	0.0141800476728316	0.0523285418908112	0.518944908876239	0.95690776230211	0.466491793183658
Bacillus	0.00521447933995862	0.800774094340852	0.0445245262088991	0.0433144165099354	0.208898183250939	0.140835721892622	0.201636943552964	0.0398329676232378	0.0255036803158819	0	0.0700231803111307	0.77849951857457	0.541819034542478	0.187210631742725	0.492672664737788	0.42735288548199	0.97272002882451	0.0823301800570782	0.26037105343278	0.643952709789465	0.906343984727165	0.0152199338887724	0.281540235130897	0.253367970317643	0.0935108354980249	0.178320680664281	0.0160336724952309	0.212566231349723	0.795068214873635	0.319857279732638	0.0124503833358234	0.199224393966958	0.175742377801932	0.044386320561917	0.202048020572519	0.139606541467539	0.498436524345186	0.00964034773549731	0.000430216119060645	0.0242939221868785	0.815282850275457	0.470496692073796	0.940909648523675	0.823029189091153
