Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	Mycobacterium	Microbacterium	Lysobacter	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus	Mucilaginibacter	g__Acremonium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Pseudogymnoascus	g__Didymella	g__Bipolaris
TAD2	2132.63979193758	321.84655396619	363.025574338968	234.07022106632	165.799739921977	88.8599913307325	80.1907238838318	42.2626788036411	31.4260944950151	47.680970957954	59.6012136974426	14.0875596012137	16.2548764629389	23.840485478977	16.2548764629389	10.8365843086259	11.9202427394885	16.2548764629389	11.9202427394885	11.9202427394885	6.50195058517555	13.0039011703511	17.3385348938015	13.0039011703511	9.75292587776333	5.41829215431296	9.75292587776333	18.4221933246641	19.5058517555267	5.41829215431296	5.41829215431296	4.33463372345037	4.33463372345037	2.16731686172518	1.08365843086259	1.08365843086259	0	865.621966440161	186.936624601304	1.10941616974067	9.43003744279573	18.3053668007211	2.77354042435169	12.7582859520178
TAD3	1128.73862158648	185.955786736021	472.041612483746	486.345903771131	250.975292587776	65.0195058517556	236.67100130039	46.814044213264	57.2171651495448	49.4148244473342	59.8179453836151	52.0156046814044	39.0117035110533	66.3198959687906	16.9050715214564	20.8062418725618	5.20156046814044	10.4031209362809	10.4031209362809	10.4031209362809	15.6046814044213	9.10273081924577	6.50195058517555	15.6046814044213	7.80234070221066	3.90117035110533	7.80234070221066	7.80234070221066	1.30039011703511	5.20156046814044	3.90117035110533	3.90117035110533	1.30039011703511	1.30039011703511	1.30039011703511	1.30039011703511	0	331.630254208068	221.922703194057	10.3438548098925	161.113374917719	17.8666583079961	2.82105131178886	14.7321568504529
TAD4	1949.20478362717	833.436074466773	324.251017137221	450.006164468006	56.7131056589816	46.8499568487239	196.030082603871	55.4802120576993	71.5078288743682	64.1104672666749	32.0552336333374	41.9183824435951	16.0276168166687	9.86314881025768	20.9591912217976	33.2881272346197	14.7947232153865	9.86314881025768	18.4934040192332	8.63025520897547	18.4934040192331	23.424978424362	7.39736160769326	9.86314881025767	9.86314881025768	3.69868080384663	6.16446800641105	3.69868080384663	2.46578720256442	7.39736160769326	3.69868080384663	4.93157440512884	3.69868080384663	2.46578720256442	3.69868080384663	1.23289360128221	0	96.6325899301771	52.1462451757357	11.784462186607	22.9797012638836	25.336593701205	4.12456176531244	12.9629084052677
TAD6	1528.7728218165	420.614744626761	709.498497804483	264.617517910793	509.590940605501	724.520452969725	299.283568292119	41.5992604575919	45.0658654957245	17.3330251906633	24.2662352669286	78.5763808643401	58.9322856482551	31.1994453431939	12.7108851398198	33.5105153686157	17.3330251906633	13.8664201525306	6.93321007626532	10.399815114398	4.62214005084354	3.46660503813266	31.1994453431939	10.399815114398	15.0219551652415	23.1107002542177	2.31107002542177	2.31107002542178	1.15553501271089	3.46660503813266	1.15553501271089	3.46660503813266	1.15553501271089	2.31107002542177	1.15553501271089	1.15553501271089	1.15553501271089	148.465337250734	73.1387135087829	45.9461148965431	309.120460086266	42.1954116396824	6.25117209476777	65.6373069950616
TAD7	1132.34330639877	655.164883162263	542.69491155274	284.996724175584	494.649486787509	80.8036689233457	73.160078619786	58.9648394846036	29.4824197423018	64.4245468442892	50.2293077091068	14.1952391351823	28.3904782703647	9.82747324743394	14.1952391351823	12.0113561913081	19.6549464948679	10.919414719371	12.0113561913081	12.0113561913081	9.82747324743394	10.919414719371	4.36776588774842	7.64359030355973	10.919414719371	3.27582441581131	12.0113561913081	7.64359030355973	1.0919414719371	5.45970735968552	2.1838829438742	2.1838829438742	4.36776588774842	2.18388294387421	3.27582441581131	1.0919414719371	1.0919414719371	188.811377164867	723.193363320495	1.61607455490613	5.38691518302045	8.34971853368169	4.04018638726533	16.9687828265144
TAD9	1823.48465635303	249.80978950038	384.225209231549	428.607659142784	76.0841998478316	54.527009890946	237.129089525742	114.126299771747	74.8161298503678	88.7648998224702	16.4849099670302	58.3312198833375	21.5571899568856	29.1656099416688	21.5571899568856	22.8252599543495	10.1445599797109	24.0933299518134	17.752979964494	13.9487699721025	6.3403499873193	20.2891199594218	12.6806999746386	15.2168399695663	10.1445599797109	3.80420999239158	5.07227998985544	35.5059599289881	1.26806999746386	3.80420999239158	3.80420999239158	6.3403499873193	2.53613999492772	5.07227998985544	2.53613999492772	0	0	604.945088655746	133.443769556415	977.36057426836	104.300877354439	5.52181115405853	2.1473710043561	15.0315970304927
TAD10	627.9350597075	496.444384811485	415.93988997719	464.242586877767	352.878035690326	61.7201127062928	124.781966993157	132.832416476587	107.339326445727	33.5435395142896	48.3026969005769	61.7201127062928	59.0366295451496	36.2270226754327	24.1513484502885	25.4930900308601	17.4426405474306	37.5687642560043	20.1261237085737	8.05044948342949	17.4426405474306	13.4174158057158	12.0756742251442	5.36696632228633	14.7591573862874	5.36696632228633	14.7591573862874	9.39219106400107	1.34174158057158	6.70870790285791	2.68348316114316	6.70870790285791	5.36696632228633	1.34174158057158	4.02522474171475	4.02522474171475	1.34174158057158	286.544172840311	63.9665807251722	488.561078293789	147.188407689044	41.7740935348063	4.89540158611012	43.4058940635097
TAH1	310.23784901758	298.747558313226	353.900953694128	279.214064115822	4.59611628174193	60.8985407330805	58.6004825922096	33.3218430426289	40.2160174652418	48.2592209582903	41.3650465356774	5.74514535217741	11.4902907043548	5.74514535217741	35.6199011835	9.19223256348385	16.0864069860967	25.2786395495806	14.9373779156613	9.19223256348385	3.44708721130645	13.7883488452258	13.7883488452258	6.89417442261289	9.19223256348385	10.3412616339193	8.04320349304837	2.29805814087096	0	3.44708721130645	2.29805814087096	3.44708721130644	3.44708721130645	3.44708721130645	2.29805814087096	1.14902907043548	3.44708721130645	195.097755549126	28.5206464679866	1.24002810730377	16.5337080973835	54.1478940189311	21.080477824164	25.2139048485098
TAH2	214.985100042571	834.397616006812	441.677309493402	322.477650063857	358.663260962112	27.67134951043	85.142613878246	56.4069816943381	28.7356321839081	13.835674755215	10.6428267347808	13.835674755215	19.1570881226054	7.44997871434653	14.8999574286931	7.44997871434654	21.2856534695615	7.44997871434653	10.6428267347808	12.7713920817369	26.6070668369519	3.19284802043423	2.12856534695615	10.6428267347808	7.44997871434654	5.32141336739038	2.12856534695615	0	0	3.19284802043423	2.12856534695616	2.12856534695616	2.12856534695615	2.12856534695615	1.06428267347808	1.06428267347808	2.12856534695615	28.8342715913772	14.2798297404916	0	31.0311684745297	8.51297542221612	28.010435260195	16.7513387340381
TAH3	259.652899233149	513.924391228306	320.193730660568	181.622494282255	2.69070361899636	26.9070361899637	30.9430916184582	24.2163325709673	44.39660971344	4.03605542849455	0	6.72675904749091	10.7628144759855	2.69070361899637	10.7628144759855	6.72675904749091	6.72675904749091	6.72675904749092	9.41746266648728	6.72675904749092	4.03605542849455	8.0721108569891	1.34535180949818	6.72675904749092	2.69070361899637	1.34535180949818	0	0	1.34535180949818	5.38140723799274	0	1.34535180949818	0	0	1.34535180949818	0	0	0.711465262708548	0	0	15.652235779588	7.11465262708548	0.711465262708548	0
