Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	Mycobacterium	Microbacterium	Lysobacter	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus	Mucilaginibacter	g__Acremonium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Pseudogymnoascus	g__Didymella	g__Bipolaris
Promicromonospora	1	0.017156862745098	0.477941176470588	0.485294117647059	0.438725490196078	0.428921568627451	0.669117647058824	0.504901960784314	0.487745098039216	0.644607843137255	0.490196078431373	0.53921568627451	0.509803921568628	0.612745098039216	0.0857843137254902	0.639705882352941	-0.00735294117647059	0.500306654429319	0.25	0.377450980392157	0.360294117647059	0.593137254901961	0.705882352941177	0.458333333333333	0.556372549019608	0.384803921568628	0.544451359231906	0.744473991618166	0.608215932835642	0.571078431372549	0.647361255140987	0.698529411764706	0.404411764705882	0.478234302028025	0.313725490196078	0.414626826298649	-0.143309194942158	0.767156862745098	0.644607843137255	0.675677715165002	0.377450980392157	0.196078431372549	-0.223039215686275	0.193627450980392
Flavobacterium	0.017156862745098	1	0.284313725490196	0.235294117647059	0.475490196078431	-0.181372549019608	0.071078431372549	0.458333333333333	-0.0465686274509804	0.0661764705882353	0.198529411764706	-0.0343137254901961	0.107843137254902	-0.100490196078431	-0.218137254901961	-0.0318627450980392	0.269607843137255	0.180257544610563	-0.0490196078431373	-0.129901960784314	0.45343137254902	0.0955882352941177	0.0514705882352941	0.0122549019607843	0.267156862745098	0.215686274509804	0.212139831412432	-0.0909093653131094	-0.0993255858058206	0.117647058823529	0.0505558313538676	0.147058823529412	0.0465686274509804	0.141017807008264	0.178921568627451	0.264308943652613	0.392773349100731	-0.00245098039215686	0.102941176470588	0.186732750372873	-0.0147058823529412	0.46078431372549	0.46078431372549	0.306372549019608
Rhizobium	0.477941176470588	0.284313725490196	1	0.54656862745098	0.86764705882353	0.294117647058824	0.524509803921569	0.676470588235294	0.237745098039216	0.492647058823529	0.482843137254902	0.433823529411765	0.757352941176471	0.644607843137255	-0.225490196078431	0.424019607843137	0.218137254901961	0.645003186837798	-0.102941176470588	0.286764705882353	0.397058823529412	0.151960784313726	0.556372549019608	0.551470588235294	0.517156862745098	0.718137254901961	0.576333646033774	0.39803559947902	-0.0772532334045272	0.159313725490196	0.584474733213005	0.409313725490196	0.110294117647059	0.389944892422851	-0.00735294117647059	0.602524179606195	0.398081097061551	0.575980392156863	0.681372549019608	0.503687024032093	0.384803921568628	0.377450980392157	0.176470588235294	0.433823529411765
Sphingomonas	0.485294117647059	0.235294117647059	0.54656862745098	1	0.558823529411765	0.00490196078431373	0.764705882352941	0.794117647058824	0.426470588235294	0.495098039215686	0.409313725490196	0.485294117647059	0.549019607843137	0.534313725490196	0.299019607843137	0.512254901960784	0.183823529411765	0.34947891302048	0.367647058823529	0.387254901960784	0.725490196078431	0.509803921568628	0.504901960784314	0.281862745098039	0.272058823529412	0.240196078431373	0.465971884027307	0.638822567065093	0.160637675809414	0.401960784313726	0.558580283007366	0.639705882352941	0.330882352941177	0.389944892422851	0.286764705882353	0.429658614563253	0.0451158576669758	0.651960784313726	0.365196078431373	0.749388011364821	0.656862745098039	0.218137254901961	0.16421568627451	0.350490196078431
Chryseobacterium	0.438725490196078	0.475490196078431	0.86764705882353	0.558823529411765	1	0.232843137254902	0.563725490196079	0.730392156862745	0.0686274509803922	0.321078431372549	0.470588235294118	0.595588235294118	0.801470588235294	0.67156862745098	-0.299019607843137	0.534313725490196	0.306372549019608	0.473329334827738	-0.0514705882352941	0.28921568627451	0.598039215686275	0.0269607843137255	0.519607843137255	0.524509803921569	0.458333333333333	0.509803921568628	0.469650609427522	0.447175796945565	-0.0306560450017965	0.161764705882353	0.401980512716118	0.428921568627451	0.142156862745098	0.32985904421933	-0.0392156862745098	0.49980695979807	0.260079650080213	0.522058823529412	0.647058823529412	0.53317114251202	0.389705882352941	0.389705882352941	0.264705882352941	0.404411764705882
Mycobacterium	0.428921568627451	-0.181372549019608	0.294117647058824	0.00490196078431373	0.232843137254902	1	0.230392156862745	-0.0441176470588235	0.284313725490196	0.372549019607843	0.468137254901961	0.142156862745098	0.215686274509804	0.468137254901961	0.333333333333333	0.301470588235294	0.416666666666667	0.267320712415665	0.247549019607843	0.276960784313726	-0.235294117647059	0.291666666666667	0.360294117647059	0.0906862745098039	0.627450980392157	0.355392156862745	0.405886035823786	0.33415334277251	0.223176007613078	0.450980392156863	0.260177571113806	0.242647058823529	0.514705882352941	0.400981068623498	0.227941176470588	0.365773514438688	0.326426499590472	0.357843137254902	0.473039215686275	0.316954273659219	0.294117647058824	0.330882352941177	0.0392156862745098	0.308823529411765
Microbacterium	0.669117647058824	0.071078431372549	0.524509803921569	0.764705882352941	0.563725490196079	0.230392156862745	1	0.558823529411765	0.370098039215686	0.325980392156863	0.183823529411765	0.688725490196079	0.583333333333333	0.629901960784314	0.147058823529412	0.74264705882353	0.156862745098039	0.241569634614156	0.186274509803922	0.517156862745098	0.561274509803922	0.343137254901961	0.700980392156863	0.375	0.28921568627451	0.223039215686275	0.159411434009342	0.636365557191766	0.305334208217893	0.377450980392157	0.382251407797535	0.634803921568628	0.125	0.473329334827738	0.0637254901960784	0.20793973766035	-0.183117304648314	0.637254901960784	0.301470588235294	0.810813258198003	0.845588235294118	0.129901960784314	0.00245098039215686	0.311274509803922
Lysobacter	0.504901960784314	0.458333333333333	0.676470588235294	0.794117647058824	0.730392156862745	-0.0441176470588235	0.558823529411765	1	0.352941176470588	0.502450980392157	0.382352941176471	0.5	0.634803921568628	0.495098039215686	0.0955882352941177	0.372549019607843	0.230392156862745	0.481913027428241	0.254901960784314	0.360294117647059	0.70343137254902	0.389705882352941	0.406862745098039	0.284313725490196	0.446078431372549	0.355392156862745	0.571428678833487	0.601967418965184	0.0980993440057488	0.200980392156863	0.602970769074177	0.507352941176471	0.294117647058824	0.309012933618109	0.276960784313726	0.428405965541203	0.199040548530776	0.563725490196079	0.531862745098039	0.64127957693842	0.367647058823529	0.134803921568627	0.252450980392157	0.458333333333333
Burkholderia	0.487745098039216	-0.0465686274509804	0.237745098039216	0.426470588235294	0.0686274509803922	0.284313725490196	0.370098039215686	0.352941176470588	1	0.53921568627451	0.379901960784314	0.308823529411765	0.33578431372549	0.463235294117647	0.458333333333333	0.313725490196078	0	0.522379006830612	0.470588235294118	-0.0931372549019608	0.0588235294117647	0.58578431372549	0.223039215686275	0.186274509803922	0.612745098039216	0.426470588235294	0.450030740626372	0.326782313152528	0.445125773426085	0.436274509803922	0.541317316203606	0.590686274509804	0.294117647058824	0.236664667413869	0.678921568627451	0.573713252099038	0.281310641923496	0.360294117647059	0.392156862745098	0.582311339978566	0.477941176470588	0.299019607843137	-0.0343137254901961	0.32843137254902
Bacillus	0.644607843137255	0.0661764705882353	0.492647058823529	0.495098039215686	0.321078431372549	0.372549019607843	0.325980392156863	0.502450980392157	0.53921568627451	1	0.647058823529412	0.151960784313726	0.286764705882353	0.514705882352941	0.313725490196078	0.350490196078431	-0.0220588235294118	0.629062043436864	0.458333333333333	0.230392156862745	0.071078431372549	0.776960784313726	0.443627450980392	0.463235294117647	0.612745098039216	0.522058823529412	0.773758575845343	0.493858984538783	0.142244048808336	0.416666666666667	0.791630334858121	0.504901960784314	0.524509803921569	0.692826617040601	0.502450980392157	0.559934112856484	0.31050325570801	0.607843137254902	0.757352941176471	0.542999182005329	0.0612745098039216	0.325980392156863	-0.0465686274509804	0.125
