Promicromonospora	Rhizobium	Sphingomonas	Chryseobacterium	g__Ophiosphaerella	Lysobacter	Luteimonas	Novosphingobium	g__Bipolaris	Iamia	Nocardia	Reyranella	Rhizocola
Promicromonospora	0	3.10669011206555e-05	4.04259444016751e-05	0.000347779184025321	8.97478268573934e-05	0.00037452115514758	0.000204713377952181	6.39025448309949e-05	0.000347779184025321	3.10669011206555e-05	0.00199173301627724	5.69709396671992e-05	0.000633495370387909
Rhizobium	3.10669011206555e-05	0	1.71655752145734e-06	7.465160658649e-06	0.000347779184025321	3.5786027973048e-05	5.51052037556601e-06	0.000221672610367529	0.000347779184025321	4.12180451728879e-06	0.00445040835803033	3.5786027973048e-05	0.000945078955586832
Sphingomonas	4.04259444016751e-05	1.71655752145734e-06	0	2.78963481476785e-05	0.000221672610367529	2.78963481476785e-05	1.06449290200983e-05	8.97478268573934e-05	0.000406947220049863	4.12180451728879e-06	0.00100133116590656	9.95227980548239e-05	0.000418342711042847
Chryseobacterium	0.000347779184025321	7.465160658649e-06	2.78963481476785e-05	0	0.000347779184025321	8.97478268573934e-05	5.69709396671992e-05	0.000156769178068079	0.000204713377952181	4.04259444016751e-05	0.000709570694760257	0.00148502748267143	0.00303805473225217
g__Ophiosphaerella	8.97478268573934e-05	0.000347779184025321	0.000221672610367529	0.000347779184025321	0	0.000435078716498605	0.000660611392263069	0.000319897157499864	0.000813990936641598	8.97478268573934e-05	0.00318615599050587	0.00104083834621246	0.000386263539609959
Lysobacter	0.00037452115514758	3.5786027973048e-05	2.78963481476785e-05	8.97478268573934e-05	0.000435078716498605	0	2.78963481476785e-05	0.000660611392263069	0.000465645609735888	3.10669011206555e-05	0.00372468415444441	9.95227980548239e-05	0.000102405340846464
Luteimonas	0.000204713377952181	5.51052037556601e-06	1.06449290200983e-05	5.69709396671992e-05	0.000660611392263069	2.78963481476785e-05	0	0.000108929785270815	7.8762015460858e-05	0.000156769178068079	0.00156138816996482	7.24149009623784e-05	0.00104083834621246
Novosphingobium	6.39025448309949e-05	0.000221672610367529	8.97478268573934e-05	0.000156769178068079	0.000319897157499864	0.000660611392263069	0.000108929785270815	0	0.000580187228758013	0.000500366108482196	0.000229479496357672	0.000500366108482196	0.0013141714068705
g__Bipolaris	0.000347779184025321	0.000347779184025321	0.000406947220049863	0.000204713377952181	0.000813990936641598	0.000465645609735888	7.8762015460858e-05	0.000580187228758013	0	0.000870583719852118	0.000709570694760257	0.000580187228758013	0.000889606509657845
Iamia	3.10669011206555e-05	4.12180451728879e-06	4.12180451728879e-06	4.04259444016751e-05	8.97478268573934e-05	3.10669011206555e-05	0.000156769178068079	0.000500366108482196	0.000870583719852118	0	0.0043838830609333	7.8762015460858e-05	0.000761820738647834
Nocardia	0.00199173301627724	0.00445040835803033	0.00100133116590656	0.000709570694760257	0.00318615599050587	0.00372468415444441	0.00156138816996482	0.000229479496357672	0.000709570694760257	0.0043838830609333	0	0.0082584099361117	0.00446734667561089
Reyranella	5.69709396671992e-05	3.5786027973048e-05	9.95227980548239e-05	0.00148502748267143	0.00104083834621246	9.95227980548239e-05	7.24149009623784e-05	0.000500366108482196	0.000580187228758013	7.8762015460858e-05	0.0082584099361117	0	9.40328119282331e-05
Rhizocola	0.000633495370387909	0.000945078955586832	0.000418342711042847	0.00303805473225217	0.000386263539609959	0.000102405340846464	0.00104083834621246	0.0013141714068705	0.000889606509657845	0.000761820738647834	0.00446734667561089	9.40328119282331e-05	0
