Promicromonospora	Rhizobium	Sphingomonas	Chryseobacterium	g__Ophiosphaerella	Lysobacter	Luteimonas	Novosphingobium	g__Bipolaris	Iamia	Nocardia	Reyranella	Rhizocola	g__Didymella
Promicromonospora	0	3.10669011206555e-05	4.04259444016751e-05	0.000347779184025321	8.97478268573934e-05	0.00037452115514758	0.000204713377952181	6.39025448309949e-05	0.000347779184025321	3.10669011206555e-05	0.00199173301627724	5.69709396671992e-05	0.000633495370387909	0.0196774469308977
Rhizobium	1.18449054439957e-07	0	1.71655752145734e-06	7.465160658649e-06	0.000347779184025321	3.5786027973048e-05	5.51052037556601e-06	0.000221672610367529	0.000347779184025321	4.12180451728879e-06	0.00445040835803033	3.5786027973048e-05	0.000945078955586832	0.00184888810855302
Sphingomonas	1.86581281853885e-07	5.74099505504129e-10	0	2.78963481476785e-05	0.000221672610367529	2.78963481476785e-05	1.06449290200983e-05	8.97478268573934e-05	0.000406947220049863	4.12180451728879e-06	0.00100133116590656	9.95227980548239e-05	0.000418342711042847	0.0049797309247699
Chryseobacterium	7.32003455339806e-06	9.65394243481922e-09	9.32988232363828e-08	0	0.000347779184025321	8.97478268573934e-05	5.69709396671992e-05	0.000156769178068079	0.000204713377952181	4.04259444016751e-05	0.000709570694760257	0.00148502748267143	0.00303805473225217	0.00148502748267143
g__Ophiosphaerella	7.50399890111985e-07	7.32003455339806e-06	3.71678490515902e-06	7.32003455339806e-06	0	0.000435078716498605	0.000660611392263069	0.000319897157499864	0.000813990936641598	8.97478268573934e-05	0.00318615599050587	0.00104083834621246	0.000386263539609959	0.0196774469308977
Lysobacter	8.31712531832754e-06	1.49208187981271e-07	9.32988232363828e-08	7.50399890111985e-07	1.06611261857741e-05	0	2.78963481476785e-05	0.000660611392263069	0.000465645609735888	3.10669011206555e-05	0.00372468415444441	9.95227980548239e-05	0.000102405340846464	0.0027509990979022
Luteimonas	3.21790259657274e-06	4.79175684831827e-09	1.82755749063004e-08	3.50590397951995e-07	2.13281002451934e-05	9.32988232363828e-08	0	0.000108929785270815	7.8762015460858e-05	0.000156769178068079	0.00156138816996482	7.24149009623784e-05	0.00104083834621246	0.00589947917816691
Novosphingobium	4.27441771444782e-07	3.71678490515902e-06	7.50399890111985e-07	2.04831077698761e-06	6.42647355423362e-06	2.13281002451934e-05	1.06622465404432e-06	0	0.000580187228758013	0.000500366108482196	0.000229479496357672	0.000500366108482196	0.0013141714068705	0.0362513285769308
g__Bipolaris	7.32003455339806e-06	7.32003455339806e-06	9.42738375990652e-06	3.21790259657274e-06	2.94016793168203e-05	1.20293791672691e-05	6.25178985597892e-07	1.70628083552245e-05	0	0.000870583719852118	0.000709570694760257	0.000580187228758013	0.000889606509657845	0.00457949951254156
Iamia	1.18449054439957e-07	2.20564790222812e-09	2.20564790222812e-09	1.86581281853885e-07	7.50399890111985e-07	1.18449054439957e-07	2.04831077698761e-06	1.35439120556831e-05	3.26104938539924e-05	0	0.0043838830609333	7.8762015460858e-05	0.000761820738647834	0.00382907231003841
Nocardia	0.000122434959328347	0.000439384798424935	4.1102579184704e-05	2.32444714941331e-05	0.000258341885340227	0.000332937765332612	8.30923874244497e-05	3.86814937004236e-06	2.32444714941331e-05	0.000424703944253181	0	0.0082584099361117	0.00446734667561089	0.0906855533011522
Reyranella	3.50590397951995e-07	1.49208187981271e-07	8.96481837550699e-07	7.73803618060897e-05	4.40702791406345e-05	8.96481837550699e-07	5.18287251035083e-07	1.35439120556831e-05	1.70628083552245e-05	6.25178985597892e-07	0.00112229673490749	0	9.40328119282331e-05	0.0114681925285307
Rhizocola	1.97181613614609e-05	3.71920703815108e-05	9.76599372267247e-06	0.000239803136646525	8.62095436230923e-06	9.40713498968631e-07	4.31845545214986e-05	6.32850312196097e-05	3.36007453146129e-05	2.58806145394948e-05	0.000441202854339188	7.8832413121551e-07	0	0.0187107590366353
g__Didymella	0.00398857681268207	0.000109735338171724	0.000525730789939475	7.73803618060897e-05	0.00398857681268207	0.000209161804322107	0.000679919907958634	0.00964034773549731	0.000460298412542638	0.000349610950046986	0.0353946624422892	0.00181343191554826	0.0036933616711652	0
