Promicromonospora	Flavobacterium	Rhizobium	Phyllobacterium	Lentzea	Pseudoxanthomonas	Sphingomonas	Chryseobacterium	Massilia	Herbaspirillum	Devosia	Kribbella	Mycobacterium	Caulobacter	Microbacterium	Steroidobacter	Sphingopyxis	Agromyces	Bradyrhizobium	Solirubrobacter	Bosea	Lysobacter	Burkholderia	Bacillus	Glycomyces	Amycolatopsis	Gaiella	Sphingobium	Conexibacter	Saccharibacteria_genera_incertae_sedis	Luteimonas	Pseudonocardia	Phenylobacterium	Terrabacter	Brevundimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Kinneretia	Hyphomicrobium	Iamia	g__Acremonium	g__Lachnella	g__Scytalidium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Chrysosporium	g__Cyphellophora	g__Bipolaris	g__Pseudogymnoascus	g__Phaeoacremonium
Promicromonospora	0	0.978725649786392	0.233015796644448	0.0954378952830919	0.975497969567827	0.978725649786392	0.223225068375128	0.28814331499093	0.873739813210945	0.690467726104697	0.982085764339375	0.378602616408569	0.302078318547516	0.987449659089664	0.0565936423726125	0.698809001571321	0.145602196990744	0.133648984490186	0.927372186087973	0.374654229264277	0.843275570534338	0.199224393966958	0.219928689154589	0.0716072867106994	0.0135774649255498	0.216994619962196	0.470496692073796	0.160629133853013	0.559538352143799	0.749788373955232	0.193152682073196	0.111775556250293	0.858804118773222	0.414965256653778	0.727725553132185	0.0935108354980249	0.884360280158533	0.0751437770367078	0.990442203747588	0.204593884268929	0.54630702958244	0.608687954532124	0.382798779777666	0.017837138438116	0.0226069280237637	0.133648984490186	0.0716072867106994	0.0530010020185283	0.382798779777666	0.323894960307003	0.319857279732638	0.706450634991619	0.702758681164876	0.425419329488268
Flavobacterium	0.947890881823222	0	0.54630702958244	0.656350387034363	0.305368730864435	0.518944908876239	0.634963013122478	0.236314680088511	0.0406995350268085	0.866331694194906	0.920709072253567	0.50551074049353	0.727725553132185	0.115790255509453	0.906343984727165	0.775129773818029	0.975497969567827	0.718933156156758	0.492672664737788	0.940909648523675	0.46260709361951	0.26037105343278	0.940909648523675	0.913887109836366	0.798842850740355	0.698809001571321	0.913887109836366	0.95690776230211	0.969624626395423	0.277915702347651	0.851054728885482	0.854675526887732	0.466491793183658	0.643952709789465	0.854675526887732	0.862373980652812	0.665624900578795	0.959907438438384	0.573238006071429	0.729474785187182	0.274420593764129	0.937657482148887	0.814918665792105	0.995503294433053	0.718933156156758	0.665624900578795	0.858804118773222	0.718933156156758	0.982085764339375	0.898845386007271	0.950515375629611	0.50551074049353	0.256861417369617	0.669209090707306
Rhizobium	0.0523285418908112	0.268731899367844	0	0.163198562102186	0.586262862651232	0.402294513854827	0.152932060489045	0.00259664269285926	0.351943538351153	0.339918057495662	0.740716344774294	0.431914614640121	0.528357287462286	0.131041252181535	0.175742377801932	0.475211028229305	0.29844488408849	0.873739813210945	0.665624900578795	0.858804118773222	0.873739813210945	0.0525329564402234	0.630553748086284	0.213826426862526	0.754013675478851	0.226562095658723	0.731827979475373	0.294871654119269	0.686678634779435	0.858804118773222	0.0203107294103894	0.917176446577855	0.920709072253567	0.851054728885482	0.823029189091153	0.0716072867106994	0.651685444173902	0.308671638653878	0.665624900578795	0.0716072867106994	0.698809001571321	0.858804118773222	0.541819034542478	0.124509434811863	0.158328647021269	0.470496692073796	0.0500893121020549	0.200732283716306	0.370833055369949	0.168240773004657	0.985217800405747	0.294871654119269	0.382798779777666	0.438413595044285
Phyllobacterium	0.0092743376584506	0.389522878396792	0.0263119019523056	0	0.79354244291606	0.500891672462632	0.771424627617092	0.158328647021269	0.802627644973487	0.115790255509453	0.599461752079176	0.608687954532124	0.740716344774294	0.599461752079176	0.414965256653778	0.651685444173902	0.0935108354980249	0.62625168499554	0.934246191449709	0.854675526887732	0.213826426862526	0.563945815927218	0.847636721470172	0.277915702347651	0.178320680664281	0.470496692073796	0.992650199359092	0.140551626860185	0.88104386229828	0.568485652598866	0.145602196990744	0.950515375629611	0.854675526887732	0.88104386229828	0.775129773818029	0.168240773004657	0.528357287462286	0.0373592259732144	0.992650199359092	0.137166505342559	0.359331768406845	0.862373980652812	0.795068214873635	0.242453508410095	0.0525329564402234	0.514710470451313	0.124509434811863	0.430755404041117	0.97272002882451	0.242453508410095	0.927372186087973	0.959907438438384	0.406280422125923	0.783909218306773
Lentzea	0.940458343503752	0.0878045742079767	0.795068214873635	0.90991798962012	0	0.378602616408569	0.791224256692379	0.927372186087973	0.806791883307869	0.937657482148887	0.76339662986728	0.630553748086284	0.698809001571321	0.670009936864199	0.46260709361951	0.145602196990744	0.647790648924538	0.966437349656567	0.643952709789465	0.927372186087973	0.131041252181535	0.77849951857457	0.854675526887732	0.577086891651346	0.702758681164876	0.291216895025972	0.959907438438384	0.758633077301488	0.90991798962012	0.590346961891325	0.927372186087973	0.45407658446304	0.702758681164876	0.559538352143799	0.202048020572519	0.754013675478851	0.920709072253567	0.924049825605554	0.690467726104697	0.339918057495662	0.50551074049353	0.895314081037148	0.270947169766429	0.76339662986728	0.661664572491682	0.982085764339375	0.402294513854827	0.920709072253567	0.523370421584579	0.256861417369617	0.715494450915152	0.902219380683168	0.599461752079176	0.792501892564513
Pseudoxanthomonas	0.947890881823222	0.243655337594556	0.149472369651657	0.227785653323252	0.132548902627589	0	0.77849951857457	0.42735288548199	0.982085764339375	0.207660245048697	0.978725649786392	0.492672664737788	0.612878663209685	0.678373705495856	0.518944908876239	0.839256582210654	0.158328647021269	0.249984484848824	0.771424627617092	0.173341633381215	0.207660245048697	0.617327063014741	0.847636721470172	0.475211028229305	0.811039616152402	0.723171640189954	0.131041252181535	0.239445252079302	0.246174464232349	0.944405475655469	0.213826426862526	0.484119467774241	0.88104386229828	0.281540235130897	0.11379019093141	0.771424627617092	0.715494450915152	0.568485652598866	0.758633077301488	0.586038218240195	0.621611556166658	0.754013675478851	0.924049825605554	0.898845386007271	0.795068214873635	0.686678634779435	0.88104386229828	0.818566870969997	0.305368730864435	0.787319303528802	0.831597223128898	0.419252932077931	0.77849951857457	0.966437349656567
Sphingomonas	0.0483081942842584	0.363295114375383	0.0231938433767333	0.547680584702937	0.579754799279412	0.560415506280904	0	0.140551626860185	0.488779077045021	0.944405475655469	0.888036212256756	0.740716344774294	0.992650199359092	0.62625168499554	0.0183677425585913	0.944405475655469	0.267225534003458	0.445252146936212	0.554966752485819	0.617327063014741	0.995503294433053	0.0119711450959423	0.305368730864435	0.210722592523116	0.431914614640121	0.331765236031609	0.90991798962012	0.223225068375128	0.767657306162651	0.573238006071429	0.150333182629904	0.390557232850064	0.643952709789465	0.634963013122478	0.315951815868209	0.165450447849669	0.518944908876239	0.190086266490592	0.723171640189954	0.429455578074978	0.678373705495856	0.398530284757962	0.367356652129888	0.0669576242063976	0.170871290994842	0.0607326067396242	0.402294513854827	0.0226805165175035	0.0640133912775408	0.497006587319681	0.103310710869011	0.42735288548199	0.665624900578795	0.0932117461769337
Chryseobacterium	0.0781167127530595	0.0537227308401887	6.42647355423362e-06	0.0247148017345798	0.829848583535362	0.1678153336374	0.0197085659158017	0	0.074468490732616	0.22010439650727	0.79354244291606	0.639355264449211	0.639355264449211	0.173341633381215	0.136122699996509	0.902219380683168	0.0977548261218752	0.975497969567827	0.851054728885482	0.767657306162651	0.651685444173902	0.0290278717933314	0.90991798962012	0.479408663910587	0.617327063014741	0.242453508410095	0.740716344774294	0.10755072802394	0.510297802090157	0.995503294433053	0.010425976758405	0.985217800405747	0.95690776230211	0.90991798962012	0.599461752079176	0.0552437604860101	0.518944908876239	0.165450447849669	0.50551074049353	0.239445252079302	0.767657306162651	0.934246191449709	0.536853239517561	0.0315848269163221	0.133648984490186	0.10506394931044	0.0700231803111307	0.166801725003772	0.363370498096685	0.323894960307003	0.987449659089664	0.339918057495662	0.363370498096685	0.378989527489083
Massilia	0.722186091025371	0.00171941119897264	0.114541775611076	0.599369052164823	0.605966363012461	0.955327485542882	0.216326971668755	0.281540235130897	0	0.62625168499554	0.28814331499093	0.0700231803111307	0.884360280158533	0.0159049112976673	0.847636721470172	0.917176446577855	0.791224256692379	0.230044517723944	0.117669807054145	0.532596573619981	0.934246191449709	0.204593884268929	0.827235410472221	0.402294513854827	0.76339662986728	0.419252932077931	0.50551074049353	0.818566870969997	0.71093402036926	0.0716072867106994	0.927372186087973	0.975497969567827	0.083124201557579	0.219928689154589	0.563945815927218	0.906343984727165	0.835994883723102	0.898845386007271	0.308671638653878	0.583860585960142	0.103310710869011	1	0.740716344774294	0.723171640189954	0.723171640189954	0.670009936864199	0.599461752079176	0.690467726104697	0.95690776230211	0.532596573619981	0.771424627617092	0.175742377801932	0.351943538351153	0.638031700742297
Herbaspirillum	0.43355523082632	0.708151309718605	0.107379242778117	0.0134789952898069	0.851794399000938	0.0421293326577055	0.866483274919872	0.492672664737788	0.353088659052	0	0.498067657323734	0.992650199359092	0.992650199359092	0.71093402036926	0.93040543719116	0.823029189091153	0.302078318547516	0.798842850740355	0.947323842899044	0.740716344774294	0.470496692073796	0.702758681164876	0.331765236031609	0.634963013122478	0.715494450915152	0.798842850740355	0.806791883307869	0.281540235130897	0.870208202042932	0.479408663910587	0.270947169766429	0.843275570534338	0.858804118773222	0.992650199359092	0.550846265943398	0.193152682073196	0.690467726104697	0.378602616408569	0.656350387034363	0.262253211401833	0.798842850740355	0.818566870969997	0.791224256692379	0.895314081037148	0.436358619835112	0.995503294433053	0.302078318547516	0.827235410472221	0.990442203747588	0.673758737037941	0.987449659089664	0.851054728885482	0.758633077301488	0.877852650046007
