Promicromonospora	Flavobacterium	Lentzea	Rhizobium	Phyllobacterium	Pseudoxanthomonas	Sphingomonas	Massilia	Devosia	Herbaspirillum	g__Scytalidium	g__Acremonium	Chryseobacterium	g__Lachnella	Kribbella	Microbacterium	Steroidobacter	Caulobacter	g__Ophiosphaerella	Mycobacterium	g__Gibberella	Sphingopyxis	g__Pyrenochaetopsis	Agromyces	Bosea	Bradyrhizobium	Solirubrobacter	Lysobacter	Burkholderia	g__Chrysosporium	Bacillus	Glycomyces	Sphingobium	Gaiella	Pseudonocardia	Saccharibacteria_genera_incertae_sedis	Conexibacter	Brevundimonas	Amycolatopsis	g__Cyphellophora	Phenylobacterium	Microvirga	g__Pseudogymnoascus	Luteimonas	g__Bipolaris	Terrabacter	Achromobacter	Novosphingobium	Kaistia	Hyphomicrobium	Kinneretia	Chitinophaga	Iamia	g__Phaeoacremonium
TAD2	2132.63979193758	321.84655396619	285.002167316862	363.025574338968	542.912873862159	230.819245773732	234.07022106632	164.716081491114	196.142175986129	170.134373645427	11.9262238247122	865.621966440161	165.799739921977	371.931770905561	249.241439098396	80.1907238838318	104.031209362809	75.8560901603815	186.936624601304	88.8599913307325	1.10941616974067	49.8482878196793	9.43003744279573	136.540962288687	57.4338968357174	53.099263112267	78.0234070221067	42.2626788036411	31.4260944950151	7.76591318818472	47.680970957954	80.1907238838318	14.0875596012137	54.1829215431296	39.0117035110533	26.0078023407022	33.5934113567403	14.0875596012137	59.6012136974426	16.9185965885453	23.840485478977	16.2548764629389	18.3053668007211	16.2548764629389	12.7582859520178	34.6770697876029	23.840485478977	10.8365843086259	11.9202427394885	11.9202427394885	5.41829215431296	16.2548764629389	11.9202427394885	2.49618638191652
TAD3	1128.73862158648	185.955786736021	211.963589076723	472.041612483746	309.492847854356	248.374512353706	486.345903771131	101.430429128739	109.232769830949	256.176853055916	87.4525906654547	331.630254208068	250.975292587776	57.9882769645488	52.0156046814044	236.67100130039	63.7191157347204	39.0117035110533	221.922703194057	65.0195058517556	10.3438548098925	139.141742522757	161.113374917719	57.2171651495449	33.8101430429129	35.110533159948	40.3120936280884	46.814044213264	57.2171651495448	73.6607842522647	49.4148244473342	45.5136540962289	52.0156046814044	19.5058517555266	18.2054616384915	15.6046814044213	15.6046814044213	59.8179453836151	59.8179453836151	76.1683854182992	22.1066319895969	16.9050715214564	17.8666583079961	39.0117035110533	14.7321568504529	10.4031209362809	66.3198959687906	20.8062418725618	5.20156046814044	10.4031209362809	5.20156046814044	10.4031209362809	10.4031209362809	116.290004074852
TAD4	1949.20478362717	833.436074466773	421.649611638516	324.251017137221	659.598076685982	219.455061028233	450.006164468006	202.194550610282	147.947232153865	173.837997780792	752.437910614854	96.6325899301771	56.7131056589816	1361.69460566243	163.974848970533	196.030082603871	101.097275305141	88.768339292319	52.1462451757357	46.8499568487239	11.784462186607	75.2065096782148	22.9797012638836	144.248551350018	57.9459992602638	62.8775736653926	87.5354456910369	55.4802120576993	71.5078288743682	5.59761953863831	64.1104672666749	54.2473184564172	41.9183824435951	50.5486376525706	27.1236592282086	35.7539144371841	41.9183824435951	17.2605104179509	32.0552336333374	38.888725215803	27.1236592282086	20.9591912217976	25.336593701205	16.0276168166687	12.9629084052677	34.5210208359019	9.86314881025768	33.2881272346197	14.7947232153865	18.4934040192332	4.93157440512884	9.86314881025768	8.63025520897547	0.294611554665174
TAD6	1528.7728218165	420.614744626761	290.039288190433	709.498497804483	718.742777906171	571.989831291888	264.617517910793	187.196672059164	134.042061474463	187.196672059164	69.0754516471839	148.465337250734	509.590940605501	18.7535162843033	62.3988906863878	299.283568292119	28.8883753177721	136.353131499885	73.1387135087829	724.520452969725	45.9461148965431	358.215853940375	309.120460086266	16.1774901779524	85.5095909406055	23.1107002542177	13.8664201525306	41.5992604575919	45.0658654957245	35.0065637306995	17.3330251906633	21.9551652415068	78.5763808643401	8.08874508897623	4.62214005084354	8.08874508897621	9.2442801016871	17.3330251906633	24.2662352669286	3.12558604738388	10.399815114398	12.7108851398198	42.1954116396824	58.9322856482551	65.6373069950616	3.46660503813266	31.1994453431939	33.5105153686157	17.3330251906633	6.93321007626532	5.77767506355443	13.8664201525306	10.399815114398	0
TAD7	1132.34330639877	655.164883162263	277.353133872025	542.69491155274	686.831185848439	173.618694038	284.996724175584	335.226031884691	216.204411443547	184.53810875737	609.798798717914	188.811377164867	494.649486787509	414.253777574272	384.363398121861	73.160078619786	110.286088665648	145.228215767635	723.193363320495	80.8036689233457	1.61607455490613	28.3904782703647	5.38691518302045	110.286088665647	44.7696003494213	78.6197859794715	63.332605372352	58.9648394846036	29.4824197423018	184.50184501845	64.4245468442892	42.5857174055471	14.1952391351823	41.4937759336099	29.4824197423018	20.7468879668049	25.1146538545534	7.64359030355973	50.2293077091068	10.7738303660409	19.6549464948678	14.1952391351823	8.34971853368169	28.3904782703647	16.9687828265144	22.9307709106792	9.82747324743394	12.0113561913081	19.6549464948679	12.0113561913081	7.64359030355973	10.919414719371	12.0113561913081	0.269345759151022
TAD9	1823.48465635303	249.80978950038	452.700989094598	384.225209231549	471.722039056556	297.996449404007	428.607659142784	121.734719756531	205.427339589146	196.550849606898	82.827167310878	604.945088655746	76.0841998478316	47.5489293821707	176.261729647477	237.129089525742	79.8884098402232	65.9396398681207	133.443769556415	54.527009890946	977.36057426836	148.364189703272	104.300877354439	73.5480598529039	38.0420999239158	41.8463099163074	68.4757798630484	114.126299771747	74.8161298503678	18.0992698938585	88.7648998224702	136.951559726097	58.3312198833375	25.3613999492772	133.147349733706	26.6294699467411	27.8975399442049	48.1866599036267	16.4849099670302	15.0315970304926	21.5571899568856	21.5571899568856	5.52181115405853	21.5571899568856	15.0315970304927	19.0210499619579	29.1656099416688	22.8252599543495	10.1445599797109	17.752979964494	7.60841998478316	24.0933299518134	13.9487699721025	0.920301859009755
TAD10	627.9350597075	496.444384811485	233.463035019456	415.93988997719	183.818596538307	550.114048034349	464.242586877767	110.02280960687	165.034214410305	257.614383469744	698.410626285043	286.544172840311	352.878035690326	137.397604516824	95.2636522205823	124.781966993157	127.4654501543	156.983764926875	63.9665807251722	61.7201127062928	488.561078293789	144.908090701731	147.188407689044	46.9609553200053	44.2774721588622	81.8462364148665	56.3531463840065	132.832416476587	107.339326445727	21.8661270846252	33.5435395142896	18.7843821280021	61.7201127062928	22.8096068697169	14.7591573862874	32.201797933718	29.5183147725748	25.4930900308601	48.3026969005769	98.5607519336836	13.4174158057158	24.1513484502885	41.7740935348063	59.0366295451496	43.4058940635097	21.4678652891453	36.2270226754327	25.4930900308601	17.4426405474306	20.1261237085737	17.4426405474306	37.5687642560043	8.05044948342949	4.56904148036944
TAH1	310.23784901758	298.747558313226	67.7927151556935	353.900953694128	413.650465356774	259.680569918419	279.214064115822	318.281052510629	414.799494427209	135.585430311387	64.8948042822304	195.097755549126	4.59611628174193	7.026825941388	224.060668734919	58.6004825922096	91.9223256348385	158.566011720096	28.5206464679866	60.8985407330805	1.24002810730377	16.0864069860967	16.5337080973835	94.2203837757095	47.1101918878548	132.13834310008	64.3456279443869	33.3218430426289	40.2160174652418	162.443682056793	48.2592209582903	6.89417442261289	5.74514535217741	39.0669883948064	10.3412616339193	42.5140756061128	35.6199011835	6.89417442261289	41.3650465356774	16.9470507998181	44.8121337469838	35.6199011835	54.1478940189311	11.4902907043548	25.2139048485098	22.9805814087096	5.74514535217741	9.19223256348385	16.0864069860967	14.9373779156613	11.4902907043548	25.2786395495806	9.19223256348385	1.65337080973835
TAH2	214.985100042571	834.397616006812	637.505321413368	441.677309493402	116.00681140911	449.127288207748	322.477650063857	368.241805023415	208.599404001703	144.742443593019	1.64767266236441	28.8342715913772	358.663260962112	0.823836331182205	159.642401021711	85.142613878246	112.813963388676	229.885057471264	14.2798297404916	27.67134951043	0	32.9927628778203	31.0311684745297	39.3784589186888	52.1498510004257	77.6926351638995	31.9284802043423	56.4069816943381	28.7356321839081	2.19689688315255	13.835674755215	6.38569604086845	13.835674755215	10.6428267347808	8.51426138782461	81.9497658578118	13.835674755215	24.4785014899957	10.6428267347808	1.09844844157627	41.5070242656449	14.8999574286931	8.51297542221612	19.1570881226054	16.7513387340381	8.51426138782461	7.44997871434653	7.44997871434654	21.2856534695615	10.6428267347808	38.3141762452107	7.44997871434653	12.7713920817369	0.274612110394068
TAH3	259.652899233149	513.924391228306	641.732813130634	320.193730660568	329.611193327055	926.947396744249	181.622494282255	59.1954796179201	118.39095923584	369.971747612	0.711465262708548	0.711465262708548	2.69070361899636	0.355732631354274	22.8709807614691	30.9430916184582	106.282792950357	25.5616843804655	0	26.9070361899637	0	20.1802771424728	15.652235779588	30.9430916184583	134.535180949818	24.2163325709673	26.9070361899637	24.2163325709673	44.39660971344	1.42293052541709	4.03605542849455	18.8349253329746	6.72675904749091	13.4535180949818	12.1081662854837	10.7628144759855	14.79886990448	17.4895735234764	0	20.2767599871936	20.1802771424728	10.7628144759855	7.11465262708548	10.7628144759855	0	1.34535180949818	2.69070361899637	6.72675904749091	6.72675904749091	9.41746266648728	6.72675904749092	6.72675904749092	6.72675904749092	0
