Promicromonospora	Flavobacterium	Rhizobium	Phyllobacterium	Lentzea	Pseudoxanthomonas	Sphingomonas	Chryseobacterium	Massilia	Herbaspirillum	Devosia	Kribbella	Mycobacterium	Caulobacter	Microbacterium	Steroidobacter	Sphingopyxis	Agromyces	Bradyrhizobium	Solirubrobacter	Bosea	Lysobacter	Burkholderia	Bacillus	Glycomyces	Amycolatopsis	Gaiella	Sphingobium	Conexibacter	Saccharibacteria_genera_incertae_sedis	Luteimonas	Pseudonocardia	Phenylobacterium	Terrabacter	Brevundimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	Chitinophaga	Kinneretia	Hyphomicrobium	Iamia	g__Acremonium	g__Lachnella	g__Scytalidium	g__Ophiosphaerella	g__Gibberella	g__Pyrenochaetopsis	g__Chrysosporium	g__Cyphellophora	g__Bipolaris	g__Pseudogymnoascus	g__Phaeoacremonium
Promicromonospora	1	0.017156862745098	0.477941176470588	0.610294117647059	-0.0196078431372549	-0.017156862745098	0.485294117647059	0.438725490196078	0.0931372549019608	0.20343137254902	-0.0147058823529412	0.379901960784314	0.428921568627451	0.00980392156862745	0.669117647058824	-0.198529411764706	0.553921568627451	0.566176470588235	0.0563725490196079	0.382352941176471	0.112745098039216	0.504901960784314	0.487745098039216	0.644607843137255	0.784313725490196	0.490196078431373	0.325980392156863	0.53921568627451	0.276960784313726	-0.169117647058824	0.509803921568628	0.590686274509804	-0.102941176470588	0.357843137254902	0.181372549019608	0.612745098039216	0.0857843137254902	0.639705882352941	-0.00735294117647059	0.500306654429319	-0.284313725490196	0.25	0.377450980392157	0.767156862745098	0.75	0.566176470588235	0.644607843137255	0.675677715165002	0.377450980392157	0.41421568627451	0.416666666666667	0.193627450980392	0.196078431372549	0.351994375196134
Flavobacterium	0.017156862745098	1	0.284313725490196	0.223039215686275	0.426470588235294	0.299019607843137	0.235294117647059	0.475490196078431	0.700980392156863	0.0980392156862745	0.0612745098039216	0.306372549019608	-0.181372549019608	0.58578431372549	0.071078431372549	0.154411764705882	0.0196078431372549	0.186274509803922	0.313725490196078	0.0465686274509804	0.330882352941177	0.458333333333333	-0.0465686274509804	0.0661764705882353	-0.139705882352941	0.198529411764706	0.0661764705882353	-0.0343137254901961	-0.0245098039215686	0.446078431372549	0.107843137254902	-0.105392156862745	0.32843137254902	0.230392156862745	-0.105392156862745	-0.100490196078431	-0.218137254901961	-0.0318627450980392	0.269607843137255	0.180257544610563	0.448529411764706	-0.0490196078431373	-0.129901960784314	-0.00245098039215686	0.186274509803922	0.218137254901961	0.102941176470588	0.186732750372873	-0.0147058823529412	0.0759803921568628	-0.0392156862745098	0.306372549019608	0.46078431372549	0.216708280814702
Rhizobium	0.477941176470588	0.284313725490196	1	0.536764705882353	-0.142156862745098	0.365196078431373	0.54656862745098	0.86764705882353	0.397058823529412	0.404411764705882	0.174019607843137	0.348039215686275	0.294117647058824	0.568627450980392	0.524509803921569	-0.323529411764706	0.431372549019608	0.0931372549019608	0.218137254901961	-0.102941176470588	0.0931372549019608	0.676470588235294	0.237745098039216	0.492647058823529	0.166666666666667	0.482843137254902	-0.178921568627451	0.433823529411765	-0.205882352941176	-0.102941176470588	0.757352941176471	-0.0637254901960784	0.0612745098039216	0.107843137254902	0.125	0.644607843137255	-0.225490196078431	0.424019607843137	0.218137254901961	0.645003186837798	0.198529411764706	-0.102941176470588	0.286764705882353	0.575980392156863	0.541666666666667	0.325980392156863	0.681372549019608	0.503687024032093	0.384803921568628	0.531862745098039	0.0122549019607843	0.433823529411765	0.377450980392157	0.344478481063833
Phyllobacterium	0.610294117647059	0.223039215686275	0.536764705882353	1	-0.0686274509803922	0.308823529411765	0.156862745098039	0.541666666666667	0.137254901960784	0.58578431372549	0.254901960784314	0.25	0.174019607843137	0.254901960784314	0.357843137254902	-0.225490196078431	0.612745098039216	0.240196078431373	0.0514705882352941	-0.105392156862745	0.492647058823529	0.274509803921569	0.110294117647059	0.446078431372549	0.522058823529412	0.325980392156863	-0.00490196078431373	0.558823529411765	-0.0882352941176471	-0.272058823529412	0.553921568627451	0.0392156862745098	-0.105392156862745	0.0882352941176471	0.154411764705882	0.531862745098039	-0.294117647058824	0.708333333333333	-0.00490196078431373	0.562844986232984	-0.392156862745098	0.100490196078431	0.142156862745098	0.470588235294118	0.676470588235294	0.301470588235294	0.575980392156863	0.348895402012474	0.0220588235294118	0.470588235294118	-0.0563725490196079	0.0318627450980392	0.362745098039216	0.149065233623986
Lentzea	-0.0196078431372549	0.426470588235294	-0.142156862745098	-0.0686274509803922	1	0.379901960784314	0.144607843137255	0.0563725490196079	0.134803921568627	-0.0490196078431373	-0.161764705882353	-0.237745098039216	-0.198529411764706	-0.215686274509804	0.330882352941177	0.553921568627451	0.227941176470588	-0.0269607843137255	-0.230392156862745	0.0563725490196079	0.568627450980392	0.151960784313726	-0.105392156862745	-0.267156862745098	0.196078431372549	-0.436274509803922	-0.0318627450980392	0.16421568627451	-0.0686274509803922	0.259803921568627	-0.0563725490196079	0.33578431372549	0.196078431372549	-0.276960784313726	0.502450980392157	-0.166666666666667	0.0612745098039216	0.0588235294117647	0.20343137254902	-0.404659794023714	0.306372549019608	0.0784313725490196	0.450980392156863	-0.161764705882353	-0.220588235294118	-0.0147058823529412	-0.365196078431373	0.061425246833182	0.29656862745098	-0.46078431372549	0.188725490196078	-0.0735294117647059	-0.254901960784314	-0.144054637535785
Pseudoxanthomonas	-0.017156862745098	0.299019607843137	0.365196078431373	0.308823529411765	0.379901960784314	1	0.151960784313726	0.350490196078431	-0.0147058823529412	0.497549019607843	-0.017156862745098	-0.313725490196078	-0.247549019607843	0.21078431372549	0.299019607843137	0.115196078431373	0.541666666666667	-0.465686274509804	-0.156862745098039	-0.526960784313726	0.497549019607843	0.245098039215686	0.110294117647059	-0.323529411764706	-0.132352941176471	-0.183823529411765	-0.568627450980392	0.473039215686275	-0.468137254901961	0.0441176470588235	0.492647058823529	-0.318627450980392	-0.0882352941176471	-0.443627450980392	0.588235294117647	0.156862745098039	-0.188725490196078	0.272058823529412	0.16421568627451	0.262415745215378	0.242647058823529	-0.166666666666667	0.0588235294117647	0.0759803921568628	-0.142156862745098	-0.205882352941176	-0.0882352941176471	0.127764513413019	0.426470588235294	-0.147058823529412	0.120098039215686	0.355392156862745	0.151960784313726	0.0275582784851066
Sphingomonas	0.485294117647059	0.235294117647059	0.54656862745098	0.156862745098039	0.144607843137255	0.151960784313726	1	0.558823529411765	0.316176470588235	0.0441176470588235	-0.0833333333333333	0.174019607843137	0.00490196078431373	0.240196078431373	0.764705882352941	0.0441176470588235	0.45343137254902	0.340686274509804	0.279411764705882	0.245098039215686	0.00245098039215686	0.794117647058824	0.426470588235294	0.495098039215686	0.348039215686275	0.409313725490196	0.0686274509803922	0.485294117647059	0.159313725490196	0.269607843137255	0.549019607843137	0.372549019607843	0.230392156862745	0.235294117647059	0.419117647058824	0.534313725490196	0.299019607843137	0.512254901960784	0.183823529411765	0.34947891302048	0.21078431372549	0.367647058823529	0.387254901960784	0.651960784313726	0.529411764705882	0.661764705882353	0.365196078431373	0.749388011364821	0.656862745098039	0.311274509803922	0.600490196078431	0.350490196078431	0.218137254901961	0.613798020804647
Chryseobacterium	0.438725490196078	0.475490196078431	0.86764705882353	0.541666666666667	0.0563725490196079	0.350490196078431	0.558823529411765	1	0.443627450980392	0.313725490196078	0.0686274509803922	0.232843137254902	0.232843137254902	0.526960784313726	0.563725490196079	-0.0735294117647059	0.607843137254902	0.0196078431372549	0.107843137254902	-0.159313725490196	0.225490196078431	0.730392156862745	0.0686274509803922	0.321078431372549	0.245098039215686	0.470588235294118	-0.174019607843137	0.595588235294118	-0.303921568627451	0.00245098039215686	0.801470588235294	-0.0122549019607843	-0.0343137254901961	0.0686274509803922	0.254901960784314	0.67156862745098	-0.299019607843137	0.534313725490196	0.306372549019608	0.473329334827738	0.159313725490196	-0.0514705882352941	0.28921568627451	0.522058823529412	0.566176470588235	0.406862745098039	0.647058823529412	0.53317114251202	0.389705882352941	0.41421568627451	-0.00980392156862745	0.404411764705882	0.389705882352941	0.379552653681241
Massilia	0.0931372549019608	0.700980392156863	0.397058823529412	0.137254901960784	0.134803921568627	-0.0147058823529412	0.316176470588235	0.443627450980392	1	-0.240196078431373	0.438725490196078	0.647058823529412	0.0857843137254902	0.774509803921569	0.110294117647059	0.0637254901960784	-0.144607843137255	0.480392156862745	0.583333333333333	0.291666666666667	0.0514705882352941	0.5	-0.122549019607843	0.365196078431373	-0.161764705882353	0.355392156862745	0.306372549019608	-0.127450980392157	0.191176470588235	0.644607843137255	0.0563725490196079	-0.0196078431372549	0.627450980392157	0.487745098039216	-0.274509803921569	-0.071078431372549	0.117647058823529	-0.0759803921568628	0.424019607843137	0.26364198701545	0.600490196078431	0	0.174019607843137	0.183823529411765	0.183823529411765	0.215686274509804	0.254901960784314	0.203931819486164	-0.0343137254901961	0.291666666666667	-0.156862745098039	0.524509803921569	0.397058823529412	0.234245367123406
Herbaspirillum	0.20343137254902	0.0980392156862745	0.404411764705882	0.58578431372549	-0.0490196078431373	0.497549019607843	0.0441176470588235	0.313725490196078	-0.240196078431373	1	0.176470588235294	-0.00490196078431373	-0.00490196078431373	0.191176470588235	0.053921568627451	-0.125	0.428921568627451	-0.139705882352941	0.0416666666666667	-0.174019607843137	0.325980392156863	0.196078431372549	0.409313725490196	0.235294117647059	0.188725490196078	0.139705882352941	-0.134803921568627	0.443627450980392	-0.0955882352941177	-0.321078431372549	0.450980392156863	-0.112745098039216	-0.102941176470588	-0.00490196078431373	0.281862745098039	0.509803921568628	-0.20343137254902	0.379901960784314	-0.223039215686275	0.457388191426804	-0.139705882352941	0.127450980392157	-0.144607843137255	0.0784313725490196	0.345588235294118	0.00245098039215686	0.428921568627451	0.122850493666364	-0.00735294117647059	0.213235294117647	0.00980392156862745	-0.107843137254902	0.16421568627451	0.0901907295876216
Devosia	-0.0147058823529412	0.0612745098039216	0.174019607843137	0.254901960784314	-0.161764705882353	-0.017156862745098	-0.0833333333333333	0.0686274509803922	0.438725490196078	0.176470588235294	1	0.713235294117647	0.198529411764706	0.598039215686275	-0.279411764705882	0.220588235294118	-0.0833333333333333	0.411764705882353	0.730392156862745	0.33578431372549	-0.0686274509803922	0.166666666666667	0.0318627450980392	0.433823529411765	0	0.227941176470588	0.441176470588235	-0.0147058823529412	0.348039215686275	0.477941176470588	0.110294117647059	0.0857843137254902	0.41421568627451	0.497549019607843	-0.122549019607843	0.0686274509803922	0.379901960784314	0	0.384803921568628	0.419374695624576	0.379901960784314	0.416666666666667	0.279411764705882	0.110294117647059	0.154411764705882	-0.0196078431372549	0.308823529411765	-0.157248631892946	-0.340686274509804	0.377450980392157	-0.338235294117647	0.20343137254902	0.147058823529412	0.0964539746978731
Kribbella	0.379901960784314	0.306372549019608	0.348039215686275	0.25	-0.237745098039216	-0.313725490196078	0.174019607843137	0.232843137254902	0.647058823529412	-0.00490196078431373	0.713235294117647	1	0.404411764705882	0.66421568627451	-0.0686274509803922	-0.0563725490196079	-0.196078431372549	0.784313725490196	0.803921568627451	0.683823529411765	-0.267156862745098	0.406862745098039	0.284313725490196	0.762254901960784	0.186274509803922	0.615196078431373	0.708333333333333	-0.166666666666667	0.600490196078431	0.458333333333333	0.0906862745098039	0.32843137254902	0.446078431372549	0.857843137254902	-0.446078431372549	0.16421568627451	0.333333333333333	-0.0245098039215686	0.28921568627451	0.602084723835283	0.352941176470588	0.384803921568628	0.159313725490196	0.411764705882353	0.514705882352941	0.382352941176471	0.580882352941177	0.213759858979473	-0.213235294117647	0.615196078431373	-0.105392156862745	0.318627450980392	0.424019607843137	0.388321196835593
Mycobacterium	0.428921568627451	-0.181372549019608	0.294117647058824	0.174019607843137	-0.198529411764706	-0.247549019607843	0.00490196078431373	0.232843137254902	0.0857843137254902	-0.00490196078431373	0.198529411764706	0.404411764705882	1	0.134803921568627	0.230392156862745	0.0808823529411765	0.107843137254902	0.299019607843137	0.188725490196078	0.46078431372549	-0.0416666666666667	-0.0441176470588235	0.284313725490196	0.372549019607843	0.370098039215686	0.468137254901961	0.512254901960784	0.142156862745098	0.45343137254902	-0.122549019607843	0.215686274509804	0.350490196078431	-0.0686274509803922	0.394607843137255	-0.139705882352941	0.468137254901961	0.333333333333333	0.301470588235294	0.416666666666667	0.267320712415665	0.0612745098039216	0.247549019607843	0.276960784313726	0.357843137254902	0.436274509803922	0.470588235294118	0.473039215686275	0.316954273659219	0.294117647058824	0.605392156862745	0.16421568627451	0.308823529411765	0.330882352941177	0.146559935579885
Caulobacter	0.00980392156862745	0.58578431372549	0.568627450980392	0.254901960784314	-0.215686274509804	0.21078431372549	0.240196078431373	0.526960784313726	0.774509803921569	0.191176470588235	0.598039215686275	0.66421568627451	0.134803921568627	1	-0.0367647058823529	-0.0882352941176471	-0.0294117647058824	0.230392156862745	0.725490196078431	0.137254901960784	-0.0735294117647059	0.502450980392157	0.156862745098039	0.387254901960784	-0.323529411764706	0.482843137254902	0.169117647058824	0.00490196078431373	0.132352941176471	0.522058823529412	0.303921568627451	-0.308823529411765	0.438725490196078	0.509803921568628	-0.286764705882353	0.193627450980392	0.0906862745098039	0.0196078431372549	0.406862745098039	0.627835801636792	0.58578431372549	0.100490196078431	-0.115196078431373	0.188725490196078	0.281862745098039	0.176470588235294	0.426470588235294	0.194103779992855	-0.0392156862745098	0.487745098039216	-0.25	0.610294117647059	0.612745098039216	0.328194043777179
Microbacterium	0.669117647058824	0.071078431372549	0.524509803921569	0.357843137254902	0.330882352941177	0.299019607843137	0.764705882352941	0.563725490196079	0.110294117647059	0.053921568627451	-0.279411764705882	-0.0686274509803922	0.230392156862745	-0.0367647058823529	1	-0.0465686274509804	0.723039215686275	0.144607843137255	-0.174019607843137	0.0931372549019608	0.286764705882353	0.558823529411765	0.370098039215686	0.325980392156863	0.553921568627451	0.183823529411765	-0.0833333333333333	0.688725490196079	-0.0196078431372549	-0.0612745098039216	0.583333333333333	0.379901960784314	-0.0318627450980392	-0.071078431372549	0.541666666666667	0.629901960784314	0.147058823529412	0.74264705882353	0.156862745098039	0.241569634614156	-0.053921568627451	0.186274509803922	0.517156862745098	0.637254901960784	0.475490196078431	0.566176470588235	0.301470588235294	0.810813258198003	0.845588235294118	0.213235294117647	0.502450980392157	0.311274509803922	0.129901960784314	0.319425500622827
Steroidobacter	-0.198529411764706	0.154411764705882	-0.323529411764706	-0.225490196078431	0.553921568627451	0.115196078431373	0.0441176470588235	-0.0735294117647059	0.0637254901960784	-0.125	0.220588235294118	-0.0563725490196079	0.0808823529411765	-0.0882352941176471	-0.0465686274509804	1	0.0906862745098039	0.0612745098039216	0.205882352941176	0.191176470588235	0.333333333333333	0.0416666666666667	-0.17156862745098	-0.29656862745098	0.0808823529411765	-0.21078431372549	0.303921568627451	0.166666666666667	0.225490196078431	0.41421568627451	-0.0294117647058824	0.397058823529412	0.0857843137254902	0.00245098039215686	0.436274509803922	-0.125	0.463235294117647	0.0588235294117647	0.571078431372549	-0.366646298221486	0.436274509803922	0.480392156862745	0.431372549019608	-0.144607843137255	-0.161764705882353	0.122549019607843	-0.301470588235294	-0.1081084344264	0.0857843137254902	-0.232843137254902	0.316176470588235	0.071078431372549	-0.220588235294118	-0.0288109275071569
Sphingopyxis	0.553921568627451	0.0196078431372549	0.431372549019608	0.612745098039216	0.227941176470588	0.541666666666667	0.45343137254902	0.607843137254902	-0.144607843137255	0.428921568627451	-0.0833333333333333	-0.196078431372549	0.107843137254902	-0.0294117647058824	0.723039215686275	0.0906862745098039	1	-0.137254901960784	-0.272058823529412	-0.230392156862745	0.399509803921569	0.438725490196078	0.252450980392157	0.107843137254902	0.58578431372549	0.178921568627451	-0.25	0.95343137254902	-0.279411764705882	-0.139705882352941	0.794117647058824	0.205882352941176	-0.325980392156863	-0.196078431372549	0.747549019607843	0.725490196078431	-0.071078431372549	0.852941176470588	0.0955882352941177	0.333537769619546	-0.269607843137255	0.186274509803922	0.352941176470588	0.544117647058824	0.448529411764706	0.318627450980392	0.399509803921569	0.565112270865275	0.593137254901961	0.16421568627451	0.269607843137255	0.200980392156863	0.142156862745098	0.289361924093619
Agromyces	0.566176470588235	0.186274509803922	0.0931372549019608	0.240196078431373	-0.0269607843137255	-0.465686274509804	0.340686274509804	0.0196078431372549	0.480392156862745	-0.139705882352941	0.411764705882353	0.784313725490196	0.299019607843137	0.230392156862745	0.144607843137255	0.0612745098039216	-0.137254901960784	1	0.610294117647059	0.83578431372549	-0.0465686274509804	0.325980392156863	0.254901960784314	0.767156862745098	0.485294117647059	0.504901960784314	0.838235294117647	-0.127450980392157	0.776960784313726	0.350490196078431	-0.107843137254902	0.649509803921569	0.517156862745098	0.808823529411765	-0.276960784313726	0.120098039215686	0.458333333333333	0.127450980392157	0.0686274509803922	0.345800187620264	0.0906862745098039	0.512254901960784	0.303921568627451	0.5	0.588235294117647	0.534313725490196	0.409313725490196	0.321868293405874	-0.122549019607843	0.441176470588235	0.29656862745098	0.0367647058823529	0.227941176470588	0.4158794753207
Bradyrhizobium	0.0563725490196079	0.313725490196078	0.218137254901961	0.0514705882352941	-0.230392156862745	-0.156862745098039	0.279411764705882	0.107843137254902	0.583333333333333	0.0416666666666667	0.730392156862745	0.803921568627451	0.188725490196078	0.725490196078431	-0.174019607843137	0.205882352941176	-0.272058823529412	0.610294117647059	1	0.580882352941177	-0.193627450980392	0.377450980392157	0.28921568627451	0.544117647058824	-0.127450980392157	0.428921568627451	0.605392156862745	-0.174019607843137	0.627450980392157	0.607843137254902	0.0441176470588235	0.122549019607843	0.536764705882353	0.735294117647059	-0.316176470588235	0.0612745098039216	0.526960784313726	-0.0392156862745098	0.463235294117647	0.475781818427882	0.549019607843137	0.571078431372549	0.0686274509803922	0.191176470588235	0.348039215686275	0.360294117647059	0.259803921568627	0.0859953455664548	-0.169117647058824	0.455882352941177	0.0686274509803922	0.345588235294118	0.387254901960784	0.349489077152034
Solirubrobacter	0.382352941176471	0.0465686274509804	-0.102941176470588	-0.105392156862745	0.0563725490196079	-0.526960784313726	0.245098039215686	-0.159313725490196	0.291666666666667	-0.174019607843137	0.33578431372549	0.683823529411765	0.46078431372549	0.137254901960784	0.0931372549019608	0.191176470588235	-0.230392156862745	0.83578431372549	0.580882352941177	1	-0.191176470588235	0.169117647058824	0.465686274509804	0.642156862745098	0.387254901960784	0.399509803921569	0.933823529411765	-0.20343137254902	0.936274509803922	0.409313725490196	-0.242647058823529	0.683823529411765	0.5	0.823529411764706	-0.267156862745098	0.142156862745098	0.696078431372549	0.0122549019607843	0.132352941176471	0.198651171611641	0.235294117647059	0.651960784313726	0.235294117647059	0.28921568627451	0.42156862745098	0.522058823529412	0.259803921568627	0.285013145305965	0.0269607843137255	0.345588235294118	0.330882352941177	0.0269607843137255	0.188725490196078	0.363268216394587
Bosea	0.112745098039216	0.330882352941177	0.0931372549019608	0.492647058823529	0.568627450980392	0.497549019607843	0.00245098039215686	0.225490196078431	0.0514705882352941	0.325980392156863	-0.0686274509803922	-0.267156862745098	-0.0416666666666667	-0.0735294117647059	0.286764705882353	0.333333333333333	0.399509803921569	-0.0465686274509804	-0.193627450980392	-0.191176470588235	1	-0.0196078431372549	-0.286764705882353	-0.223039215686275	0.17156862745098	-0.303921568627451	-0.107843137254902	0.308823529411765	-0.129901960784314	-0.191176470588235	0.0514705882352941	-0.0367647058823529	0.144607843137255	-0.321078431372549	0.325980392156863	0.137254901960784	-0.174019607843137	0.446078431372549	0.0833333333333333	-0.0919681350053895	-0.0392156862745098	0.0465686274509804	0.267156862745098	-0.0245098039215686	0.127450980392157	0.0196078431372549	-0.181372549019608	0.0417691678465638	0.102941176470588	-0.191176470588235	0.132352941176471	-0.191176470588235	0.017156862745098	-0.176623512109092
Lysobacter	0.504901960784314	0.458333333333333	0.676470588235294	0.274509803921569	0.151960784313726	0.245098039215686	0.794117647058824	0.730392156862745	0.5	0.196078431372549	0.166666666666667	0.406862745098039	-0.0441176470588235	0.502450980392157	0.558823529411765	0.0416666666666667	0.438725490196078	0.325980392156863	0.377450980392157	0.169117647058824	-0.0196078431372549	1	0.352941176470588	0.502450980392157	0.235294117647059	0.382352941176471	0.0661764705882353	0.5	0.00245098039215686	0.308823529411765	0.634803921568628	0.301470588235294	0.159313725490196	0.311274509803922	0.284313725490196	0.495098039215686	0.0955882352941177	0.372549019607843	0.230392156862745	0.481913027428241	0.394607843137255	0.254901960784314	0.360294117647059	0.563725490196079	0.485294117647059	0.443627450980392	0.531862745098039	0.64127957693842	0.367647058823529	0.232843137254902	0.240196078431373	0.458333333333333	0.134803921568627	0.455964244026309
Burkholderia	0.487745098039216	-0.0465686274509804	0.237745098039216	0.110294117647059	-0.105392156862745	0.110294117647059	0.426470588235294	0.0686274509803922	-0.122549019607843	0.409313725490196	0.0318627450980392	0.284313725490196	0.284313725490196	0.156862745098039	0.370098039215686	-0.17156862745098	0.252450980392157	0.254901960784314	0.28921568627451	0.465686274509804	-0.286764705882353	0.352941176470588	1	0.53921568627451	0.316176470588235	0.379901960784314	0.301470588235294	0.308823529411765	0.482843137254902	0.0906862745098039	0.33578431372549	0.343137254901961	-0.0392156862745098	0.433823529411765	0.147058823529412	0.463235294117647	0.458333333333333	0.313725490196078	0	0.522379006830612	0.0612745098039216	0.470588235294118	-0.0931372549019608	0.360294117647059	0.41421568627451	0.470588235294118	0.392156862745098	0.582311339978566	0.477941176470588	0.384803921568628	0.470588235294118	0.32843137254902	0.299019607843137	0.37704735563714
Bacillus	0.644607843137255	0.0661764705882353	0.492647058823529	0.446078431372549	-0.267156862745098	-0.323529411764706	0.495098039215686	0.321078431372549	0.365196078431373	0.235294117647059	0.433823529411765	0.762254901960784	0.372549019607843	0.387254901960784	0.325980392156863	-0.29656862745098	0.107843137254902	0.767156862745098	0.544117647058824	0.642156862745098	-0.223039215686275	0.502450980392157	0.53921568627451	1	0.524509803921569	0.647058823529412	0.57843137254902	0.151960784313726	0.558823529411765	0.120098039215686	0.286764705882353	0.477941176470588	0.325980392156863	0.730392156862745	-0.176470588235294	0.514705882352941	0.313725490196078	0.350490196078431	-0.0220588235294118	0.629062043436864	-0.0196078431372549	0.458333333333333	0.230392156862745	0.607843137254902	0.762254901960784	0.602941176470588	0.757352941176471	0.542999182005329	0.0612745098039216	0.715686274509804	0.134803921568627	0.125	0.325980392156863	0.476006628379114
