Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	Kribbella	Mesorhizobium	Mycobacterium	Caulobacter	Umezawaea	Microbacterium	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	Lysobacter	Kineosporia	Cellulomonas	Burkholderia	Phycicoccus	g__Acremonium	g__Lachnella	g__Scytalidium	g__Magnaporthiopsis	g__Podospora	g__Ophiosphaerella	g__Gibberella	g__Cladosporium	g__Pyrenochaetopsis	g__Mycosphaerella	g__Sarocladium	g__Mortierella	g__Bipolaris
TAD2	2132.63979193758	321.84655396619	219.982661465106	363.025574338968	53.0992631122671	542.912873862159	285.002167316862	230.819245773732	292.5877763329	234.07022106632	446.467273515388	338.101430429128	165.799739921977	164.716081491114	170.134373645427	196.142175986129	249.241439098396	105.114867793671	88.8599913307325	75.8560901603815	70.4377980060685	80.1907238838318	143.042912873862	62.8521889900303	55.2665799739922	140.875596012137	104.031209362809	138.708279150412	49.8482878196793	60.6848721283052	23.8404854789771	136.540962288687	138.708279150412	24.9241439098396	53.099263112267	78.0234070221067	30.3424360641525	57.4338968357174	42.2626788036411	4.33463372345037	94.2782834850455	31.4260944950151	48.7646293888167	865.621966440161	371.931770905561	11.9262238247122	304.534738593815	0.277354042435168	186.936624601304	1.10941616974067	8.87532935792539	9.43003744279573	0.554708084870337	8.32062127305506	33.005131049785	12.7582859520178
TAD3	1128.73862158648	185.955786736021	344.603381014304	472.041612483746	2572.17165149545	309.492847854356	211.963589076723	248.374512353706	137.841352405721	486.345903771131	136.540962288686	114.43433029909	250.975292587776	101.430429128739	256.176853055916	109.232769830949	52.0156046814044	92.3276983094928	65.0195058517556	39.0117035110533	79.3237971391417	236.67100130039	62.4187256176853	305.591677503251	24.7074122236671	31.2093628088426	63.7191157347204	14.3042912873862	139.141742522757	35.110533159948	9.10273081924577	57.2171651495449	36.4109232769831	28.6085825747724	35.110533159948	40.3120936280884	15.6046814044213	33.8101430429129	46.814044213264	1.30039011703511	39.0117035110533	57.2171651495448	11.703511053316	331.630254208068	57.9882769645488	87.4525906654547	452.308560323481	5.95555276933204	221.922703194057	10.3438548098925	5.01520233206908	161.113374917719	0.940350437262953	136.977713694637	8.46315393536659	14.7321568504529
TAD4	1949.20478362717	833.436074466773	361.237825175687	324.251017137221	50.5486376525706	659.598076685982	421.649611638516	219.455061028233	65.3433608679571	450.006164468006	335.347059548761	144.248551350019	56.7131056589816	202.194550610282	173.837997780792	147.947232153865	163.974848970533	117.12489212181	46.8499568487239	88.768339292319	43.1512760448773	196.030082603871	93.6999136974479	152.878806558994	20.9591912217976	125.755147330785	101.097275305141	46.849956848724	75.2065096782148	43.1512760448773	3.69868080384663	144.248551350018	51.7815312538528	2.46578720256442	62.8775736653926	87.5354456910369	17.2605104179509	57.9459992602638	55.4802120576993	2.46578720256442	56.7131056589816	71.5078288743682	51.7815312538528	96.6325899301771	1361.69460566243	752.437910614854	37.1210558878119	5.5976195386383	52.1462451757357	11.784462186607	15.319800842589	22.9797012638836	2.06228088265622	5.30300798397313	46.2540140824323	12.9629084052677
TAD6	1528.7728218165	420.614744626761	385.948694245436	709.498497804483	308.527848393806	718.742777906171	290.039288190433	571.989831291888	95.9094060550035	264.617517910793	94.7538710422926	65.8654957245205	509.590940605501	187.196672059164	187.196672059164	134.042061474463	62.3988906863878	64.7099607118096	724.520452969725	136.353131499885	13.8664201525306	299.283568292119	15.0219551652415	97.0649410677143	4.62214005084354	16.1774901779524	28.8883753177721	2.31107002542177	358.215853940375	61.2433556736769	16.1774901779524	16.1774901779524	12.7108851398197	278.483938063323	23.1107002542177	13.8664201525306	6.93321007626532	85.5095909406055	41.5992604575919	2.31107002542177	6.93321007626532	45.0658654957245	4.62214005084354	148.465337250734	18.7535162843033	69.0754516471839	94.7052572357317	26.8800400075014	73.1387135087829	45.9461148965431	37.5070325686066	309.120460086266	93.4550228167782	388.197787085078	3.12558604738388	65.6373069950616
TAD7	1132.34330639877	655.164883162263	214.020528499672	542.69491155274	68.7923127320375	686.831185848439	277.353133872025	173.618694038	195.457523476742	284.996724175584	227.123826162918	381.087573706049	494.649486787509	335.226031884691	184.53810875737	216.204411443547	384.363398121861	240.227123826163	80.8036689233457	145.228215767635	127.757152216641	73.160078619786	153.963747543132	27.2985367984276	29.4824197423018	65.5164883162262	110.286088665648	124.48132780083	28.3904782703647	94.9989080585281	4.36776588774842	110.286088665647	216.204411443547	16.3791220790566	78.6197859794715	63.332605372352	13.1032976632453	44.7696003494213	58.9648394846036	7.64359030355973	54.5970735968552	29.4824197423018	32.7582441581131	188.811377164867	414.253777574272	609.798798717914	216.01529883912	0.269345759151022	723.193363320495	1.61607455490613	4.30953214641635	5.38691518302045	3.23214910981227	0.808037277453067	29.6280335066124	16.9687828265144
TAD9	1823.48465635303	249.80978950038	399.442049201116	384.225209231549	100.177529799645	471.722039056556	452.700989094598	297.996449404007	311.945219376109	428.607659142784	257.418209485164	273.903119452194	76.0841998478316	121.734719756531	196.550849606898	205.427339589146	176.261729647477	103.981739792037	54.527009890946	65.9396398681207	32.9698199340604	237.129089525742	82.4245498351509	289.11995942176	17.752979964494	39.3101699213797	79.8884098402232	48.1866599036266	148.364189703272	38.0420999239158	12.6806999746386	73.5480598529039	68.4757798630484	12.6806999746386	41.8463099163074	68.4757798630484	7.60841998478316	38.0420999239158	114.126299771747	3.80420999239158	35.5059599289881	74.8161298503678	32.9698199340604	604.945088655746	47.5489293821707	82.827167310878	657.095527332965	6.44211301306829	133.443769556415	977.36057426836	11.6571568807902	104.300877354439	0.306767286336585	24.5413829069268	7.05564758574146	15.0315970304927
TAD10	627.9350597075	496.444384811485	637.327250771501	415.93988997719	678.92123976922	183.818596538307	233.463035019456	550.114048034349	254.930900308601	464.242586877767	166.375955990876	178.45163021602	352.878035690326	110.02280960687	257.614383469744	165.034214410305	95.2636522205823	120.756742251442	61.7201127062928	156.983764926875	105.997584865155	124.781966993157	65.7453374480075	101.97236012344	88.5549443177244	61.7201127062927	127.4654501543	45.6192137394337	144.908090701731	63.0618542868644	597.075003354353	46.9609553200053	26.8348316114316	17.4426405474306	81.8462364148665	56.3531463840065	26.8348316114317	44.2774721588622	132.832416476587	29.5183147725748	41.5939889977191	107.339326445727	30.8600563531464	286.544172840311	137.397604516824	698.410626285043	98.5607519336836	55.154857870174	63.9665807251722	488.561078293789	14.6862047583303	147.188407689044	6.20084200907281	87.4645083385007	12.7280441238863	43.4058940635097
TAH1	310.23784901758	298.747558313226	382.626680455016	353.900953694128	31.023784901758	413.650465356774	67.7927151556935	259.680569918419	807.767436516144	279.214064115822	307.939790876709	445.823279328967	4.59611628174193	318.281052510629	135.585430311387	414.799494427209	224.060668734919	395.266000229806	60.8985407330805	158.566011720096	111.455819832242	58.6004825922096	240.147075721016	5.74514535217741	302.194645524532	80.4320349304837	91.9223256348385	118.349994254855	16.0864069860967	152.820866367919	3.44708721130644	94.2203837757095	16.0864069860967	172.354360565322	132.13834310008	64.3456279443869	190.73882569229	47.1101918878548	33.3218430426289	139.032517522693	41.3650465356774	40.2160174652418	78.1339767896128	195.097755549126	7.026825941388	64.8948042822304	121.936097218204	21.4938205265986	28.5206464679866	1.24002810730377	167.403794486008	16.5337080973835	155.003513412971	3.30674161947671	635.721076344397	25.2139048485098
TAH2	214.985100042571	834.397616006812	664.112388250319	441.677309493402	178.799489144317	116.00681140911	637.505321413368	449.127288207748	349.084716900809	322.477650063857	173.478075776926	169.220945083014	358.663260962112	368.241805023415	144.742443593019	208.599404001703	159.642401021711	171.34951042997	27.67134951043	229.885057471264	185.185185185185	85.142613878246	55.3426990208599	52.1498510004257	156.449553001277	135.163899531716	112.813963388676	150.063856960409	32.9927628778203	169.220945083014	290.549169859515	39.3784589186888	12.7713920817369	45.7641549595573	77.6926351638995	31.9284802043423	73.4355044699873	52.1498510004257	56.4069816943381	71.3069391230311	26.6070668369519	28.7356321839081	25.5427841634738	28.8342715913772	0.823836331182205	1.64767266236441	23.8912536042839	23.0674172731017	14.2798297404916	0	509.680076891391	31.0311684745297	683.509542770836	21.4197446107373	74.6944940271865	16.7513387340381
TAH3	259.652899233149	513.924391228306	2640.92560204493	320.193730660568	360.554284945513	329.611193327055	641.732813130634	926.947396744249	103.59208933136	181.622494282255	123.772366473833	199.112067805731	2.69070361899636	59.1954796179201	369.971747612	118.39095923584	22.8709807614691	187.003901520248	26.9070361899637	25.5616843804655	83.4118121888874	30.9430916184582	29.59773980896	648.459572178125	73.9943495224001	45.7419615229382	106.282792950357	40.3605542849455	20.1802771424728	72.6489977129019	6.72675904749092	30.9430916184583	84.7571639983856	9.41746266648729	24.2163325709673	26.9070361899637	44.39660971344	134.535180949818	24.2163325709673	10.7628144759855	9.41746266648729	44.39660971344	6.72675904749092	0.711465262708548	0.355732631354274	0.711465262708548	93.2019494148199	3352.06858525132	0	0	17.4308989363594	15.652235779588	0.355732631354274	1.06719789406282	1.4229305254171	0
