Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	Kribbella	Mesorhizobium	Mycobacterium	Caulobacter	Umezawaea	Microbacterium	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	Lysobacter	Kineosporia	Cellulomonas	Burkholderia	Phycicoccus	g__Acremonium	g__Lachnella	g__Scytalidium	g__Magnaporthiopsis	g__Podospora	g__Ophiosphaerella	g__Gibberella	g__Cladosporium	g__Pyrenochaetopsis	g__Mycosphaerella	g__Sarocladium	g__Mortierella	g__Bipolaris
Promicromonospora	0	0.978725649786392	0.599461752079176	0.233015796644448	0.97272002882451	0.0954378952830919	0.975497969567827	0.978725649786392	0.718933156156758	0.223225068375128	0.798842850740355	0.975497969567827	0.28814331499093	0.873739813210945	0.690467726104697	0.982085764339375	0.378602616408569	0.877100616390548	0.302078318547516	0.987449659089664	0.568485652598866	0.0565936423726125	0.706450634991619	0.335764438262309	0.210722592523116	0.851054728885482	0.698809001571321	0.953726999077232	0.145602196990744	0.344034394420671	0.927372186087973	0.133648984490186	0.363370498096685	0.982085764339375	0.927372186087973	0.374654229264277	0.339918057495662	0.843275570534338	0.199224393966958	0.294871654119269	0.351943538351153	0.219928689154589	0.651685444173902	0.017837138438116	0.0226069280237637	0.133648984490186	0.348016347902539	0.518944908876239	0.0716072867106994	0.0530010020185283	0.302078318547516	0.382798779777666	0.532596573619981	0.715494450915152	0.906343984727165	0.706450634991619
Flavobacterium	0.947890881823222	0	0.0537227308401887	0.54630702958244	0.486009775519929	0.656350387034363	0.305368730864435	0.518944908876239	0.947323842899044	0.634963013122478	0.93040543719116	0.811039616152402	0.236314680088511	0.0406995350268085	0.866331694194906	0.920709072253567	0.50551074049353	0.319857279732638	0.727725553132185	0.115790255509453	0.219928689154589	0.906343984727165	0.95690776230211	0.563945815927218	0.670009936864199	0.702758681164876	0.775129773818029	0.339918057495662	0.975497969567827	0.431914614640121	0.851054728885482	0.718933156156758	0.920709072253567	0.898845386007271	0.492672664737788	0.940909648523675	0.924049825605554	0.46260709361951	0.26037105343278	0.500891672462632	0.982085764339375	0.940909648523675	0.523370421584579	0.995503294433053	0.718933156156758	0.665624900578795	0.277915702347651	0.771944851242543	0.858804118773222	0.718933156156758	0.518944908876239	0.982085764339375	0.242453508410095	0.906343984727165	0.335764438262309	0.50551074049353
Variovorax	0.32346003406511	0.236314680088511	0	0.621611556166658	0.363370498096685	0.811039616152402	0.270947169766429	0.0108399965858246	0.950515375629611	0.782756274174128	0.599461752079176	0.913887109836366	0.586038218240195	0.795068214873635	0.140551626860185	0.847636721470172	0.731827979475373	0.661664572491682	0.374654229264277	0.398530284757962	0.686678634779435	0.873739813210945	0.630553748086284	0.239445252079302	0.528357287462286	0.927372186087973	0.690467726104697	0.927372186087973	0.586038218240195	0.359331768406845	0.378602616408569	0.46260709361951	0.651685444173902	0.895314081037148	0.884360280158533	0.541819034542478	0.798842850740355	0.184596431273543	0.523370421584579	0.436358619835112	0.302078318547516	0.866331694194906	0.88104386229828	0.749788373955232	0.782756274174128	0.686678634779435	0.690467726104697	0.291216895025972	0.795068214873635	0.944405475655469	0.26037105343278	0.749788373955232	0.374654229264277	1	0.944405475655469	0.791224256692379
Rhizobium	0.0523285418908112	0.268731899367844	0.348047032295588	0	0.43355523082632	0.163198562102186	0.586262862651232	0.402294513854827	0.858804118773222	0.152932060489045	0.406280422125923	0.959907438438384	0.00259664269285926	0.351943538351153	0.339918057495662	0.740716344774294	0.431914614640121	0.782756274174128	0.528357287462286	0.131041252181535	0.88104386229828	0.175742377801932	0.969624626395423	0.532596573619981	0.686678634779435	0.431914614640121	0.475211028229305	0.950515375629611	0.29844488408849	0.963563223221785	0.924049825605554	0.873739813210945	0.847636721470172	0.608687954532124	0.665624900578795	0.858804118773222	0.378602616408569	0.873739813210945	0.0525329564402234	0.787319303528802	0.858804118773222	0.630553748086284	0.93040543719116	0.124509434811863	0.158328647021269	0.470496692073796	0.775129773818029	0.208898183250939	0.0500893121020549	0.200732283716306	0.71093402036926	0.370833055369949	0.651685444173902	0.811039616152402	0.978725649786392	0.294871654119269
Pseudomonas	0.933030449053075	0.727725553132185	0.12203439858783	0.690467726104697	0	0.966437349656567	0.466491793183658	0.136122699996509	0.884360280158533	0.673758737037941	0.740716344774294	0.536853239517561	0.639355264449211	0.351943538351153	0.270947169766429	0.723171640189954	0.210722592523116	0.492672664737788	0.771424627617092	0.639355264449211	0.906343984727165	0.419252932077931	0.35568582482389	0.216994619962196	0.992650199359092	0.927372186087973	0.344034394420671	0.586038218240195	0.165450447849669	0.858804118773222	0.105463419410594	0.239445252079302	0.953726999077232	0.651685444173902	0.523370421584579	0.518944908876239	0.953726999077232	0.532596573619981	0.88104386229828	0.969624626395423	0.806791883307869	0.651685444173902	0.190086266490592	1	0.854675526887732	0.987449659089664	0.466491793183658	0.124509434811863	0.990442203747588	0.839256582210654	0.795068214873635	0.136122699996509	0.895314081037148	0.163198562102186	0.339918057495662	0.823029189091153
Phyllobacterium	0.0092743376584506	0.389522878396792	0.612592598367419	0.0263119019523056	0.918190900918974	0	0.79354244291606	0.500891672462632	0.0919126286128184	0.771424627617092	0.670009936864199	0.963563223221785	0.158328647021269	0.802627644973487	0.115790255509453	0.599461752079176	0.608687954532124	0.77849951857457	0.740716344774294	0.599461752079176	0.351943538351153	0.414965256653778	0.76339662986728	0.302078318547516	0.331765236031609	0.647790648924538	0.651685444173902	0.54630702958244	0.0935108354980249	0.678373705495856	0.839256582210654	0.62625168499554	0.706450634991619	0.873739813210945	0.934246191449709	0.854675526887732	0.29844488408849	0.213826426862526	0.563945815927218	0.351943538351153	0.827235410472221	0.847636721470172	0.950515375629611	0.242453508410095	0.0525329564402234	0.514710470451313	0.484119467774241	0.462326120624514	0.124509434811863	0.430755404041117	0.497006587319681	0.97272002882451	0.902219380683168	0.798842850740355	0.947323842899044	0.959907438438384
Lentzea	0.940458343503752	0.0878045742079767	0.0692319858533618	0.795068214873635	0.198068931868772	0.90991798962012	0	0.378602616408569	0.854675526887732	0.791224256692379	0.740716344774294	0.814918665792105	0.927372186087973	0.806791883307869	0.937657482148887	0.76339662986728	0.630553748086284	0.767657306162651	0.698809001571321	0.670009936864199	0.782756274174128	0.46260709361951	0.532596573619981	0.207660245048697	0.798842850740355	0.367356652129888	0.145602196990744	0.402294513854827	0.647790648924538	0.470496692073796	0.193152682073196	0.966437349656567	0.54630702958244	0.718933156156758	0.643952709789465	0.927372186087973	0.731827979475373	0.131041252181535	0.77849951857457	0.77849951857457	0.920709072253567	0.854675526887732	0.758633077301488	0.76339662986728	0.661664572491682	0.982085764339375	0.950515375629611	0.00499139592987034	0.402294513854827	0.920709072253567	0.175742377801932	0.523370421584579	0.847636721470172	0.497006587319681	0.873739813210945	0.902219380683168
Pseudoxanthomonas	0.947890881823222	0.243655337594556	0.000119397063843866	0.149472369651657	0.0184349895156923	0.227785653323252	0.132548902627589	0	0.76477988313521	0.77849951857457	0.264014490756772	0.694382775716275	0.42735288548199	0.982085764339375	0.207660245048697	0.978725649786392	0.492672664737788	0.937657482148887	0.612878663209685	0.678373705495856	0.866331694194906	0.518944908876239	0.256861417369617	0.138428135618235	0.992650199359092	0.920709072253567	0.839256582210654	0.594890488944688	0.158328647021269	0.594890488944688	0.359331768406845	0.249984484848824	0.536853239517561	0.694382775716275	0.771424627617092	0.173341633381215	0.927372186087973	0.207660245048697	0.617327063014741	0.866331694194906	0.202048020572519	0.847636721470172	0.394795058937824	0.898845386007271	0.795068214873635	0.686678634779435	0.839256582210654	0.0898416849718557	0.88104386229828	0.818566870969997	0.577086891651346	0.305368730864435	0.445252146936212	0.682745187096299	0.599461752079176	0.419252932077931
Actinoplanes	0.474095139944086	0.873843532782525	0.881213585700763	0.694204783099318	0.743395026137277	0.312507117980813	0.687265838956656	0.895314081037148	0	0.944405475655469	0.0500893121020549	0.0700231803111307	0.661664572491682	0.242453508410095	0.440585086027696	0.133648984490186	0.210722592523116	0.323894960307003	0.612878663209685	0.402294513854827	0.0280295739592093	0.754013675478851	0.138428135618235	0.28814331499093	0.0065110963948129	0.0935108354980249	0.335764438262309	0.0303169826586486	0.402294513854827	0.0428040821618885	0.682745187096299	0.390557232850064	0.866331694194906	0.327991493121895	0.140551626860185	0.187210631742725	0.0065110963948129	0.599461752079176	0.90991798962012	0.00327501033857512	0.236314680088511	0.877100616390548	0.111775556250293	0.90991798962012	0.62625168499554	0.982085764339375	0.802627644973487	0.358171399916303	0.947323842899044	0.950515375629611	0.0766330109275535	0.940909648523675	0.155587529366502	0.647790648924538	0.0669576242063976	0.256861417369617
Sphingomonas	0.0483081942842584	0.363295114375383	0.566830730716329	0.0231938433767333	0.411225678209065	0.547680584702937	0.579754799279412	0.560415506280904	0.866483274919872	0	0.940458343503752	0.731827979475373	0.140551626860185	0.488779077045021	0.944405475655469	0.888036212256756	0.740716344774294	0.969624626395423	0.992650199359092	0.62625168499554	0.811039616152402	0.0183677425585913	0.992650199359092	0.223225068375128	0.843275570534338	0.866331694194906	0.944405475655469	0.866331694194906	0.267225534003458	0.920709072253567	0.608687954532124	0.445252146936212	0.927372186087973	0.913887109836366	0.554966752485819	0.617327063014741	0.723171640189954	0.995503294433053	0.0119711450959423	0.870208202042932	0.458354350706809	0.305368730864435	0.686678634779435	0.0669576242063976	0.170871290994842	0.0607326067396242	0.814918665792105	0.708151309718605	0.402294513854827	0.0226805165175035	0.995503294433053	0.0640133912775408	0.827235410472221	0.440585086027696	0.917176446577855	0.42735288548199
Nocardioides	0.592801081886075	0.837151446108293	0.32346003406511	0.152429892154134	0.504149546055297	0.405740688633927	0.504149546055297	0.0658947203908874	0.00259660313572526	0.975497969567827	0	0.138428135618235	0.475211028229305	0.54630702958244	0.500891672462632	0.270947169766429	0.199224393966958	0.554966752485819	0.308671638653878	0.937657482148887	0.274420593764129	0.884360280158533	0.0273722844780932	0.436358619835112	0.103310710869011	0.0265876629581353	0.202048020572519	0.0452149233506979	0.621611556166658	0.370833055369949	0.71093402036926	0.0578326707235069	0.239445252079302	0.798842850740355	0.230044517723944	0.00494915310373992	0.0324018679153983	0.944405475655469	0.920709072253567	0.158328647021269	0.0146280061536473	0.791224256692379	0.0623519240323425	0.937657482148887	0.888036212256756	0.661664572491682	0.497006587319681	0.427914853142708	0.985217800405747	0.990442203747588	0.274420593764129	0.873739813210945	0.754013675478851	0.731827979475373	0.0800698185876111	0.937657482148887
Streptomyces	0.940458343503752	0.612592598367419	0.800774094340852	0.903376844718889	0.260203249066505	0.91078039911692	0.619247336652413	0.439233876188868	0.00499139592987034	0.492020962904892	0.0190634654032002	0	0.775129773818029	0.445252146936212	0.754013675478851	0.0273722844780932	0.0226069280237637	0.00700518545081421	0.470496692073796	0.277915702347651	0.10755072802394	0.319857279732638	0.00737796534757995	0.402294513854827	0.083124201557579	0.500891672462632	0.727725553132185	0.133648984490186	0.312507117980813	0.378602616408569	0.877100616390548	0.133648984490186	0.204593884268929	0.686678634779435	0.0428040821618885	0.10755072802394	0.136122699996509	0.870208202042932	0.969624626395423	0.0800698185876111	0.28814331499093	0.754013675478851	0.0211520325845669	0.884360280158533	0.727725553132185	0.877100616390548	0.45407658446304	0.947890881823222	0.54630702958244	0.873739813210945	0.718933156156758	0.351943538351153	0.787319303528802	0.604557429521292	0.117669807054145	0.898845386007271
Chryseobacterium	0.0781167127530595	0.0537227308401887	0.309208659898238	6.42647355423362e-06	0.368459654854376	0.0247148017345798	0.829848583535362	0.1678153336374	0.39488908833634	0.0197085659158017	0.205246662827868	0.554031999092186	0	0.074468490732616	0.22010439650727	0.79354244291606	0.639355264449211	0.966437349656567	0.639355264449211	0.173341633381215	0.940909648523675	0.136122699996509	0.818566870969997	0.348016347902539	0.643952709789465	0.806791883307869	0.902219380683168	0.944405475655469	0.0977548261218752	0.969624626395423	0.466491793183658	0.975497969567827	0.873739813210945	0.715494450915152	0.851054728885482	0.767657306162651	0.308671638653878	0.651685444173902	0.0290278717933314	0.718933156156758	0.920709072253567	0.90991798962012	0.987449659089664	0.0315848269163221	0.133648984490186	0.10506394931044	0.701166768751069	0.456496928548754	0.0700231803111307	0.166801725003772	0.851054728885482	0.363370498096685	0.488779077045021	0.586038218240195	0.918190900918974	0.339918057495662
Massilia	0.722186091025371	0.00171941119897264	0.586262862651232	0.114541775611076	0.114541775611076	0.599369052164823	0.605966363012461	0.955327485542882	0.0565941087969963	0.216326971668755	0.268731899367844	0.180850799570501	0.281540235130897	0	0.62625168499554	0.28814331499093	0.0700231803111307	0.302078318547516	0.884360280158533	0.0159049112976673	0.0686122492313373	0.847636721470172	0.331765236031609	0.702758681164876	0.294871654119269	0.398530284757962	0.917176446577855	0.0817502176870327	0.791224256692379	0.115790255509453	0.978725649786392	0.230044517723944	0.873739813210945	0.787319303528802	0.117669807054145	0.532596573619981	0.54630702958244	0.934246191449709	0.204593884268929	0.202048020572519	0.661664572491682	0.827235410472221	0.136122699996509	0.723171640189954	0.723171640189954	0.670009936864199	0.264446347071011	0.427914853142708	0.599461752079176	0.690467726104697	0.256861417369617	0.95690776230211	0.0439369442213551	0.95690776230211	0.0324018679153983	0.175742377801932
Herbaspirillum	0.43355523082632	0.708151309718605	0.0197085659158017	0.107379242778117	0.0692319858533618	0.0134789952898069	0.851794399000938	0.0421293326577055	0.177530739680993	0.866483274919872	0.227785653323252	0.522603153588037	0.492672664737788	0.353088659052	0	0.498067657323734	0.992650199359092	0.510297802090157	0.992650199359092	0.71093402036926	0.77849951857457	0.93040543719116	0.959907438438384	0.181571723227624	0.806791883307869	0.594890488944688	0.823029189091153	0.294871654119269	0.302078318547516	0.76339662986728	0.982085764339375	0.798842850740355	0.727725553132185	0.987449659089664	0.947323842899044	0.740716344774294	0.682745187096299	0.470496692073796	0.702758681164876	0.831597223128898	0.475211028229305	0.331765236031609	0.944405475655469	0.895314081037148	0.436358619835112	0.995503294433053	0.239624406310444	0.815282850275457	0.302078318547516	0.827235410472221	0.594890488944688	0.990442203747588	0.771424627617092	0.754013675478851	0.694382775716275	0.851054728885482
Devosia	0.955327485542882	0.815282850275457	0.673458997542294	0.504149546055297	0.480034401339913	0.32346003406511	0.535075506276651	0.947890881823222	0.0178228445091595	0.750504450153402	0.0692319858533618	0.000770053379280218	0.90991798962012	0.0781167127530595	0.736849664565559	0	0.0355119578123273	0.0700231803111307	0.698809001571321	0.105463419410594	0.402294513854827	0.554966752485819	0.0232854127072827	0.312507117980813	0.163198562102186	0.339918057495662	0.661664572491682	0.302078318547516	0.888036212256756	0.181571723227624	0.924049825605554	0.327991493121895	0.77849951857457	0.382798779777666	0.0290278717933314	0.45407658446304	0.230044517723944	0.90991798962012	0.754013675478851	0.119771408617503	0.702758681164876	0.959907438438384	0.0977548261218752	0.847636721470172	0.775129773818029	0.975497969567827	0.205246662827868	0.652933439953992	0.500891672462632	0.771424627617092	0.577086891651346	0.445252146936212	0.398530284757962	0.634963013122478	0.0607326067396242	0.690467726104697
