Promicromonospora	Flavobacterium	Variovorax	Rhizobium	Pseudomonas	Phyllobacterium	Lentzea	Pseudoxanthomonas	Actinoplanes	Sphingomonas	Nocardioides	Streptomyces	Chryseobacterium	Massilia	Herbaspirillum	Devosia	Kribbella	Mesorhizobium	Mycobacterium	Caulobacter	Umezawaea	Microbacterium	Aeromicrobium	Stenotrophomonas	Galbitalea	Arthrobacter	Steroidobacter	Chondromyces	Sphingopyxis	Shinella	Pantoea	Agromyces	Sorangium	Rhodanobacter	Bradyrhizobium	Solirubrobacter	Rudaibacter	Bosea	Lysobacter	Kineosporia	Cellulomonas	Burkholderia	Phycicoccus	g__Acremonium	g__Lachnella	g__Scytalidium	g__Magnaporthiopsis	g__Podospora	g__Ophiosphaerella	g__Gibberella	g__Cladosporium	g__Pyrenochaetopsis	g__Mycosphaerella	g__Sarocladium	g__Mortierella	g__Bipolaris
Promicromonospora	1	0.017156862745098	-0.254901960784314	0.477941176470588	0.0220588235294118	0.610294117647059	-0.0196078431372549	-0.017156862745098	-0.186274509803922	0.485294117647059	0.139705882352941	-0.0196078431372549	0.438725490196078	0.0931372549019608	0.20343137254902	-0.0147058823529412	0.379901960784314	-0.0906862745098039	0.428921568627451	0.00980392156862745	-0.272058823529412	0.669117647058824	0.193627450980392	0.406862745098039	-0.495098039215686	-0.107843137254902	-0.198529411764706	-0.0367647058823529	0.553921568627451	-0.401960784313726	-0.0563725490196079	0.566176470588235	0.389705882352941	-0.0147058823529412	0.0563725490196079	0.382352941176471	-0.404411764705882	0.112745098039216	0.504901960784314	-0.433823529411765	0.397058823529412	0.487745098039216	0.225490196078431	0.767156862745098	0.75	0.566176470588235	0.399509803921569	-0.299019607843137	0.644607843137255	0.675677715165002	-0.428921568627451	0.377450980392157	-0.291666666666667	0.188725490196078	-0.071078431372549	0.193627450980392
Flavobacterium	0.017156862745098	1	0.475490196078431	0.284313725490196	-0.181372549019608	0.223039215686275	0.426470588235294	0.299019607843137	0.0416666666666667	0.235294117647059	-0.053921568627451	0.132352941176471	0.475490196078431	0.700980392156863	0.0980392156862745	0.0612745098039216	0.306372549019608	0.416666666666667	-0.181372549019608	0.58578431372549	0.487745098039216	0.071078431372549	0.0343137254901961	0.274509803921569	0.215686274509804	0.196078431372549	0.154411764705882	0.404411764705882	0.0196078431372549	0.348039215686275	0.107843137254902	0.186274509803922	0.0612745098039216	-0.0759803921568628	0.313725490196078	0.0465686274509804	0.0588235294117647	0.330882352941177	0.458333333333333	0.308823529411765	0.0147058823529412	-0.0465686274509804	0.29656862745098	-0.00245098039215686	0.186274509803922	0.218137254901961	-0.446078431372549	0.0759803921568628	0.102941176470588	0.186732750372873	0.299019607843137	-0.0147058823529412	0.470588235294118	-0.071078431372549	0.406862745098039	0.306372549019608
Variovorax	-0.254901960784314	0.475490196078431	1	0.242647058823529	0.389705882352941	0.132352941176471	0.450980392156863	0.799019607843137	0.0392156862745098	0.149509803921569	-0.254901960784314	0.0661764705882353	0.262254901960784	0.142156862745098	0.558823529411765	0.110294117647059	-0.178921568627451	0.220588235294118	-0.382352941176471	0.367647058823529	0.205882352941176	0.0931372549019608	-0.237745098039216	0.473039215686275	0.294117647058824	0.0563725490196079	0.20343137254902	-0.0563725490196079	0.262254901960784	0.392156862745098	0.379901960784314	-0.330882352941177	-0.225490196078431	-0.0784313725490196	0.0857843137254902	-0.286764705882353	0.139705882352941	0.517156862745098	0.29656862745098	0.345588235294118	-0.428921568627451	0.0980392156862745	-0.0882352941176471	-0.169117647058824	-0.149509803921569	-0.205882352941176	-0.20343137254902	0.436274509803922	-0.142156862745098	0.0442261777198911	0.458333333333333	0.169117647058824	0.382352941176471	0	-0.0441176470588235	0.144607843137255
Rhizobium	0.477941176470588	0.284313725490196	0.242647058823529	1	0.20343137254902	0.536764705882353	-0.142156862745098	0.365196078431373	-0.102941176470588	0.54656862745098	-0.362745098039216	0.0318627450980392	0.86764705882353	0.397058823529412	0.404411764705882	0.174019607843137	0.348039215686275	0.149509803921569	0.294117647058824	0.568627450980392	0.0882352941176471	0.524509803921569	-0.0245098039215686	0.291666666666667	-0.205882352941176	-0.348039215686275	-0.323529411764706	-0.0392156862745098	0.431372549019608	-0.0294117647058824	0.0588235294117647	0.0931372549019608	-0.110294117647059	0.25	0.218137254901961	-0.102941176470588	-0.379901960784314	0.0931372549019608	0.676470588235294	-0.147058823529412	-0.102941176470588	0.237745098039216	0.053921568627451	0.575980392156863	0.541666666666667	0.325980392156863	0.154411764705882	-0.321078431372549	0.681372549019608	0.503687024032093	-0.191176470588235	0.384803921568628	0.225490196078431	0.132352941176471	-0.017156862745098	0.433823529411765
Pseudomonas	0.0220588235294118	-0.181372549019608	0.389705882352941	0.20343137254902	1	0.0269607843137255	0.32843137254902	0.563725490196079	-0.0857843137254902	0.213235294117647	-0.174019607843137	-0.28921568627451	0.232843137254902	-0.397058823529412	0.450980392156863	-0.183823529411765	-0.495098039215686	-0.313725490196078	0.156862745098039	-0.232843137254902	-0.071078431372549	0.355392156862745	-0.394607843137255	0.490196078431373	0.00490196078431373	0.0563725490196079	0.401960784313726	-0.262254901960784	0.534313725490196	0.102941176470588	0.598039215686275	-0.473039215686275	0.0367647058823529	0.225490196078431	-0.29656862745098	-0.299019607843137	0.0367647058823529	0.291666666666667	0.0882352941176471	-0.0245098039215686	-0.134803921568627	0.225490196078431	-0.512254901960784	0	-0.105392156862745	-0.00980392156862745	0.32843137254902	0.575980392156863	-0.00735294117647059	0.115479464046382	0.142156862745098	0.563725490196079	0.0784313725490196	0.536764705882353	-0.404411764705882	0.125
Phyllobacterium	0.610294117647059	0.223039215686275	0.132352941176471	0.536764705882353	0.0269607843137255	1	-0.0686274509803922	0.308823529411765	-0.42156862745098	0.156862745098039	-0.215686274509804	0.0294117647058824	0.541666666666667	0.137254901960784	0.58578431372549	0.254901960784314	0.25	0.151960784313726	0.174019607843137	0.254901960784314	-0.397058823529412	0.357843137254902	0.161764705882353	0.428921568627451	-0.409313725490196	-0.227941176470588	-0.225490196078431	-0.284313725490196	0.612745098039216	-0.21078431372549	-0.115196078431373	0.240196078431373	0.193627450980392	0.0931372549019608	0.0514705882352941	-0.105392156862745	-0.431372549019608	0.492647058823529	0.274509803921569	-0.397058823529412	-0.122549019607843	0.110294117647059	0.0392156862745098	0.470588235294118	0.676470588235294	0.301470588235294	0.318627450980392	-0.191176470588235	0.575980392156863	0.348895402012474	-0.311274509803922	0.0220588235294118	-0.0735294117647059	-0.139705882352941	-0.0416666666666667	0.0318627450980392
Lentzea	-0.0196078431372549	0.426470588235294	0.450980392156863	-0.142156862745098	0.32843137254902	-0.0686274509803922	1	0.379901960784314	0.105392156862745	0.144607843137255	0.174019607843137	-0.129901960784314	0.0563725490196079	0.134803921568627	-0.0490196078431373	-0.161764705882353	-0.237745098039216	-0.159313725490196	-0.198529411764706	-0.215686274509804	0.149509803921569	0.330882352941177	-0.291666666666667	0.497549019607843	0.139705882352941	0.387254901960784	0.553921568627451	0.365196078431373	0.227941176470588	0.325980392156863	0.509803921568628	-0.0269607843137255	0.284313725490196	-0.186274509803922	-0.230392156862745	0.0563725490196079	0.178921568627451	0.568627450980392	0.151960784313726	0.151960784313726	0.0612745098039216	-0.105392156862745	-0.16421568627451	-0.161764705882353	-0.220588235294118	-0.0147058823529412	-0.0392156862745098	0.647058823529412	-0.365196078431373	0.061425246833182	0.524509803921569	0.29656862745098	0.110294117647059	0.311274509803922	-0.0931372549019608	-0.0735294117647059
Pseudoxanthomonas	-0.017156862745098	0.299019607843137	0.799019607843137	0.365196078431373	0.563725490196079	0.308823529411765	0.379901960784314	1	-0.0784313725490196	0.151960784313726	-0.455882352941177	-0.200980392156863	0.350490196078431	-0.0147058823529412	0.497549019607843	-0.017156862745098	-0.313725490196078	-0.0490196078431373	-0.247549019607843	0.21078431372549	-0.0980392156862745	0.299019607843137	-0.46078431372549	0.561274509803922	-0.00490196078431373	-0.0612745098039216	0.115196078431373	-0.257352941176471	0.541666666666667	0.257352941176471	0.392156862745098	-0.465686274509804	-0.28921568627451	0.200980392156863	-0.156862745098039	-0.526960784313726	-0.0563725490196079	0.497549019607843	0.245098039215686	0.0980392156862745	-0.502450980392157	0.110294117647059	-0.370098039215686	0.0759803921568628	-0.142156862745098	-0.205882352941176	-0.115196078431373	0.424019607843137	-0.0882352941176471	0.127764513413019	0.267156862745098	0.426470588235294	0.340686274509804	0.208333333333333	-0.254901960784314	0.355392156862745
Actinoplanes	-0.186274509803922	0.0416666666666667	0.0392156862745098	-0.102941176470588	-0.0857843137254902	-0.42156862745098	0.105392156862745	-0.0784313725490196	1	0.0441176470588235	0.681372549019608	0.647058823529412	-0.220588235294118	0.470588235294118	-0.343137254901961	0.566176470588235	0.495098039215686	0.41421568627451	0.247549019607843	0.365196078431373	0.732843137254902	-0.166666666666667	0.561274509803922	-0.438725490196078	0.82843137254902	0.612745098039216	0.406862745098039	0.725490196078431	-0.365196078431373	0.696078431372549	0.208333333333333	0.372549019607843	0.0980392156862745	0.411764705882353	0.558823529411765	0.514705882352941	0.82843137254902	-0.254901960784314	0.0686274509803922	0.857843137254902	0.475490196078431	0.0906862745098039	0.590686274509804	0.0686274509803922	-0.240196078431373	-0.0147058823529412	0.137254901960784	0.237745098039216	-0.0416666666666667	-0.0393121579732365	0.637254901960784	0.0465686274509804	0.544117647058824	0.227941176470588	0.651960784313726	0.46078431372549
Sphingomonas	0.485294117647059	0.235294117647059	0.149509803921569	0.54656862745098	0.213235294117647	0.156862745098039	0.144607843137255	0.151960784313726	0.0441176470588235	1	-0.0196078431372549	-0.178921568627451	0.558823529411765	0.316176470588235	0.0441176470588235	-0.0833333333333333	0.174019607843137	-0.0245098039215686	0.00490196078431373	0.240196078431373	0.132352941176471	0.764705882352941	0.00490196078431373	0.485294117647059	-0.112745098039216	-0.0980392156862745	0.0441176470588235	0.0980392156862745	0.45343137254902	-0.0612745098039216	0.25	0.340686274509804	-0.0563725490196079	-0.0661764705882353	0.279411764705882	0.245098039215686	-0.183823529411765	0.00245098039215686	0.794117647058824	-0.0955882352941177	0.333333333333333	0.426470588235294	0.205882352941176	0.651960784313726	0.529411764705882	0.661764705882353	0.129901960784314	-0.0980392156862745	0.365196078431373	0.749388011364821	-0.00245098039215686	0.656862745098039	0.122549019607843	0.343137254901961	0.0637254901960784	0.350490196078431
