Promicromonospora	Variovorax	Pseudomonas	g__Podospora	Flavobacterium	Lentzea	Rhizobium	Actinoplanes	Phyllobacterium	Pseudoxanthomonas	Nocardioides	Sphingomonas	Streptomyces	g__Magnaporthiopsis	Massilia	Devosia	Herbaspirillum	g__Scytalidium	g__Acremonium	g__Mortierella	Chryseobacterium	g__Cladosporium	g__Lachnella	Mesorhizobium	Kribbella	Stenotrophomonas	Umezawaea	Pantoea	Galbitalea	g__Mycosphaerella	Microbacterium	Arthrobacter	Steroidobacter	Caulobacter	g__Ophiosphaerella	Mycobacterium	Aeromicrobium	g__Gibberella	Shinella	g__Sarocladium	Chondromyces	Sphingopyxis	Rudaibacter	g__Pyrenochaetopsis	Agromyces	Rhodanobacter	Sorangium	Bosea	Bradyrhizobium	Solirubrobacter	Kineosporia	Lysobacter	Cellulomonas	Burkholderia	Phycicoccus	g__Bipolaris
TAD2	2132.63979193758	219.982661465106	53.0992631122671	0.277354042435168	321.84655396619	285.002167316862	363.025574338968	292.5877763329	542.912873862159	230.819245773732	446.467273515388	234.07022106632	338.101430429128	304.534738593815	164.716081491114	196.142175986129	170.134373645427	11.9262238247122	865.621966440161	33.005131049785	165.799739921977	8.87532935792539	371.931770905561	105.114867793671	249.241439098396	62.8521889900303	70.4377980060685	23.8404854789771	55.2665799739922	0.554708084870337	80.1907238838318	140.875596012137	104.031209362809	75.8560901603815	186.936624601304	88.8599913307325	143.042912873862	1.10941616974067	60.6848721283052	8.32062127305506	138.708279150412	49.8482878196793	30.3424360641525	9.43003744279573	136.540962288687	24.9241439098396	138.708279150412	57.4338968357174	53.099263112267	78.0234070221067	4.33463372345037	42.2626788036411	94.2782834850455	31.4260944950151	48.7646293888167	12.7582859520178
TAD3	1128.73862158648	344.603381014304	2572.17165149545	5.95555276933204	185.955786736021	211.963589076723	472.041612483746	137.841352405721	309.492847854356	248.374512353706	136.540962288686	486.345903771131	114.43433029909	452.308560323481	101.430429128739	109.232769830949	256.176853055916	87.4525906654547	331.630254208068	8.46315393536659	250.975292587776	5.01520233206908	57.9882769645488	92.3276983094928	52.0156046814044	305.591677503251	79.3237971391417	9.10273081924577	24.7074122236671	0.940350437262953	236.67100130039	31.2093628088426	63.7191157347204	39.0117035110533	221.922703194057	65.0195058517556	62.4187256176853	10.3438548098925	35.110533159948	136.977713694637	14.3042912873862	139.141742522757	15.6046814044213	161.113374917719	57.2171651495449	28.6085825747724	36.4109232769831	33.8101430429129	35.110533159948	40.3120936280884	1.30039011703511	46.814044213264	39.0117035110533	57.2171651495448	11.703511053316	14.7321568504529
TAD4	1949.20478362717	361.237825175687	50.5486376525706	5.5976195386383	833.436074466773	421.649611638516	324.251017137221	65.3433608679571	659.598076685982	219.455061028233	335.347059548761	450.006164468006	144.248551350019	37.1210558878119	202.194550610282	147.947232153865	173.837997780792	752.437910614854	96.6325899301771	46.2540140824323	56.7131056589816	15.319800842589	1361.69460566243	117.12489212181	163.974848970533	152.878806558994	43.1512760448773	3.69868080384663	20.9591912217976	2.06228088265622	196.030082603871	125.755147330785	101.097275305141	88.768339292319	52.1462451757357	46.8499568487239	93.6999136974479	11.784462186607	43.1512760448773	5.30300798397313	46.849956848724	75.2065096782148	17.2605104179509	22.9797012638836	144.248551350018	2.46578720256442	51.7815312538528	57.9459992602638	62.8775736653926	87.5354456910369	2.46578720256442	55.4802120576993	56.7131056589816	71.5078288743682	51.7815312538528	12.9629084052677
TAD6	1528.7728218165	385.948694245436	308.527848393806	26.8800400075014	420.614744626761	290.039288190433	709.498497804483	95.9094060550035	718.742777906171	571.989831291888	94.7538710422926	264.617517910793	65.8654957245205	94.7052572357317	187.196672059164	134.042061474463	187.196672059164	69.0754516471839	148.465337250734	3.12558604738388	509.590940605501	37.5070325686066	18.7535162843033	64.7099607118096	62.3988906863878	97.0649410677143	13.8664201525306	16.1774901779524	4.62214005084354	93.4550228167782	299.283568292119	16.1774901779524	28.8883753177721	136.353131499885	73.1387135087829	724.520452969725	15.0219551652415	45.9461148965431	61.2433556736769	388.197787085078	2.31107002542177	358.215853940375	6.93321007626532	309.120460086266	16.1774901779524	278.483938063323	12.7108851398197	85.5095909406055	23.1107002542177	13.8664201525306	2.31107002542177	41.5992604575919	6.93321007626532	45.0658654957245	4.62214005084354	65.6373069950616
TAD7	1132.34330639877	214.020528499672	68.7923127320375	0.269345759151022	655.164883162263	277.353133872025	542.69491155274	195.457523476742	686.831185848439	173.618694038	227.123826162918	284.996724175584	381.087573706049	216.01529883912	335.226031884691	216.204411443547	184.53810875737	609.798798717914	188.811377164867	29.6280335066124	494.649486787509	4.30953214641635	414.253777574272	240.227123826163	384.363398121861	27.2985367984276	127.757152216641	4.36776588774842	29.4824197423018	3.23214910981227	73.160078619786	65.5164883162262	110.286088665648	145.228215767635	723.193363320495	80.8036689233457	153.963747543132	1.61607455490613	94.9989080585281	0.808037277453067	124.48132780083	28.3904782703647	13.1032976632453	5.38691518302045	110.286088665647	16.3791220790566	216.204411443547	44.7696003494213	78.6197859794715	63.332605372352	7.64359030355973	58.9648394846036	54.5970735968552	29.4824197423018	32.7582441581131	16.9687828265144
TAD9	1823.48465635303	399.442049201116	100.177529799645	6.44211301306829	249.80978950038	452.700989094598	384.225209231549	311.945219376109	471.722039056556	297.996449404007	257.418209485164	428.607659142784	273.903119452194	657.095527332965	121.734719756531	205.427339589146	196.550849606898	82.827167310878	604.945088655746	7.05564758574146	76.0841998478316	11.6571568807902	47.5489293821707	103.981739792037	176.261729647477	289.11995942176	32.9698199340604	12.6806999746386	17.752979964494	0.306767286336585	237.129089525742	39.3101699213797	79.8884098402232	65.9396398681207	133.443769556415	54.527009890946	82.4245498351509	977.36057426836	38.0420999239158	24.5413829069268	48.1866599036266	148.364189703272	7.60841998478316	104.300877354439	73.5480598529039	12.6806999746386	68.4757798630484	38.0420999239158	41.8463099163074	68.4757798630484	3.80420999239158	114.126299771747	35.5059599289881	74.8161298503678	32.9698199340604	15.0315970304927
TAD10	627.9350597075	637.327250771501	678.92123976922	55.154857870174	496.444384811485	233.463035019456	415.93988997719	254.930900308601	183.818596538307	550.114048034349	166.375955990876	464.242586877767	178.45163021602	98.5607519336836	110.02280960687	165.034214410305	257.614383469744	698.410626285043	286.544172840311	12.7280441238863	352.878035690326	14.6862047583303	137.397604516824	120.756742251442	95.2636522205823	101.97236012344	105.997584865155	597.075003354353	88.5549443177244	6.20084200907281	124.781966993157	61.7201127062927	127.4654501543	156.983764926875	63.9665807251722	61.7201127062928	65.7453374480075	488.561078293789	63.0618542868644	87.4645083385007	45.6192137394337	144.908090701731	26.8348316114317	147.188407689044	46.9609553200053	17.4426405474306	26.8348316114316	44.2774721588622	81.8462364148665	56.3531463840065	29.5183147725748	132.832416476587	41.5939889977191	107.339326445727	30.8600563531464	43.4058940635097
TAH1	310.23784901758	382.626680455016	31.023784901758	21.4938205265986	298.747558313226	67.7927151556935	353.900953694128	807.767436516144	413.650465356774	259.680569918419	307.939790876709	279.214064115822	445.823279328967	121.936097218204	318.281052510629	414.799494427209	135.585430311387	64.8948042822304	195.097755549126	635.721076344397	4.59611628174193	167.403794486008	7.026825941388	395.266000229806	224.060668734919	5.74514535217741	111.455819832242	3.44708721130644	302.194645524532	155.003513412971	58.6004825922096	80.4320349304837	91.9223256348385	158.566011720096	28.5206464679866	60.8985407330805	240.147075721016	1.24002810730377	152.820866367919	3.30674161947671	118.349994254855	16.0864069860967	190.73882569229	16.5337080973835	94.2203837757095	172.354360565322	16.0864069860967	47.1101918878548	132.13834310008	64.3456279443869	139.032517522693	33.3218430426289	41.3650465356774	40.2160174652418	78.1339767896128	25.2139048485098
TAH2	214.985100042571	664.112388250319	178.799489144317	23.0674172731017	834.397616006812	637.505321413368	441.677309493402	349.084716900809	116.00681140911	449.127288207748	173.478075776926	322.477650063857	169.220945083014	23.8912536042839	368.241805023415	208.599404001703	144.742443593019	1.64767266236441	28.8342715913772	74.6944940271865	358.663260962112	509.680076891391	0.823836331182205	171.34951042997	159.642401021711	52.1498510004257	185.185185185185	290.549169859515	156.449553001277	683.509542770836	85.142613878246	135.163899531716	112.813963388676	229.885057471264	14.2798297404916	27.67134951043	55.3426990208599	0	169.220945083014	21.4197446107373	150.063856960409	32.9927628778203	73.4355044699873	31.0311684745297	39.3784589186888	45.7641549595573	12.7713920817369	52.1498510004257	77.6926351638995	31.9284802043423	71.3069391230311	56.4069816943381	26.6070668369519	28.7356321839081	25.5427841634738	16.7513387340381
TAH3	259.652899233149	2640.92560204493	360.554284945513	3352.06858525132	513.924391228306	641.732813130634	320.193730660568	103.59208933136	329.611193327055	926.947396744249	123.772366473833	181.622494282255	199.112067805731	93.2019494148199	59.1954796179201	118.39095923584	369.971747612	0.711465262708548	0.711465262708548	1.4229305254171	2.69070361899636	17.4308989363594	0.355732631354274	187.003901520248	22.8709807614691	648.459572178125	83.4118121888874	6.72675904749092	73.9943495224001	0.355732631354274	30.9430916184582	45.7419615229382	106.282792950357	25.5616843804655	0	26.9070361899637	29.59773980896	0	72.6489977129019	1.06719789406282	40.3605542849455	20.1802771424728	44.39660971344	15.652235779588	30.9430916184583	9.41746266648729	84.7571639983856	134.535180949818	24.2163325709673	26.9070361899637	10.7628144759855	24.2163325709673	9.41746266648729	44.39660971344	6.72675904749092	0
