g__Mycosphaerella	g__Bipolaris	Kaistia	g__Didymella	Kinneretia	Methylotenera	Aquimonas	Reyranella	Ferruginibacter	Mucilaginibacter	Chthonomonas/Armatimonadetes_gp3
g__Mycosphaerella	1	0.725490196078431	0.620098039215686	0.950980392156863	0.696078431372549	0.392156862745098	0.549019607843137	0.218137254901961	0.574965901121088	0.70062273082833	0.345731130085883
g__Bipolaris	0.725490196078431	1	0.583333333333333	0.75	0.558823529411765	0.490196078431373	0.53921568627451	0.629901960784314	0.558681463834434	0.61835263743561	0.528617887305227
Kaistia	0.620098039215686	0.583333333333333	1	0.534313725490196	0.551470588235294	0.232843137254902	0.470588235294118	0.397058823529412	0.432163912607354	0.477697316473861	0.409616230210448
g__Didymella	0.950980392156863	0.75	0.534313725490196	1	0.639705882352941	0.531862745098039	0.654411764705882	0.235294117647059	0.587492391341591	0.690007234906689	0.449700998916058
Kinneretia	0.696078431372549	0.558823529411765	0.551470588235294	0.639705882352941	1	0.487745098039216	0.678921568627451	0.200980392156863	0.811716566288595	0.62100651141602	0.227982122013155
Methylotenera	0.392156862745098	0.490196078431373	0.232843137254902	0.531862745098039	0.487745098039216	1	0.573529411764706	0.29656862745098	0.744073519097878	0.54669803996453	0.231740069079306
Aquimonas	0.549019607843137	0.53921568627451	0.470588235294118	0.654411764705882	0.678921568627451	0.573529411764706	1	0.129901960784314	0.621313914936949	0.475043442493451	0.387068547813543
Reyranella	0.218137254901961	0.629901960784314	0.397058823529412	0.235294117647059	0.200980392156863	0.29656862745098	0.129901960784314	1	0.154075829712187	0.594467771611917	0.439679806739655
Ferruginibacter	0.574965901121088	0.558681463834434	0.432163912607354	0.587492391341591	0.811716566288595	0.744073519097878	0.621313914936949	0.154075829712187	1	0.516767079107392	0.209346991037132
Mucilaginibacter	0.70062273082833	0.61835263743561	0.477697316473861	0.690007234906689	0.62100651141602	0.54669803996453	0.475043442493451	0.594467771611917	0.516767079107392	1	0.478789445997137
Chthonomonas/Armatimonadetes_gp3	0.345731130085883	0.528617887305227	0.409616230210448	0.449700998916058	0.227982122013155	0.231740069079306	0.387068547813543	0.439679806739655	0.209346991037132	0.478789445997137	1
