Promicromonospora	Nocardioides	Massilia	Umezawaea	Galbitalea	Sphingomonas	Caulobacter	Kribbella	Arthrobacter	Shinella	g__Cladosporium	Chondromyces	g__Mycosphaerella	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Dactylosporangium	Piscinibacter	Lysobacter	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	Terrabacter	Kinneretia	Knoellia	Geobacter	Arenimonas	Kaistia	g__Ophiosphaerella	g__Exophiala	Roseiflexus	Iamia	g__Didymella	Thiomonas	g__Bipolaris	Gp6	Rhodoligotrophos	Reyranella	Actinokineospora	Skermanella	Cellvibrio	Nitrospira	Pseudolabrys	Rhizocola	Geodermatophilus	Algoriphagus	g__Knufia	Haliangium	Methylosinus	Aciditerrimonas	Microlunatus	Variibacter	Tahibacter	g__Claussenomyces	Gp7	Flavitalea	Pedobacter	Terrimonas	Opitutus	Nakamurella	Acidiphilium	Gp22	g__Guehomyces
Promicromonospora	1.0635035875251e-62	0.0318824398791883	0.000537689887687722	0.000218229553423261	0.00430453346027947	0.000218229553423261	0.0102764117493146	0.00324916903966054	0.0277145453423666	0.00324916903966054	0.0466066320161955	0.00149785529177092	0.0318824398791883	0.00430453346027947	0.00696480933272788	0.00553869990510938	0.00324916903966054	0.00553869990510938	0.00231865228439081	0.00149785529177092	0.00852549299153956	0.00430453346027947	0.0239288638050739	0.000537689887687722	0.00852549299153956	0.00852549299153956	0.00149785529177092	0.00696480933272788	0.0206028235613592	0.0318824398791883	0.000537689887687722	0.00231865228439081	0.0206028235613592	0.00324916903966054	0.00760170763427457	0.00324916903966054	0.000218229553423261	0.00324916903966054	0.00430453346027947	0.0318824398791883	0.00852549299153956	0.00852549299153956	0.00696480933272788	0.0334947849514287	0.0102764117493146	0.0206028235613592	0.0146767652280985	0.0239288638050739	0.106338076512909	0.00430453346027947	0.0206028235613592	0.0652399829506255	0.00553869990510938	0.00363409046784478	0.000537689887687722	0.00149785529177092	0.0157030160582187	0.000537689887687722	0.0218299624343518	0.00696480933272788	0.0466066320161955	0.00553869990510938	0.00852549299153956
Nocardioides	0.00922195272221601	1.0635035875251e-62	0.0239288638050739	0.0123941024872159	0.0102764117493146	0.0361640352154969	0.0146767652280985	0.00553869990510938	0.0239288638050739	0.058591389079912	0.0206028235613592	0.00696480933272788	0.058591389079912	0.0239288638050739	0.00324916903966054	0.088075480565631	0.00553869990510938	0.0123941024872159	0.0123941024872159	0.0361640352154969	0.0318824398791883	0.0466066320161955	0.000940440154764705	0.0239288638050739	0.00149785529177092	0.00553869990510938	0.0466066320161955	0.0175417875145346	0.00852549299153956	0.0102764117493146	0.0239288638050739	0.00696480933272788	0.0800526049602328	0.00149785529177092	0.00607899541057237	0.0175417875145346	0.0123941024872159	0.0277145453423666	0.0102764117493146	0.0123941024872159	0.0206028235613592	0.0206028235613592	0.0206028235613592	0.0110044178595763	0.00553869990510938	0.0102764117493146	0.00231865228439081	0.0318824398791883	0.0412383748220047	0.0361640352154969	0.0175417875145346	0.00231865228439081	0.0123941024872159	0.0253518006812005	0.0361640352154969	0.0123941024872159	0.00363409046784478	0.0277145453423666	0.00918867853204506	0.000940440154764705	0.00696480933272788	0.00231865228439081	0.0466066320161955
Massilia	7.3209748095298e-06	0.00609992331369691	1.0635035875251e-62	0.000537689887687722	0.00324916903966054	3.53407950301478e-05	0.00324916903966054	0.00231865228439081	0.0175417875145346	0.000218229553423261	0.0239288638050739	0.000537689887687722	0.00852549299153956	0.00149785529177092	0.00430453346027947	0.000537689887687722	0.00231865228439081	0.00324916903966054	0.000940440154764705	3.53407950301478e-05	0.00231865228439081	0.000537689887687722	0.0123941024872159	2.84664460260885e-59	0.00696480933272788	0.00324916903966054	0.000940440154764705	0.000940440154764705	0.00852549299153956	0.0102764117493146	0.00149785529177092	0.000537689887687722	0.00852549299153956	0.00553869990510938	0.00363409046784478	0.000537689887687722	0.000537689887687722	0.00430453346027947	0.00324916903966054	0.0239288638050739	0.00553869990510938	0.0102764117493146	0.00696480933272788	0.0132557510382421	0.0277145453423666	0.0146767652280985	0.00852549299153956	0.0206028235613592	0.0412383748220047	0.00149785529177092	0.0175417875145346	0.0318824398791883	0.00149785529177092	0.00363409046784478	0.00324916903966054	0.000940440154764705	0.00363409046784478	0.000537689887687722	0.00479685659314402	0.00696480933272788	0.0361640352154969	0.00430453346027947	0.0123941024872159
Umezawaea	1.46754618740424e-06	0.00222003122591684	7.3209748095298e-06	1.0635035875251e-62	0.000537689887687722	0.000940440154764705	0.00324916903966054	0.000218229553423261	0.0239288638050739	0.00324916903966054	0.058591389079912	0.000218229553423261	0.0239288638050739	0.000940440154764705	0.000940440154764705	0.00696480933272788	0.000218229553423261	0.000940440154764705	0.000218229553423261	0.00149785529177092	0.00430453346027947	0.00231865228439081	0.00553869990510938	0.000537689887687722	0.00324916903966054	0.00231865228439081	0.00149785529177092	0.00324916903966054	0.0146767652280985	0.0102764117493146	3.53407950301478e-05	0.00231865228439081	0.0206028235613592	0.000940440154764705	0.00553869990510938	0.000537689887687722	2.84664460260885e-59	0.000537689887687722	0.000537689887687722	0.0123941024872159	0.00149785529177092	0.00149785529177092	0.00149785529177092	0.0102764117493146	0.00852549299153956	0.0175417875145346	0.00324916903966054	0.0123941024872159	0.0652399829506255	0.00231865228439081	0.0146767652280985	0.0206028235613592	0.00231865228439081	0.000703541242590395	0.000537689887687722	0.00324916903966054	0.00430453346027947	0.00231865228439081	0.00696480933272788	0.00266236869083673	0.0218299624343518	0.00113606590531025	0.0206028235613592
Galbitalea	0.000343612197763281	0.00163680331598672	0.000204472406148833	7.3209748095298e-06	1.0635035875251e-62	0.00553869990510938	0.000940440154764705	0.000537689887687722	0.0361640352154969	0.00696480933272788	0.115924125437746	0.00231865228439081	0.0466066320161955	0.000537689887687722	3.53407950301478e-05	0.0146767652280985	0.000537689887687722	0.00149785529177092	3.53407950301478e-05	0.00430453346027947	0.00553869990510938	0.00430453346027947	0.00231865228439081	0.00324916903966054	0.00231865228439081	0.00149785529177092	0.00430453346027947	0.00324916903966054	0.0206028235613592	0.00696480933272788	0.00149785529177092	0.00852549299153956	0.0412383748220047	0.00231865228439081	0.00918867853204506	0.000537689887687722	0.000537689887687722	0.000537689887687722	2.84664460260885e-59	0.0175417875145346	0.000940440154764705	0.000218229553423261	3.53407950301478e-05	0.00479685659314402	0.0175417875145346	0.0466066320161955	0.00430453346027947	0.0239288638050739	0.0361640352154969	0.00696480933272788	0.0277145453423666	0.0102764117493146	0.00149785529177092	0.000324247964524891	0.00231865228439081	0.0123941024872159	0.00363409046784478	0.0102764117493146	0.00607899541057237	0.00852549299153956	0.0318824398791883	0.00430453346027947	0.088075480565631
Sphingomonas	1.46754618740424e-06	0.0111434467996942	9.3074599889559e-08	2.27985492064171e-05	0.00054214422483387	1.0635035875251e-62	0.00696480933272788	0.00553869990510938	0.0277145453423666	0.000940440154764705	0.0318824398791883	0.00149785529177092	0.0206028235613592	0.00430453346027947	0.00852549299153956	0.00149785529177092	0.00553869990510938	0.00852549299153956	0.00231865228439081	0.000218229553423261	0.00430453346027947	0.00231865228439081	0.0277145453423666	3.53407950301478e-05	0.00852549299153956	0.00553869990510938	0.00149785529177092	0.00231865228439081	0.0146767652280985	0.0277145453423666	0.00231865228439081	0.000940440154764705	0.0146767652280985	0.00696480933272788	0.00852549299153956	0.00149785529177092	0.000940440154764705	0.00553869990510938	0.00553869990510938	0.0466066320161955	0.00852549299153956	0.0175417875145346	0.00852549299153956	0.0361640352154969	0.0206028235613592	0.0277145453423666	0.0206028235613592	0.0318824398791883	0.0652399829506255	0.00231865228439081	0.0277145453423666	0.058591389079912	0.00324916903966054	0.00479685659314402	0.00149785529177092	0.000537689887687722	0.0102764117493146	3.53407950301478e-05	0.0146767652280985	0.0110044178595763	0.0611671775616335	0.00918867853204506	0.00852549299153956
Caulobacter	0.00163680331598672	0.00294022702327952	0.000204472406148833	0.000204472406148833	2.27985492064171e-05	0.000813862111732211	1.0635035875251e-62	0.00324916903966054	0.0102764117493146	0.00231865228439081	0.0800526049602328	0.00553869990510938	0.0123941024872159	0.000940440154764705	0.00149785529177092	0.00696480933272788	0.00324916903966054	0.00430453346027947	0.000537689887687722	0.00149785529177092	0.000537689887687722	0.00324916903966054	0.00231865228439081	0.00324916903966054	0.0102764117493146	0.00553869990510938	0.00149785529177092	0.000218229553423261	0.00430453346027947	0.000940440154764705	0.00430453346027947	0.0102764117493146	0.0146767652280985	0.0123941024872159	0.00696480933272788	0.000940440154764705	0.00324916903966054	0.00430453346027947	0.000940440154764705	0.0277145453423666	0.00696480933272788	0.00553869990510938	0.00231865228439081	0.00324916903966054	0.058591389079912	0.0412383748220047	0.00430453346027947	0.0466066320161955	0.00430453346027947	0.0146767652280985	0.0466066320161955	0.00553869990510938	3.53407950301478e-05	0.00266236869083673	0.0102764117493146	0.0175417875145346	0.00149785529177092	0.0146767652280985	0.00231865228439081	0.0132557510382421	0.0432764577072989	0.00607899541057237	0.126034102091693
Kribbella	0.000204472406148833	0.00054214422483387	0.000112034506393977	1.46754618740424e-06	7.3209748095298e-06	0.00054214422483387	0.000204472406148833	1.0635035875251e-62	0.0361640352154969	0.00696480933272788	0.0652399829506255	0.000218229553423261	0.0277145453423666	0.000537689887687722	0.000218229553423261	0.0146767652280985	2.84664460260885e-59	3.53407950301478e-05	0.000218229553423261	0.00553869990510938	0.00852549299153956	0.00231865228439081	0.00149785529177092	0.00231865228439081	0.00324916903966054	0.00231865228439081	0.00696480933272788	0.00553869990510938	0.0175417875145346	0.00430453346027947	0.000940440154764705	0.00324916903966054	0.0412383748220047	0.000940440154764705	0.00607899541057237	0.000537689887687722	0.000218229553423261	0.000537689887687722	0.000537689887687722	0.00231865228439081	0.00149785529177092	0.000940440154764705	0.00149785529177092	0.00266236869083673	0.0102764117493146	0.0102764117493146	0.000537689887687722	0.0175417875145346	0.0466066320161955	0.00553869990510938	0.00553869990510938	0.00553869990510938	0.00430453346027947	0.000703541242590395	0.00324916903966054	0.00696480933272788	0.00113606590531025	0.00852549299153956	0.00175170624236935	0.00149785529177092	0.00553869990510938	0.000537689887687722	0.0361640352154969
Arthrobacter	0.00754700778106786	0.00609992331369691	0.00381492008255072	0.00609992331369691	0.0111434467996942	0.00754700778106786	0.00163680331598672	0.0111434467996942	1.0635035875251e-62	0.0146767652280985	0.0123941024872159	0.0277145453423666	0.00324916903966054	0.0412383748220047	0.0318824398791883	0.0175417875145346	0.0361640352154969	0.0466066320161955	0.0318824398791883	0.0102764117493146	0.00553869990510938	0.0412383748220047	0.0123941024872159	0.0175417875145346	0.0361640352154969	0.0361640352154969	0.00553869990510938	0.00696480933272788	0.000218229553423261	0.00852549299153956	0.0206028235613592	0.0206028235613592	0.00149785529177092	0.0318824398791883	0.00231865228439081	0.0412383748220047	0.0239288638050739	0.088075480565631	0.0361640352154969	0.106338076512909	0.0800526049602328	0.0652399829506255	0.0800526049602328	0.0277145453423666	0.0970171046027975	0.0206028235613592	0.0146767652280985	0.0318824398791883	0.0206028235613592	0.0525890110607777	0.126034102091693	0.0412383748220047	0.00430453346027947	0.0800526049602328	0.0800526049602328	0.0318824398791883	0.0175417875145346	0.0361640352154969	0.0239288638050739	0.0146767652280985	0.106338076512909	0.0102764117493146	0.0800526049602328
Shinella	0.000204472406148833	0.0216659233675324	1.46754618740424e-06	0.000204472406148833	0.000813862111732211	2.27985492064171e-05	0.000112034506393977	0.000813862111732211	0.00294022702327952	1.0635035875251e-62	0.0412383748220047	0.00430453346027947	0.00430453346027947	0.00149785529177092	0.0102764117493146	3.53407950301478e-05	0.00696480933272788	0.00553869990510938	0.00231865228439081	3.53407950301478e-05	0.00149785529177092	0.000218229553423261	0.0206028235613592	0.000218229553423261	0.0277145453423666	0.0123941024872159	0.000537689887687722	0.000940440154764705	0.00852549299153956	0.00696480933272788	0.00430453346027947	0.00430453346027947	0.00553869990510938	0.0239288638050739	0.00607899541057237	0.00149785529177092	0.00324916903966054	0.00852549299153956	0.00696480933272788	0.0361640352154969	0.0146767652280985	0.0175417875145346	0.0123941024872159	0.0110044178595763	0.0970171046027975	0.0239288638050739	0.0146767652280985	0.0466066320161955	0.0206028235613592	0.00696480933272788	0.0318824398791883	0.0412383748220047	0.00149785529177092	0.00696480933272788	0.0102764117493146	0.00696480933272788	0.00607899541057237	0.00430453346027947	0.00479685659314402	0.0218299624343518	0.0611671775616335	0.0110044178595763	0.0412383748220047
