Promicromonospora	Nocardioides	Massilia	Umezawaea	Galbitalea	Sphingomonas	Caulobacter	Kribbella	Arthrobacter	Shinella	g__Cladosporium	Chondromyces	g__Mycosphaerella	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Dactylosporangium	Piscinibacter	Lysobacter	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	Terrabacter	Kinneretia	Knoellia	Geobacter	Arenimonas	Kaistia	g__Ophiosphaerella	g__Exophiala	Roseiflexus	Iamia	g__Didymella	Thiomonas	g__Bipolaris	Gp6	Rhodoligotrophos	Reyranella	Actinokineospora	Skermanella	Cellvibrio	Nitrospira	Pseudolabrys	Rhizocola	Geodermatophilus	Algoriphagus	g__Knufia	Haliangium	Methylosinus	Aciditerrimonas	Microlunatus	Variibacter	Tahibacter	g__Claussenomyces	Gp7	Flavitalea	Pedobacter	Terrimonas	Opitutus	Nakamurella	Acidiphilium	Gp22	g__Guehomyces
Promicromonospora	1	0.76969696969697	0.963636363636364	0.975757575757576	0.903030303030303	0.975757575757576	0.854545454545454	0.915151515151515	0.781818181818182	0.915151515151515	0.733333333333333	0.939393939393939	0.76969696969697	0.903030303030303	0.878787878787879	0.890909090909091	0.915151515151515	0.890909090909091	0.927272727272727	0.939393939393939	0.866666666666667	0.903030303030303	0.793939393939394	0.963636363636364	0.866666666666667	0.866666666666667	0.939393939393939	0.878787878787879	0.806060606060606	0.76969696969697	0.963636363636364	0.927272727272727	0.806060606060606	0.915151515151515	0.875383982899293	0.915151515151515	0.975757575757576	0.915151515151515	0.903030303030303	0.76969696969697	0.866666666666667	0.866666666666667	0.878787878787879	0.765960985036881	0.854545454545454	0.806060606060606	0.83030303030303	0.793939393939394	0.636363636363636	0.903030303030303	0.806060606060606	0.696969696969697	0.890909090909091	0.911858315520097	0.963636363636364	0.939393939393939	0.826751539404888	0.963636363636364	0.802435317657685	0.881463038336094	0.735565707852878	0.893621149209695	0.866666666666667
Nocardioides	0.76969696969697	1	0.793939393939394	0.842424242424242	0.854545454545454	0.757575757575757	0.83030303030303	0.890909090909091	0.793939393939394	0.709090909090909	0.806060606060606	0.878787878787879	0.709090909090909	0.793939393939394	0.915151515151515	0.660606060606061	0.890909090909091	0.842424242424242	0.842424242424242	0.757575757575757	0.76969696969697	0.733333333333333	0.951515151515151	0.793939393939394	0.939393939393939	0.890909090909091	0.733333333333333	0.818181818181818	0.866666666666667	0.854545454545454	0.793939393939394	0.878787878787879	0.672727272727273	0.939393939393939	0.887542093772894	0.818181818181818	0.842424242424242	0.781818181818182	0.854545454545454	0.842424242424242	0.806060606060606	0.806060606060606	0.806060606060606	0.85106776115209	0.890909090909091	0.854545454545454	0.927272727272727	0.76969696969697	0.745454545454545	0.757575757575757	0.818181818181818	0.927272727272727	0.842424242424242	0.790277206784084	0.757575757575757	0.842424242424242	0.911858315520097	0.781818181818182	0.863225872025692	0.954411703577701	0.881463038336094	0.930095481830499	0.733333333333333
Massilia	0.963636363636364	0.793939393939394	1	0.963636363636364	0.915151515151515	0.987878787878788	0.915151515151515	0.927272727272727	0.818181818181818	0.975757575757576	0.793939393939394	0.963636363636364	0.866666666666667	0.939393939393939	0.903030303030303	0.963636363636364	0.927272727272727	0.915151515151515	0.951515151515151	0.987878787878788	0.927272727272727	0.963636363636364	0.842424242424242	1	0.878787878787879	0.915151515151515	0.951515151515151	0.951515151515151	0.866666666666667	0.854545454545454	0.939393939393939	0.963636363636364	0.866666666666667	0.890909090909091	0.911858315520097	0.963636363636364	0.963636363636364	0.903030303030303	0.915151515151515	0.793939393939394	0.890909090909091	0.854545454545454	0.878787878787879	0.838909650278489	0.781818181818182	0.83030303030303	0.866666666666667	0.806060606060606	0.745454545454545	0.939393939393939	0.818181818181818	0.76969696969697	0.939393939393939	0.911858315520097	0.915151515151515	0.951515151515151	0.911858315520097	0.963636363636364	0.899700204646495	0.881463038336094	0.759881929600081	0.905779260083296	0.842424242424242
Umezawaea	0.975757575757576	0.842424242424242	0.963636363636364	1	0.963636363636364	0.951515151515151	0.915151515151515	0.975757575757576	0.793939393939394	0.915151515151515	0.709090909090909	0.975757575757576	0.793939393939394	0.951515151515151	0.951515151515151	0.878787878787879	0.975757575757576	0.951515151515151	0.975757575757576	0.939393939393939	0.903030303030303	0.927272727272727	0.890909090909091	0.963636363636364	0.915151515151515	0.927272727272727	0.939393939393939	0.915151515151515	0.83030303030303	0.854545454545454	0.987878787878788	0.927272727272727	0.806060606060606	0.951515151515151	0.893621149209695	0.963636363636364	1	0.963636363636364	0.963636363636364	0.842424242424242	0.939393939393939	0.939393939393939	0.939393939393939	0.857146816588891	0.866666666666667	0.818181818181818	0.915151515151515	0.842424242424242	0.696969696969697	0.927272727272727	0.83030303030303	0.806060606060606	0.927272727272727	0.960490759014502	0.963636363636364	0.915151515151515	0.905779260083296	0.927272727272727	0.881463038336094	0.924016426393698	0.802435317657685	0.948332648140901	0.806060606060606
Galbitalea	0.903030303030303	0.854545454545454	0.915151515151515	0.963636363636364	1	0.890909090909091	0.951515151515151	0.963636363636364	0.757575757575757	0.878787878787879	0.624242424242424	0.927272727272727	0.733333333333333	0.963636363636364	0.987878787878788	0.83030303030303	0.963636363636364	0.939393939393939	0.987878787878788	0.903030303030303	0.890909090909091	0.903030303030303	0.927272727272727	0.915151515151515	0.927272727272727	0.939393939393939	0.903030303030303	0.915151515151515	0.806060606060606	0.878787878787879	0.939393939393939	0.866666666666667	0.745454545454545	0.927272727272727	0.863225872025692	0.963636363636364	0.963636363636364	0.963636363636364	1	0.818181818181818	0.951515151515151	0.975757575757576	0.987878787878788	0.899700204646495	0.818181818181818	0.733333333333333	0.903030303030303	0.793939393939394	0.757575757575757	0.878787878787879	0.781818181818182	0.854545454545454	0.939393939393939	0.972648869888103	0.927272727272727	0.842424242424242	0.911858315520097	0.854545454545454	0.887542093772894	0.869304927462492	0.772040040473682	0.905779260083296	0.660606060606061
Sphingomonas	0.975757575757576	0.757575757575757	0.987878787878788	0.951515151515151	0.890909090909091	1	0.878787878787879	0.890909090909091	0.781818181818182	0.951515151515151	0.76969696969697	0.939393939393939	0.806060606060606	0.903030303030303	0.866666666666667	0.939393939393939	0.890909090909091	0.866666666666667	0.927272727272727	0.975757575757576	0.903030303030303	0.927272727272727	0.781818181818182	0.987878787878788	0.866666666666667	0.890909090909091	0.939393939393939	0.927272727272727	0.83030303030303	0.781818181818182	0.927272727272727	0.951515151515151	0.83030303030303	0.878787878787879	0.869304927462492	0.939393939393939	0.951515151515151	0.890909090909091	0.890909090909091	0.733333333333333	0.866666666666667	0.818181818181818	0.866666666666667	0.759881929600081	0.806060606060606	0.781818181818182	0.806060606060606	0.76969696969697	0.696969696969697	0.927272727272727	0.781818181818182	0.709090909090909	0.915151515151515	0.899700204646495	0.939393939393939	0.963636363636364	0.857146816588891	0.987878787878788	0.832830594841688	0.85106776115209	0.705170430668875	0.863225872025692	0.866666666666667
Caulobacter	0.854545454545454	0.83030303030303	0.915151515151515	0.915151515151515	0.951515151515151	0.878787878787879	1	0.915151515151515	0.854545454545454	0.927272727272727	0.672727272727273	0.890909090909091	0.842424242424242	0.951515151515151	0.939393939393939	0.878787878787879	0.915151515151515	0.903030303030303	0.963636363636364	0.939393939393939	0.963636363636364	0.915151515151515	0.927272727272727	0.915151515151515	0.854545454545454	0.890909090909091	0.939393939393939	0.975757575757576	0.903030303030303	0.951515151515151	0.903030303030303	0.854545454545454	0.83030303030303	0.842424242424242	0.881463038336094	0.951515151515151	0.915151515151515	0.903030303030303	0.951515151515151	0.781818181818182	0.878787878787879	0.890909090909091	0.927272727272727	0.917937370956898	0.709090909090909	0.745454545454545	0.903030303030303	0.733333333333333	0.903030303030303	0.83030303030303	0.733333333333333	0.890909090909091	0.987878787878788	0.924016426393698	0.854545454545454	0.818181818181818	0.9422535927041	0.83030303030303	0.930095481830499	0.838909650278489	0.741644763289679	0.887542093772894	0.612121212121212
Kribbella	0.915151515151515	0.890909090909091	0.927272727272727	0.975757575757576	0.963636363636364	0.890909090909091	0.915151515151515	1	0.757575757575757	0.878787878787879	0.696969696969697	0.975757575757576	0.781818181818182	0.963636363636364	0.975757575757576	0.83030303030303	1	0.987878787878788	0.975757575757576	0.890909090909091	0.866666666666667	0.927272727272727	0.939393939393939	0.927272727272727	0.915151515151515	0.927272727272727	0.878787878787879	0.890909090909091	0.818181818181818	0.903030303030303	0.951515151515151	0.915151515151515	0.745454545454545	0.951515151515151	0.887542093772894	0.963636363636364	0.975757575757576	0.963636363636364	0.963636363636364	0.927272727272727	0.939393939393939	0.951515151515151	0.939393939393939	0.924016426393698	0.854545454545454	0.854545454545454	0.963636363636364	0.818181818181818	0.733333333333333	0.890909090909091	0.890909090909091	0.890909090909091	0.903030303030303	0.960490759014502	0.915151515151515	0.878787878787879	0.948332648140901	0.866666666666667	0.936174537267299	0.9422535927041	0.893621149209695	0.966569814451303	0.757575757575757
Arthrobacter	0.781818181818182	0.793939393939394	0.818181818181818	0.793939393939394	0.757575757575757	0.781818181818182	0.854545454545454	0.757575757575757	1	0.83030303030303	0.842424242424242	0.781818181818182	0.915151515151515	0.745454545454545	0.76969696969697	0.818181818181818	0.757575757575757	0.733333333333333	0.76969696969697	0.854545454545454	0.890909090909091	0.745454545454545	0.842424242424242	0.818181818181818	0.757575757575757	0.757575757575757	0.890909090909091	0.878787878787879	0.975757575757576	0.866666666666667	0.806060606060606	0.806060606060606	0.939393939393939	0.76969696969697	0.930095481830499	0.745454545454545	0.793939393939394	0.660606060606061	0.757575757575757	0.636363636363636	0.672727272727273	0.696969696969697	0.672727272727273	0.784198151347283	0.648484848484848	0.806060606060606	0.83030303030303	0.76969696969697	0.806060606060606	0.721212121212121	0.612121212121212	0.745454545454545	0.903030303030303	0.674775153484872	0.672727272727273	0.76969696969697	0.820672483968087	0.757575757575757	0.796356262220885	0.832830594841688	0.638300820864068	0.857146816588891	0.672727272727273
Shinella	0.915151515151515	0.709090909090909	0.975757575757576	0.915151515151515	0.878787878787879	0.951515151515151	0.927272727272727	0.878787878787879	0.83030303030303	1	0.745454545454545	0.903030303030303	0.903030303030303	0.939393939393939	0.854545454545454	0.987878787878788	0.878787878787879	0.890909090909091	0.927272727272727	0.987878787878788	0.939393939393939	0.975757575757576	0.806060606060606	0.975757575757576	0.781818181818182	0.842424242424242	0.963636363636364	0.951515151515151	0.866666666666667	0.878787878787879	0.903030303030303	0.903030303030303	0.890909090909091	0.793939393939394	0.887542093772894	0.939393939393939	0.915151515151515	0.866666666666667	0.878787878787879	0.757575757575757	0.83030303030303	0.818181818181818	0.842424242424242	0.85106776115209	0.648484848484848	0.793939393939394	0.83030303030303	0.733333333333333	0.806060606060606	0.878787878787879	0.76969696969697	0.745454545454545	0.939393939393939	0.881463038336094	0.854545454545454	0.878787878787879	0.887542093772894	0.903030303030303	0.899700204646495	0.802435317657685	0.705170430668875	0.85106776115209	0.745454545454545
