OTU_45	bacOTU_147	OTU_143	bacOTU_23	bacOTU_599	bacOTU_228	bacOTU_203	bacOTU_120	bacOTU_142	bacOTU_93	OTU_362	bacOTU_358
OTU_45	0	0.102284337355175	0.081406881076353	0.041837769679715	0.095041964905756	0.123077137832703	0.118447636472779	0.0448838717743008	0.112797451106184	0.0910917860659263	0.0988685723352401	0.0741250720385428
bacOTU_147	0.0052114617667064	1.0635035875251e-62	0.00257556722899424	0.307096701849422	0.0910917860659263	0.0272657438547312	0.264864239797224	0.0644130942552732	0.041837769679715	0.414934835279937	0.192508236761264	0.392251827250242
OTU_143	0.0027778892723006	1.46754618740424e-06	1.0635035875251e-62	0.251854498801729	0.108259461048226	0.0216914353651868	0.279001621416095	0.0988685723352401	0.0644130942552732	0.320727224874791	0.205898119288519	0.399899994378992
bacOTU_23	0.000491873019082001	0.066688	0.0425401276844894	1.0635035875251e-62	0.174491761219069	0.292131291749155	0.081406881076353	0.0910917860659263	0.186451343526145	0.0493354597435619	0.102284337355175	0.0216914353651868
bacOTU_599	0.00410613152183106	0.00381492008255072	0.00609992331369691	0.0185731550894602	1.0635035875251e-62	0.163165861119953	0.212105424816434	0.108259461048226	0.212105424816434	0.36837302809467	0.299615902234971	0.272292983269629
bacOTU_228	0.00803313849599635	0.000204472406148833	0.000112034506393977	0.0599721424772553	0.0158005962505716	1.0635035875251e-62	0.151263588562869	0.0910917860659263	0.0726726286772675	0.212105424816434	0.129728493556179	0.361193381024905
bacOTU_203	0.00724548640305255	0.0479117261299755	0.0537177672171674	0.00294022702327952	0.0288827975067328	0.01333014631544	1.0635035875251e-62	0.081406881076353	0.186451343526145	0.0338054130658412	0.0600859060631255	0.0338054130658412
bacOTU_120	0.000609665957324319	0.00163680331598672	0.0048620611019646	0.00381492008255072	0.00609992331369691	0.00381492008255072	0.00294022702327952	1.0635035875251e-62	0.0152615163892909	0.186451343526145	0.0448838717743008	0.0763793220119789
bacOTU_142	0.00651422358724081	0.00054214422483387	0.00163680331598672	0.0216659233675324	0.0288827975067328	0.00222003122591684	0.0216659233675324	5.4840529985137e-05	1.0635035875251e-62	0.307096701849422	0.118447636472779	0.218556458597969
bacOTU_93	0.00362170563836657	0.127552869703234	0.073877706888658	0.000813862111732211	0.0984011766696351	0.0288827975067328	0.000343612197763281	0.0216659233675324	0.066688	1.0635035875251e-62	0.095041964905756	0.0493354597435619
OTU_362	0.00468887903209963	0.0227377366153768	0.0262928781788051	0.0052114617667064	0.0622548817089307	0.0088795368296157	0.00129381476051045	0.000609665957324319	0.00724548640305255	0.00410613152183106	0	0.0570061888039716
bacOTU_358	0.00227189452581578	0.111088330302483	0.115991320625846	9.59608405688684e-05	0.0498460995096796	0.0927887674939956	0.000307322880588941	0.00241398836881561	0.0302111706883683	0.000746860837227494	0.00109987894842792	0
