OTU_45	bacOTU_147	OTU_143	bacOTU_23	bacOTU_599	bacOTU_228	bacOTU_203	bacOTU_120	bacOTU_142	bacOTU_93	OTU_362	bacOTU_358
OTU_45	1	0.802435317657685	0.832830594841688	0.893621149209695	0.814593428531287	0.778119095910483	0.784198151347283	0.887542093772894	0.790277206784084	0.820672483968087	0.807926829268293	0.841463414634147
bacOTU_147	0.802435317657685	1	0.975757575757576	0.6	0.818181818181818	0.915151515151515	0.636363636363636	0.854545454545454	0.890909090909091	0.515151515151515	0.705170430668875	0.534956878438457
OTU_143	0.832830594841688	0.975757575757576	1	0.648484848484848	0.793939393939394	0.927272727272727	0.624242424242424	0.806060606060606	0.854545454545454	0.587878787878788	0.693012319795274	0.528877823001656
bacOTU_23	0.893621149209695	0.6	0.648484848484848	1	0.721212121212121	0.612121212121212	0.83030303030303	0.818181818181818	0.709090909090909	0.878787878787879	0.802435317657685	0.930095481830499
bacOTU_599	0.814593428531287	0.818181818181818	0.793939393939394	0.721212121212121	1	0.733333333333333	0.684848484848485	0.793939393939394	0.684848484848485	0.551515151515151	0.607905543680065	0.632221765427267
bacOTU_228	0.778119095910483	0.915151515151515	0.927272727272727	0.612121212121212	0.733333333333333	1	0.745454545454545	0.818181818181818	0.842424242424242	0.684848484848485	0.772040040473682	0.559273100185659
bacOTU_203	0.784198151347283	0.636363636363636	0.624242424242424	0.83030303030303	0.684848484848485	0.745454545454545	1	0.83030303030303	0.709090909090909	0.903030303030303	0.863225872025692	0.905779260083296
bacOTU_120	0.887542093772894	0.854545454545454	0.806060606060606	0.818181818181818	0.793939393939394	0.818181818181818	0.83030303030303	1	0.939393939393939	0.709090909090909	0.887542093772894	0.838909650278489
bacOTU_142	0.790277206784084	0.890909090909091	0.854545454545454	0.709090909090909	0.684848484848485	0.842424242424242	0.709090909090909	0.939393939393939	1	0.6	0.784198151347283	0.680854208921672
bacOTU_93	0.820672483968087	0.515151515151515	0.587878787878788	0.878787878787879	0.551515151515151	0.684848484848485	0.903030303030303	0.709090909090909	0.6	1	0.814593428531287	0.881463038336094
OTU_362	0.807926829268293	0.705170430668875	0.693012319795274	0.802435317657685	0.607905543680065	0.772040040473682	0.863225872025692	0.887542093772894	0.784198151347283	0.814593428531287	1	0.86890243902439
bacOTU_358	0.841463414634147	0.534956878438457	0.528877823001656	0.930095481830499	0.632221765427267	0.559273100185659	0.905779260083296	0.838909650278489	0.680854208921672	0.881463038336094	0.86890243902439	1
