TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH10	species	ID
bacOTU_8	46.0406497154443	57.0478955338778	6.82547712900336	6.20508636079466	9.86338344997455	8.32169538567986	107.54801983709	27.3273771042235	78.3956151221029	bac	bacOTU_8
bacOTU_5	23.780010900373	20.6586040305405	23.5524576986736	21.2459732993609	1.15739192479701	2.5490571451632	32.402357899636	7.98807330738839	6.93071800354823	bac	bacOTU_5
bacOTU_3	17.7689778672231	38.0951395425563	18.5535899422204	8.73672079599888	16.1495827687583	16.8681987547565	93.9896282336959	25.1411949358856	22.8370544051343	bac	bacOTU_3
bacOTU_10	12.8148297629788	28.4292339869823	1.63434522807123	0.843978145068074	1.23629819239681	2.17421050616861	57.6807151263024	4.62471612533012	19.3149370590688	bac	bacOTU_10
bacOTU_28	15.853373933582	28.8082891068087	3.74925081733987	2.97849345318144	1.4730169951962	2.5490571451632	41.1348813052117	14.546619812402	14.6566528271758	bac	bacOTU_28
bacOTU_9	14.9285996207897	79.9807302833769	66.2350977730044	11.9633137036121	4.52405934238833	4.83562164303019	48.0289787306661	31.0270700044876	12.8387858098516	bac	bacOTU_9
bacOTU_4	21.996517582845	118.265297385846	188.707357806107	21.2459732993609	3.70869457719043	10.7207138752452	79.0524171452113	48.0120237738818	27.1544885712791	bac	bacOTU_4
bacOTU_13	7.7946263506778	26.3444308279369	6.05642055108749	0.695058472409002	1.05218356799729	1.2745785725816	29.8745221769694	4.03612861846993	7.49880144646202	bac	bacOTU_13
bacOTU_27	12.0221660662997	66.903328649365	19.2265144478968	3.97129127090858	0.815464765197896	0.862247269687553	46.6501592455752	10.678759053035	28.4042721456895	bac	bacOTU_27
bacOTU_6	1.65148270141479	27.8606513072427	25.6673632879422	79.473565309058	18.1748436371531	5.99764622391341	17.9247533061816	12.6126894327185	6.58986793779995	bac	bacOTU_6
bacOTU_7	2.3780910900373	76.7587617648522	36.9148157399618	10.6230366496805	5.97067424838459	12.1451311034247	26.197670216727	68.2762507957829	20.2238705677309	bac	bacOTU_7
bacOTU_70	8.32306881513053	20.279548910714	5.86415640660852	1.98569563545429	2.9459339903924	3.78605105384534	19.3035727912725	11.3514304894467	11.248152169693	bac	bacOTU_70
bacOTU_20	1.32120616113183	14.972777233144	1.24981693911329	1.78713607190886	0.7365584975981	1.2745785725816	9.19222990060596	4.12021254802138	1.24988357441034	bac	bacOTU_20
bacOTU_22	2.3780910900373	14.2146669934912	4.90283568421368	3.02813334406779	0.605048051598439	1.98678718667132	5.28557469284843	7.98807330738839	3.29498396889998	bac	bacOTU_22
bacOTU_19	21.2699091942225	27.6711237473294	11.8243448854565	2.82957378052237	0.578745962398507	1.57445588377727	54.2336664135752	3.27937325250682	17.6106867303275	bac	bacOTU_19
bacOTU_32	6.67168611371575	24.0701001089783	26.3402877936186	13.2539508666574	0.552443873198575	2.43660315346482	51.4760274433934	5.63372327994761	8.86220170945511	bac	bacOTU_32
bacOTU_53	1.98175924169775	1.70584803921894	0.192364144478968	0.0993797817727146	0.184214624399525	0.524885294592423	8.50282015806051	0.420519647757284	2.61328383740343	bac	bacOTU_53
bacOTU_26	15.6552080094122	11.5612811547061	7.88292992363768	3.02813334406779	0.789162675997964	2.32414916176645	60.8979605915145	4.54063219577867	27.2681052598619	bac	bacOTU_26
bacOTU_11	6.40746488148938	32.9778954248995	5.960288478848	1.19145738127258	1.551923262796	3.48617374264967	73.3073359573325	18.7508162899749	29.6540557200998	bac	bacOTU_11
bacOTU_48	1.5854273933582	13.4565567538383	11.0552883075406	5.75832734281745	0.920673121997625	2.13672584226915	18.1545565536968	7.23131794142529	4.77200092047583	bac	bacOTU_48
bacOTU_16	0.330376540282958	9.28695043574755	46.3357588194312	3.27633279849958	0.236818802799389	1.19960924478268	0.229903247515149	8.15624116649131	1.13626688582758	bac	bacOTU_16
bacOTU_25	8.78545597152668	29.945454466288	5.19123190093213	3.97129127090858	2.44619429559369	2.88641912025833	28.4957026918785	13.8739483759904	8.63496833228959	bac	bacOTU_25
bacOTU_50	8.91756658763986	15.5413599128837	2.88406216718452	2.03533552634065	0.710256408398168	1.42451722817943	14.2479013459392	8.24032509604277	3.63583403464825	bac	bacOTU_50
bacOTU_206	0.726708388622507	7.96025751635504	0.192364144478968	0.347579236204501	0.131610445999661	0.712308614089717	1.83852598012119	6.30639471635926	1.24988357441034	bac	bacOTU_206
bacOTU_44	6.34140957343279	8.90789531592112	2.59566595046607	5.26192843395387	0.49983969479871	1.08715525308431	8.50282015806051	2.35445002744079	2.9541339031517	bac	bacOTU_44
bacOTU_12	3.03864417060321	13.8356118736647	1.73047730031071	1.7374961810225	1.23629819239681	3.52365840654913	1.14911623757575	10.5105911939321	1.47711695157585	bac	bacOTU_12
bacOTU_208	0.990929620848873	1.32679291939251	0.288496216718452	0.496498908863573	0.447235516398846	1.31206323648106	2.06832922763634	1.51361073192622	1.13626688582758	bac	bacOTU_208
bacOTU_23	1.05698492890546	1.70584803921894	0.0962320722394839	0.198659563545429	0.131610445999661	0.374946638994588	5.28557469284843	1.26135894327185	1.24988357441034	bac	bacOTU_23
bacOTU_29	0.132210616113183	27.4815961874162	0.384628288957936	13.5021503210892	2.02536086839477	4.87310630692965	0.229903247515149	6.47456257546217	1.13626688582758	bac	bacOTU_29
bacOTU_40	7.39829450233825	13.0775016340119	1.44208108359226	1.34037705393165	0.683954319198235	1.38703256427998	19.992982533818	2.5226178865437	6.13540118346892	bac	bacOTU_40
bacOTU_35	0.396431848339549	1.13726535947929	1.34594901135277	1.29073716304529	0.605048051598439	0.749793277989176	0.229903247515149	1.1772750137204	2.27243377165516	bac	bacOTU_35
bacOTU_102	1.32120616113183	1.13726535947929	0.48076036119742	0.0497398908863573	1e-04	1e-04	2.06832922763634	0.0841839295514568	0.909033508662062	bac	bacOTU_102
bacOTU_14	7.13407327011189	36.1998639434241	0.865288650155355	0.645418581522645	0.0790062675997964	0.449915966793506	63.195993066666	6.2223107868078	11.9298523011896	bac	bacOTU_14
bacOTU_17	12.286387298526	7.77072995644183	0.961420722394839	2.13461530811336	0.578745962398507	1.83684853107348	37.2282260974541	2.18628216833788	18.6332369275723	bac	bacOTU_17
bacOTU_36	10.7010599051678	7.58120239652861	1e-04	0.0497398908863573	0.0264020891999321	0.112553991698376	24.5890474841209	0.0841839295514568	8.86220170945511	bac	bacOTU_36
bacOTU_41	3.17075478671639	5.11734411765681	1.82660937255019	1.78713607190886	1.31520445999661	3.14881176755454	11.7200656232726	4.03612861846993	6.36263456063444	bac	bacOTU_41
bacOTU_64	2.70836763032025	9.28695043574755	9.61330722394839	4.96408908863573	0.578745962398507	2.58654180906266	5.51537794036358	5.04513577308741	2.04520039448964	bac	bacOTU_64
bacOTU_91	2.3780910900373	5.68592679739646	1.73047730031071	1.24109727215893	1.34150654919654	1.01218592528539	9.88163964315141	5.63372327994761	6.81710131496547	bac	bacOTU_91
bacOTU_112	3.76525255922572	3.79065119826431	1.44208108359226	0.695058472409002	0.710256408398168	1.68690987547565	8.27301691054536	3.19528932295536	3.86306741181377	bac	bacOTU_112
bacOTU_146	0.198265924169775	4.73828899783038	0.288496216718452	0.198659563545429	0.263120891999321	0.0750693277989176	0.229903247515149	2.77486967519807	0.113716688582758	bac	bacOTU_146
bacOTU_18	0.198265924169775	32.7883678649863	0.0962320722394839	0.0993797817727146	1e-04	0.0375846638994588	4.36636170278783	5.38147149129323	0.227333377165516	bac	bacOTU_18
bacOTU_369	3.23681009477299	7.77072995644183	2.88406216718452	2.68065410786329	0.920673121997625	1.19960924478268	6.89419742545447	3.44754111160973	2.61328383740343	bac	bacOTU_369
bacOTU_61	2.44414639809389	8.7183677560079	2.11500558926865	1.34037705393165	1.10478774639715	1.2745785725816	10.5710493856969	2.69078574564662	3.86306741181377	bac	bacOTU_61
bacOTU_69	0.396431848339549	0.189627559913215	2.30726973374761	0.695058472409002	0.605048051598439	0.862247269687553	6.66439417793932	1e-04	0.454566754331031	bac	bacOTU_69
bacOTU_72	1.05698492890546	1.32679291939251	0.384628288957936	0.0993797817727146	0.0790062675997964	0.150038655597835	2.06832922763634	0.25235178865437	2.04520039448964	bac	bacOTU_72
