heal_inter_dis	rank_hd
Promicromonospora	Promicromonospora	8
Phyllobacterium	Phyllobacterium	18
Pseudomonas	Pseudomonas	10
Rhizobium	Rhizobium	7
Flavobacterium	Flavobacterium	2
Sphingomonas	Sphingomonas	14
Variovorax	Variovorax	1
Pseudoxanthomonas	Pseudoxanthomonas	6
Streptomyces	Streptomyces	5
Chryseobacterium	Chryseobacterium	29
Lentzea	Lentzea	4
Nocardioides	Nocardioides	9
Actinoplanes	Actinoplanes	3
Herbaspirillum	Herbaspirillum	16
Mycobacterium	Mycobacterium	33
Kribbella	Kribbella	19
Massilia	Massilia	11
Devosia	Devosia	13
Microbacterium	Microbacterium	31
Stenotrophomonas	Stenotrophomonas	25
Mesorhizobium	Mesorhizobium	15
Caulobacter	Caulobacter	17
Aeromicrobium	Aeromicrobium	22
Agromyces	Agromyces	30
Steroidobacter	Steroidobacter	24
Arthrobacter	Arthrobacter	20
Chondromyces	Chondromyces	23
Umezawaea	Umezawaea	12
Pantoea	Pantoea	26
Rhodanobacter	Rhodanobacter	27
Shinella	Shinella	21
Solirubrobacter	Solirubrobacter	32
Bosea	Bosea	34
Bradyrhizobium	Bradyrhizobium	28
