TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10	TABS1	TABS2	TABS3	TABS4	TABS5	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAE0H10
OTU_1	21997	4179	8331	6291	14800	8240	3107	4222	7636	9593	16041	3819	12123	16659	16103	15473	11043	4366	18954	8608	3580	4104	7959	4866	7503	1	12	1	0	0	0	0	0	1	3	0	1	0	0	0
OTU_36	3143	125	59	141	114	280	690	245	128	184	219	80	842	1018	2	85	105	25	5	536	0	0	0	0	0	0	0	0	0	0	4977	121	150	717	151	187	141	31	13	732
OTU_3	3085	10449	12042	4630	2341	7184	10538	13990	7468	5557	3219	352	2075	2274	127	544	1184	364	74	5008	35	16	42	56	73	30	20	37	52	92	7597	5741	3837	10862	9536	1053	1763	336	132	6046
OTU_31	2937	151	42	116	97	37	94	138	135	70	392	90	1	19	4	20	243	25	1	213	510	122	68	82	237	680	117	96	98	295	7032	137	159	86	154	25	319	32	15	318
OTU_7	2021	43	276	2552	6770	221	2259	1213	270	2135	157	6	2	2	15	1168	0	10	147	440	1	2	1	0	144	0	0	4	0	222	3965	3102	10280	2472	382	1803	10	21	262	467
OTU_15	1027	1004	116	19	40	277	639	741	2012	185	147	65	94	727	220	361	134	2	116	259	0	0	0	1	7	0	0	0	0	1	2345	18	50	790	2408	587	179	9	256	251
OTU_180	627	0	1	0	7	1	44	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1576	0	10	44	0	0	0	0	0	0
OTU_9	572	228	207	711	550	695	86	116	661	137	121	174	41	84	54	228	9099	427	89	503	924	302	427	375	222	916	294	474	355	294	1589	782	733	72	834	302	11605	432	174	608
OTU_4	533	9523	3642	8022	4488	6172	554	1154	5772	7113	54	275	1376	565	353	374	98	1902	390	94	24	12	31	62	2	30	10	19	94	0	1234	9066	7080	635	6836	617	125	2142	692	143
OTU_6	344	171	6	620	4	3202	9176	1393	2182	275	11	1	0	0	0	0	1	9	1	224	0	54	4	6	8	0	54	4	1	7	756	810	6	10013	2762	0	1	18	1	330
OTU_20	340	665	700	175	61	231	2646	2099	434	192	68	52	0	101	4	29	310	91	0	183	5	2	7	2	34	7	0	5	0	48	807	179	89	2850	456	30	454	97	1	221
OTU_16	307	3082	1041	311	24	444	665	200	1958	809	0	5	0	0	4	7	0	17	0	0	9	14	45	20	18	5	11	58	9	12	956	395	35	796	2404	0	1	25	4	0
OTU_45	305	45	47	44	1956	210	63	37	49	132	57	50	0	3	0	10	56	120	10	58	35	30	251	33	60	50	25	281	42	99	735	66	3457	87	72	20	69	143	13	58
OTU_5	297	100	209	221	135	384	238	55	137	293	1410	10317	52	264	150	482	1294	12712	283	861	111	147	177	145	21	134	142	198	172	36	767	265	209	256	158	881	1921	13838	487	1253
OTU_12	234	114	2161	1140	51	258	1264	264	405	1197	169	430	1093	716	4170	1120	104	1111	3022	571	96	138	178	149	168	91	145	181	181	189	421	1436	175	1286	471	1805	191	1223	5740	745
OTU_422	217	94	1327	107	167	26	55	68	130	117	129	20	168	541	85	261	66	0	1	352	4	25	0	0	0	3	20	0	0	0	487	164	271	64	141	431	103	1	0	419
OTU_8	196	1341	185	4622	4922	30	1526	3789	155	280	12	2	1	11	0	21	13	1	2	15	0	14	0	8	107	0	30	0	8	110	501	5336	7341	1867	205	90	30	3	18	21
OTU_17	186	102	181	4242	272	443	57	13	220	130	103	72	9	230	22	49	38	350	17	268	63	88	113	131	137	66	79	144	150	131	432	4852	438	93	235	141	50	341	81	346
OTU_35	174	66	57	86	473	135	31	61	18	128	131	31	20	11	1	2	18	20	7	340	369	3024	371	506	403	409	3125	505	565	442	213	121	831	30	30	2	25	9	5	352
OTU_27	168	8	145	54	56	54	96	564	77	26	769	150	0	0	2	6	559	1	14	3058	190	23	32	154	215	233	21	33	141	275	330	50	78	99	78	2	943	0	0	3867
OTU_77	120	30	437	18	24	1241	3	6	80	268	8	78	3	33	328	324	1	277	289	1085	0	11	3	1	2	0	6	1	2	1	238	11	29	3	101	523	0	349	432	1313
OTU_309	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	3	7	5	2	0	3	5	249	0	0	0	0	0	0	0	0	0
OTU_34	112	23	30	33	35	7	34	18	283	152	41	57	9	27	123	629	53	119	241	221	1159	794	1137	844	578	1265	882	1364	1003	783	207	40	71	28	359	949	56	135	355	340
OTU_65	107	61	121	132	19	97	998	112	193	234	146	204	224	13	5	7	86	218	7	110	30	52	29	51	71	33	65	54	59	111	234	176	29	1092	191	9	143	242	5	137
OTU_79	104	1	6	207	143	0	90	7	2	7	13	2	3	7	8	2	2	1	0	11	128	170	115	34	53	139	217	195	36	73	158	284	275	118	3	0	0	0	0	20
OTU_14	99	214	567	37	44	2397	1203	505	162	521	36	113	791	982	218	153	108	450	182	173	28	207	104	52	94	34	252	130	68	135	222	45	111	1294	207	191	135	492	295	247
OTU_81	81	25	235	15	9	112	685	85	55	67	393	2	1	1	0	0	11	0	0	240	30	282	10	13	3	37	319	27	8	12	130	26	45	748	80	2	24	0	0	363
OTU_83	71	756	71	138	20	119	267	122	124	255	87	66	179	75	15	9	48	26	4	27	268	267	252	719	297	310	274	306	865	277	176	186	19	310	142	4	86	27	17	41
OTU_58	68	329	469	104	25	35	50	10	485	254	2	4	0	0	1	0	1	0	1	1	16	422	18	25	189	23	468	36	34	268	259	109	65	59	600	0	1	0	3	0
OTU_130	60	2	8	19	15	0	8	36	0	2	60	31	0	1	12	14	46	11	7	59	188	93	185	134	147	229	85	191	159	171	98	23	21	7	7	9	65	13	22	58
OTU_69	35	22	435	13	32	968	12	6	197	350	17	63	34	10	103	10	2	9	152	28	46	128	124	93	143	67	187	162	85	164	34	34	43	6	281	5	5	11	336	40
OTU_11	29	32	16	52	143	120	16	12	38	45	405	1856	49	317	222	601	135	3993	894	455	717	234	215	668	143	648	272	352	810	193	65	37	289	25	49	939	218	4504	2057	587
OTU_10	27	93	3801	3410	34	0	331	4895	55	4	120	0	0	5	1	0	67	0	0	39	5	81	268	0	0	12	137	325	2	0	64	4253	119	335	77	3	58	0	0	52
OTU_38	27	1	7	19	24	1	25	17	33	70	2228	649	3	135	32	58	1465	321	8	858	36	30	71	197	54	42	21	95	242	88	103	22	53	39	51	116	2125	338	28	1190
OTU_1102	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
OTU_129	22	46	69	38	12	6	7	13	11	291	23	3	28	3	52	51	5	83	25	30	95	205	19	184	17	86	216	22	199	13	78	42	7	3	32	112	6	74	41	29
OTU_89	22	2	2	18	0	1	0	0	0	21	2	0	0	0	0	0	2	0	0	2	100	67	248	87	422	102	92	294	69	511	70	24	0	1	0	2	0	0	0	9
OTU_22	19	33	11	20	18	6	16	52	9	11	104	40	2	8	11	8	58	20	11	247	2273	1394	868	746	1339	2526	1426	1143	745	1511	46	28	34	35	13	34	85	34	21	391
OTU_155	19	60	4	2	24	7	7	3	15	4	7	1	0	0	0	6	0	3	0	10	31	29	10	326	65	40	51	14	402	82	66	2	46	5	39	13	5	4	0	12
OTU_981	18	0	0	0	2	0	1	0	2	0	0	2	0	0	1	1	0	0	1	0	5	3	1	0	7	2	7	0	1	6	12	0	4	3	0	0	0	1	0	1
OTU_217	17	1	0	6	13	0	1	69	0	0	0	0	0	0	0	0	0	0	0	0	3	1	27	3	65	3	1	25	0	109	36	6	27	1	2	0	0	0	0	0
OTU_200	16	0	32	85	24	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	3	3	21	4	10	1	1	30	8	47	87	38	0	0	1	0	0	0	0
OTU_28	15	4	1	5	3	0	2	2	6	3	16	13	4	5	2	49	43	0	0	15	862	233	1576	555	1096	943	321	1918	642	1199	11	2	4	2	5	52	76	3	0	13
OTU_88	14	70	12	0	3	603	3	4	62	42	9	8	31	7	7	187	1	7	2	17	186	219	233	308	497	228	290	324	301	748	24	0	16	3	87	371	1	3	19	12
OTU_143	14	10	8	12	24	13	13	6	7	13	46	77	2	2	3	0	36	180	6	19	4	0	4	0	0	5	0	7	0	0	44	8	25	18	7	1	26	211	14	28
OTU_100	14	10	5	37	1	3	6	18	6	25	83	29	0	0	0	2	238	0	0	83	93	36	72	66	81	87	49	72	69	116	25	46	6	7	10	3	295	0	0	137
OTU_219	12	2	4	4	0	0	3	4	4	0	44	0	0	0	0	0	0	0	0	0	103	7	6	31	16	108	6	6	38	21	37	2	0	1	1	0	4	0	0	1
OTU_113	12	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	2	0	0	24	181	76	119	60	161	160	59	150	75	214	22	0	0	2	1	0	1	2	0	41
OTU_420	12	17	0	14	13	2	11	7	11	2	11	3	0	2	0	2	3	1	0	6	8	0	3	5	26	15	1	4	9	29	25	15	10	13	13	0	2	1	2	9
OTU_225	8	0	28	60	1	0	8	11	0	11	0	4	2	5	7	0	223	0	9	3	0	2	0	0	0	0	0	0	0	0	0	58	3	12	0	0	303	0	26	5
OTU_213	8	0	0	0	0	0	108	0	0	0	19	2	0	0	0	0	10	0	0	0	0	0	0	12	1	0	0	0	27	0	5	0	0	128	0	0	12	0	0	0
OTU_270	8	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	117	28	0	3	0	13	0	0	0	0	0
OTU_103	7	3	2	0	40	0	1	3	0	4	18	12	4	16	6	3	280	7	0	15	78	14	46	19	208	122	24	85	32	243	4	6	101	0	0	3	376	6	0	23
OTU_39	7	47	3	82	3	0	54	57	5	4	1200	179	0	1	1	1	947	0	13	3022	68	0	686	277	139	65	1	831	311	161	19	116	18	72	15	0	1587	0	0	4178
OTU_587	7	0	1	3	1	0	3	1	0	0	0	0	0	6	0	6	0	1	2	8	0	0	1	1	0	0	0	2	0	0	32	4	3	3	1	18	0	1	2	2
OTU_1219	7	0	3	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	4	1	1	0	0	0	0	1	0	2	0	0	0
