Row.names	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6.x	TAH7	TAH8	TAH9	TAH10	TABS1	TABS2	TABS3	TABS4	TABS5	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAE0H10	TAH6.y	taxonomy
OTU_1	21997	4179	8331	6291	14800	8240	3107	4222	7636	9593	16041	3819	12123	16659	16103	15473	11043	4366	18954	8608	3580	4104	7959	4866	7503	1	12	1	0	0	0	0	0	1	3	0	1	0	0	0	34544	No blast hit
OTU_10	27	93	3801	3410	34	0	331	4895	55	4	120	0	0	5	1	0	67	0	0	39	5	81	268	0	0	12	137	325	2	0	64	4253	119	335	77	3	58	0	0	52	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
OTU_100	14	10	5	37	1	3	6	18	6	25	83	29	0	0	0	2	238	0	0	83	93	36	72	66	81	87	49	72	69	116	25	46	6	7	10	3	295	0	0	137	3	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_pisciphila
OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	2	3	2	1	4	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
OTU_1002	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
OTU_1003	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	1	2	0	3	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Halosphaeriaceae; g__Lignincola; s__Lignincola_laevis
OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	2	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Dactylella; s__Dactylella_heptameres
OTU_1007	0	1	0	0	0	0	0	0	0	0	5	1	0	1	0	1	1	0	0	0	7	0	0	0	1	19	2	1	0	4	0	0	0	0	1	0	0	1	1	1	2	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
OTU_1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	1	9	4	6	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
OTU_101	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	30	0	0	0	169	35	33	9	548	2	27	49	11	678	1	0	0	0	0	0	86	1	0	0	238	69	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Panaeolus; s__Panaeolus_subbalteatus
OTU_1012	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	2	1	0	2	0	0	0	0	0	13	0	0	5	0	0	0	0	4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Zygopleurage; s__Zygopleurage_zygospora
OTU_1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Zoopagomycota; c__Zoopagomycetes; o__Zoopagales; f__Piptocephalidaceae; g__Syncephalis; s__unidentified
OTU_1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	3	3	8	2	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__unidentified
OTU_1016	0	0	1	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Marasmiaceae; g__Marasmius; s__Marasmius_rotula
OTU_1018	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	4	0	0	0	3	5	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	1	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__unidentified; g__unidentified; s__unidentified
OTU_102	0	5	203	0	0	0	0	0	6	0	1	28	30	26	23	167	0	162	19	138	10	15	24	10	5	6	20	17	8	9	0	0	0	0	1	411	0	254	61	182	378	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Plectosphaerella; s__Plectosphaerella_cucumerina
